# Time (s), X (m), Y (m), Z (m), Vx (m/s), Vy (m/s), Vz (m/s), e0, e1, e2, e3, ω1 (rad/s), ω2 (rad/s), ω3 (rad/s), Ax (m/s2), Ay (m/s2), Az (m/s2), α1 (rad/s2), α2 (rad/s2), α3 (rad/s2), R1 (N), R2 (N), R3 (N), M1 (Nm), M2 (Nm), Aerodynamic Spin Moment (N m), Pressure (Pa), Density (kg/m³), Dynamic Viscosity (Pa s), Speed of Sound (m/s), Wind Velocity X (East) (m/s), Wind Velocity Y (North) (m/s), Speed - Velocity Magnitude (m/s), Acceleration Magnitude (m/s²), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Path Angle (°), Latitude (°), Longitude (°), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Spin Angle - φ (°), Dynamic Pressure (Pa), Aerodynamic Lift Force (N), Aerodynamic Drag Force (N), Rotational Kinetic Energy (J), Kinetic Energy (J), ((Scalar*9.80665)*Z (m)), Total Mechanical Energy (J), Thrust Power (W), Drag Power (W)
0.000000,0.000000,0.000000,1471.466078,0.000000,0.000000,0.000000,0.704416,-0.061628,0.061628,-0.704416,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.787763,0.246349,-0.028231,0.084747,0.271187,0.000000,85052.960160,1.051479,0.000018,336.517200,1.072314,3.376571,0.000000,0.000000,0.000000,0.000000,32.990254,-106.974998,0.000000,0.000000,6.598603,0.825384,0.028231,0.000000,0.000000,764161.902076,764161.902076,0.000000,-0.000000
0.600000,1.566687,0.000635,1480.152475,5.704644,0.001360,30.383911,0.704354,-0.060405,0.062325,-0.704522,0.007394,0.028945,0.000000,11.577895,-0.105025,56.036718,0.035650,0.170629,0.000000,-4.133120,0.905085,-2.565432,0.306232,1.450454,0.000000,84963.440816,1.050576,0.000018,336.484788,1.108812,3.388930,30.914802,57.220364,5.704644,79.366382,32.990254,-106.974972,5.704644,0.889400,502.060573,4.231069,2.565432,0.003612,24859.667483,755123.578327,779983.245809,107605.128540,-79.309970
1.200000,7.100970,-0.157526,1508.797618,12.631883,-0.867512,64.788867,0.702791,-0.040078,0.077467,-0.706029,0.007173,0.126087,0.000000,10.794302,-3.435520,54.551663,-0.058970,0.023582,0.000000,-2.106892,-0.987595,-11.199571,-0.416853,0.475807,0.000000,84676.782802,1.047658,0.000018,336.379108,1.377846,3.465362,66.014501,55.715381,12.661637,78.942102,32.990253,-106.974880,12.661637,17.513398,2275.002460,2.327121,11.199571,0.058695,111150.098443,754766.491018,865916.589461,220795.182538,-739.334013
1.800000,16.580367,-1.543199,1557.187557,18.845055,-3.952152,95.444648,0.700938,-0.029051,0.095094,-0.706256,-0.031939,-0.036394,0.000000,7.696090,-4.252727,33.465588,0.013814,-0.340764,0.000000,6.132775,-0.111435,-23.854441,0.039736,-2.334579,0.000000,84192.535125,1.042729,0.000018,336.200585,1.832335,3.594481,97.367533,34.601460,19.255015,78.594233,32.990240,-106.974723,19.255015,27.795428,4930.057341,6.133788,23.854441,0.007826,237478.546733,765046.144193,1002524.690926,217714.033940,-2322.648054
2.400000,28.263537,-4.110377,1614.764051,19.522614,-4.281067,93.265009,0.701937,-0.039864,0.089094,-0.705519,0.008257,0.032021,0.000000,-0.074886,0.137978,-10.246538,0.010091,0.305551,0.000000,-5.325649,0.322965,-22.735471,0.066600,2.016637,0.000000,83616.355778,1.036864,0.000018,335.988170,2.373106,3.748112,95.382503,10.247741,19.986495,77.904576,32.990217,-106.974530,19.986495,20.748454,4695.406520,5.335424,22.735471,0.003609,227445.552514,791771.293914,1019216.846428,-0.000015,-2168.566114
3.000000,39.960818,-6.666049,1668.881944,19.466867,-4.257383,87.132410,0.700314,-0.029088,0.101868,-0.705930,-0.022720,0.017842,0.000000,-0.088379,-0.033540,-10.199846,-0.036710,-0.237985,0.000000,3.742719,-0.717263,-19.857605,-0.242285,-1.570703,0.000000,83074.787328,1.031352,0.000018,335.788514,2.881392,3.892515,89.381995,10.200284,19.926973,77.118129,32.990194,-106.974336,19.926973,28.834634,4091.143401,3.810828,19.857605,0.002754,199728.529181,818307.055819,1018035.585000,-0.000000,-1774.912382
3.600000,51.628002,-9.221323,1719.328715,19.427389,-4.247368,81.029509,0.700730,-0.037587,0.101997,-0.705096,-0.009960,-0.013771,0.000000,-0.054489,0.078568,-10.141003,0.038232,0.148635,0.000000,-2.367247,0.625125,-17.214528,0.252334,0.980993,0.000000,82569.956523,1.026213,0.000018,335.602403,3.355199,4.027122,83.434076,10.141454,19.886266,76.210998,32.990171,-106.974143,19.886266,24.592680,3536.620042,2.448389,17.214528,0.000953,174031.125138,843042.747256,1017073.872393,-0.000000,-1436.278224
4.200000,63.273578,-11.755444,1766.124313,19.389228,-4.205035,74.960701,0.699757,-0.033086,0.109415,-0.705177,-0.012402,0.050669,0.000000,-0.071718,0.033003,-10.092188,-0.037491,-0.020056,0.000000,-0.054191,-0.643362,-14.798461,-0.247443,-0.132367,0.000000,82101.663729,1.021447,0.000017,335.429761,3.794713,4.151987,77.541803,10.092497,19.839972,75.175353,32.990148,-106.973950,19.839972,27.954041,3029.679595,0.646691,14.798461,0.008980,150318.288427,865988.149765,1016306.438191,-0.000000,-1147.499378
4.800000,74.894672,-14.276149,1809.286393,19.349416,-4.199560,68.916792,0.698611,-0.031841,0.119850,-0.704674,-0.027284,0.000377,0.000000,-0.056423,0.010187,-10.052859,-0.000390,-0.065523,0.000000,1.065313,-0.126634,-12.594237,-0.002572,-0.432453,0.000000,81669.732272,1.017050,0.000017,335.270525,4.200101,4.267156,71.704675,10.053023,19.799904,73.970557,32.990126,-106.973758,19.799904,29.874033,2568.412888,1.072798,12.594237,0.002457,128539.011444,887151.920139,1015690.931583,-0.000000,-903.065673
5.400000,86.495154,-16.791043,1848.829659,19.319849,-4.178905,62.898580,0.698420,-0.037367,0.124646,-0.703758,-0.021042,0.010840,0.000000,-0.046519,0.052474,-10.008338,0.007243,0.074883,0.000000,-1.327926,0.048230,-10.593560,0.047802,0.494228,0.000000,81274.014993,1.013022,0.000017,335.124639,4.571500,4.372669,65.931413,10.008584,19.766634,72.554048,32.990103,-106.973566,19.766634,28.093970,2151.088849,1.328801,10.593560,0.001849,108673.782317,906541.268825,1015215.051143,0.000000,-698.448364
