# Time (s), X (m), Y (m), Z (m), Vx (m/s), Vy (m/s), Vz (m/s), e0, e1, e2, e3, ω1 (rad/s), ω2 (rad/s), ω3 (rad/s), Ax (m/s2), Ay (m/s2), Az (m/s2), α1 (rad/s2), α2 (rad/s2), α3 (rad/s2), R1 (N), R2 (N), R3 (N), M1 (Nm), M2 (Nm), Aerodynamic Spin Moment (N m), Pressure (Pa), Density (kg/m³), Dynamic Viscosity (Pa s), Speed of Sound (m/s), Wind Velocity X (East) (m/s), Wind Velocity Y (North) (m/s), Speed - Velocity Magnitude (m/s), Acceleration Magnitude (m/s²), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Path Angle (°), Latitude (°), Longitude (°), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Spin Angle - φ (°), Dynamic Pressure (Pa), Aerodynamic Lift Force (N), Aerodynamic Drag Force (N), Rotational Kinetic Energy (J), Kinetic Energy (J), ((Scalar*9.80665)*Z (m)), Total Mechanical Energy (J), Thrust Power (W), Drag Power (W)
0.000000,0.000000,0.000000,1400.000000,0.000000,0.000000,0.000000,0.704416,-0.061628,0.061628,-0.704416,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.685442,-0.256559,1.886221,-0.000000,0.000000,85598.771785,0.993995,0.000018,347.220687,10.000000,0.000000,0.000000,0.000000,0.000000,0.000000,32.990254,-106.974998,0.000000,0.000000,49.699771,6.685442,0.256559,0.000000,0.000000,315168.831651,315168.831651,0.000000,-0.000000
0.600000,2.782271,0.000000,1415.347952,10.771699,0.000000,58.465677,0.704953,-0.055142,0.055142,-0.704953,0.145661,-0.000000,0.000000,20.097846,0.000001,112.631068,0.634212,0.000000,0.000000,-0.000002,18.637333,-8.414043,5.427178,0.000001,0.000000,85438.053855,0.992129,0.000018,347.220687,10.000000,0.000000,59.449684,114.410145,10.771699,79.560907,32.990254,-106.974952,10.771699,-0.000000,1695.961080,18.637333,8.414043,0.086727,39366.791190,309203.028240,348569.819430,164820.461457,-500.212342
1.200000,11.774756,0.000000,1469.752716,16.820542,-0.000000,114.270603,0.707094,-0.004289,0.004289,-0.707094,0.132973,-0.000000,0.000000,-0.521042,-0.000004,40.561012,-1.150471,-0.000001,0.000000,0.000029,-24.326537,-31.124682,-8.844851,-0.000010,0.000000,84870.314771,0.985536,0.000018,347.220687,10.000000,0.000000,115.501954,40.564356,16.820542,81.626241,32.990254,-106.974803,16.820542,0.000233,6457.377614,24.326537,31.124682,0.068682,144367.309709,311949.960723,456317.270432,129480.350033,-3594.961638
1.800000,21.876051,-0.000001,1545.711083,17.569587,-0.000001,139.060854,0.706501,-0.029273,0.029273,-0.706501,-0.095723,-0.000000,0.000000,5.313488,0.000004,41.905710,1.098574,0.000002,0.000000,-0.000030,21.570002,-45.515482,8.231525,0.000012,0.000000,84082.767440,0.976391,0.000018,347.220687,10.000000,0.000000,140.166371,42.241231,17.569587,82.799142,32.990254,-106.974636,17.569587,-0.000032,9468.660856,21.566775,45.515482,0.034618,209496.296178,323271.641975,532767.938153,161745.089908,-6379.739960
2.400000,33.222459,-0.000000,1636.777536,19.660558,0.000001,164.553912,0.706958,-0.014497,0.014496,-0.706958,-0.053269,0.000000,0.000000,1.261950,0.000003,42.269495,-0.905818,0.000000,0.000000,-0.000004,-18.430750,-63.206830,-6.686925,0.000001,0.000000,83146.388180,0.965518,0.000018,347.220687,10.000000,0.000000,165.724251,42.288325,19.660558,83.186717,32.990254,-106.974448,19.660558,-0.000066,13117.193420,18.433634,63.206830,0.010417,288495.766129,337215.574424,625711.340554,191812.777431,-10474.904529
3.000000,45.559651,0.000001,1742.964516,21.634987,0.000003,189.013966,0.706821,-0.020098,0.020098,-0.706821,0.073158,0.000000,0.000000,2.418007,0.000001,38.427046,-0.452857,-0.000002,0.000000,0.000023,-6.671649,-83.022515,-3.173948,-0.000011,0.000000,82065.215837,0.952963,0.000018,347.220687,10.000000,0.000000,190.248133,38.503049,21.634987,83.470207,32.990254,-106.974244,21.634987,-0.000032,17087.411074,6.816901,83.022515,0.019060,374738.310995,353937.422737,728675.733732,206044.287066,-15794.878891
3.600000,58.959490,0.000003,1862.697629,22.939872,0.000004,205.521307,0.706755,-0.022313,0.022313,-0.706755,0.052472,0.000000,0.000000,-0.298254,0.000000,-14.697451,-0.043500,0.000001,0.000000,-0.000012,0.216996,-98.015894,-0.287094,0.000003,0.000000,80859.803814,0.938965,0.000018,347.220687,10.000000,0.000000,206.797595,14.701764,22.939872,83.631123,32.990254,-106.974022,22.939872,-0.000027,19909.091134,1.125847,98.015894,0.009513,436700.876554,373066.386224,809767.262778,200416.182828,-20269.451119
4.200000,72.645658,0.000005,1983.397126,22.744690,0.000004,196.856606,0.706728,-0.023130,0.023130,-0.706728,0.028987,0.000000,0.000000,-0.234803,0.000000,-14.199588,0.039577,0.000000,0.000000,-0.000005,1.058754,-87.977809,0.261205,0.000001,0.000000,79659.214052,0.925024,0.000018,347.220687,10.000000,0.000000,198.166204,14.201530,22.744690,83.409305,32.990254,-106.973795,22.744690,-0.000027,17998.626179,0.984241,87.977809,0.002825,395959.812661,392240.358606,788200.171268,162978.502795,-17434.228445
4.800000,86.228537,0.000007,2098.984221,22.566594,0.000003,188.476318,0.706698,-0.024052,0.024052,-0.706698,0.011328,0.000000,0.000000,-0.173378,0.000001,-13.754579,0.113480,0.000001,0.000000,-0.000014,1.908885,-79.011621,0.748971,0.000006,0.000000,78523.047487,0.911830,0.000018,347.220687,10.000000,0.000000,189.822479,13.755671,22.566594,83.172380,32.990254,-106.973570,22.566594,-0.000033,16267.617794,1.909236,79.011621,0.000424,360515.331229,411896.690404,772412.021633,42971.433396,-14998.181661
5.400000,99.716364,0.000009,2209.620112,22.402462,0.000003,180.348808,0.706673,-0.024755,0.024755,-0.706673,-0.003929,-0.000000,0.000000,-0.166780,0.000000,-13.359520,0.110095,0.000001,0.000000,-0.000009,1.644892,-71.116622,0.726627,0.000004,0.000000,77447.874661,0.899345,0.000018,347.220687,10.000000,0.000000,181.734870,13.360561,22.402462,82.919137,32.990254,-106.973347,22.402462,-0.000030,14695.079633,1.644869,71.116622,0.000051,330275.628079,433379.421408,763655.049488,-0.000145,-12924.370048
6.000000,113.115953,0.000011,2315.447365,22.255004,0.000003,172.444758,0.706658,-0.025178,0.025178,-0.706658,-0.011410,-0.000000,0.000000,-0.211262,-0.000000,-13.001249,0.031264,-0.000000,0.000000,0.000003,0.332652,-64.030674,0.206344,-0.000001,0.000000,76430.618138,0.887532,0.000018,347.220687,10.000000,0.000000,173.874897,13.002965,22.255004,82.646291,32.990254,-106.973125,22.255004,-0.000024,13263.009153,0.288395,64.030674,0.000430,302324.798237,454135.638050,756460.436286,0.000000,-11133.326927
6.600000,126.432499,0.000013,2416.593642,22.125644,0.000003,164.742203,0.706638,-0.025735,0.025735,-0.706638,-0.007109,0.000000,0.000000,-0.240535,-0.000000,-12.677688,-0.033835,-0.000000,0.000000,0.000004,-0.621050,-57.618588,-0.223308,-0.000002,0.000000,75468.495691,0.876360,0.000018,347.220687,10.000000,0.000000,166.221351,12.679970,22.125644,82.350683,32.990254,-106.972905,22.125644,-0.000020,11956.628375,0.620891,57.618588,0.000167,276295.374512,473973.760788,750269.135300,-0.000000,-9577.439535
