# Time (s), X (m), Y (m), Z (m), Vx (m/s), Vy (m/s), Vz (m/s), e0, e1, e2, e3, ω1 (rad/s), ω2 (rad/s), ω3 (rad/s), Ax (m/s2), Ay (m/s2), Az (m/s2), α1 (rad/s2), α2 (rad/s2), α3 (rad/s2), R1 (N), R2 (N), R3 (N), M1 (Nm), M2 (Nm), Aerodynamic Spin Moment (N m), Pressure (Pa), Density (kg/m³), Dynamic Viscosity (Pa s), Speed of Sound (m/s), Wind Velocity X (East) (m/s), Wind Velocity Y (North) (m/s), Speed - Velocity Magnitude (m/s), Acceleration Magnitude (m/s²), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Path Angle (°), Latitude (°), Longitude (°), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Spin Angle - φ (°), Dynamic Pressure (Pa), Aerodynamic Lift Force (N), Aerodynamic Drag Force (N), Rotational Kinetic Energy (J), Kinetic Energy (J), ((Scalar*9.80665)*Z (m)), Total Mechanical Energy (J), Thrust Power (W), Drag Power (W)
0.000000,0.000000,0.000000,1471.466078,0.000000,0.000000,0.000000,0.704416,-0.061628,0.061628,-0.704416,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.728202,0.180901,-0.025567,0.062987,0.253731,0.000000,85037.503364,1.050893,0.000018,336.580678,0.829079,3.286335,0.000000,0.000000,0.000000,0.000000,32.990254,-106.974998,0.000000,0.000000,6.035996,0.750335,0.025567,0.000000,0.000000,836312.666153,836312.666153,0.000000,-0.000000
0.600000,0.549367,0.000000,1474.581614,2.126887,0.000054,12.045575,0.704416,-0.061628,0.061629,-0.704416,0.000032,0.000132,0.000000,4.823323,0.010646,24.091835,0.006319,0.026029,0.000000,-1.692016,0.419919,-0.429945,0.148009,0.601576,0.000000,85004.729465,1.050565,0.000018,336.568848,0.829953,3.287593,12.231906,24.582962,2.126887,79.987716,32.990254,-106.974989,2.126887,0.000211,82.777124,1.743345,0.429945,0.000000,4298.495555,830897.861363,835196.356918,24057.641329,-5.259042
1.200000,2.869096,-0.006509,1486.237236,5.694904,-0.070311,26.935770,0.703991,-0.055489,0.066254,-0.704931,0.005399,0.060213,0.000000,6.085291,-0.486923,25.151841,-0.006433,0.131060,0.000000,-3.291527,-0.075221,-2.046016,-0.043583,1.134248,0.000000,84887.956984,1.049366,0.000018,336.527840,0.942750,3.317676,27.531302,25.882098,5.695338,78.061142,32.990254,-106.974950,5.695338,5.014736,398.548015,3.292386,2.046016,0.014599,21553.102645,828885.423415,850438.526061,55624.934410,-56.329551
1.800000,7.370373,-0.236690,1506.890826,9.290165,-0.899532,41.792600,0.701758,-0.035508,0.087110,-0.706178,-0.015851,0.124500,0.000000,5.904429,-2.487752,23.970611,-0.063533,0.043209,0.000000,-1.895908,-1.368331,-4.825661,-0.502983,0.502374,0.000000,84681.438626,1.047243,0.000018,336.455398,1.150142,3.372725,42.822164,24.812121,9.333613,77.410629,32.990252,-106.974876,9.333613,22.643049,958.820310,2.338050,4.825661,0.059576,51607.458820,831777.859013,883385.317833,83074.284797,-206.645172
2.400000,14.013276,-1.367651,1536.137649,12.874390,-3.079210,55.412673,0.698095,-0.019398,0.118134,-0.705926,-0.052805,0.071271,0.000000,6.122694,-4.522781,21.197628,-0.031323,-0.217125,0.000000,3.377615,-1.006089,-8.400318,-0.293725,-1.460195,0.000000,84388.995245,1.044236,0.000018,336.352814,1.443822,3.450678,56.971887,22.522937,13.237504,76.564447,32.990242,-106.974766,13.237504,35.355411,1693.678477,3.524268,8.400318,0.028157,90454.005313,839628.756383,930082.761696,101844.435814,-478.582089
3.000000,22.876978,-4.053891,1573.066550,16.727539,-5.848921,67.485527,0.697656,-0.028561,0.129206,-0.704106,-0.029801,-0.046637,0.000000,6.559410,-4.234270,18.779018,0.095152,-0.057038,0.000000,1.419818,1.407054,-12.423455,0.607697,-0.443634,0.000000,84019.737612,1.040439,0.000018,336.223286,1.814642,3.549107,69.773324,20.337295,17.720622,75.287192,32.990218,-106.974619,17.720622,32.271560,2530.875425,1.998909,12.423455,0.010372,134426.387191,851929.078293,986355.465484,115048.225358,-866.825737
3.600000,33.607363,-7.979997,1614.775108,18.438872,-6.848506,68.942132,0.698400,-0.034592,0.126343,-0.703617,0.001624,0.032029,0.000000,0.801051,-0.399374,-6.340482,-0.025971,0.199095,0.000000,-3.565745,-0.353829,-13.018988,-0.171664,1.322999,0.000000,83602.687462,1.036151,0.000018,336.076992,2.233457,3.660275,71.693177,6.403353,19.669622,74.076220,32.990182,-106.974442,19.669622,29.475029,2655.690257,3.583256,13.018988,0.003404,141413.743892,871362.124615,1012775.868508,15053.894855,-933.372569
4.200000,44.723150,-12.114709,1654.614409,18.526932,-6.892176,63.489488,0.695715,-0.024497,0.142997,-0.703515,-0.036107,0.063018,0.000000,-0.066950,0.012292,-10.000129,-0.054353,-0.097044,0.000000,1.197268,-1.068891,-11.165965,-0.358732,-0.640490,0.000000,83204.328300,1.032055,0.000018,335.937256,2.633501,3.766460,66.495597,10.000361,19.767380,72.706082,32.990145,-106.974257,19.767380,34.959593,2269.036803,1.604807,11.165965,0.017407,121595.788947,892442.341471,1014038.130418,0.000335,-742.487499
4.800000,55.829047,-16.249398,1690.909494,18.495670,-6.889521,57.497000,0.694154,-0.027494,0.157814,-0.701775,-0.040452,-0.001617,0.000000,-0.038932,0.016074,-9.971361,0.028400,-0.050959,0.000000,0.840710,0.296740,-9.308000,0.187438,-0.336332,0.000000,82841.408282,1.028324,0.000018,335.809950,2.997956,3.863200,60.790298,9.971450,19.737156,71.054048,32.990108,-106.974074,19.737156,34.804379,1882.709192,0.891583,9.308000,0.005409,101625.165577,912018.667311,1013643.832887,0.000000,-565.836103
5.400000,66.919903,-20.377329,1723.615244,18.473816,-6.866228,51.526144,0.693782,-0.033923,0.164887,-0.700234,-0.027087,0.019076,0.000000,-0.038617,0.054677,-9.932005,0.001085,0.090950,0.000000,-1.631253,-0.072028,-7.643491,0.007159,0.600268,0.000000,82514.378568,1.024961,0.000018,335.695234,3.326370,3.950372,55.166752,9.932231,19.708551,69.068341,32.990071,-106.973890,19.708551,33.109257,1538.152962,1.632878,7.643491,0.003623,83692.691800,929659.028612,1013351.720412,0.000000,-421.666592
