# Time (s), X (m), Y (m), Z (m), Vx (m/s), Vy (m/s), Vz (m/s), e0, e1, e2, e3, ω1 (rad/s), ω2 (rad/s), ω3 (rad/s), Ax (m/s2), Ay (m/s2), Az (m/s2), α1 (rad/s2), α2 (rad/s2), α3 (rad/s2), R1 (N), R2 (N), R3 (N), M1 (Nm), M2 (Nm), Aerodynamic Spin Moment (N m), Pressure (Pa), Density (kg/m³), Dynamic Viscosity (Pa s), Speed of Sound (m/s), Wind Velocity X (East) (m/s), Wind Velocity Y (North) (m/s), Speed - Velocity Magnitude (m/s), Acceleration Magnitude (m/s²), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Path Angle (°), Latitude (°), Longitude (°), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Spin Angle - φ (°), Dynamic Pressure (Pa), Aerodynamic Lift Force (N), Aerodynamic Drag Force (N), Rotational Kinetic Energy (J), Kinetic Energy (J), ((Scalar*9.80665)*Z (m)), Total Mechanical Energy (J), Thrust Power (W), Drag Power (W)
0.000000,0.000000,0.000000,1400.000000,0.000000,0.000000,0.000000,0.704416,-0.061628,0.061628,-0.704416,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.936342,-0.266258,1.957036,-0.000000,0.000000,85598.771785,1.031294,0.000018,340.883957,10.000000,0.000000,0.000000,0.000000,0.000000,0.000000,32.990254,-106.974998,0.000000,0.000000,51.564694,6.936342,0.266258,0.000000,0.000000,315168.831651,315168.831651,0.000000,-0.000000
0.600000,2.768554,-0.000000,1415.349795,10.753697,0.000000,58.466366,0.704889,-0.055949,0.055949,-0.704889,0.143780,-0.000000,0.000000,20.438980,0.000001,112.558886,0.703746,0.000000,0.000000,-0.000002,19.696336,-8.721603,5.748143,0.000001,0.000000,85438.034572,1.029357,0.000018,340.883957,10.000000,0.000000,59.447102,114.399540,10.753697,79.578092,32.990254,-106.974952,10.753697,-0.000000,1759.626646,19.696311,8.721603,0.084501,39363.351753,309203.360937,348566.712690,164809.830445,-518.474024
1.200000,11.772462,0.000000,1469.744292,16.775835,-0.000001,114.235521,0.707103,-0.002374,0.002374,-0.707103,0.133806,-0.000000,0.000000,-0.952887,-0.000004,40.488531,-1.299965,-0.000001,0.000000,0.000028,-27.897396,-32.257684,-10.100940,-0.000009,0.000000,84870.402442,1.022518,0.000018,340.883957,10.000000,0.000000,115.460742,40.499740,16.775835,81.645655,32.990254,-106.974803,16.775835,0.000465,6695.280476,27.897396,32.257684,0.069546,144264.306071,311948.172759,456212.478830,129390.144991,-3724.496124
1.800000,21.814678,-0.000001,1545.670265,17.527555,-0.000001,138.980829,0.706438,-0.030764,0.030764,-0.706438,-0.083690,-0.000001,0.000000,5.719995,0.000009,41.788609,1.289310,0.000002,0.000000,-0.000042,25.849461,-47.168046,9.744104,0.000019,0.000000,84083.189044,1.013034,0.000018,340.883957,10.000000,0.000000,140.081712,42.178265,17.527555,82.812096,32.990254,-106.974637,17.527555,-0.000126,9812.418352,25.850137,47.168046,0.026464,209243.295374,323263.105407,532506.400780,161647.395301,-6607.380673
2.400000,33.131507,0.000001,1636.671906,19.522010,0.000008,164.419571,0.706967,-0.014131,0.014130,-0.706967,-0.086166,0.000000,0.000000,1.160370,0.000014,42.163092,-0.929702,-0.000002,0.000000,0.000032,-19.293076,-65.507137,-6.821349,-0.000013,0.000000,83147.469390,1.001761,0.000018,340.883957,10.000000,0.000000,165.574467,42.179057,19.522010,83.228807,32.990254,-106.974449,19.522010,-0.000337,13586.109632,19.300233,65.507137,0.027238,287974.524814,337193.811964,625168.336779,191639.400890,-10846.309236
3.000000,45.417566,0.000009,1742.754077,21.531994,0.000016,188.799040,0.706858,-0.018778,0.018778,-0.706858,0.066066,0.000000,0.000000,1.995579,0.000014,38.297149,-0.721500,-0.000001,0.000000,0.000012,-11.605237,-86.154681,-5.140792,-0.000005,0.000000,82067.347170,0.988747,0.000018,340.883957,10.000000,0.000000,190.022904,38.349106,21.531994,83.493691,32.990254,-106.974246,21.531994,-0.000278,17687.731966,11.540300,86.154681,0.015547,373851.551447,353894.689406,727746.240853,205800.360747,-16371.362684
3.600000,58.766701,0.000021,1862.568051,23.144800,0.000023,209.976809,0.706784,-0.021382,0.021382,-0.706784,0.054397,-0.000000,0.000000,2.363465,0.000011,32.340565,-0.296676,-0.000002,0.000000,0.000026,-3.839895,-107.018424,-2.052659,-0.000011,0.000000,80861.100540,0.974214,0.000018,340.883957,10.000000,0.000000,211.248532,32.426813,23.144800,83.709936,32.990254,-106.974025,23.144800,-0.000265,21560.849162,3.804314,107.018424,0.010232,455701.539553,373040.434053,828741.973606,204729.771658,-22607.484920
4.200000,73.063521,0.000037,1993.987526,24.564875,0.000030,227.311202,0.706769,-0.021889,0.021889,-0.706769,0.022219,-0.000000,0.000000,1.918647,0.000010,24.677409,-0.319389,-0.000001,0.000000,0.000018,-4.411895,-125.963112,-2.148373,-0.000008,0.000000,79554.564774,0.958473,0.000018,340.883957,10.000000,0.000000,228.634678,24.751883,24.564875,83.832144,32.990254,-106.973788,24.564875,-0.000280,24864.003943,4.411010,125.963112,0.001661,527079.506126,394334.735688,921414.241814,188036.844973,-28799.535419
4.800000,88.096505,0.000057,2133.459646,25.354689,0.000035,234.165086,0.706747,-0.022592,0.022591,-0.706747,-0.007102,-0.000000,0.000000,0.127621,0.000002,-5.139638,-0.226537,-0.000001,0.000000,0.000008,-3.415543,-132.630858,-1.496972,-0.000003,0.000000,78186.723099,0.941994,0.000018,340.883957,10.000000,0.000000,235.533751,5.141359,25.354689,83.820261,32.990254,-106.973539,25.354689,-0.000295,25937.346353,3.415542,132.630858,0.000167,555053.384009,418662.018614,973715.402624,53229.271049,-31239.043422
5.400000,103.263817,0.000077,2271.518605,25.153423,0.000034,225.365861,0.706715,-0.023567,0.023567,-0.706715,-0.012551,-0.000000,0.000000,-0.441388,-0.000002,-15.758766,-0.044842,0.000000,0.000000,0.000000,-0.877365,-119.365965,-0.295956,0.000000,0.000000,76851.558247,0.925907,0.000018,340.883957,10.000000,0.000000,226.765223,15.764946,25.153423,83.631489,32.990254,-106.973288,25.153423,-0.000291,23619.620742,0.883769,119.365965,0.000520,514224.662866,445519.758530,959744.421395,-0.000000,-27068.049621
