# Time (s), X (m), Y (m), Z (m), Vx (m/s), Vy (m/s), Vz (m/s), e0, e1, e2, e3, ω1 (rad/s), ω2 (rad/s), ω3 (rad/s), Ax (m/s2), Ay (m/s2), Az (m/s2), α1 (rad/s2), α2 (rad/s2), α3 (rad/s2), R1 (N), R2 (N), R3 (N), M1 (Nm), M2 (Nm), Aerodynamic Spin Moment (N m), Pressure (Pa), Density (kg/m³), Dynamic Viscosity (Pa s), Speed of Sound (m/s), Wind Velocity X (East) (m/s), Wind Velocity Y (North) (m/s), Speed - Velocity Magnitude (m/s), Acceleration Magnitude (m/s²), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Path Angle (°), Latitude (°), Longitude (°), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Spin Angle - φ (°), Dynamic Pressure (Pa), Aerodynamic Lift Force (N), Aerodynamic Drag Force (N), Rotational Kinetic Energy (J), Kinetic Energy (J), ((Scalar*9.80665)*Z (m)), Total Mechanical Energy (J), Thrust Power (W), Drag Power (W)
0.000000,0.000000,0.000000,1400.000000,0.000000,0.000000,0.000000,0.704416,-0.061628,0.061628,-0.704416,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.685442,-0.256559,7.789099,-0.000000,0.000000,85598.771785,0.993995,0.000018,347.220687,10.000000,0.000000,0.000000,0.000000,0.000000,0.000000,32.990254,-106.974998,0.000000,0.000000,49.699771,6.685442,0.256559,0.000000,0.000000,315168.831651,315168.831651,0.000000,-0.000000
0.600000,2.791599,0.000000,1415.348463,10.905154,0.000000,58.442066,0.704613,-0.059327,0.059327,-0.704613,0.052790,-0.000000,0.000000,21.620185,0.000001,112.339596,0.248016,0.000000,0.000000,-0.000001,19.966739,-8.407950,20.033755,0.000001,0.000000,85438.048500,0.992129,0.000018,347.220687,10.000000,0.000000,59.450798,114.401091,10.905154,79.430264,32.990254,-106.974951,10.905154,0.000000,1694.702835,19.966739,8.407950,0.111822,39368.123453,309202.108889,348570.232342,164775.418316,-499.860612
1.200000,12.699999,0.000000,1469.635438,20.155522,0.000001,113.909930,0.706390,-0.031826,0.031826,-0.706390,0.182826,0.000000,0.000000,4.529607,-0.000000,40.356887,-0.011156,0.000000,0.000000,-0.000023,0.242774,-31.064867,-0.548780,0.000019,0.000000,84871.535337,0.985551,0.000018,347.220687,10.000000,0.000000,115.679373,40.610290,20.155522,79.965794,32.990254,-106.974788,20.155522,0.000019,6444.814151,0.191757,31.064867,1.024662,144812.120901,311925.068672,456737.189574,129697.151052,-3593.564317
1.800000,25.179171,-0.000000,1545.369860,20.932707,-0.000002,138.719888,0.707030,-0.010418,0.010418,-0.707030,-0.040949,-0.000000,0.000000,-0.189820,-0.000006,42.199750,-0.557481,-0.000001,0.000000,0.000036,-36.779638,-45.441196,-28.692889,-0.000028,0.000000,84086.291999,0.976432,0.000018,347.220687,10.000000,0.000000,140.290362,42.200173,20.932707,81.418859,32.990254,-106.974581,20.932707,0.000155,9453.196419,36.780498,45.441196,0.043059,209867.108731,323200.279397,533067.388128,161888.413596,-6374.961773
2.400000,38.050843,-0.000002,1636.260198,22.759887,-0.000005,164.220006,0.706114,-0.037491,0.037491,-0.706114,-0.095076,-0.000002,0.000000,6.954807,0.000010,41.835689,0.535753,-0.000000,0.000000,0.000021,30.277000,-63.115578,22.032241,-0.000006,0.000000,83151.683687,0.965579,0.000018,347.220687,10.000000,0.000000,165.789695,42.409837,22.759887,82.109421,32.990254,-106.974368,22.759887,-0.000187,13098.576694,30.276673,63.115578,0.186055,288723.836524,337108.989833,625832.826357,191888.521834,-10463.912347
3.000000,52.941900,0.000000,1742.184525,26.350873,0.000017,188.533864,0.706656,-0.025306,0.025306,-0.706656,0.099151,0.000001,0.000000,2.434825,0.000035,38.441454,-0.451088,0.000001,0.000000,-0.000042,-21.051540,-82.908351,-14.051756,0.000021,0.000000,82073.115814,0.953055,0.000018,347.220687,10.000000,0.000000,190.366452,38.518487,26.350873,82.043465,32.990254,-106.974121,26.350873,-0.000458,17065.571036,21.061441,82.908351,0.152915,375204.706434,353779.032724,728983.739158,206172.432851,-15782.968926
3.600000,69.128946,0.000015,1861.874819,28.022736,0.000029,209.811501,0.706222,-0.035399,0.035398,-0.706222,-0.053062,-0.000001,0.000000,5.467212,0.000033,32.269473,0.677534,0.000006,0.000000,-0.000203,25.108046,-102.955886,14.583244,0.000123,0.000000,80868.038227,0.939061,0.000018,347.220687,10.000000,0.000000,211.674608,32.729334,28.022736,82.392513,32.990254,-106.973853,28.022736,-0.000399,20821.649446,25.106019,102.955886,0.030179,457541.659156,372901.591026,830443.250182,205142.708279,-21793.146798
4.200000,86.725480,0.000038,1993.202051,30.142325,0.000046,227.218884,0.706498,-0.029383,0.029383,-0.706498,-0.080688,-0.000001,0.000000,2.380921,0.000017,24.889265,-0.359927,-0.000005,0.000000,0.000129,-10.327865,-121.182335,-4.511566,-0.000060,0.000000,79562.322638,0.923899,0.000018,347.220687,10.000000,0.000000,229.209470,25.002886,30.142325,82.443397,32.990254,-106.973562,30.142325,-0.000402,24037.131727,10.340850,121.182335,0.040761,529733.051286,394179.397716,923912.449002,188509.700429,-27776.138703
4.800000,105.303301,0.000068,2132.646327,31.369512,0.000054,234.183115,0.706419,-0.031228,0.031227,-0.706419,-0.058047,-0.000001,0.000000,0.168827,0.000002,-4.869744,-0.284032,-0.000003,0.000000,0.000056,-5.367159,-127.717973,-1.981312,-0.000021,0.000000,78194.643965,0.908017,0.000018,347.220687,10.000000,0.000000,236.274793,4.872746,31.369512,82.370480,32.990254,-106.973254,31.369512,-0.000417,25105.930912,5.418889,127.717973,0.011757,558551.523707,418502.407586,977053.931293,53497.515773,-30176.537511
5.400000,124.084282,0.000101,2270.757689,31.121338,0.000052,225.524330,0.706328,-0.033222,0.033221,-0.706328,-0.037055,-0.000000,0.000000,-0.474810,-0.000004,-15.547745,0.133112,0.000001,0.000000,-0.000002,1.322987,-115.206317,0.878539,0.000004,0.000000,76858.866100,0.892505,0.000018,347.220687,10.000000,0.000000,227.661505,15.554994,31.121338,82.143063,32.990254,-106.972943,31.121338,-0.000428,22896.034968,1.299886,115.206317,0.004531,518297.614254,445370.517873,963668.132127,0.000000,-26228.043536
