# Time (s), X (m), Y (m), Z (m), Vx (m/s), Vy (m/s), Vz (m/s), e0, e1, e2, e3, ω1 (rad/s), ω2 (rad/s), ω3 (rad/s), Ax (m/s2), Ay (m/s2), Az (m/s2), α1 (rad/s2), α2 (rad/s2), α3 (rad/s2), R1 (N), R2 (N), R3 (N), M1 (Nm), M2 (Nm), Aerodynamic Spin Moment (N m), Pressure (Pa), Density (kg/m³), Dynamic Viscosity (Pa s), Speed of Sound (m/s), Wind Velocity X (East) (m/s), Wind Velocity Y (North) (m/s), Speed - Velocity Magnitude (m/s), Acceleration Magnitude (m/s²), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Path Angle (°), Latitude (°), Longitude (°), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Spin Angle - φ (°), Dynamic Pressure (Pa), Aerodynamic Lift Force (N), Aerodynamic Drag Force (N), Rotational Kinetic Energy (J), Kinetic Energy (J), ((Scalar*9.80665)*Z (m)), Total Mechanical Energy (J), Thrust Power (W), Drag Power (W)
0.000000,0.000000,0.000000,1400.000000,0.000000,0.000000,0.000000,0.704416,-0.061628,0.061628,-0.704416,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.389165,-0.206234,1.520386,-0.000000,0.000000,85598.771785,0.801286,0.000022,386.726539,10.000000,0.000000,0.000000,0.000000,0.000000,0.000000,32.990254,-106.974998,0.000000,0.000000,40.064306,5.389165,0.206234,0.000000,0.000000,315168.831651,315168.831651,0.000000,-0.000000
0.600000,2.780770,0.000000,1415.350494,10.777296,0.000000,58.478139,0.704856,-0.056365,0.056365,-0.704856,0.118902,-0.000000,0.000000,20.393785,0.000001,112.652755,0.529292,0.000000,0.000000,-0.000002,15.393493,-6.823462,4.525340,0.000000,0.000000,85438.027257,0.799781,0.000022,386.726539,10.000000,0.000000,59.462953,114.483840,10.777296,79.557782,32.990254,-106.974952,10.777296,-0.000000,1367.744944,15.393493,6.823462,0.057788,39384.328306,309203.557356,348587.885662,164855.597093,-405.743183
1.200000,11.986116,0.000000,1469.766441,17.630713,-0.000000,114.323958,0.707040,-0.009668,0.009668,-0.707040,0.178383,0.000000,0.000000,0.622192,-0.000004,40.869488,-0.802336,-0.000000,0.000000,0.000004,-16.295729,-25.212839,-6.108442,-0.000002,0.000000,84870.171937,0.794466,0.000022,386.726539,10.000000,0.000000,115.675449,40.874223,17.630713,81.233075,32.990254,-106.974800,17.630713,0.000130,5214.950301,16.295730,25.212839,0.123601,144801.389361,311952.873417,456754.262778,129783.366617,-2916.506162
1.800000,22.589998,-0.000001,1545.815328,18.147131,-0.000004,139.334217,0.706629,-0.025993,0.025993,-0.706629,-0.179141,-0.000000,0.000000,4.302165,-0.000005,42.397678,0.558502,-0.000001,0.000000,0.000026,9.465634,-36.885395,4.089082,-0.000008,0.000000,84081.690693,0.787085,0.000022,386.726539,10.000000,0.000000,140.511004,42.615403,18.147131,82.579468,32.990254,-106.974624,18.147131,0.000061,7666.363158,9.640918,36.885395,0.121220,210527.844299,323293.443843,533821.288141,162142.764743,-5182.803940
2.400000,34.408423,-0.000004,1637.118774,20.917317,-0.000004,165.073710,0.706890,-0.017480,0.017480,-0.706890,0.086907,0.000000,0.000000,1.919131,-0.000002,42.818009,-0.792826,0.000001,0.000000,-0.000023,-14.259682,-51.209550,-5.752510,0.000008,0.000000,83142.895397,0.778297,0.000022,386.726539,10.000000,0.000000,166.393702,42.860993,20.917317,82.778253,32.990254,-106.974428,20.917317,0.000049,10650.414454,14.234151,51.209550,0.027715,290831.274642,337285.877626,628117.152268,192587.707299,-8520.946648
3.000000,47.384678,-0.000007,1743.738368,22.750221,-0.000006,189.939262,0.706562,-0.027741,0.027741,-0.706562,0.046563,-0.000000,0.000000,4.456349,-0.000001,39.053560,0.663773,0.000001,0.000000,-0.000015,12.728707,-67.160292,4.762444,0.000006,0.000000,82057.378649,0.768135,0.000022,386.726539,10.000000,0.000000,191.296878,39.306991,22.750221,83.169862,32.990254,-106.974213,22.750221,0.000023,13918.416215,12.739828,67.160292,0.007723,378881.187947,354094.565685,732975.753632,207180.116318,-12847.554262
3.600000,61.589466,-0.000011,1864.410629,24.506787,-0.000007,211.740521,0.706624,-0.026137,0.026137,-0.706624,-0.045217,-0.000000,0.000000,3.590342,-0.000003,33.440869,0.511370,-0.000001,0.000000,0.000027,7.823617,-82.886955,3.508154,-0.000010,0.000000,80842.662826,0.756764,0.000022,386.726539,10.000000,0.000000,213.154007,33.633053,24.506787,83.397978,32.990254,-106.973978,24.506787,0.000036,17044.035095,7.812294,82.886955,0.007072,463959.526456,373409.470887,837368.997343,206576.447275,-17667.686740
4.200000,76.852567,-0.000015,1997.106415,26.198126,-0.000008,229.840748,0.706650,-0.025404,0.025404,-0.706650,-0.041946,-0.000000,0.000000,2.711753,-0.000003,26.046577,0.209953,-0.000002,0.000000,0.000030,2.587545,-97.362881,1.388545,-0.000013,0.000000,79523.766626,0.744418,0.000022,386.726539,10.000000,0.000000,231.329010,26.187360,26.198126,83.497273,32.990254,-106.973725,26.198126,0.000036,19760.266138,2.566713,97.362881,0.005917,539575.363705,394951.516678,934526.880382,190254.948769,-22522.858904
4.800000,92.963106,-0.000020,2138.356913,27.196387,-0.000008,237.575819,0.706632,-0.025901,0.025901,-0.706632,-0.026285,-0.000000,0.000000,0.543478,-0.000000,-3.660364,0.149539,-0.000000,0.000000,0.000006,1.835168,-102.950764,0.984033,-0.000002,0.000000,78139.042665,0.731456,0.000022,386.726539,10.000000,0.000000,239.127399,3.700064,27.196387,83.469518,32.990254,-106.973459,27.196387,0.000023,20750.668139,1.845276,102.950764,0.002283,572120.010935,419623.035860,991743.046795,54140.187350,-24618.348450
5.400000,109.260834,-0.000025,2278.716834,27.049005,-0.000008,229.605402,0.706613,-0.026430,0.026430,-0.706613,-0.017858,-0.000000,0.000000,-0.296525,-0.000000,-14.490208,0.088924,-0.000000,0.000000,0.000003,1.083660,-93.852458,0.586897,-0.000001,0.000000,76782.454102,0.718757,0.000022,386.726539,10.000000,0.000000,231.193186,14.493242,27.049005,83.281154,32.990254,-106.973189,27.049005,0.000017,19050.405313,1.052002,93.852458,0.001052,534502.892764,446931.568886,981434.461650,-0.000000,-21698.048695
