# Time (s), X (m), Y (m), Z (m), Vx (m/s), Vy (m/s), Vz (m/s), e0, e1, e2, e3, ω1 (rad/s), ω2 (rad/s), ω3 (rad/s), Ax (m/s2), Ay (m/s2), Az (m/s2), α1 (rad/s2), α2 (rad/s2), α3 (rad/s2), R1 (N), R2 (N), R3 (N), M1 (Nm), M2 (Nm), Aerodynamic Spin Moment (N m), Pressure (Pa), Density (kg/m³), Dynamic Viscosity (Pa s), Speed of Sound (m/s), Wind Velocity X (East) (m/s), Wind Velocity Y (North) (m/s), Speed - Velocity Magnitude (m/s), Acceleration Magnitude (m/s²), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Path Angle (°), Latitude (°), Longitude (°), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Spin Angle - φ (°), Dynamic Pressure (Pa), Aerodynamic Lift Force (N), Aerodynamic Drag Force (N), Rotational Kinetic Energy (J), Kinetic Energy (J), ((Scalar*9.80665)*Z (m)), Total Mechanical Energy (J), Thrust Power (W), Drag Power (W)
0.000000,0.000000,0.000000,1471.466078,0.000000,0.000000,0.000000,0.704416,-0.061628,0.061628,-0.704416,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.787763,0.246349,-0.028231,0.073380,0.234838,0.000000,85052.960160,1.051479,0.000018,336.517200,1.072314,3.376571,0.000000,0.000000,0.000000,0.000000,32.990254,-106.974998,0.000000,0.000000,6.598603,0.825384,0.028231,0.000000,0.000000,388977.928878,388977.928878,0.000000,-0.000000
0.600000,1.937581,0.002686,1482.178344,6.980110,0.014952,37.257952,0.704329,-0.059938,0.062606,-0.704563,0.008538,0.034655,0.000000,12.583350,-0.090662,61.764138,0.034213,0.176257,0.000000,-4.954241,1.016797,-3.812626,0.293903,1.503734,0.000000,84943.167416,1.050370,0.000018,336.477314,1.127837,3.394335,37.906162,63.032991,6.980126,79.388871,32.990254,-106.974966,6.980126,1.238013,753.023205,5.057506,3.812626,0.005295,19003.000929,384461.933298,403464.934228,73018.315030,-144.522183
1.200000,8.330891,-0.163723,1515.510194,14.247486,-0.960162,73.752699,0.702709,-0.039180,0.078174,-0.706083,0.005791,0.117925,0.000000,11.724751,-3.923357,60.393207,-0.061435,-0.028132,0.000000,-0.752570,-1.323597,-14.398805,-0.484926,-0.095418,0.000000,84609.608729,1.046974,0.000018,336.354344,1.440892,3.483273,75.122389,61.645779,14.279803,79.042128,32.990253,-106.974860,14.279803,18.243307,2943.680469,1.552042,14.398805,0.055709,73259.446741,385863.815833,459123.262573,140103.259254,-1081.672954
1.800000,18.989349,-1.716747,1570.561326,21.335024,-4.471774,109.614422,0.701311,-0.031789,0.092094,-0.706167,-0.027939,-0.049496,0.000000,12.207764,-6.238864,58.899024,0.031018,-0.268735,0.000000,6.501262,0.357705,-31.256678,0.207348,-2.116427,0.000000,84058.701180,1.041367,0.000018,336.151245,1.957944,3.630166,111.760912,60.473531,21.798624,78.752535,32.990239,-106.974683,21.798624,25.758459,6485.857763,6.507839,31.256678,0.012393,159140.566091,392470.242078,551610.808170,202977.027518,-3493.273710
2.400000,34.009400,-5.317217,1646.769075,28.689071,-7.327272,144.136685,0.701922,-0.037576,0.087913,-0.705808,0.011325,0.062010,0.000000,11.822428,-4.637072,56.127260,-0.053140,0.147340,0.000000,-3.968503,-0.688439,-53.630117,-0.378519,1.149834,0.000000,83296.075177,1.033604,0.000018,335.870095,2.673704,3.833511,147.146647,57.545995,29.609993,78.391235,32.990206,-106.974435,29.609993,21.698712,11150.908208,4.035175,53.630117,0.014604,270869.897850,404057.674981,674927.572831,255115.741819,-7891.491899
3.000000,53.306184,-10.680224,1743.111615,35.599095,-10.524566,176.550378,0.701619,-0.036483,0.090972,-0.705780,0.003731,-0.011763,0.000000,11.309215,-4.625319,51.736187,0.082523,0.323829,0.000000,-5.393511,1.648823,-80.453161,0.584911,2.268047,0.000000,82331.956351,1.023791,0.000018,335.514661,3.578573,4.090582,180.410914,53.159430,37.122258,78.125713,32.990158,-106.974115,37.122258,22.978055,16589.991178,5.639698,80.453161,0.000536,400160.013771,420323.760859,820483.774629,292880.718088,-14514.627459
3.600000,76.602580,-17.860944,1857.940395,41.729716,-13.353737,204.426223,0.701335,-0.034004,0.093036,-0.705916,0.001196,-0.011174,0.000000,7.536781,-3.394417,31.299009,0.068082,0.187275,0.000000,-2.732609,1.249079,-109.414012,0.461252,1.258229,0.000000,81182.842063,1.012094,0.000017,335.091027,4.657070,4.396980,209.068821,32.372104,43.814284,77.902921,32.990093,-106.973730,43.814284,24.736341,22002.696165,3.004495,109.414012,0.000427,529176.426601,441168.399301,970344.825902,235132.734071,-22875.058583
4.200000,102.533710,-26.290587,1983.743694,44.139546,-14.502329,211.796415,0.701153,-0.032236,0.094217,-0.706023,0.002941,0.002000,0.000000,1.520173,-0.631682,-1.610073,0.037934,0.157256,0.000000,-2.474576,0.823373,-117.078114,0.251977,1.042455,0.000000,79927.566453,0.999313,0.000017,334.625829,5.853626,4.754218,216.832512,2.302456,46.460920,77.627238,32.990018,-106.973300,46.460920,25.913318,23331.141969,2.607936,117.078114,0.000042,565006.195095,467563.537817,1032569.732912,68952.740436,-25386.341700
4.800000,129.043487,-34.996879,2109.186869,43.999613,-14.408664,205.090067,0.700892,-0.029458,0.095713,-0.706202,0.003537,0.009400,0.000000,-0.766451,0.491140,-14.200283,0.017084,0.095576,0.000000,-1.684854,0.512895,-107.672287,0.112758,0.630804,0.000000,78732.644052,0.987093,0.000017,334.145275,7.278960,5.444496,210.251067,14.229431,46.298764,77.278807,32.989939,-106.972861,46.298764,27.676632,21619.553470,1.761278,107.672287,0.000333,530466.131928,496417.377909,1026883.509836,0.000104,-22638.213083
5.400000,155.308190,-43.563964,2229.711151,43.558310,-14.151406,196.700748,0.700609,-0.026671,0.097373,-0.706367,0.003032,0.010707,0.000000,-0.688385,0.450274,-13.766976,0.008606,0.054082,0.000000,-1.086312,0.367928,-97.069593,0.056802,0.356944,0.000000,77584.577795,0.975352,0.000017,333.683565,8.648407,6.107710,201.962306,13.791528,45.799440,76.892887,32.989862,-106.972426,45.799440,29.447583,19663.249978,1.146911,97.069593,0.000409,489465.275907,524783.924600,1014249.200507,0.000000,-19604.398792
6.000000,181.322507,-51.980261,2345.277098,43.163763,-13.905420,188.557664,0.700305,-0.023883,0.099179,-0.706517,0.002369,0.010516,0.000000,-0.617498,0.420133,-13.380182,0.005375,0.031719,0.000000,-0.739533,0.298568,-87.614267,0.035473,0.209348,0.000000,76483.742660,0.964094,0.000017,333.240849,9.961515,6.743640,193.934174,13.401010,45.348332,76.477121,32.989787,-106.971996,45.348332,31.207454,17875.633633,0.797531,87.614267,0.000383,451325.568278,551983.479559,1003309.047837,-0.000000,-16991.400623
6.600000,207.112855,-60.251778,2456.024591,42.810554,-13.669350,180.635443,0.699976,-0.021056,0.101156,-0.706653,0.001728,0.010349,0.000000,-0.554208,0.394410,-13.031297,0.003303,0.016233,0.000000,-0.492884,0.247596,-79.092740,0.021799,0.107141,0.000000,75428.817596,0.953305,0.000017,332.816605,11.219840,7.353120,186.141768,13.049038,44.939900,76.029142,32.989712,-106.971569,44.939900,32.969715,16239.116208,0.551539,79.092740,0.000363,415785.094524,578048.965255,993834.059779,-0.000000,-14722.462386
7.200000,232.702263,-68.383637,2562.079756,42.491826,-13.437866,172.913438,0.699572,-0.018028,0.103759,-0.706759,-0.001379,0.015949,0.000000,-0.503238,0.380614,-12.716737,-0.000723,0.006674,0.000000,-0.459515,0.110239,-71.463325,-0.004774,0.044046,0.000000,74449.700542,0.943035,0.000017,332.443458,12.333583,8.115823,178.564242,12.732380,44.566035,75.547349,32.989639,-106.971145,44.566035,34.850265,14745.829041,0.472555,71.463325,0.000846,382622.262754,603010.066616,985632.329370,-0.000000,-12760.794491
7.800000,258.110343,-76.379462,2663.555767,42.205499,-13.215413,165.368191,0.699088,-0.014814,0.106997,-0.706831,-0.000848,0.015642,0.000000,-0.458719,0.370989,-12.435923,-0.007315,0.008370,0.000000,-0.465407,0.009549,-64.669896,-0.048276,0.055244,0.000000,73534.839424,0.933251,0.000017,332.109825,13.334755,8.972093,171.179993,12.449909,44.226138,75.027202,32.989567,-106.970724,44.226138,36.801809,13379.294181,0.465508,64.669896,0.000810,351631.079779,626893.419965,978524.499744,0.000000,-11070.192362
8.400000,283.354506,-84.243179,2760.553679,41.946273,-12.998661,157.983603,0.698552,-0.011526,0.110590,-0.706869,-0.000484,0.016042,0.000000,-0.413543,0.356827,-12.181203,-0.004289,0.002685,0.000000,-0.366647,0.054836,-58.476378,-0.028307,0.017719,0.000000,72660.350792,0.923899,0.000017,331.790915,14.291747,9.790576,163.973394,12.193443,43.914178,74.465841,32.989496,-106.970306,43.914178,38.710800,12122.913985,0.370718,58.476378,0.000850,322647.287869,649722.809701,972370.097570,0.000000,-9588.570174
9.000000,308.450304,-91.978614,2853.165564,41.710883,-12.787668,150.745861,0.697967,-0.008169,0.114489,-0.706872,-0.001230,0.017554,0.000000,-0.371531,0.343859,-11.948498,0.001429,-0.001188,0.000000,-0.309094,0.128877,-52.819599,0.009431,-0.007838,0.000000,71825.404561,0.914970,0.000017,331.486426,15.205465,10.572049,156.931950,11.959218,43.627081,73.859126,32.989427,-106.969891,43.627081,40.555603,10967.070861,0.334893,52.819599,0.001022,295531.642401,671519.905990,967051.548391,-0.000000,-8289.082635
