id,rocket mass (kg),time (s),motor type,impulse (N*s),burn out (s),nozzle radius (m),throat radius (m),radius (kg*m^2),distance rocket nozzle (m),distance rocket propellant (m),nose length (m),nose distance to cm (m),fin span (m),fin distance to cm (m),rail length (m),latitude,longitude,Phase 1 - Rail Launch,Phase 2 - Powered Flight,Apogee,Phase 3 - Drogue Parachute Deployment,Phase 4 - Descent Under Drogue Parachute,Phase 5 - Main Parachute Deployment,Phase 6 - Descent Under Main Parachute,Phase 7 - Impact,No. Stages,apogee X,apogee Y,apogee Z,x impact,y impact,impact velocity
1,21,234.36404339704757,Cesaroni_M1300,6420.952724999999,4.901,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.33702600254235937,24.237357756998406,24.23809523809524,25.73809523809524,113.16190476190478,114.66190476190478,234.36404339704757,7,953.3610154710552,-174.39618201704957,4145.313586734637,3152.731751188136,1384.5338043493189,-6.257543559876968id,rocket mass (kg),time (s),motor type,impulse (N*s),burn out (s),nozzle radius (m),throat radius (m),radius (kg*m^2),distance rocket nozzle (m),distance rocket propellant (m),nose length (m),nose distance to cm (m),fin span (m),fin distance to cm (m),rail length (m),latitude,longitude,Phase 1 - Rail Launch,Phase 2 - Powered Flight,Apogee,Phase 3 - Drogue Parachute Deployment,Phase 4 - Descent Under Drogue Parachute,Phase 5 - Main Parachute Deployment,Phase 6 - Descent Under Main Parachute,Phase 7 - Impact,No. Stages,apogee X,apogee Y,apogee Z,x impact,y impact,impact velocity
1,21,234.36404339704757,Cesaroni_M1300,6420.952724999999,4.901,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.33702600254235937,24.237357756998406,24.23809523809524,25.73809523809524,113.16190476190478,114.66190476190478,234.36404339704757,7,953.3610154710552,-174.39618201704957,4145.313586734637,3152.731751188136,1384.5338043493189,-6.257543559876968
2,22,221.743129499531,Cesaroni_M1300,6420.952724999999,4.901,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.3435438725670773,23.634165171351142,23.63809523809524,25.13809523809524,103.40952380952382,104.90952380952382,221.743129499531,7,902.0913780752496,-172.95343877271526,3979.325512574625,2901.242331948851,1229.838079558103,-6.40482700498443
3,23,210.10491734590454,Cesaroni_M1300,6420.952724999999,4.901,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.3497433087971365,23.03386223100425,23.03809523809524,24.53809523809524,94.46666666666667,95.96666666666667,210.10491734590454,7,853.1669983265361,-170.70583200346968,3823.0668560011486,2673.363686312466,1093.9103841811523,-6.548800145721732
4,24,199.36676865907194,Cesaroni_M1300,6420.952724999999,4.901,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.35603324594420155,22.440095738370434,22.44761904761905,23.94761904761905,86.26666666666668,87.76666666666668,199.36676865907194,7,806.6200498413733,-167.81545564102282,3676.299263870324,2466.8310215234696,974.3471166416671,-6.6896798186374555
5,25,189.49223664371132,Cesaroni_M1300,6420.952724999999,4.901,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.36217183508521356,21.857848680393975,21.866666666666667,23.366666666666667,78.77142857142857,80.27142857142857,189.49223664371132,7,762.6489466869941,-164.47766448423343,3539.2232450829765,2280.1652553738354,869.5295347762734,-6.827652082004393
6,26,180.4193580779483,Cesaroni_M1300,6420.952724999999,4.901,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.3680835810919037,21.28959066885863,21.295238095238098,22.795238095238098,71.92380952380952,73.42380952380952,180.4193580779483,7,721.2322700557796,-160.8244288342393,3411.498319480875,2111.1191848680364,777.4084752951702,-6.962897653312769
7,21,227.8910016278837,Cesaroni_M1400,6258.825000000001,4.47,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.3747008530069239,23.729246205311807,23.733333333333334,25.233333333333334,106.67619047619048,108.17619047619048,227.8910016278837,7,914.5180520178382,-236.64852918284748,4009.239674145116,2984.0374720215714,1212.754406753309,-6.257541581994674
8,22,215.6187371976756,Cesaroni_M1400,6258.825000000001,4.47,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.38253744852366933,23.12863704440485,23.133333333333336,24.633333333333336,97.28571428571429,98.78571428571429,215.6187371976756,7,864.2932883692279,-232.93447286181322,3849.3729057506803,2744.529277885219,1069.7322281376426,-6.4048280678688645
9,23,204.30187840019275,Cesaroni_M1400,6258.825000000001,4.47,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.39026811957587765,22.53160207794761,22.533333333333335,24.033333333333335,88.6857142857143,90.1857142857143,204.30187840019275,7,816.3844919417857,-228.23949459237548,3698.9690995025717,2527.464395528259,944.6533460977046,-6.548804130643016
