# Time (s), X (m), Y (m), Z (m), Vx (m/s), Vy (m/s), Vz (m/s), e0, e1, e2, e3, ω1 (rad/s), ω2 (rad/s), ω3 (rad/s), Ax (m/s2), Ay (m/s2), Az (m/s2), α1 (rad/s2), α2 (rad/s2), α3 (rad/s2), R1 (N), R2 (N), R3 (N), M1 (Nm), M2 (Nm), Aerodynamic Spin Moment (N m), Pressure (Pa), Density (kg/m³), Dynamic Viscosity (Pa s), Speed of Sound (m/s), Wind Velocity X (East) (m/s), Wind Velocity Y (North) (m/s), Speed - Velocity Magnitude (m/s), Acceleration Magnitude (m/s²), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Path Angle (°), Latitude (°), Longitude (°), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Spin Angle - φ (°), Dynamic Pressure (Pa), Aerodynamic Lift Force (N), Aerodynamic Drag Force (N), Rotational Kinetic Energy (J), Kinetic Energy (J), ((Scalar*9.80665)*Z (m)), Total Mechanical Energy (J), Thrust Power (W), Drag Power (W)
0.000000,0.000000,0.000000,1400.000000,0.000000,0.000000,0.000000,0.704416,-0.061628,0.061628,-0.704416,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.156085,9.976173,-0.631356,2.816113,-3.431467,0.000000,85598.771785,0.993995,0.000018,347.220687,10.000000,-12.000000,0.000000,0.000000,0.000000,0.000000,32.990254,-106.974998,0.000000,0.000000,121.267442,15.725598,0.631356,0.000000,0.000000,315168.831651,315168.831651,0.000000,-0.000000
0.600000,2.782589,-0.013004,1415.346547,10.767638,0.022091,58.474626,0.705681,-0.063283,0.046173,-0.704185,0.152376,-0.190950,0.000000,19.973491,1.951673,112.694696,0.641350,-0.826176,0.000000,24.373688,18.972821,-8.762871,5.496860,-7.072094,0.000000,85438.068556,0.992129,0.000018,347.220687,10.000000,-12.000000,59.457753,114.467654,10.767661,79.566297,32.990254,-106.974952,10.767661,-8.823635,1768.173771,30.887613,8.762871,0.243947,39377.613051,309202.616806,348580.229856,164837.571204,-521.020633
1.200000,11.710853,1.536645,1469.687563,16.591031,6.251033,113.856211,0.709438,-0.079621,-0.072813,-0.696458,0.122396,-0.195220,0.000000,-0.820975,12.129770,38.959023,-1.185893,1.454791,0.000000,-30.320794,-25.242835,-31.677520,-9.127456,11.165600,0.000000,84870.992846,0.985544,0.000018,347.220687,10.000000,-12.000000,115.228358,40.811880,17.729572,81.149044,32.990268,-106.974804,17.729572,-86.913925,6573.471187,39.453153,31.677520,0.206225,143684.315404,311936.132118,455620.447522,129141.804870,-3650.148560
1.800000,21.651497,7.416713,1545.126677,17.306470,12.571791,137.920145,0.708173,-0.078782,-0.020186,-0.701340,-0.082548,0.103361,0.000000,5.338346,5.994180,41.615223,1.135374,-1.392593,0.000000,27.594127,22.525109,-46.184818,8.519277,-10.447772,0.000000,84088.803969,0.976461,0.000018,347.220687,10.000000,-12.000000,139.569088,42.382245,21.390742,81.183945,32.990321,-106.974639,21.390742,-59.093679,9607.951213,35.620727,46.184818,0.066104,207714.700685,323149.418747,530864.119433,161055.852515,-6445.972949
2.400000,32.807114,16.278995,1635.414110,19.267498,17.752852,162.946430,0.708677,-0.085405,-0.056796,-0.698040,-0.065796,0.057061,0.000000,1.155323,11.470098,40.915292,-0.857482,1.131968,0.000000,-22.848732,-17.706655,-64.048846,-6.341644,8.349272,0.000000,83160.344897,0.965680,0.000018,347.220687,10.000000,-12.000000,165.039206,42.508336,26.199242,80.865908,32.990400,-106.974455,26.199242,-78.191454,13289.036998,28.906556,64.048846,0.027837,286115.633955,336934.675533,623050.309487,191019.884135,-10570.570667
3.000000,44.900920,28.600559,1740.475096,21.179874,23.073148,186.912216,0.708372,-0.086706,-0.048223,-0.698833,0.066080,-0.101466,0.000000,2.138261,9.612364,37.403122,-0.536287,0.625711,0.000000,-9.188358,-8.265959,-84.115775,-3.773425,4.385163,0.000000,82090.431563,0.953256,0.000018,347.220687,10.000000,-12.000000,189.518162,38.677687,31.320236,80.487519,32.990511,-106.974255,31.320236,-73.692637,17297.439599,12.447337,84.115775,0.052210,371868.164255,353431.905077,725300.069331,205253.713521,-15941.467201
3.600000,58.022365,44.088141,1859.011323,22.727684,28.227670,207.664284,0.708088,-0.088929,-0.045775,-0.699006,0.049380,-0.075273,0.000000,2.458800,8.066817,31.682575,-0.129624,0.116620,0.000000,-0.452883,-1.164574,-104.431966,-0.864475,0.757584,0.000000,80896.700480,0.939394,0.000018,347.220687,10.000000,-12.000000,210.802760,32.785744,36.240157,80.100820,32.990650,-106.974037,36.240157,-71.867010,21091.603605,1.596879,104.431966,0.028022,453780.365414,372328.082426,826108.447840,204297.755695,-22014.546658
4.200000,72.057426,62.454617,1988.924700,24.103824,32.759188,224.638899,0.707897,-0.091443,-0.047608,-0.698752,0.024111,-0.043259,0.000000,1.980186,6.905834,24.127662,-0.179171,0.199567,0.000000,-2.184280,-2.247417,-122.924600,-1.191562,1.317947,0.000000,79604.579301,0.924389,0.000018,347.220687,10.000000,-12.000000,228.291028,25.174507,40.671350,79.737647,32.990816,-106.973805,40.671350,-72.130508,24341.452070,3.039039,122.924600,0.008248,525496.244994,393333.497537,918829.742531,187754.769275,-28062.583329
4.800000,86.803505,83.090381,2126.724372,24.871773,35.317902,231.334120,0.707706,-0.093827,-0.049159,-0.698521,0.000533,-0.013724,0.000000,0.151351,1.136621,-5.102595,-0.197690,0.246124,0.000000,-3.327107,-2.865223,-129.618550,-1.306262,1.624249,0.000000,78252.337096,0.908687,0.000018,347.220687,10.000000,-12.000000,235.332603,5.229981,43.196751,79.423034,32.991001,-106.973561,43.196751,-72.277503,25432.154377,4.390495,129.618550,0.000623,554105.739092,417340.304656,971446.043748,53281.158797,-30503.470741
5.400000,101.681783,104.151988,2263.123180,24.681572,34.745953,222.673662,0.707492,-0.096159,-0.049915,-0.698367,-0.008108,-0.002809,0.000000,-0.440527,-1.130251,-15.532869,-0.081162,0.107048,0.000000,-1.522049,-1.330060,-117.048544,-0.535668,0.706515,0.000000,76932.219266,0.893357,0.000018,347.220687,10.000000,-12.000000,226.715728,15.580166,42.619963,79.164578,32.991191,-106.973314,42.619963,-72.061386,23220.269494,2.021263,117.048544,0.000243,514000.212267,443873.138750,957873.351017,-0.000000,-26536.745917
6.000000,116.425900,124.786471,2393.970572,24.463210,34.050776,213.542612,0.707263,-0.098642,-0.050878,-0.698183,-0.007638,-0.003791,0.000000,-0.369741,-1.085228,-14.933083,-0.023765,0.033230,0.000000,-0.430797,-0.477496,-105.059430,-0.156852,0.219318,0.000000,75682.834371,0.878849,0.000018,347.220687,10.000000,-12.000000,217.619739,14.977029,41.927366,78.891740,32.991376,-106.973070,41.927366,-71.914068,21061.749381,0.641108,105.059430,0.000240,473583.510004,469536.630114,943120.140118,0.000000,-22863.005723
6.600000,131.044294,145.019917,2519.441625,24.262721,33.407802,204.745654,0.707018,-0.101318,-0.052161,-0.697954,-0.006122,-0.006499,0.000000,-0.332738,-1.014709,-14.407940,-0.010971,0.014989,0.000000,-0.123332,-0.259716,-94.471191,-0.072407,0.098928,0.000000,74500.265931,0.865117,0.000018,347.220687,10.000000,-12.000000,208.867287,14.447460,41.288750,78.598713,32.991558,-106.972828,41.288750,-71.870765,19113.055429,0.269333,94.471191,0.000263,436255.436944,494145.644211,930401.081154,-0.000000,-19731.941294
7.200000,145.546395,164.882856,2639.724814,24.077121,32.812701,196.243978,0.706751,-0.104192,-0.053625,-0.697691,-0.004947,-0.008968,0.000000,-0.307855,-0.942113,-13.945112,-0.010616,0.012989,0.000000,-0.063509,-0.233852,-85.109507,-0.070067,0.085731,0.000000,73380.684256,0.852116,0.000018,347.220687,10.000000,-12.000000,200.419760,13.980290,40.698662,78.283627,32.991737,-106.972588,40.698662,-71.864432,17348.243342,0.240352,85.109507,0.000346,401680.801935,517737.146890,919417.948825,-0.000000,-17057.626914
7.800000,159.940642,184.402476,2754.986983,23.904793,32.260530,188.004368,0.706456,-0.107270,-0.055197,-0.697400,-0.004037,-0.011194,0.000000,-0.285521,-0.876450,-13.531819,-0.010231,0.011244,0.000000,-0.013662,-0.212957,-76.750126,-0.067521,0.074208,0.000000,72320.658613,0.839806,0.000018,347.220687,10.000000,-12.000000,192.244176,13.563178,40.151973,77.944491,32.991912,-106.972350,40.151973,-71.858973,15745.523492,0.213462,76.750126,0.000467,369578.233904,540343.862033,909922.095937,-0.000000,-14754.764759
8.400000,174.234665,203.603218,2865.377006,23.744258,31.747515,179.999513,0.706128,-0.110570,-0.056845,-0.697084,-0.003625,-0.012857,0.000000,-0.262388,-0.820288,-13.161200,-0.005517,0.004551,0.000000,0.102442,-0.133425,-69.266599,-0.036411,0.030034,0.000000,71317.098098,0.828153,0.000018,347.220687,10.000000,-12.000000,184.313644,13.189348,39.644602,77.579008,32.992085,-106.972113,39.644602,-71.838835,14286.703150,0.168133,69.266599,0.000589,339715.192979,561994.988227,901710.181206,-0.000000,-12766.779301
9.000000,188.435400,222.507030,2971.027896,23.594044,31.269650,172.203033,0.705765,-0.114118,-0.058612,-0.696734,-0.003947,-0.013715,0.000000,-0.241205,-0.770770,-12.832937,0.000010,-0.002572,0.000000,0.214685,-0.050157,-62.643612,0.000067,-0.016974,0.000000,70367.211131,0.817123,0.000018,347.220687,10.000000,-12.000000,176.602249,12.858325,39.172311,77.184579,32.992255,-106.971878,39.172311,-71.816564,12955.864027,0.220580,62.643612,0.000672,311883.544857,582716.614352,894600.159209,-0.000000,-11063.002724
9.600000,202.549069,241.133516,3072.057951,23.453388,30.823307,164.593539,0.705361,-0.117942,-0.060561,-0.696339,-0.004691,-0.014222,0.000000,-0.224472,-0.721890,-12.536046,0.001686,-0.004582,0.000000,0.243758,-0.030548,-56.642618,0.011126,-0.030243,0.000000,69468.477034,0.806686,0.000018,347.220687,10.000000,-12.000000,169.089239,12.558820,38.731611,76.758253,32.992422,-106.971644,38.731611,-71.810914,11739.648869,0.245663,56.642618,0.000740,285911.709421,602531.942113,888443.651535,-0.000000,-9577.657126
