id,rocket mass (kg),time (s),motor type,impulse (N*s),burn out (s),nozzle radius (m),throat radius (m),radius (kg*m^2),distance rocket nozzle (m),distance rocket propellant (m),nose length (m),nose distance to cm (m),fin span (m),fin distance to cm (m),rail length (m),latitude,longitude,Phase 1 - Rail Launch,Phase 2 - Powered Flight,Apogee,Phase 3 - Drogue Parachute Deployment,Phase 4 - Descent Under Drogue Parachute,Phase 5 - Main Parachute Deployment,Phase 6 - Descent Under Main Parachute,Phase 7 - Impact,No. Stages,apogee X,apogee Y,apogee Z,x impact,y impact,impact velocity,temperature,E wind start,E wind end,N wind start,N wind end,Burn out time,Nozzle Distance,Propellant
1,20,247.27544497940391,Cesaroni_M1300,6420.952724999999,4.901,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.32358589422234696,24.8881714060525,24.8952380952381,26.3952380952381,116.33333333333334,117.83333333333334,247.27544497940391,7,1193.9535180954138,-6.346304626700315e-05,4252.639054495266,962.9118627248714,-6.057121815823063e-05,-6.281190619040732,300,0,-2,10,0,3.6,-1.255,-0.85704
2,20,248.4209341948564,Cesaroni_M1300,6420.952724999999,4.901,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.3235850121434569,25.013535969592677,25.019047619047623,26.519047619047623,117.47619047619048,118.97619047619048,248.4209341948564,7,1096.7775389973692,109.10968920299857,4279.587383889071,1290.6793928308718,-309.7099159668493,-6.281190619054207,300,2,0,8,-2,3.6,-1.255,-0.85704
3,20,249.22164679436904,Cesaroni_M1300,6420.952724999999,4.901,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.323587306181322,25.105248086683126,25.114285714285717,26.614285714285717,118.2952380952381,119.7952380952381,249.22164679436904,7,994.9498006125639,219.74618188000525,4299.199749211205,1614.4940861223467,-618.9972960573235,-6.281190618980697,300,4,2,6,-4,3.6,-1.255,-0.85704
4,20,249.68254139296977,Cesaroni_M1300,6420.952724999999,4.901,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.3235932327418891,25.15898410161784,25.161904761904765,26.661904761904765,118.76190476190477,120.26190476190477,249.68254139296977,7,888.6557826088117,331.3070845323826,4310.553637724238,1932.0436304917696,-927.5288651564621,-6.281190618958472,300,6,4,4,-6,3.6,-1.255,-0.85704
5,20,249.82089701647675,Cesaroni_M1300,6420.952724999999,4.901,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.3236024176208698,25.174989275775374,25.180952380952384,26.680952380952384,118.8857142857143,120.3857142857143,249.82089701647675,7,778.5242699758361,443.2133444629957,4313.84094094236,2243.0124328103793,-1235.189545596197,-6.281190619010965,300,8,6,2,-8,3.6,-1.255,-0.85704
6,20,249.62179019152177,Cesaroni_M1300,6420.952724999999,4.901,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.32361484739905244,25.151585402678506,25.152380952380955,26.652380952380955,118.67619047619048,120.17619047619048,249.62179019152177,7,665.0851604467977,554.7825945897754,4308.73999791566,2546.679581092505,-1542.4531593069769,-6.281190619054554,300,10,8,0,-10,3.6,-1.255,-0.85704
7,20,249.05246157839215,Cesaroni_M1300,6420.952724999999,4.901,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.32363051971038015,25.088294295751787,25.0952380952381,26.5952380952381,118.11428571428573,119.61428571428573,249.05246157839215,7,549.0520816453567,665.2155697109258,4295.112696671293,2843.2992019479284,-1848.540842817779,-6.281190619025542,300,12,10,-2,-12,3.6,-1.255,-0.85704
8,20,248.10884662217146,Cesaroni_M1300,6420.952724999999,4.901,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.32364921290376897,24.984157526007554,24.990476190476194,26.490476190476194,117.17142857142858,118.67142857142858,248.10884662217146,7,431.1245659611434,773.6943790854177,4272.5877600269505,3132.58421582826,-2153.053189869896,-6.281190619022585,300,14,12,-4,-14,3.6,-1.255,-0.85704
9,20,246.78487883852375,Cesaroni_M1300,6420.952724999999,4.901,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.3236709514871162,24.841211125471368,24.847619047619048,26.347619047619048,115.84761904761906,117.34761904761906,246.78487883852375,7,312.3578700741552,879.3242436314,4241.593154635281,3414.4398786655715,-2454.4356813529052,-6.281190619022172,300,16,14,-6,-16,3.6,-1.255,-0.85704
10,20,245.0363331402734,Cesaroni_M1300,6420.952724999999,4.901,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.3236320613498411,24.658205243056184,24.666666666666668,26.166666666666668,114.11428571428573,115.61428571428573,245.0363331402734,7,193.5264715802823,981.2670573148122,4201.738403303416,3687.2471394253807,-2750.218749057245,-6.28119061896407,300,18,16,-8,-18,3.6,-1.255,-0.85704
11,20,242.91116413568352,Cesaroni_M1300,6420.952724999999,4.901,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.3236602513536046,24.43699147689514,24.43809523809524,25.93809523809524,111.98095238095239,113.48095238095239,242.91116413568352,7,75.87638787575487,1078.4865198728326,4153.5498326649,3950.9895616486547,-3040.215640576898,-6.281190618996078,300,20,18,-10,-20,3.6,-1.255,-0.85704
12,20,240.3763743810817,Cesaroni_M1300,6420.952724999999,4.901,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.32369154268689015,24.17816993648121,24.180952380952384,25.680952380952384,109.44761904761906,110.94761904761906,240.3763743810817,7,-39.60943494051022,1170.1550023963912,4097.234038137483,4203.6751766873185,-3321.1670521651763,-6.281190618989662,300,22,20,-12,-22,3.6,-1.255,-0.85704
13,20,237.46603264628894,Cesaroni_M1300,6420.952724999999,4.901,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.3237258776763736,23.883131316294474,23.885714285714286,25.385714285714286,106.53333333333335,108.03333333333335,237.46603264628894,7,-151.8394128209133,1255.4218048558287,4033.2313102559883,4444.839012144666,-3592.7432379859692,-6.281190619004726,300,24,22,-14,-24,3.6,-1.255,-0.85704
14,20,234.18604368435138,Cesaroni_M1300,6420.952724999999,4.901,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.3237632464244099,23.554243499957472,23.561904761904763,25.061904761904763,103.26666666666668,104.76666666666668,234.18604368435138,7,-259.8363156554798,1333.6238691053734,3962.239290397529,4673.152206676888,-3852.9560446891865,-6.281190618953671,300,26,24,-16,-26,3.6,-1.255,-0.85704
15,20,230.5903228957561,Cesaroni_M1300,6420.952724999999,4.901,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.3238038214195259,23.193114713303807,23.200000000000003,24.700000000000003,99.66666666666667,101.16666666666667,230.5903228957561,7,-362.7858988926752,1404.2488003353833,3884.8165314965972,4888.913995593539,-4102.369312655134,-6.281190618970386,300,28,26,-18,-28,3.6,-1.255,-0.85704
16,20,226.70377597660817,Cesaroni_M1300,6420.952724999999,4.901,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.32384761181815797,22.80279415513234,22.80952380952381,24.30952380952381,95.77142857142859,97.27142857142859,226.70377597660817,7,-459.68998538421727,1466.6822464347347,3801.8856380931766,5091.742668779421,-4339.99350659566,-6.281190619003426,300,30,28,-20,-30,3.6,-1.255,-0.85704
17,20,222.55733422843326,Cesaroni_M1300,6420.952724999999,4.901,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.3238944383785998,22.3865435079541,22.390476190476193,23.890476190476193,91.62857142857143,93.12857142857143,222.55733422843326,7,-549.9852474667792,1520.7529443123744,3714.3672419376735,5281.468100628889,-4565.479863551589,-6.281190618995519,300,32,30,-22,-32,3.6,-1.255,-0.85704
18,20,218.20450208963143,Cesaroni_M1300,6420.952724999999,4.901,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.32394367881795805,21.946530618019068,21.952380952380956,23.452380952380956,87.25714285714287,88.75714285714287,218.20450208963143,7,-633.2345657383083,1566.3984698951742,3623.0136044258543,5458.291901123988,-4778.488015572626,-6.2811906190607125,300,34,32,-24,-34,3.6,-1.255,-0.85704
19,20,213.65527877126848,Cesaroni_M1300,6420.952724999999,4.901,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.32399587410906683,21.4855962455424,21.485714285714288,22.985714285714288,82.71428571428572,84.21428571428572,213.65527877126848,7,-709.0018462696027,1603.5273082386475,3528.690410482543,5622.35458667443,-4979.345857165013,-6.281190619036431,300,36,34,-26,-36,3.6,-1.255,-0.85704
20,20,208.95860966535955,Cesaroni_M1300,6420.952724999999,4.901,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.32405102028695343,21.006536917866477,21.009523809523813,22.509523809523813,78.02857142857144,79.52857142857144,208.95860966535955,7,-777.1068557491745,1632.2596261477597,3432.2403916406533,5773.422413684051,-5167.0063045984625,-6.281190618994622,300,38,36,-28,-38,3.6,-1.255,-0.85704
21,20,204.17058751165013,Cesaroni_M1300,6420.952724999999,4.901,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.3241090965659662,20.512910139124017,20.514285714285716,22.014285714285716,73.24761904761905,74.74761904761905,204.17058751165013,7,-837.3583185453996,1652.877447619741,3334.6888246158596,5913.611813643319,-5343.7366096649475,-6.281190618967502,300,40,38,-30,-40,3.6,-1.255,-0.85704
