# Time (s), X (m), Y (m), Z (m), Vx (m/s), Vy (m/s), Vz (m/s), e0, e1, e2, e3, ω1 (rad/s), ω2 (rad/s), ω3 (rad/s), Ax (m/s2), Ay (m/s2), Az (m/s2), α1 (rad/s2), α2 (rad/s2), α3 (rad/s2), R1 (N), R2 (N), R3 (N), M1 (Nm), M2 (Nm), Aerodynamic Spin Moment (N m), Pressure (Pa), Density (kg/m³), Dynamic Viscosity (Pa s), Speed of Sound (m/s), Wind Velocity X (East) (m/s), Wind Velocity Y (North) (m/s), Speed - Velocity Magnitude (m/s), Acceleration Magnitude (m/s²), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Path Angle (°), Latitude (°), Longitude (°), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Spin Angle - φ (°), Dynamic Pressure (Pa), Aerodynamic Lift Force (N), Aerodynamic Drag Force (N), Rotational Kinetic Energy (J), Kinetic Energy (J), ((Scalar*9.80665)*Z (m)), Total Mechanical Energy (J), Thrust Power (W), Drag Power (W)
0.000000,0.000000,0.000000,1471.466078,0.000000,0.000000,0.000000,0.704416,-0.061628,0.061628,-0.704416,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.787763,0.246349,-0.028231,0.084747,0.271187,0.000000,85052.960160,1.051479,0.000018,336.517200,1.072314,3.376571,0.000000,0.000000,0.000000,0.000000,32.990254,-106.974998,0.000000,0.000000,6.598603,0.825384,0.028231,0.000000,0.000000,764161.902076,764161.902076,0.000000,-0.000000
0.600000,0.623801,-0.000001,1475.004050,2.401680,-0.000187,13.668824,0.704416,-0.061629,0.061628,-0.704416,-0.000128,-0.000412,0.000000,3.106231,-0.039140,27.708997,-0.026799,-0.086337,0.000000,-1.956591,0.617350,-0.547224,0.217414,0.689520,0.000000,85015.732056,1.051106,0.000018,336.503890,1.073845,3.378405,13.878209,27.773555,2.401680,80.033600,32.990254,-106.974988,2.401680,-0.000618,105.118260,2.051666,0.547224,-0.000001,5051.925017,758811.668137,763863.593154,27295.636025,-7.594501
1.200000,3.250983,-0.010798,1488.217975,6.376201,-0.104711,30.533596,0.703916,-0.053613,0.066982,-0.705083,0.010170,0.070531,0.000000,6.609917,-0.670762,28.517938,-0.001018,0.142584,0.000000,-3.664134,0.081987,-2.604954,0.006507,1.240080,0.000000,84882.727356,1.049754,0.000018,336.455032,1.184558,3.410449,31.192425,29.281627,6.377061,78.203128,32.990254,-106.974944,6.377061,6.278462,509.975923,3.665052,2.604954,0.020272,25234.082490,757017.877161,782251.959651,63020.838363,-81.254810
1.800000,8.247007,-0.320535,1511.634181,10.243553,-1.175892,47.393338,0.701485,-0.030355,0.088851,-0.706472,-0.011230,0.128961,0.000000,6.290412,-3.111518,27.242305,-0.069541,0.000177,0.000000,-1.141499,-1.460492,-6.144215,-0.541710,0.182407,0.000000,84648.396763,1.047369,0.000018,336.368643,1.404488,3.472931,48.501975,28.131727,10.310825,77.726077,32.990251,-106.974861,10.310825,25.934947,1228.495609,1.852296,6.144215,0.063361,60324.352907,760275.187477,820599.540384,94096.275669,-298.006609
2.400000,15.527976,-1.738366,1544.817393,14.046142,-3.747236,62.909664,0.698354,-0.016665,0.116087,-0.706079,-0.049042,0.035427,0.000000,6.489761,-5.021076,24.254869,-0.019657,-0.271641,0.000000,4.689984,-0.788246,-10.709197,-0.205101,-1.897561,0.000000,84316.325802,1.043989,0.000018,336.246222,1.716152,3.561473,64.567498,25.605209,14.537396,76.988279,32.990238,-106.974741,14.537396,36.515542,2173.100925,4.755759,10.709197,0.013097,105758.835758,768628.486603,874387.322362,115455.088834,-691.466029
3.000000,25.159143,-4.866439,1586.788715,18.105674,-6.577694,76.800398,0.699083,-0.030399,0.118560,-0.704488,-0.014317,-0.049073,0.000000,6.798532,-4.010816,21.651053,0.100632,0.107314,0.000000,-1.333955,1.640281,-15.875076,0.663947,0.666598,0.000000,83896.310492,1.039714,0.000018,336.091378,2.110355,3.673465,79.179433,23.045053,19.263476,75.919266,32.990210,-106.974581,19.263476,30.398230,3253.908250,2.114220,15.875076,0.008848,157440.976748,781560.773260,939001.750008,130238.409109,-1256.979507
3.600000,36.734572,-9.209378,1634.388674,19.851012,-7.541387,78.988883,0.698666,-0.027675,0.120850,-0.704624,-0.003002,0.068954,0.000000,0.781355,-0.471470,-6.054285,-0.071226,0.078354,0.000000,-1.882793,-1.134179,-16.805001,-0.471970,0.529531,0.000000,83419.968298,1.034865,0.000018,335.915769,2.557424,3.800476,81.793513,6.122694,21.235235,74.952482,32.990171,-106.974390,21.235235,31.858180,3449.697476,2.197499,16.805001,0.015767,167340.616908,801806.582408,969147.199316,17175.119994,-1374.540072
4.200000,48.694278,-13.771229,1680.265986,19.929807,-7.615898,73.531523,0.696601,-0.022070,0.136302,-0.704046,-0.035621,0.006984,0.000000,-0.068746,0.000328,-10.095784,0.003574,-0.147976,0.000000,2.377846,-0.131645,-14.667667,0.023586,-0.976640,0.000000,82960.864975,1.030192,0.000018,335.746516,2.988314,3.922891,76.564247,10.096018,21.335396,73.819752,32.990130,-106.974192,21.335396,35.497820,3001.486933,2.381419,14.667667,0.004348,146552.102445,823889.021374,970441.123820,-0.000046,-1123.018880
4.800000,60.641925,-18.336093,1722.570712,19.897539,-7.591988,67.489693,0.696787,-0.029578,0.139940,-0.702872,-0.015192,0.002602,0.000000,-0.050288,0.076531,-10.042257,0.026528,0.112555,0.000000,-1.903809,0.399974,-12.488286,0.175084,0.742860,0.000000,82537.513222,1.025883,0.000018,335.590442,3.385649,4.035773,70.770114,10.042675,21.296722,72.486640,32.990089,-106.973994,21.296722,32.816486,2545.577781,1.945401,12.488286,0.000784,125210.225059,844632.403542,969842.628600,0.000000,-883.797384
5.400000,72.570327,-22.877442,1761.259760,19.862104,-7.548715,61.477942,0.695117,-0.025363,0.150557,-0.702497,-0.022824,0.057649,0.000000,-0.065874,0.051081,-10.000822,-0.041047,0.021234,0.000000,-0.721245,-0.765683,-10.512933,-0.270910,0.140143,0.000000,82150.344272,1.021942,0.000017,335.447708,3.749024,4.139007,65.046319,10.001169,21.248207,70.933660,32.990048,-106.973796,21.248207,35.135160,2133.698252,1.051900,10.512933,0.012686,105775.603049,863602.901369,969378.504418,-0.000000,-683.827593
