id,rocket mass (kg),time (s),motor type,impulse (N*s),burn out (s),nozzle radius (m),throat radius (m),radius (kg*m^2),distance rocket nozzle (m),distance rocket propellant (m),nose length (m),nose distance to cm (m),fin span (m),fin distance to cm (m),rail length (m),latitude,longitude,Phase 1 - Rail Launch,Phase 2 - Powered Flight,Apogee,Phase 3 - Drogue Parachute Deployment,Phase 4 - Descent Under Drogue Parachute,Phase 5 - Main Parachute Deployment,Phase 6 - Descent Under Main Parachute,Phase 7 - Impact,No. Stages,apogee X,apogee Y,apogee Z,x impact,y impact,impact velocity
1,50,31.970818069564526,Cesaroni_M1300,6420.952724999999,4.901,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.49974865157182197,12.306241405905485,12.314285714285715,12.314285814285714,13.814285714285715,13.814285814285714,31.970818069564526,7,229.1523881059292,-81.53072259926307,1997.0690723514988,416.27754881909806,-75.46855061721762,-30.595233076800195
2,50,31.970818069564526,Cesaroni_M1300,6420.952724999999,4.901,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.49974865157182197,12.306241405905485,12.314285714285715,12.314285814285714,13.814285714285715,13.814285814285714,31.970818069564526,7,229.1523881059292,-81.53072259926307,1997.0690723514988,416.27754881909806,-75.46855061721762,-30.595233076800195
3,50,31.970818069564526,Cesaroni_M1300,6420.952724999999,4.901,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.49974865157182197,12.306241405905485,12.314285714285715,12.314285814285714,13.814285714285715,13.814285814285714,31.970818069564526,7,229.1523881059292,-81.53072259926307,1997.0690723514988,416.27754881909806,-75.46855061721762,-30.595233076800195
4,50,31.970818069564526,Cesaroni_M1300,6420.952724999999,4.901,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.49974865157182197,12.306241405905485,12.314285714285715,12.314285814285714,13.814285714285715,13.814285814285714,31.970818069564526,7,229.1523881059292,-81.53072259926307,1997.0690723514988,416.27754881909806,-75.46855061721762,-30.595233076800195
5,50,31.970818069564526,Cesaroni_M1300,6420.952724999999,4.901,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.49974865157182197,12.306241405905485,12.314285714285715,12.314285814285714,13.814285714285715,13.814285814285714,31.970818069564526,7,229.1523881059292,-81.53072259926307,1997.0690723514988,416.27754881909806,-75.46855061721762,-30.595233076800195
6,50,31.970818069564526,Cesaroni_M1300,6420.952724999999,4.901,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.49974865157182197,12.306241405905485,12.314285714285715,12.314285814285714,13.814285714285715,13.814285814285714,31.970818069564526,7,229.1523881059292,-81.53072259926307,1997.0690723514988,416.27754881909806,-75.46855061721762,-30.595233076800195
7,50,30.55401368541032,Cesaroni_M1400,6258.825000000001,4.47,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.5849601630597876,12.01007994901333,12.01904761904762,12.01904771904762,13.51904761904762,13.51904771904762,30.55401368541032,7,212.76216312476197,-86.55982153666689,1962.1237179024079,387.14789621255846,-89.47970547810918,-30.5881668672824
8,50,30.55401368541032,Cesaroni_M1400,6258.825000000001,4.47,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.5849601630597876,12.01007994901333,12.01904761904762,12.01904771904762,13.51904761904762,13.51904771904762,30.55401368541032,7,212.76216312476197,-86.55982153666689,1962.1237179024079,387.14789621255846,-89.47970547810918,-30.5881668672824
9,50,30.55401368541032,Cesaroni_M1400,6258.825000000001,4.47,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.5849601630597876,12.01007994901333,12.01904761904762,12.01904771904762,13.51904761904762,13.51904771904762,30.55401368541032,7,212.76216312476197,-86.55982153666689,1962.1237179024079,387.14789621255846,-89.47970547810918,-30.5881668672824
10,50,30.55401368541032,Cesaroni_M1400,6258.825000000001,4.47,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.5849601630597876,12.01007994901333,12.01904761904762,12.01904771904762,13.51904761904762,13.51904771904762,30.55401368541032,7,212.76216312476197,-86.55982153666689,1962.1237179024079,387.14789621255846,-89.47970547810918,-30.5881668672824
