# Time (s), X (m), Y (m), Z (m), Vx (m/s), Vy (m/s), Vz (m/s), e0, e1, e2, e3, ω1 (rad/s), ω2 (rad/s), ω3 (rad/s), Ax (m/s2), Ay (m/s2), Az (m/s2), α1 (rad/s2), α2 (rad/s2), α3 (rad/s2), R1 (N), R2 (N), R3 (N), M1 (Nm), M2 (Nm), Aerodynamic Spin Moment (N m), Pressure (Pa), Density (kg/m³), Dynamic Viscosity (Pa s), Speed of Sound (m/s), Wind Velocity X (East) (m/s), Wind Velocity Y (North) (m/s), Speed - Velocity Magnitude (m/s), Acceleration Magnitude (m/s²), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Path Angle (°), Latitude (°), Longitude (°), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Spin Angle - φ (°), Dynamic Pressure (Pa), Aerodynamic Lift Force (N), Aerodynamic Drag Force (N), Rotational Kinetic Energy (J), Kinetic Energy (J), ((Scalar*9.80665)*Z (m)), Total Mechanical Energy (J), Thrust Power (W), Drag Power (W)
0.000000,0.000000,0.000000,1400.000000,0.000000,0.000000,0.000000,0.704416,-0.061628,0.061628,-0.704416,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.685442,-0.256559,1.886221,-0.000000,0.000000,85598.771785,0.993995,0.000018,347.220687,10.000000,0.000000,0.000000,0.000000,0.000000,0.000000,32.990254,-106.974998,0.000000,0.000000,49.699771,6.685442,0.256559,0.000000,0.000000,315168.831651,315168.831651,0.000000,-0.000000
0.600000,2.782271,0.000000,1415.347952,10.771699,0.000000,58.465677,0.704953,-0.055142,0.055142,-0.704953,0.145661,-0.000000,0.000000,20.097846,0.000001,112.631068,0.634212,0.000000,0.000000,-0.000002,18.637333,-8.414043,5.427178,0.000001,0.000000,85438.053855,0.992129,0.000018,347.220687,10.000000,0.000000,59.449684,114.410145,10.771699,79.560907,32.990254,-106.974952,10.771699,-0.000000,1695.961080,18.637333,8.414043,0.086727,39366.791190,309203.028240,348569.819430,164820.461457,-500.212342
1.200000,11.774756,0.000000,1469.752716,16.820542,-0.000000,114.270603,0.707094,-0.004289,0.004289,-0.707094,0.132973,-0.000000,0.000000,-0.521042,-0.000004,40.561012,-1.150471,-0.000001,0.000000,0.000029,-24.326537,-31.124682,-8.844851,-0.000010,0.000000,84870.314771,0.985536,0.000018,347.220687,10.000000,0.000000,115.501954,40.564356,16.820542,81.626241,32.990254,-106.974803,16.820542,0.000233,6457.377614,24.326537,31.124682,0.068682,144367.309709,311949.960723,456317.270432,129480.350033,-3594.961638
1.800000,21.876051,-0.000001,1545.711083,17.569587,-0.000001,139.060854,0.706501,-0.029273,0.029273,-0.706501,-0.095723,-0.000000,0.000000,5.313488,0.000004,41.905710,1.098574,0.000002,0.000000,-0.000030,21.570002,-45.515482,8.231525,0.000012,0.000000,84082.767440,0.976391,0.000018,347.220687,10.000000,0.000000,140.166371,42.241231,17.569587,82.799142,32.990254,-106.974636,17.569587,-0.000032,9468.660856,21.566775,45.515482,0.034618,209496.296178,323271.641975,532767.938153,161745.089908,-6379.739960
2.400000,33.222459,-0.000000,1636.777536,19.660558,0.000001,164.553912,0.706958,-0.014497,0.014496,-0.706958,-0.053269,0.000000,0.000000,1.261950,0.000003,42.269495,-0.905818,0.000000,0.000000,-0.000004,-18.430750,-63.206830,-6.686925,0.000001,0.000000,83146.388180,0.965518,0.000018,347.220687,10.000000,0.000000,165.724251,42.288325,19.660558,83.186717,32.990254,-106.974448,19.660558,-0.000066,13117.193420,18.433634,63.206830,0.010417,288495.766129,337215.574424,625711.340554,191812.777431,-10474.904529
3.000000,45.559651,0.000001,1742.964516,21.634987,0.000003,189.013966,0.706821,-0.020098,0.020098,-0.706821,0.073158,0.000000,0.000000,2.418007,0.000001,38.427046,-0.452857,-0.000002,0.000000,0.000023,-6.671649,-83.022515,-3.173948,-0.000011,0.000000,82065.215837,0.952963,0.000018,347.220687,10.000000,0.000000,190.248133,38.503049,21.634987,83.470207,32.990254,-106.974244,21.634987,-0.000032,17087.411074,6.816901,83.022515,0.019060,374738.310995,353937.422737,728675.733732,206044.287066,-15794.878891
3.600000,58.975391,0.000003,1862.937120,23.253378,0.000004,210.295036,0.706753,-0.022364,0.022364,-0.706753,0.050404,0.000000,0.000000,2.696995,0.000001,32.513299,-0.035802,-0.000001,0.000000,0.000012,0.382025,-103.081069,-0.214730,-0.000007,0.000000,80857.407184,0.938937,0.000018,347.220687,10.000000,0.000000,211.576752,32.624967,23.253378,83.690151,32.990254,-106.974021,23.253378,-0.000028,20844.249157,0.891043,103.081069,0.008784,457118.697946,373114.352323,830233.050269,205047.863130,-21809.557805
4.200000,73.348949,0.000005,1994.584202,24.702708,0.000004,227.756021,0.706746,-0.022600,0.022600,-0.706746,0.026695,0.000000,0.000000,2.161714,0.000000,24.894025,-0.111675,-0.000001,0.000000,0.000016,-1.179010,-121.307049,-0.736097,-0.000008,0.000000,79548.672019,0.923740,0.000018,347.220687,10.000000,0.000000,229.091748,24.987708,24.702708,83.809825,32.990254,-106.973783,24.702708,-0.000027,24058.336814,0.969914,121.307049,0.002396,529188.999813,394452.724553,923641.724366,188414.193175,-27790.443950
4.800000,88.469618,0.000008,2134.367745,25.514238,0.000005,234.757328,0.706736,-0.022889,0.022889,-0.706736,0.004877,0.000000,0.000000,0.186731,-0.000000,-4.882205,-0.187765,-0.000000,0.000000,0.000007,-2.646169,-127.832780,-1.239997,-0.000003,0.000000,78177.879952,0.907822,0.000018,347.220687,10.000000,0.000000,236.139745,4.886275,25.514238,83.797243,32.990254,-106.973533,25.514238,-0.000029,25124.745201,2.646502,127.832780,0.000079,557913.188758,418840.209009,976753.397767,53464.108390,-30186.400166
5.400000,103.730839,0.000011,2272.823616,25.317666,0.000005,226.092433,0.706712,-0.023616,0.023616,-0.706712,-0.005529,0.000000,0.000000,-0.464037,-0.000000,-15.553069,-0.101611,-0.000000,0.000000,0.000003,-1.587660,-115.291561,-0.670634,-0.000001,0.000000,76839.026200,0.892275,0.000018,347.220687,10.000000,0.000000,227.505544,15.559990,25.317666,83.610678,32.990254,-106.973280,25.317666,-0.000031,22910.238852,1.587331,115.291561,0.000101,517587.725854,445775.714218,963363.440072,-0.000000,-26229.469230
6.000000,118.853237,0.000014,2405.715589,25.091010,0.000005,216.940614,0.706686,-0.024381,0.024381,-0.706686,-0.006463,-0.000000,0.000000,-0.396086,-0.000000,-14.958630,-0.046881,-0.000000,0.000000,0.000001,-0.801558,-103.340556,-0.309413,-0.000001,0.000000,75571.496640,0.877556,0.000018,347.220687,10.000000,0.000000,218.386787,14.963873,25.091010,83.402574,32.990254,-106.973030,25.091010,-0.000032,20750.238201,0.800774,103.340556,0.000138,476927.885786,471840.215526,948768.101311,-0.000000,-22568.212033
6.600000,133.845618,0.000016,2533.219481,24.883430,0.000004,208.125288,0.706660,-0.025121,0.025121,-0.706660,-0.005461,-0.000000,0.000000,-0.353455,-0.000000,-14.432341,-0.026493,-0.000000,0.000000,0.000001,-0.481983,-92.782251,-0.174854,-0.000000,0.000000,74371.326303,0.863619,0.000018,347.220687,10.000000,0.000000,209.607539,14.436668,24.883430,83.182088,32.990254,-106.972782,24.883430,-0.000031,18799.979881,0.482499,92.782251,0.000098,439353.204093,496847.936513,936201.140606,-0.000000,-19447.859365
