# Time (s), X (m), Y (m), Z (m), Vx (m/s), Vy (m/s), Vz (m/s), e0, e1, e2, e3, ω1 (rad/s), ω2 (rad/s), ω3 (rad/s), Ax (m/s2), Ay (m/s2), Az (m/s2), α1 (rad/s2), α2 (rad/s2), α3 (rad/s2), R1 (N), R2 (N), R3 (N), M1 (Nm), M2 (Nm), Aerodynamic Spin Moment (N m), Pressure (Pa), Density (kg/m³), Dynamic Viscosity (Pa s), Speed of Sound (m/s), Wind Velocity X (East) (m/s), Wind Velocity Y (North) (m/s), Speed - Velocity Magnitude (m/s), Acceleration Magnitude (m/s²), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Path Angle (°), Latitude (°), Longitude (°), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Spin Angle - φ (°), Dynamic Pressure (Pa), Aerodynamic Lift Force (N), Aerodynamic Drag Force (N), Rotational Kinetic Energy (J), Kinetic Energy (J), ((Scalar*9.80665)*Z (m)), Total Mechanical Energy (J), Thrust Power (W), Drag Power (W)
0.000000,0.000000,0.000000,1471.466078,0.000000,0.000000,0.000000,0.704416,-0.061628,0.061628,-0.704416,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.728202,0.180901,-0.025567,0.052531,0.211641,0.000000,85037.503364,1.050893,0.000018,336.580678,0.829079,3.286335,0.000000,0.000000,0.000000,0.000000,32.990254,-106.974998,0.000000,0.000000,6.035996,0.750335,0.025567,0.000000,0.000000,360117.623248,360117.623248,0.000000,-0.000000
0.600000,1.825113,0.002590,1481.581485,6.851025,0.018277,36.702481,0.704340,-0.060327,0.062490,-0.704529,0.005655,0.030378,0.000000,13.251755,-0.041494,65.449198,0.023467,0.167595,0.000000,-4.786969,0.726213,-3.705681,0.201256,1.426112,0.000000,84934.510543,1.049845,0.000018,336.544170,0.895999,3.305267,37.336430,66.777291,6.851049,79.426595,32.990254,-106.974968,6.851049,1.001264,731.395353,4.841738,3.705681,0.003963,17045.418098,355318.741045,372364.159144,69921.937963,-138.357186
1.200000,8.261908,-0.144809,1515.188047,14.501685,-0.885019,74.972534,0.702750,-0.041815,0.078130,-0.705896,-0.000614,0.113803,0.000000,12.241044,-3.721408,61.863556,-0.055243,-0.019667,0.000000,-0.943370,-1.257377,-14.870375,-0.441118,-0.029628,0.000000,84598.473465,1.046390,0.000018,336.426295,1.233458,3.394840,76.367290,63.172717,14.528666,79.032786,32.990253,-106.974861,14.528666,16.716464,3042.504235,1.607748,14.870375,0.051622,69808.008547,355719.550412,425527.558959,134233.724241,-1135.610534
1.800000,19.140231,-1.600381,1571.012698,21.764122,-4.196719,110.649568,0.701349,-0.034916,0.092047,-0.705987,-0.022518,-0.047654,0.000000,12.243820,-5.809333,57.297893,0.044964,-0.260006,0.000000,6.329979,0.752113,-31.844015,0.320042,-2.040962,0.000000,84040.274384,1.040650,0.000018,336.230489,1.794018,3.543633,112.847757,58.878754,22.165052,78.672574,32.990240,-106.974681,22.165052,24.037715,6609.193769,6.379144,31.844015,0.010635,149380.857258,361442.668523,510823.525781,184799.746135,-3593.525993
2.400000,34.395248,-4.960324,1647.490716,29.011553,-6.801964,143.914303,0.701953,-0.040019,0.087604,-0.705681,0.007478,0.059452,0.000000,11.522956,-4.183926,53.413398,-0.057311,0.140180,0.000000,-3.799886,-0.832717,-53.451125,-0.413030,1.090336,0.000000,83275.559176,1.032788,0.000018,335.962242,2.561969,3.747473,146.966879,54.802143,29.798271,78.301889,32.990209,-106.974428,29.798271,20.296555,11113.929775,3.905251,53.451125,0.013179,248485.841968,371737.465845,620223.307813,225634.758079,-7855.545157
3.000000,53.796755,-9.903942,1742.987122,35.535803,-9.620455,173.505817,0.701653,-0.038885,0.090557,-0.705670,0.004329,-0.013183,0.000000,10.181492,-3.857331,44.756028,0.058887,0.293987,0.000000,-4.907451,1.270693,-77.577840,0.419036,2.060066,0.000000,82320.676245,1.022970,0.000018,335.627287,3.520891,4.002005,177.368585,46.061305,36.815031,78.020465,32.990165,-106.974107,36.815031,21.597953,16017.042129,5.069456,77.577840,0.000679,355494.404114,386299.553565,741793.957679,236813.483551,-13759.871644
3.600000,76.864236,-16.399553,1854.780613,41.230085,-12.073996,198.456872,0.701360,-0.036337,0.092715,-0.705817,0.001029,-0.014064,0.000000,8.734079,-3.750574,37.141108,0.054299,0.122457,0.000000,-1.698954,1.052290,-102.417398,0.369222,0.819225,0.000000,81202.836307,1.011476,0.000017,335.235170,4.643460,4.299974,203.053765,38.338138,42.961626,77.785181,32.990107,-106.973725,42.961626,23.417169,20731.123859,1.998413,102.417398,0.000675,458542.597031,404576.647361,863119.244392,237141.238493,-20796.238268
4.200000,102.751546,-24.145443,1978.308413,44.312862,-13.449339,209.262458,0.701195,-0.034620,0.093751,-0.705930,0.002249,-0.002981,0.000000,2.191875,-0.930477,1.949094,0.028182,0.110354,0.000000,-1.652130,0.619682,-113.900964,0.187454,0.730864,0.000000,79969.164382,0.998805,0.000017,334.798887,5.878048,4.632506,214.325199,3.076533,46.308903,77.521784,32.990037,-106.973297,46.308903,24.539229,22770.239191,1.768499,113.900964,0.000046,506193.258827,427577.215623,933770.474451,81068.521333,-24411.846818
4.800000,129.447898,-32.258291,2102.690438,44.326049,-13.437038,203.434592,0.700973,-0.033011,0.095429,-0.706003,0.001316,0.004345,0.000000,-0.855009,0.485136,-14.515614,0.006737,0.078825,0.000000,-1.316104,0.264432,-105.822101,0.044463,0.520247,0.000000,78784.495014,0.987146,0.000017,334.244272,6.898487,5.093347,208.640806,14.548864,46.317951,77.173557,32.989964,-106.972855,46.317951,25.713687,21287.712676,1.342380,105.822101,0.000068,478840.845198,453647.682083,932488.527281,-0.000004,-22078.808519
5.400000,155.892971,-40.241304,2222.167264,43.834319,-13.179615,194.868007,0.700723,-0.031399,0.097356,-0.706061,0.000138,0.006500,0.000000,-0.774459,0.443368,-14.044371,0.002474,0.045244,0.000000,-0.852292,0.174130,-95.270621,0.016331,0.298612,0.000000,77646.513054,0.975946,0.000017,333.711594,7.878807,5.535945,200.171652,14.072694,45.772806,76.781349,32.989892,-106.972417,45.772806,26.907036,19331.827203,0.869898,95.270621,0.000140,440755.591510,479424.365229,920179.956739,-0.000000,-19070.477622
6.000000,182.057732,-48.074487,2336.585801,43.389991,-12.936068,186.568705,0.700453,-0.029810,0.099466,-0.706104,-0.000846,0.006913,0.000000,-0.700542,0.409167,-13.624777,0.003150,0.023549,0.000000,-0.528003,0.162666,-85.872294,0.020790,0.155426,0.000000,76556.709821,0.965220,0.000017,333.201468,8.817623,5.959804,191.984153,13.648910,45.277292,76.358934,32.989822,-106.971984,45.277292,28.086209,17547.780622,0.552471,85.872294,0.000160,405437.064817,504109.741280,909546.806096,-0.000000,-16486.119651
6.600000,207.968934,-55.765207,2446.097901,42.987647,-12.704375,178.509116,0.700160,-0.028216,0.101769,-0.706132,-0.001804,0.007489,0.000000,-0.634878,0.378792,-13.246608,0.003335,0.006303,0.000000,-0.267925,0.145949,-77.406462,0.022009,0.041601,0.000000,75513.638947,0.954954,0.000017,332.713216,9.716180,6.365487,184.051198,13.267222,44.825650,75.903847,32.989753,-106.971554,44.825650,29.260502,15917.239561,0.305098,77.406462,0.000196,372623.278135,527736.571476,900359.849611,0.000000,-14246.752141
7.200000,233.651024,-63.319194,2550.840139,42.628312,-12.473052,170.665410,0.699782,-0.025897,0.104486,-0.706199,0.003145,0.019968,0.000000,-0.557324,0.392642,-12.907605,0.018312,0.027192,0.000000,-0.867202,0.498726,-69.843099,0.120861,0.179465,0.000000,74541.501174,0.944968,0.000017,332.309739,10.770756,7.120198,176.350311,12.925597,44.415650,75.412375,32.989685,-106.971129,44.415650,30.818299,14422.798848,1.000371,69.843099,0.001348,342093.754041,550334.321925,892428.075966,-0.000000,-12316.852229
7.800000,259.128204,-70.737018,2650.934839,42.301527,-12.252988,163.014151,0.699236,-0.021958,0.107897,-0.706360,-0.000141,0.016556,0.000000,-0.503668,0.382926,-12.601968,0.014030,0.024210,0.000000,-0.755468,0.378667,-63.046959,0.092600,0.159786,0.000000,73638.360600,0.935256,0.000017,331.988570,11.976454,8.213308,168.858427,12.617841,44.040378,74.881725,32.989618,-106.970707,44.040378,33.206454,13052.475623,0.845070,63.046959,0.000905,313644.852913,571929.382959,885574.235872,0.000000,-10646.010353
8.400000,284.420583,-78.021996,2746.492004,42.009433,-12.033938,155.537501,0.698621,-0.017748,0.111639,-0.706505,-0.000917,0.016829,0.000000,-0.463927,0.359178,-12.324294,-0.003720,-0.001301,0.000000,-0.343878,0.084426,-56.871208,-0.024554,-0.008584,0.000000,72776.161563,0.925984,0.000017,331.681961,13.127495,9.256865,161.559655,12.338252,43.699063,74.307018,32.989552,-106.970289,43.699063,35.645549,11796.753204,0.354087,56.871208,0.000937,287116.745624,592545.487879,879662.233503,-0.000000,-9188.092843
