# Time (s), X (m), Y (m), Z (m), Vx (m/s), Vy (m/s), Vz (m/s), e0, e1, e2, e3, ω1 (rad/s), ω2 (rad/s), ω3 (rad/s), Ax (m/s2), Ay (m/s2), Az (m/s2), α1 (rad/s2), α2 (rad/s2), α3 (rad/s2), R1 (N), R2 (N), R3 (N), M1 (Nm), M2 (Nm), Aerodynamic Spin Moment (N m), Pressure (Pa), Density (kg/m³), Dynamic Viscosity (Pa s), Speed of Sound (m/s), Wind Velocity X (East) (m/s), Wind Velocity Y (North) (m/s), Speed - Velocity Magnitude (m/s), Acceleration Magnitude (m/s²), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Path Angle (°), Latitude (°), Longitude (°), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Spin Angle - φ (°), Dynamic Pressure (Pa), Aerodynamic Lift Force (N), Aerodynamic Drag Force (N), Rotational Kinetic Energy (J), Kinetic Energy (J), ((Scalar*9.80665)*Z (m)), Total Mechanical Energy (J), Thrust Power (W), Drag Power (W)
0.000000,0.000000,0.000000,1471.466078,0.000000,0.000000,0.000000,0.704416,-0.061628,0.061628,-0.704416,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.728202,0.180901,-0.025567,0.062987,0.253731,0.000000,85037.503364,1.050893,0.000018,336.580678,0.829079,3.286335,0.000000,0.000000,0.000000,0.000000,32.990254,-106.974998,0.000000,0.000000,6.035996,0.750335,0.025567,0.000000,0.000000,836312.666153,836312.666153,0.000000,-0.000000
0.600000,0.604398,-0.000001,1474.894087,2.211179,-0.000195,12.600452,0.704416,-0.061629,0.061628,-0.704416,-0.000115,-0.000476,0.000000,1.969644,-0.038114,22.937909,-0.022560,-0.092943,0.000000,-1.763768,0.445718,-0.468354,0.156551,0.627399,0.000000,85001.447917,1.050533,0.000018,336.567665,0.830144,3.287743,12.792987,22.855059,2.211179,80.044912,32.990254,-106.974988,2.211179,-0.000764,90.077525,1.819203,0.468354,-0.000001,4701.576466,831018.535267,835720.111734,23957.280177,-5.991705
1.200000,2.917200,-0.006636,1486.370081,5.481641,-0.068627,25.477087,0.703960,-0.055109,0.066579,-0.704961,0.005095,0.060833,0.000000,5.284340,-0.449581,20.569532,-0.007802,0.123695,0.000000,-3.111803,-0.114306,-1.838395,-0.056554,1.068071,0.000000,84886.628646,1.049352,0.000018,336.527374,0.944084,3.318030,26.060220,21.242223,5.482070,77.856449,32.990254,-106.974950,5.482070,5.344361,357.378355,3.113900,1.838395,0.014980,19334.878753,829970.395349,849305.274102,45808.950120,-47.909008
1.800000,7.132022,-0.211683,1505.235296,8.535279,-0.780566,37.212617,0.701745,-0.035445,0.087221,-0.706180,-0.015500,0.123183,0.000000,4.968434,-2.093390,18.621405,-0.060224,0.055029,0.000000,-2.011062,-1.316034,-3.861279,-0.480965,0.563833,0.000000,84697.992518,1.047413,0.000018,336.461204,1.133518,3.368313,38.186898,19.386189,8.570897,77.029696,32.990252,-106.974880,8.570897,22.703802,762.924003,2.403326,3.861279,0.059284,41166.587818,833432.726340,874599.314158,62535.160415,-147.450258
2.400000,13.153426,-1.180732,1530.803472,11.563205,-2.645589,47.830219,0.697790,-0.017435,0.119984,-0.705967,-0.054732,0.095642,0.000000,5.220449,-4.002895,16.690244,-0.050333,-0.153513,0.000000,2.216208,-1.353770,-6.338580,-0.429663,-1.026467,0.000000,84442.332484,1.044784,0.000018,336.371524,1.390259,3.436461,49.279171,17.939922,11.861992,76.071548,32.990243,-106.974780,11.861992,36.398296,1268.477751,2.596972,6.338580,0.044688,68006.871402,840805.977696,908812.849098,75658.720682,-312.359963
3.000000,21.049537,-3.527246,1562.305345,14.775878,-5.178532,56.800824,0.695996,-0.021642,0.140698,-0.703793,-0.052415,-0.018065,0.000000,5.420148,-4.061864,13.103101,0.063144,-0.150280,0.000000,2.872813,0.775806,-8.954147,0.395685,-1.077607,0.000000,84127.340516,1.041546,0.000018,336.261031,1.706584,3.520424,58.919244,14.750179,15.657067,74.589205,32.990222,-106.974649,15.657067,35.936107,1808.545335,2.975511,8.954147,0.010844,96508.944639,851863.197230,948372.141869,78786.116794,-527.571309
3.600000,30.892224,-7.309443,1598.600904,18.011455,-7.329780,63.937306,0.697113,-0.034356,0.140098,-0.702300,-0.006439,-0.012271,0.000000,5.117341,-3.068622,10.267868,0.048003,0.163307,0.000000,-2.729323,0.835385,-11.389840,0.320300,1.097743,0.000000,83764.415764,1.037814,0.000018,336.133724,2.071044,3.617165,66.829015,11.876637,19.445775,73.083480,32.990188,-106.974486,19.445775,31.009042,2315.316797,2.854208,11.389840,0.000652,123359.969012,866033.729303,989393.698316,78075.365182,-761.171691
4.200000,42.396362,-12.127468,1637.934463,19.936569,-8.510025,65.612026,0.695381,-0.027689,0.149566,-0.702359,-0.020085,0.074297,0.000000,1.621263,-1.124076,-3.451658,-0.071370,0.028745,0.000000,-1.038446,-1.273682,-12.082998,-0.478684,0.210874,0.000000,83371.113590,1.033770,0.000018,335.995761,2.466010,3.722003,69.100110,3.975392,21.676884,71.717491,32.990145,-106.974296,21.676884,34.225655,2460.259532,1.643360,12.082998,0.019637,131401.781537,884078.652071,1015480.433608,26142.027278,-834.936481
4.800000,54.496617,-17.336781,1676.080035,20.202040,-8.718112,60.784149,0.692408,-0.023486,0.169310,-0.700966,-0.046881,0.024651,0.000000,-0.056306,0.007963,-9.992437,0.000628,-0.115696,0.000000,1.754730,-0.216618,-10.538954,0.004145,-0.763591,0.000000,82989.690268,1.029848,0.000018,335.861965,2.849047,3.823674,64.643953,9.992599,22.002907,70.100540,32.990098,-106.974096,22.002907,36.750461,2138.549922,1.768051,10.538954,0.009258,114918.128814,904020.165341,1018938.294155,0.000750,-681.279678
5.400000,66.609143,-22.564034,1710.754050,20.174547,-8.701492,54.799892,0.691781,-0.030789,0.179117,-0.698862,-0.033021,0.005158,0.000000,-0.041441,0.050572,-9.953168,0.022275,0.055887,0.000000,-0.976457,0.241267,-8.766916,0.147016,0.368851,0.000000,82642.979574,1.026284,0.000018,335.740345,3.197224,3.916092,59.040295,9.953382,21.971078,68.152528,32.990051,-106.973895,21.971078,34.954733,1770.575652,1.006555,8.766916,0.003686,95858.305054,922722.141494,1018580.446548,0.000001,-517.601329
6.000000,78.705972,-27.774529,1741.844767,20.147274,-8.666275,48.839408,0.689827,-0.031169,0.191864,-0.697392,-0.035848,0.055596,0.000000,-0.050145,0.056562,-9.917528,-0.030915,0.075455,0.000000,-1.553478,-0.647556,-7.186144,-0.204042,0.498005,0.000000,82332.098822,1.023087,0.000018,335.631294,3.509420,3.998960,53.537882,9.917816,21.932100,65.816790,32.990004,-106.973695,21.932100,35.460342,1443.838921,1.683040,7.186144,0.014441,78823.396670,939491.409098,1018314.805768,0.000000,-384.730956
6.600000,90.785069,-32.965637,1769.364736,20.116342,-8.640055,42.896025,0.685167,-0.026450,0.216155,-0.695071,-0.060346,0.074905,0.000000,-0.050635,0.031208,-9.895250,-0.041657,-0.007564,0.000000,-0.224032,-0.924314,-5.791657,-0.274934,-0.049923,0.000000,82056.922506,1.020258,0.000018,335.534768,3.785761,4.072310,48.160012,9.895428,21.893327,62.961086,32.989958,-106.973495,21.893327,37.612387,1157.156516,0.951153,5.791657,0.030532,63783.165991,954334.738110,1018117.904101,-0.000000,-278.926276
7.200000,102.846202,-38.144868,1793.322363,20.088249,-8.624771,36.964719,0.679830,-0.026620,0.245141,-0.690672,-0.080312,0.062625,0.000000,-0.042709,0.023755,-9.875269,-0.025121,-0.018629,0.000000,0.049551,-0.702450,-4.579572,-0.165798,-0.122948,0.000000,81817.366596,1.017795,0.000017,335.450736,4.026330,4.136166,42.945487,9.875390,21.861482,59.399302,32.989911,-106.973295,21.861482,38.349162,909.510095,0.704191,4.579572,0.034227,50718.693481,967256.661178,1017975.354659,0.000000,-196.671963
7.800000,114.891865,-43.315081,1813.725001,20.064500,-8.608475,31.046394,0.674326,-0.031789,0.275475,-0.684387,-0.093983,0.063261,0.000000,-0.037337,0.031377,-9.852158,-0.024294,0.023135,0.000000,-0.620248,-0.702728,-3.546997,-0.160338,0.152689,0.000000,81613.357547,1.015697,0.000017,335.379173,4.231202,4.190546,37.954823,9.852279,21.833231,54.883376,32.989865,-106.973096,21.833231,37.993141,700.011766,0.937301,3.546997,0.042354,39615.678926,978261.145450,1017876.824375,0.000000,-134.625661
8.400000,126.923944,-48.474080,1830.580851,20.042506,-8.587611,25.142067,0.666729,-0.037335,0.311333,-0.676128,-0.113108,0.088166,0.000000,-0.036502,0.037101,-9.829275,-0.041300,0.055925,0.000000,-1.216266,-1.008349,-2.691999,-0.272578,0.369105,0.000000,81444.813362,1.013964,0.000017,335.320051,4.400460,4.235473,33.280214,9.829413,21.804795,49.066096,32.989818,-106.972896,21.804795,37.760816,527.884235,1.579896,2.691999,0.067870,30458.314704,987352.613871,1017810.928575,-0.000000,-89.590307
9.000000,138.942841,-53.619915,1843.898082,20.020420,-8.565218,19.250736,0.654510,-0.041227,0.358132,-0.664573,-0.144489,0.126040,0.000000,-0.037109,0.036721,-9.808927,-0.063365,0.067812,0.000000,-1.479370,-1.420098,-2.013745,-0.418208,0.447561,0.000000,81311.652366,1.012595,0.000017,335.273341,4.534184,4.270968,29.064945,9.809066,21.775679,41.478213,32.989772,-106.972697,21.775679,37.996153,392.472733,2.050662,2.013745,0.121319,23231.324826,994535.472121,1017766.796947,-0.000000,-58.529398
9.600000,150.948406,-58.752620,1853.684041,19.998156,-8.544150,13.370963,0.635248,-0.044380,0.419159,-0.647144,-0.188912,0.168124,0.000000,-0.036855,0.033255,-9.790504,-0.084467,0.072378,0.000000,-1.610688,-1.833190,-1.512526,-0.557480,0.477694,0.000000,81213.801092,1.011589,0.000017,335.239017,4.632449,4.297051,25.528632,9.790630,21.746925,31.584966,32.989726,-106.972499,21.746925,38.424603,293.251546,2.440268,1.512526,0.211047,17922.274368,999813.683102,1017735.957470,-0.000000,-38.612698
10.200000,162.940763,-63.873381,1859.945408,19.976582,-8.525504,7.502076,0.606092,-0.048448,0.495778,-0.620086,-0.245663,0.213457,0.000000,-0.034653,0.028743,-9.772380,-0.104624,0.079466,0.000000,-1.787002,-2.252911,-1.189661,-0.690521,0.524476,0.000000,81151.192744,1.010945,0.000017,335.217055,4.695322,4.313740,22.978886,9.772484,21.719761,19.055076,32.989680,-106.972300,21.719761,38.764827,229.810185,2.875584,1.189661,0.349516,14521.151887,1003190.849837,1017712.001724,0.000000,-27.337086
10.800000,174.920733,-68.983845,1862.688336,19.957219,-8.510014,1.644213,0.563027,-0.054531,0.587815,-0.578354,-0.314243,0.264114,0.000000,-0.029179,0.022408,-9.753883,-0.123424,0.089458,0.000000,-2.041814,-2.693184,-1.046522,-0.814598,0.590424,0.000000,81123.765794,1.010663,0.000017,335.207434,4.722865,4.321050,21.758116,9.753953,21.695874,4.333822,32.989634,-106.972102,21.695874,38.930591,201.842146,3.379681,1.046522,0.556067,13019.450537,1004670.291316,1017689.741853,0.000000,-22.770202
11.400000,186.890371,-74.086372,1861.920230,19.942624,-8.499429,-4.203322,0.500742,-0.062910,0.692371,-0.515670,-0.391664,0.319509,0.000000,-0.018712,0.012268,-9.739253,-0.130841,0.092355,0.000000,-2.233991,-2.988007,-1.071902,-0.863550,0.609542,0.000000,81131.446196,1.010742,0.000017,335.210128,4.715152,4.319003,22.082038,9.739352,21.678296,-10.973234,32.989588,-106.971904,21.678296,38.966812,209.150784,3.747849,1.071902,0.843106,13410.291760,1004256.001520,1017666.293281,0.000000,-23.620590
12.000000,198.853376,-79.184559,1857.645192,19.934152,-8.494709,-10.045337,0.414587,-0.072955,0.800557,-0.426542,-0.462021,0.367811,0.000000,-0.067518,0.052085,-9.642844,-0.091347,0.059366,0.000000,-6.015986,1.015362,2.813883,-0.602889,0.391816,0.000000,81174.192949,1.011182,0.000017,335.225123,4.672225,4.307609,23.883703,9.667951,21.668653,-24.872956,32.989542,-106.971705,21.668653,38.978560,251.640368,8.583940,-2.813883,1.150873,15687.711114,1001950.192182,1017637.903296,0.000000,76.548373
12.600000,210.789019,-84.261399,1849.896317,19.579479,-8.200923,-15.299108,0.331350,-0.080916,0.876821,-0.338887,-0.483071,0.378158,0.000000,-2.752872,2.294234,-4.939290,-0.000247,0.000389,0.000000,-190.798699,159.024996,194.650444,-0.001630,0.002570,0.000000,81251.675114,1.011978,0.000017,335.252302,4.594415,4.286955,26.166276,6.075486,21.227603,-35.780932,32.989496,-106.971508,21.227603,39.083240,310.961807,248.364071,-194.650444,1.241990,18829.778663,997770.714528,1016600.493190,-0.000000,5093.293776
13.200000,222.062252,-88.787691,1839.849293,18.021093,-6.907942,-18.131879,0.331338,-0.080917,0.876831,-0.338874,-0.483070,0.378156,0.000000,-2.479896,2.047213,-4.456216,0.000083,-0.000131,0.000000,-171.907107,141.908645,230.772957,0.000549,-0.000866,0.000000,81352.136815,1.013011,0.000017,335.287542,4.493528,4.260176,26.481008,5.504585,19.299728,-43.212973,32.989456,-106.971322,19.299728,39.083267,322.383930,222.918448,-230.772957,1.241984,19285.450805,992351.694057,1011637.144862,0.000000,6111.391263
13.800000,232.437118,-92.572382,1828.206709,16.579780,-5.724800,-20.619600,0.331341,-0.080917,0.876828,-0.338877,-0.483070,0.378157,0.000000,-2.317064,1.890026,-3.858379,-0.000009,0.000014,0.000000,-160.660835,131.051380,271.393459,-0.000060,0.000094,0.000000,81468.552771,1.014208,0.000017,335.328379,4.376620,4.229145,27.070828,4.880303,17.540308,-49.613421,32.989422,-106.971150,17.540308,39.083259,341.365067,207.330938,-271.393459,1.241986,20154.065046,986072.082671,1006226.147717,-0.000000,7346.764851
14.400000,241.977952,-95.676809,1815.173408,15.239093,-4.639013,-22.768743,0.331341,-0.080917,0.876828,-0.338877,-0.483070,0.378157,0.000000,-2.155936,1.732358,-3.306278,-0.000002,0.000004,0.000000,-149.529229,120.151293,309.667454,-0.000015,0.000024,0.000000,81598.874704,1.015548,0.000017,335.374093,4.245746,4.194406,27.787824,4.310214,15.929545,-55.022455,32.989394,-106.970992,15.929545,39.083260,364.224627,191.820921,-309.667454,1.241986,21235.752194,979042.366770,1000278.118963,-0.000000,8604.969569
15.000000,250.742621,-98.157603,1800.947810,13.991952,-3.645602,-24.595392,0.331341,-0.080917,0.876828,-0.338877,-0.483070,0.378156,0.000000,-2.002825,1.580150,-2.787711,0.000001,-0.000001,0.000000,-138.951284,109.627050,345.599871,0.000004,-0.000006,0.000000,81741.118601,1.017011,0.000017,335.423990,4.102901,4.156490,28.530650,3.778910,14.459085,-59.549713,32.989372,-106.970847,14.459085,39.083260,388.294000,176.990288,-345.599871,1.241986,22386.181410,971369.566269,993755.747679,0.000000,9860.197242
15.600000,258.786317,-100.069557,1785.716823,12.835035,-2.742324,-26.123893,0.331341,-0.080917,0.876828,-0.338877,-0.483070,0.378157,0.000000,-1.853938,1.431020,-2.315678,-0.000000,0.000000,0.000000,-128.662905,99.312515,378.291300,-0.000001,0.000001,0.000000,81893.415529,1.018577,0.000018,335.477412,3.949960,4.115894,29.235521,3.293497,13.124728,-63.324914,32.989354,-106.970714,13.124728,39.083260,411.727468,162.533432,-378.291300,1.241986,23505.922583,963154.493708,986660.416291,-0.000000,11059.536918
16.200000,266.162392,-101.466139,1769.650365,11.766421,-1.927609,-27.385386,0.331341,-0.080917,0.876828,-0.338877,-0.483070,0.378157,0.000000,-1.708658,1.285206,-1.898661,0.000000,-0.000000,0.000000,-118.620392,89.223032,407.189264,0.000000,-0.000000,0.000000,82054.066463,1.020228,0.000018,335.533766,3.788629,4.073072,29.868439,2.859408,11.923269,-66.472275,32.989342,-106.970591,11.923269,39.083260,433.399431,148.430278,-407.189264,1.241986,24534.640078,954488.796380,979023.436458,0.000000,12162.106521
16.800000,272.923081,-102.399780,1752.898949,10.783464,-1.198875,-28.413658,0.331341,-0.080917,0.876828,-0.338877,-0.483070,0.378157,0.000000,-1.568740,1.144803,-1.538544,-0.000000,0.000000,0.000000,-108.945022,79.503666,432.151915,-0.000000,0.000000,0.000000,82221.566389,1.021951,0.000018,335.592521,3.620420,4.028423,30.414733,2.477625,10.849903,-69.100395,32.989333,-106.970479,10.849903,39.083260,452.708472,134.869754,-432.151915,1.241986,25440.280041,945453.656548,970893.936589,-0.000000,13143.781837
17.400000,279.118850,-102.921116,1735.593479,9.882473,-0.552351,-29.242508,0.331341,-0.080917,0.876828,-0.338877,-0.483070,0.378157,0.000000,-1.436005,1.011802,-1.233666,-0.000000,0.000000,0.000000,-99.763046,70.292536,453.293940,-0.000000,0.000000,0.000000,82394.606392,1.023730,0.000018,335.653221,3.446648,3.982298,30.872194,2.146575,9.897897,-71.300266,32.989329,-106.970377,9.897897,39.083260,469.434799,122.039773,-453.293940,1.241986,26211.281074,936119.678604,962330.959678,-0.000000,13994.176986
18.000000,284.797427,-103.077984,1717.842438,9.058579,0.016999,-29.904063,0.331341,-0.080917,0.876828,-0.338877,-0.483070,0.378157,0.000000,-1.311993,0.887775,-0.979633,0.000000,-0.000000,0.000000,-91.181473,61.698942,470.917051,0.000000,-0.000000,0.000000,82572.101694,1.025555,0.000018,335.715483,3.268402,3.934985,31.245965,1.862565,9.058596,-73.147316,32.989327,-106.970283,9.058596,39.083260,483.615123,110.094603,-470.917051,1.241986,26849.772166,926545.374846,953395.147013,0.000000,14714.251228
18.600000,290.003425,-102.914998,1699.737125,8.306196,0.514910,-30.427125,0.331341,-0.080917,0.876828,-0.338877,-0.483070,0.378157,0.000000,-1.197700,0.773706,-0.770772,-0.000000,0.000000,0.000000,-83.269816,53.791712,485.412258,-0.000000,0.000000,0.000000,82753.139603,1.027416,0.000018,335.778987,3.086601,3.886729,31.544682,1.620860,8.322141,-74.703149,32.989329,-106.970197,8.322141,39.083260,495.431402,99.133293,-485.412258,1.241986,27365.576867,916779.989052,944145.565919,-0.000000,15312.165733
