# Time (s), X (m), Y (m), Z (m), Vx (m/s), Vy (m/s), Vz (m/s), e0, e1, e2, e3, ω1 (rad/s), ω2 (rad/s), ω3 (rad/s), Ax (m/s2), Ay (m/s2), Az (m/s2), α1 (rad/s2), α2 (rad/s2), α3 (rad/s2), R1 (N), R2 (N), R3 (N), M1 (Nm), M2 (Nm), Aerodynamic Spin Moment (N m), Pressure (Pa), Density (kg/m³), Dynamic Viscosity (Pa s), Speed of Sound (m/s), Wind Velocity X (East) (m/s), Wind Velocity Y (North) (m/s), Speed - Velocity Magnitude (m/s), Acceleration Magnitude (m/s²), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Path Angle (°), Latitude (°), Longitude (°), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Spin Angle - φ (°), Dynamic Pressure (Pa), Aerodynamic Lift Force (N), Aerodynamic Drag Force (N), Rotational Kinetic Energy (J), Kinetic Energy (J), ((Scalar*9.80665)*Z (m)), Total Mechanical Energy (J), Thrust Power (W), Drag Power (W)
0.000000,0.000000,0.000000,1400.000000,0.000000,0.000000,0.000000,0.704416,-0.061628,0.061628,-0.704416,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.685442,-0.256559,1.886221,-0.000000,0.000000,85598.771785,0.993995,0.000018,347.220687,10.000000,0.000000,0.000000,0.000000,0.000000,0.000000,32.990254,-106.974998,0.000000,0.000000,49.699771,6.685442,0.256559,0.000000,0.000000,315168.831651,315168.831651,0.000000,-0.000000
0.600000,4.042837,0.000000,1422.421245,14.168969,0.000000,78.480076,0.705296,-0.050566,0.050566,-0.705296,0.214834,0.000000,0.000000,23.416107,0.000001,145.804122,0.755748,0.000001,0.000000,-0.000013,21.175845,-14.963267,6.156009,0.000004,0.000000,85364.067309,0.991270,0.000018,347.220687,10.000000,0.000000,79.748868,147.672460,14.168969,79.765937,32.990254,-106.974931,14.168969,0.000001,3061.290655,21.175825,14.963267,0.184924,70030.706091,307197.203521,377227.909613,277560.225519,-1193.304404
1.200000,15.175633,-0.000001,1496.869220,20.452461,-0.000004,169.323824,0.707005,-0.012032,0.012032,-0.707005,-0.181669,-0.000000,0.000000,3.821480,-0.000009,146.088191,-1.444493,-0.000003,0.000000,0.000063,-30.913069,-68.182312,-10.668820,-0.000022,0.000000,84588.484394,0.982264,0.000018,347.220687,10.000000,0.000000,170.554568,146.138169,20.452461,83.112664,32.990254,-106.974747,20.452461,0.000071,14134.682049,30.898800,68.182312,0.121099,305587.373007,308420.371416,614007.744423,570413.271441,-11628.804995
1.800000,29.269412,0.000001,1624.034444,26.291466,0.000015,251.968136,0.706841,-0.019437,0.019437,-0.706841,-0.116009,-0.000000,0.000000,4.443548,0.000018,93.474257,-1.542614,-0.000013,0.000000,0.000198,-24.776024,-158.079990,-10.320828,-0.000087,0.000000,83276.906873,0.967033,0.000018,347.220687,10.000000,0.000000,253.336106,93.579816,26.291466,84.043063,32.990254,-106.974513,26.291466,-0.000237,30825.808463,24.776024,158.079990,0.044918,644956.679906,320097.466579,965054.146485,566372.419704,-40047.369165
2.400000,45.321573,0.000011,1777.478031,26.652217,0.000016,251.389622,0.706654,-0.025344,0.025344,-0.706654,-0.035022,-0.000000,0.000000,0.170069,-0.000000,-17.562268,1.069082,0.000008,0.000000,-0.000115,14.504381,-154.470186,7.055939,0.000056,0.000000,81716.268773,0.948911,0.000018,347.220687,10.000000,0.000000,252.798502,17.563090,26.652217,83.948134,32.990254,-106.974248,26.652217,-0.000309,30115.599619,14.508230,154.470186,0.004051,639070.831430,348622.098631,987692.930061,0.000000,-39049.831653
3.000000,61.240668,0.000020,1925.202272,26.406085,0.000014,241.097841,0.706682,-0.024542,0.024542,-0.706682,0.035707,0.000000,0.000000,-0.321185,-0.000002,-16.787173,0.180802,0.000001,0.000000,-0.000025,3.277150,-139.719731,1.193291,0.000009,0.000000,80236.258925,0.931725,0.000018,347.220687,10.000000,0.000000,242.539585,16.790246,26.406085,83.749630,32.990254,-106.973984,26.406085,-0.000294,27205.111353,3.312467,139.719731,0.004206,588254.506934,377595.697274,965850.204208,0.000000,-33887.565543
3.600000,76.988236,0.000028,2066.889298,26.121166,0.000013,231.265397,0.706693,-0.024215,0.024215,-0.706693,0.014727,0.000000,0.000000,-0.542071,-0.000004,-16.014041,-0.176784,-0.000003,0.000000,0.000049,-2.317930,-124.598732,-1.166776,-0.000022,0.000000,78837.200920,0.915478,0.000018,347.220687,10.000000,0.000000,232.735900,16.023213,26.121166,83.555817,32.990254,-106.973723,26.121166,-0.000241,24600.538284,2.320394,124.598732,0.000716,541659.990396,405385.198685,947045.189080,-0.000000,-28998.598006
4.200000,92.577100,0.000035,2202.805772,25.860840,0.000012,221.853863,0.706671,-0.024854,0.024854,-0.706671,0.000145,-0.000000,0.000000,-0.489832,-0.000002,-15.360649,-0.133454,-0.000001,0.000000,0.000017,-1.968628,-111.493768,-0.880794,-0.000007,0.000000,77513.750778,0.900110,0.000018,347.220687,10.000000,0.000000,223.356038,15.368456,25.860840,83.351209,32.990254,-106.973465,25.860840,-0.000246,22264.538123,1.969702,111.493768,0.000002,498879.197610,432042.904565,930922.102175,-0.000000,-24902.806368
4.800000,108.021472,0.000042,2333.187772,25.627844,0.000011,212.810002,0.706642,-0.025667,0.025666,-0.706642,-0.003234,-0.000000,0.000000,-0.419746,-0.000002,-14.788082,-0.073199,-0.000000,0.000000,0.000006,-1.144899,-99.975135,-0.483114,-0.000002,0.000000,76261.153741,0.885565,0.000018,347.220687,10.000000,0.000000,214.347576,14.794037,25.627844,83.133170,32.990254,-106.973209,25.627844,-0.000248,20160.907066,1.146235,99.975135,0.000035,459448.832444,457615.117250,917063.949694,-0.000000,-21429.427835
5.400000,123.333016,0.000048,2458.242754,25.414964,0.000010,204.090636,0.706612,-0.026489,0.026489,-0.706612,-0.003351,-0.000000,0.000000,-0.369208,-0.000002,-14.281611,-0.040553,-0.000000,0.000000,0.000006,-0.662728,-89.800869,-0.267649,-0.000002,0.000000,75075.183279,0.871793,0.000018,347.220687,10.000000,0.000000,205.666984,14.286382,25.414964,82.901622,32.990254,-106.972956,25.414964,-0.000243,18259.964554,0.663876,89.800869,0.000037,422989.081525,482142.526143,905131.607668,-0.000000,-18469.073929
