# Time (s), X (m), Y (m), Z (m), Vx (m/s), Vy (m/s), Vz (m/s), e0, e1, e2, e3, ω1 (rad/s), ω2 (rad/s), ω3 (rad/s), Ax (m/s2), Ay (m/s2), Az (m/s2), α1 (rad/s2), α2 (rad/s2), α3 (rad/s2), R1 (N), R2 (N), R3 (N), M1 (Nm), M2 (Nm), Aerodynamic Spin Moment (N m), Pressure (Pa), Density (kg/m³), Dynamic Viscosity (Pa s), Speed of Sound (m/s), Wind Velocity X (East) (m/s), Wind Velocity Y (North) (m/s), Speed - Velocity Magnitude (m/s), Acceleration Magnitude (m/s²), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Path Angle (°), Latitude (°), Longitude (°), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Spin Angle - φ (°), Dynamic Pressure (Pa), Aerodynamic Lift Force (N), Aerodynamic Drag Force (N), Rotational Kinetic Energy (J), Kinetic Energy (J), ((Scalar*9.80665)*Z (m)), Total Mechanical Energy (J), Thrust Power (W), Drag Power (W)
0.000000,0.000000,0.000000,1400.000000,0.000000,0.000000,0.000000,0.704416,-0.061628,0.061628,-0.704416,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.637864,-0.254719,1.872793,-0.000000,0.000000,85598.771785,0.986922,0.000019,348.462673,10.000000,0.000000,0.000000,0.000000,0.000000,0.000000,32.990254,-106.974998,0.000000,0.000000,49.346124,6.637864,0.254719,0.000000,0.000000,315168.831651,315168.831651,0.000000,-0.000000
0.600000,2.738992,-0.000000,1415.355415,10.700313,-0.000000,58.478674,0.704510,-0.060547,0.060547,-0.704510,0.027836,-0.000000,0.000000,22.128685,-0.000000,112.280069,0.060666,-0.000000,0.000000,0.000000,20.779154,-8.359071,6.344030,-0.000000,0.000000,85437.975765,0.985069,0.000019,348.462673,10.000000,0.000000,59.449575,114.439909,10.700313,79.630839,32.990254,-106.974953,10.700313,0.000000,1684.588265,20.779154,8.359071,0.003167,39366.537256,309204.534853,348571.072108,164814.006798,-496.943227
1.200000,12.860656,0.000000,1469.610610,21.421498,0.000000,113.724940,0.705295,-0.050587,0.050587,-0.705295,0.082447,0.000000,0.000000,8.222124,0.000000,39.907148,0.000204,-0.000000,0.000000,-0.000002,21.491536,-30.812150,6.981859,0.000000,0.000000,84871.793733,0.978541,0.000019,348.462673,10.000000,0.000000,115.724857,40.745353,21.421498,79.332621,32.990254,-106.974785,21.421498,0.000000,6391.736123,21.491536,30.812150,0.026404,144925.023784,311919.798989,456844.822773,129745.715126,-3565.731693
1.800000,27.015249,0.000000,1545.153592,25.538437,0.000000,138.278370,0.705953,-0.040384,0.040384,-0.705953,0.013337,0.000000,0.000000,6.018878,0.000000,41.837387,-0.079387,0.000000,0.000000,-0.000015,1.745049,-45.118430,0.560155,0.000005,0.000000,84088.525943,0.969510,0.000019,348.462673,10.000000,0.000000,140.616924,42.268116,25.538437,79.536033,32.990254,-106.974551,25.538437,0.000002,9385.995274,1.780427,45.118430,0.000671,210845.244216,323155.050814,534000.295030,162265.750980,-6344.414616
2.400000,43.403932,0.000000,1635.729699,29.079533,-0.000000,163.665443,0.705949,-0.040435,0.040435,-0.705949,-0.006443,0.000000,0.000000,5.866144,-0.000003,41.969952,-0.005236,-0.000000,0.000000,-0.000013,-1.678533,-62.708785,-0.599473,0.000004,0.000000,83157.114193,0.958771,0.000019,348.462673,10.000000,0.000000,166.228747,42.377925,29.079533,79.925017,32.990254,-106.974279,29.079533,0.000038,13015.511684,1.678533,62.708785,0.000152,290254.903244,336999.697372,627254.600616,192396.611895,-10424.002703
3.000000,61.904340,-0.000001,1741.343463,32.566769,-0.000003,188.008291,0.705867,-0.041852,0.041852,-0.705867,-0.006417,0.000000,0.000000,5.639969,-0.000005,38.186469,0.001389,-0.000000,0.000000,-0.000006,-1.383084,-82.397968,-0.511953,0.000002,0.000000,82081.635024,0.946371,0.000019,348.462673,10.000000,0.000000,190.808050,38.600721,32.566769,80.172748,32.990254,-106.973973,32.566769,0.000049,16966.720431,1.383084,82.397968,0.000147,376947.308227,353608.240805,730555.549032,206650.702247,-15722.220824
3.600000,82.429195,-0.000003,1860.672735,35.796703,-0.000006,209.167558,0.705790,-0.043132,0.043132,-0.705790,-0.005739,0.000000,0.000000,5.112608,-0.000005,32.325686,0.000773,-0.000000,0.000000,-0.000005,-1.074351,-102.339633,-0.411549,0.000002,0.000000,80880.069533,0.932518,0.000019,348.462673,10.000000,0.000000,212.208556,32.727492,35.796703,80.288546,32.990254,-106.973633,35.796703,0.000055,20709.600377,1.074351,102.339633,0.000114,459853.117826,372661.057279,832514.175105,205656.966981,-21717.356292
4.200000,104.788614,-0.000008,1991.604205,38.655503,-0.000008,226.521127,0.705717,-0.044307,0.044307,-0.705717,-0.005420,0.000000,0.000000,4.306457,-0.000004,24.710062,0.000405,-0.000000,0.000000,-0.000003,-0.844458,-120.484821,-0.330615,0.000001,0.000000,79578.105911,0.917506,0.000019,348.462673,10.000000,0.000000,229.795712,25.082528,38.655503,80.315843,32.990254,-106.973263,38.655503,0.000060,23916.161495,0.844458,120.484821,0.000099,532447.404248,393864.258945,926311.663194,188878.895839,-27686.894947
4.800000,128.592884,-0.000013,2130.619455,40.269459,-0.000010,233.473421,0.705641,-0.045502,0.045502,-0.705641,-0.005581,0.000000,0.000000,0.625533,-0.000001,-4.864340,0.002386,-0.000000,0.000000,0.000000,-0.273527,-127.038454,-0.078827,-0.000000,0.000000,78214.386369,0.901783,0.000019,348.462673,10.000000,0.000000,236.920804,4.909602,40.269459,80.213918,32.990254,-106.972869,40.269459,0.000063,24991.153651,0.273527,127.038454,0.000103,561610.018619,418104.662699,979714.681318,53715.656400,-30098.052531
5.400000,152.671048,-0.000019,2268.312742,39.904609,-0.000010,224.846608,0.705564,-0.046679,0.046679,-0.705564,-0.005477,0.000000,0.000000,-0.763836,0.000001,-15.489180,-0.005317,0.000000,0.000000,-0.000001,-0.171328,-114.672609,-0.035091,0.000000,0.000000,76882.351247,0.886425,0.000019,348.462673,10.000000,0.000000,228.360187,15.508002,39.904609,79.936230,32.990254,-106.972470,39.904609,0.000062,22803.417338,0.171328,114.672609,0.000099,521483.750328,444890.982974,966374.733302,-0.000002,-26186.658529
