id,rocket mass (kg),time (s),motor type,impulse (N*s),burn out (s),nozzle radius (m),throat radius (m),radius (kg*m^2),distance rocket nozzle (m),distance rocket propellant (m),nose length (m),nose distance to cm (m),fin span (m),fin distance to cm (m),rail length (m),latitude,longitude,Phase 1 - Rail Launch,Phase 2 - Powered Flight,Apogee,Phase 3 - Drogue Parachute Deployment,Phase 4 - Descent Under Drogue Parachute,Phase 5 - Main Parachute Deployment,Phase 6 - Descent Under Main Parachute,Phase 7 - Impact,No. Stages,apogee X,apogee Y,apogee Z,x impact,y impact,impact velocity,temperature,E wind start,E wind end,N wind start,N wind end,Burn out time,Nozzle Distance,Propellant
1,20.0,255.1470861919843,Cesaroni_M1300,6420.952724999999,4.901,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.323602017784058,25.277259416078067,25.28571428571429,26.78571428571429,121.45714285714287,122.95714285714287,255.1470861919843,7,558.449975984198,0.0005010801727945008,4341.579322262055,2921.2364555756026,0.0006151161703882176,-6.155857283109675,288.15,0,10,-2,0,3.6,-1.255,-0.85704
2,20.0,254.99565292762603,Cesaroni_M1300,6420.952724999999,4.901,0.033,0.011,0.0635,-0.7549999999999999,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.34100727487259447,25.28338557822513,25.28571428571429,26.78571428571429,121.43809523809524,122.93809523809524,254.99565292762603,7,558.6012845909196,9.963386489040891e-05,4342.697260661263,2919.8175959041328,0.00013083785764628076,-6.161197078864821,288.65,0,10,-2,0,3.6,-0.7549999999999999,-0.85704
3,20.0,254.83778886493496,Cesaroni_M1300,6420.952724999999,4.901,0.033,0.011,0.0635,-0.2549999999999999,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.35731190355669684,25.288036728931903,25.295238095238098,26.795238095238098,121.3904761904762,122.8904761904762,254.83778886493496,7,562.5774686569955,0.0005827494866004304,4343.40141829632,2923.016058784163,0.0007221786552825358,-6.166532255176857,289.15,0,10,-2,0,3.6,-0.2549999999999999,-0.85704
4,20.0,254.69072014632954,Cesaroni_M1300,6420.952724999999,4.901,0.033,0.011,0.0635,0.2450000000000001,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.3699927300356004,25.29391248459964,25.295238095238098,26.795238095238098,121.37142857142858,122.87142857142858,254.69072014632954,7,569.180015820227,-5.681364855941394e-05,4344.419430575501,2929.4059407835216,-5.091110507380632e-05,-6.171862823899004,289.65,0,10,-2,0,3.6,0.2450000000000001,-0.85704
5,20.0,254.56224340504028,Cesaroni_M1300,6420.952724999999,4.901,0.033,0.011,0.0635,0.7450000000000001,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.354449090555171,25.30145899235173,25.304761904761907,26.804761904761907,121.36190476190477,122.86190476190477,254.56224340504028,7,568.2874409379234,0.0007518880174853675,4345.938144457628,2926.9846235307054,0.0009287195518089517,-6.177188797044969,290.15,0,10,-2,0,3.6,0.7450000000000001,-0.85704
6,20.0,254.4405791559489,Cesaroni_M1300,6420.952724999999,4.901,0.033,0.011,0.0635,1.245,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.3379616507835176,25.308425250383635,25.314285714285717,26.814285714285717,121.34285714285716,122.84285714285716,254.4405791559489,7,571.1316374031688,2.168002612614007e-06,4347.295208411176,2929.1369928346485,7.078160862195e-06,-6.1825101865161205,290.65,0,10,-2,0,3.6,1.245,-0.85704
7,20.0,254.28319042390874,Cesaroni_M1300,6420.952724999999,4.901,0.033,0.011,0.0635,1.745,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.3203333661930778,25.314320733335958,25.323809523809526,26.823809523809526,121.32380952380953,122.82380952380953,254.28319042390874,7,577.6156300175466,-0.00015705857430364046,4348.348104977617,2935.329487100283,-0.0001664234502623102,-6.187827003967454,291.15,0,10,-2,0,3.6,1.745,-0.85704
8,20.0,254.1449491244273,Cesaroni_M1300,6420.952724999999,4.901,0.033,0.011,0.0635,2.245,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.30128955427338616,25.31962576446801,25.323809523809526,26.823809523809526,121.2952380952381,122.7952380952381,254.1449491244273,7,587.3262647984003,8.536951616401548e-05,4349.213556571424,2945.542003328259,0.00011602996393149532,-6.193139261385804,291.65,0,10,-2,0,3.6,2.245,-0.85704
9,20.0,253.98480726555053,Cesaroni_M1300,6420.952724999999,4.901,0.033,0.011,0.0635,2.745,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.2804363076019711,25.32408457395391,25.333333333333336,26.833333333333336,121.25714285714287,122.75714285714287,253.98480726555053,7,600.0049835894407,0.00033247394342748047,4349.850219568823,2959.160521865997,0.000415463541131041,-6.1984469703596075,292.15,0,10,-2,0,3.6,2.745,-0.85704
10,20.0,253.80736894041738,Cesaroni_M1300,6420.952724999999,4.901,0.033,0.011,0.0635,3.245,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.25725714532383753,25.326553348078452,25.333333333333336,26.833333333333336,121.20000000000002,122.70000000000002,253.80736894041738,7,614.8640523012913,0.0003541347886293648,4349.949793377221,2975.179927800458,0.00044585656660083,-6.203750142610256,292.65,0,10,-2,0,3.6,3.245,-0.85704
