# Time (s), X (m), Y (m), Z (m), Vx (m/s), Vy (m/s), Vz (m/s), e0, e1, e2, e3, ω1 (rad/s), ω2 (rad/s), ω3 (rad/s), Ax (m/s2), Ay (m/s2), Az (m/s2), α1 (rad/s2), α2 (rad/s2), α3 (rad/s2), R1 (N), R2 (N), R3 (N), M1 (Nm), M2 (Nm), Aerodynamic Spin Moment (N m), Pressure (Pa), Density (kg/m³), Dynamic Viscosity (Pa s), Speed of Sound (m/s), Wind Velocity X (East) (m/s), Wind Velocity Y (North) (m/s), Speed - Velocity Magnitude (m/s), Acceleration Magnitude (m/s²), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Path Angle (°), Latitude (°), Longitude (°), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Spin Angle - φ (°), Dynamic Pressure (Pa), Aerodynamic Lift Force (N), Aerodynamic Drag Force (N), Rotational Kinetic Energy (J), Kinetic Energy (J), ((Scalar*9.80665)*Z (m)), Total Mechanical Energy (J), Thrust Power (W), Drag Power (W)
0.000000,0.000000,0.000000,1400.000000,0.000000,0.000000,0.000000,0.704416,-0.061628,0.061628,-0.704416,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.685442,-0.256559,20.056201,-0.000000,0.000000,85598.771785,0.993995,0.000018,347.220687,10.000000,0.000000,0.000000,0.000000,0.000000,0.000000,32.990254,-106.974998,0.000000,0.000000,49.699771,6.685442,0.256559,0.000000,0.000000,315168.831651,315168.831651,0.000000,-0.000000
0.600000,2.795419,-0.000000,1415.347776,10.960751,0.000000,58.432374,0.704464,-0.061082,0.061082,-0.704464,0.012586,0.000000,0.000000,22.262377,0.000000,112.248630,0.059988,0.000000,0.000000,-0.000000,20.525651,-8.405473,50.584102,0.000000,0.000000,85438.055693,0.992129,0.000018,347.220687,10.000000,0.000000,59.451496,114.434966,10.960751,79.375887,32.990254,-106.974951,10.960751,-0.000000,1694.188954,20.525651,8.405473,0.066896,39369.026868,309202.744545,348571.771412,164808.428123,-499.716035
1.200000,13.145878,0.000000,1469.563964,21.941259,0.000000,113.635022,0.705066,-0.053678,0.053678,-0.705066,0.059256,0.000000,0.000000,8.707521,0.000000,39.815185,0.073469,0.000000,0.000000,-0.000005,23.779344,-31.010951,45.961899,0.000010,0.000000,84872.279193,0.985559,0.000018,347.220687,10.000000,0.000000,115.733907,40.756225,21.941259,79.071511,32.990254,-106.974780,21.941259,0.000000,6433.489977,23.779344,31.010951,1.104688,144948.768136,311909.898726,456858.666862,129753.297887,-3589.018556
1.800000,27.698681,0.000000,1545.038401,26.220049,0.000000,138.156545,0.706079,-0.038117,0.038117,-0.706079,0.078126,0.000000,0.000000,5.268271,-0.000001,41.906166,-0.022283,-0.000000,0.000000,0.000003,-6.921094,-45.413939,-11.964676,-0.000006,0.000000,84089.715834,0.976472,0.000018,347.220687,10.000000,0.000000,140.622623,42.236020,26.220049,79.253919,32.990254,-106.974539,26.220049,0.000004,9447.522057,6.903713,45.413939,1.574049,210863.905120,323130.956648,533994.861767,162271.593383,-6386.227210
2.400000,44.146279,0.000000,1635.572527,28.256119,-0.000000,163.672453,0.706640,-0.025698,0.025698,-0.706640,0.026915,-0.000000,0.000000,1.862701,-0.000001,42.286604,-0.140624,-0.000000,0.000000,0.000008,-40.427518,-63.099485,-56.482823,-0.000011,0.000000,83158.723164,0.965661,0.000018,347.220687,10.000000,0.000000,166.093589,42.327607,28.256119,80.205105,32.990254,-106.974267,28.256119,0.000006,13095.307729,40.427518,63.099485,0.144926,289782.980730,336967.051572,626750.032302,192246.600439,-10480.420150
3.000000,61.406442,-0.000000,1741.250571,29.368525,-0.000000,188.202984,0.706492,-0.029490,0.029490,-0.706492,-0.059205,-0.000000,0.000000,2.759300,0.000000,38.431361,-0.103357,0.000000,0.000000,-0.000004,-26.378100,-82.876082,-29.200807,0.000004,0.000000,82082.575989,0.953164,0.000018,347.220687,10.000000,0.000000,190.480638,38.530290,29.368525,81.130691,32.990254,-106.973981,29.368525,0.000001,17059.500245,26.377544,82.876082,0.500419,375655.311951,353589.388868,729244.700819,206295.833419,-15786.295795
3.600000,79.772294,-0.000000,1860.714917,32.269534,-0.000001,209.375411,0.705752,-0.043753,0.043753,-0.705752,-0.049122,-0.000000,0.000000,6.744039,-0.000001,32.093873,0.150817,-0.000000,0.000000,0.000015,30.928626,-102.940623,26.974324,-0.000013,0.000000,80879.647318,0.939196,0.000018,347.220687,10.000000,0.000000,211.847553,32.794797,32.269534,81.238352,32.990254,-106.973677,32.269534,0.000001,20819.148948,30.928658,102.940623,0.211690,458289.802313,372669.285216,830959.087529,205310.275939,-21807.719088
4.200000,100.360249,-0.000001,1991.725729,36.129177,0.000000,226.582663,0.705856,-0.042035,0.042035,-0.705856,0.058887,0.000000,0.000000,4.529987,0.000001,24.722299,0.066346,0.000000,0.000000,-0.000022,8.132148,-121.173525,4.545470,0.000013,0.000000,79576.905418,0.924068,0.000018,347.220687,10.000000,0.000000,229.445027,25.134030,36.129177,80.940311,32.990254,-106.973336,36.129177,-0.000001,24036.133112,7.161276,121.173525,0.128205,530820.147803,393885.707812,924705.855615,188929.656630,-27802.664363
4.800000,122.478327,-0.000001,2130.796261,37.162341,-0.000001,233.575476,0.705880,-0.041640,0.041640,-0.705880,-0.080448,0.000000,0.000000,0.815286,-0.000000,-4.938131,0.247446,-0.000000,0.000000,0.000004,4.726017,-127.739155,2.850476,-0.000002,0.000000,78212.664056,0.908226,0.000018,347.220687,10.000000,0.000000,236.513303,5.005162,37.162341,80.959894,32.990254,-106.972970,37.162341,0.000005,25110.312674,4.675659,127.739155,0.035307,559679.793474,418139.360178,977819.153652,53547.370473,-30212.009535
5.400000,144.739332,-0.000001,2268.542118,36.878412,-0.000001,224.919426,0.705779,-0.043310,0.043310,-0.705779,-0.033211,0.000000,0.000000,-0.352062,-0.000001,-15.569244,0.521977,-0.000001,0.000000,0.000011,7.103427,-115.248073,3.445045,-0.000005,0.000000,76880.147704,0.892752,0.000018,347.220687,10.000000,0.000000,227.922719,15.573223,36.878412,80.688478,32.990254,-106.972601,36.878412,-0.000002,22904.099151,7.104597,115.248073,0.003642,519487.660414,444935.971298,964423.631712,0.000000,-26267.654148
6.000000,166.759436,-0.000002,2400.733744,36.497884,-0.000001,215.782239,0.705731,-0.044094,0.044094,-0.705731,-0.011154,-0.000000,0.000000,-0.417878,-0.000001,-14.961702,0.317816,-0.000001,0.000000,0.000010,4.540831,-103.339502,2.097585,-0.000004,0.000000,75618.706180,0.878104,0.000018,347.220687,10.000000,0.000000,218.847139,14.967536,36.497884,80.399729,32.990254,-106.972237,36.497884,-0.000005,20751.409851,4.539946,103.339502,0.000411,478940.704324,470863.111503,949803.815828,0.000000,-22615.554369
6.600000,188.551098,-0.000002,2527.546722,36.134414,-0.000001,206.981508,0.705677,-0.044947,0.044947,-0.705677,-0.009105,-0.000000,0.000000,-0.463019,-0.000001,-14.426099,0.178348,-0.000001,0.000000,0.000013,2.535945,-92.817271,1.177098,-0.000005,0.000000,74424.392733,0.864236,0.000018,347.220687,10.000000,0.000000,210.111971,14.433527,36.134414,80.097217,32.990254,-106.971876,36.134414,-0.000007,18807.647314,2.536152,92.817271,0.000274,441470.405416,495735.321300,937205.726717,-0.000000,-19502.019688
7.200000,210.131479,-0.000003,2649.170030,35.794899,-0.000001,198.477033,0.705611,-0.045967,0.045967,-0.705611,-0.011681,-0.000000,0.000000,-0.479896,-0.000001,-13.955370,0.093741,-0.000001,0.000000,0.000009,1.248297,-83.518337,0.618691,-0.000004,0.000000,73293.349531,0.851102,0.000018,347.220687,10.000000,0.000000,201.678972,13.963619,35.794899,79.776725,32.990254,-106.971519,35.794899,-0.000010,17046.931369,1.249394,83.518337,0.000450,406744.076021,519589.665559,926333.741579,0.000000,-16843.892324
7.800000,231.516213,-0.000003,2765.770899,35.480740,-0.000001,190.235354,0.705537,-0.047094,0.047094,-0.705537,-0.013015,-0.000000,0.000000,-0.488546,-0.000000,-13.534912,0.026690,-0.000000,0.000000,0.000004,0.225946,-75.202360,0.176156,-0.000002,0.000000,72222.120519,0.838662,0.000018,347.220687,10.000000,0.000000,193.515821,13.543726,35.480740,79.435167,32.990254,-106.971165,35.480740,-0.000011,15447.637610,0.228720,75.202360,0.000559,374483.729369,542458.943798,916942.673167,0.000000,-14552.846326
