id,rocket mass (kg),time (s),motor type,impulse (N*s),burn out (s),nozzle radius (m),throat radius (m),radius (kg*m^2),distance rocket nozzle (m),distance rocket propellant (m),nose length (m),nose distance to cm (m),fin span (m),fin distance to cm (m),rail length (m),latitude,longitude,Phase 1 - Rail Launch,Phase 2 - Powered Flight,Apogee,Phase 3 - Drogue Parachute Deployment,Phase 4 - Descent Under Drogue Parachute,Phase 5 - Main Parachute Deployment,Phase 6 - Descent Under Main Parachute,Phase 7 - Impact,No. Stages,apogee X,apogee Y,apogee Z,x impact,y impact,impact velocity,temperature,E wind start,E wind end,N wind start,N wind end,Burn out time,Nozzle Distance,Propellant
1,20.0,252.11163191093922,Cesaroni_M1300,6420.952724999999,4.901,0.033,0.011,0.0635,-1.255,0.0,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.32360065979145247,25.449988570213936,25.45714285714286,26.95714285714286,121.1904761904762,122.6904761904762,252.11163191093922,7,478.5932378057908,-0.00020759243871622731,4376.75500692164,2792.671450569465,-0.00025073876992837287,-6.281190618960504,300.0,0,10,-2,0,3.6,-1.255,0.0
2,20.0,252.12633778736463,Cesaroni_M1300,6420.952724999999,4.901,0.033,0.011,0.0635,-1.255,0.75,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.32360065979145247,25.45115603188516,25.45714285714286,26.95714285714286,121.20000000000002,122.70000000000002,252.12633778736463,7,470.30224800125166,0.0001639854891660568,4377.128449185457,2782.748607963466,0.00020205454703550718,-6.281190618980403,300.0,0,10,-2,0,3.6,-1.255,0.75
3,20.0,252.04429071540608,Cesaroni_M1300,6420.952724999999,4.901,0.033,0.011,0.0635,-1.255,1.5,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.32360065979145247,25.442799936699718,25.44761904761905,26.94761904761905,121.11428571428573,122.61428571428573,252.04429071540608,7,510.47889278431137,-0.00033013199647992576,4374.547420995113,2830.6896057436065,-0.0003953168888975914,-6.281190618994427,300.0,0,10,-2,0,3.6,-1.255,1.5
4,20.0,251.9322078669636,Cesaroni_M1300,6420.952724999999,4.901,0.033,0.011,0.0635,-1.255,2.25,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.32360065979145247,25.431731158068654,25.43809523809524,26.93809523809524,121.00000000000001,122.50000000000001,251.9322078669636,7,558.6188337265029,0.0004328508668114477,4371.162568241883,2887.8464581771636,0.0005204971540439734,-6.281190619003,300.0,0,10,-2,0,3.6,-1.255,2.25
5,20.0,251.80751190005157,Cesaroni_M1300,6420.952724999999,4.901,0.033,0.011,0.0635,-1.255,3.0,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.32360065979145247,25.41975123268356,25.42857142857143,26.92857142857143,120.87619047619049,122.37619047619049,251.80751190005157,7,599.0885415992753,0.0004734586110475125,4367.67844926417,2935.4503893085107,0.0005856410937083574,-6.281190619001291,300.0,0,10,-2,0,3.6,-1.255,3.0
6,20.0,251.7141487629095,Cesaroni_M1300,6420.952724999999,4.901,0.033,0.011,0.0635,-1.255,3.75,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.32360065979145247,25.409726337863827,25.41904761904762,26.91904761904762,120.77142857142859,122.27142857142859,251.7141487629095,7,630.4789780608813,0.0004353094954879943,4364.85111532149,2972.2776962064463,0.0005667166962509457,-6.281190619042874,300.0,0,10,-2,0,3.6,-1.255,3.75
7,20.0,251.63295951885496,Cesaroni_M1300,6420.952724999999,4.901,0.033,0.011,0.0635,-1.255,4.5,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.32360065979145247,25.40116806370949,25.40952380952381,26.90952380952381,120.6857142857143,122.1857142857143,251.63295951885496,7,655.1446157582916,0.00019800482877373437,4362.4995018970985,3001.054302129993,0.0002502572114198431,-6.281190619060215,300.0,0,10,-2,0,3.6,-1.255,4.5
8,20.0,251.56269554630873,Cesaroni_M1300,6420.952724999999,4.901,0.033,0.011,0.0635,-1.255,5.25,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.32360065979145247,25.39411375005814,25.400000000000002,26.900000000000002,120.61904761904763,122.11904761904763,251.56269554630873,7,674.7779066105902,-0.0002486589834671315,4360.596502219636,3023.8314954291313,-0.0003011914581126921,-6.281190619044121,300.0,0,10,-2,0,3.6,-1.255,5.25
9,20.0,251.48900731555835,Cesaroni_M1300,6420.952724999999,4.901,0.033,0.011,0.0635,-1.255,6.0,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.32360065979145247,25.387078217145834,25.390476190476193,26.890476190476193,120.55238095238096,122.05238095238096,251.48900731555835,7,690.5086743362895,0.0008296121486020128,4358.754412049136,3041.874965480721,0.0009868257894164723,-6.281190619019742,300.0,0,10,-2,0,3.6,-1.255,6.0
10,20.0,251.4259753728766,Cesaroni_M1300,6420.952724999999,4.901,0.033,0.011,0.0635,-1.255,6.75,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.32360065979145247,25.381987565671068,25.390476190476193,26.890476190476193,120.50476190476192,122.00476190476192,251.4259753728766,7,703.7002070078532,4.1867319065278434e-05,4357.400016546818,3057.023267345146,7.427167137612777e-05,-6.281190618960769,300.0,0,10,-2,0,3.6,-1.255,6.75
