# Time (s), X (m), Y (m), Z (m), Vx (m/s), Vy (m/s), Vz (m/s), e0, e1, e2, e3, ω1 (rad/s), ω2 (rad/s), ω3 (rad/s), Ax (m/s2), Ay (m/s2), Az (m/s2), α1 (rad/s2), α2 (rad/s2), α3 (rad/s2), R1 (N), R2 (N), R3 (N), M1 (Nm), M2 (Nm), Aerodynamic Spin Moment (N m), Pressure (Pa), Density (kg/m³), Dynamic Viscosity (Pa s), Speed of Sound (m/s), Wind Velocity X (East) (m/s), Wind Velocity Y (North) (m/s), Speed - Velocity Magnitude (m/s), Acceleration Magnitude (m/s²), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Path Angle (°), Latitude (°), Longitude (°), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Spin Angle - φ (°), Dynamic Pressure (Pa), Aerodynamic Lift Force (N), Aerodynamic Drag Force (N), Rotational Kinetic Energy (J), Kinetic Energy (J), ((Scalar*9.80665)*Z (m)), Total Mechanical Energy (J), Thrust Power (W), Drag Power (W)
0.000000,0.000000,0.000000,1400.000000,0.000000,0.000000,0.000000,0.704416,-0.061628,0.061628,-0.704416,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.685442,-0.256559,6.497825,-0.000000,0.000000,85598.771785,0.993995,0.000018,347.220687,10.000000,0.000000,0.000000,0.000000,0.000000,0.000000,32.990254,-106.974998,0.000000,0.000000,49.699771,6.685442,0.256559,0.000000,0.000000,315168.831651,315168.831651,0.000000,-0.000000
0.600000,2.027482,-0.000000,1411.142686,7.635430,0.000000,40.409622,0.704581,-0.059707,0.059707,-0.704581,0.048711,-0.000000,0.000000,14.626938,0.000000,72.119037,0.244681,-0.000000,0.000000,0.000001,14.260118,-4.110508,12.558760,-0.000001,0.000000,85482.065483,0.992640,0.000018,347.220687,10.000000,0.000000,41.124656,73.587356,7.635430,79.300042,32.990254,-106.974964,7.635430,0.000000,813.236467,14.260119,4.110508,0.060429,18988.663059,310749.095342,329737.758401,77017.575602,-169.044078
1.200000,8.959155,0.000000,1448.199746,14.768107,0.000001,82.836143,0.706373,-0.032207,0.032207,-0.706373,0.202626,0.000000,0.000000,7.594719,0.000001,69.188870,0.140396,0.000000,0.000000,-0.000014,8.643839,-16.582996,6.282550,0.000011,0.000000,85094.863509,0.988144,0.000018,347.220687,10.000000,0.000000,84.142281,69.604454,14.768107,79.891457,32.990254,-106.974850,14.768107,0.006232,3401.468041,8.667105,16.582996,0.871544,77666.967322,311589.185477,389256.152799,147897.613615,-1395.330048
1.800000,18.490570,0.000000,1510.096023,15.978300,-0.000001,123.043762,0.707102,0.002590,-0.002590,-0.707102,0.035224,0.000000,0.000000,-2.079827,-0.000005,64.818581,-0.691378,0.000000,0.000000,-0.000015,-32.830832,-35.811432,-23.610152,0.000010,0.000000,84451.289310,0.980671,0.000018,347.220687,10.000000,0.000000,124.076887,64.851928,15.978300,82.601047,32.990254,-106.974692,15.978300,-198.239856,7441.086910,32.830745,35.811432,0.021254,165193.692617,317809.516512,483003.209129,203187.797733,-4443.371254
2.400000,27.935312,-0.000002,1595.333241,16.370635,-0.000006,160.646920,0.706749,-0.022495,0.022495,-0.706749,-0.128447,-0.000000,0.000000,5.637223,-0.000008,60.178832,0.629208,-0.000001,0.000000,0.000051,24.456121,-60.390890,16.291695,-0.000031,0.000000,83571.481159,0.970454,0.000018,347.220687,10.000000,0.000000,161.478886,60.442287,16.370635,84.181391,32.990254,-106.974535,16.370635,0.000386,12542.156137,24.456971,60.390890,0.215096,273906.175119,328679.094485,602585.269604,247910.994199,-9751.853689
3.000000,38.778689,-0.000006,1702.035881,19.085628,-0.000007,194.062893,0.707039,-0.009765,0.009765,-0.707039,0.062548,0.000000,0.000000,0.284121,-0.000009,50.773596,-0.899005,-0.000002,0.000000,0.000072,-28.514066,-88.145888,-16.523641,-0.000041,0.000000,82480.585441,0.957786,0.000018,347.220687,10.000000,0.000000,194.999148,50.774387,19.085628,84.383158,32.990254,-106.974356,19.085628,0.000194,18074.841084,28.513674,88.145888,0.036046,391661.437832,343846.590754,735508.028586,260481.507494,-17188.372766
3.600000,50.501966,-0.000011,1827.182449,20.554469,-0.000008,222.300137,0.706857,-0.018796,0.018796,-0.706857,0.100478,0.000000,0.000000,3.163474,0.000001,39.746106,0.405375,0.000001,0.000000,-0.000032,10.767242,-116.973260,4.570868,0.000013,0.000000,81215.846807,0.943100,0.000018,347.220687,10.000000,0.000000,223.248375,41.098211,20.554469,84.717298,32.990254,-106.974162,20.554469,0.000004,23355.274764,10.767242,116.973260,0.057853,504446.598253,362719.680073,867166.278325,260726.196460,-26114.090321
4.200000,62.749719,-0.000016,1957.785567,20.374227,-0.000008,213.098843,0.706888,-0.017578,0.017578,-0.706888,0.064549,0.000000,0.000000,-0.177689,-0.000000,-15.040665,0.037620,-0.000001,0.000000,0.000004,1.653502,-104.727542,0.248292,-0.000004,0.000000,79912.756053,0.927968,0.000018,347.220687,10.000000,0.000000,214.070610,15.041716,20.374227,84.538592,32.990254,-106.973959,20.374227,0.000015,21119.965766,1.226891,104.727542,0.015407,459165.182072,384742.919776,843908.101849,80972.141474,-22419.088756
4.800000,74.902581,-0.000020,2082.972785,20.208155,-0.000008,204.242371,0.706881,-0.017857,0.017857,-0.706881,0.036488,0.000000,0.000000,-0.198252,-0.000000,-14.499519,0.012772,-0.000001,0.000000,0.000007,0.778988,-93.937860,0.084294,-0.000005,0.000000,78679.644616,0.913649,0.000018,347.220687,10.000000,0.000000,205.239655,14.500875,20.208155,84.349430,32.990254,-106.973758,20.208155,0.000021,19104.007283,0.792408,93.937860,0.004393,421233.162196,408539.701204,829772.863400,-0.001257,-19279.773993
5.400000,86.969692,-0.000025,2202.938876,20.059151,-0.000008,195.690257,0.706864,-0.018548,0.018548,-0.706864,0.018381,0.000000,0.000000,-0.145821,0.000001,-14.023680,0.080845,0.000001,0.000000,-0.000011,1.510708,-84.377485,0.533580,0.000005,0.000000,77512.463593,0.900095,0.000018,347.220687,10.000000,0.000000,196.715648,14.024439,20.059151,84.147360,32.990254,-106.973558,20.059151,0.000025,17279.963913,1.471322,84.377485,0.001114,386970.462375,432069.010602,819039.472977,-0.000000,-16598.371695
