# Time (s), X (m), Y (m), Z (m), Vx (m/s), Vy (m/s), Vz (m/s), e0, e1, e2, e3, ω1 (rad/s), ω2 (rad/s), ω3 (rad/s), Ax (m/s2), Ay (m/s2), Az (m/s2), α1 (rad/s2), α2 (rad/s2), α3 (rad/s2), R1 (N), R2 (N), R3 (N), M1 (Nm), M2 (Nm), Aerodynamic Spin Moment (N m), Pressure (Pa), Density (kg/m³), Dynamic Viscosity (Pa s), Speed of Sound (m/s), Wind Velocity X (East) (m/s), Wind Velocity Y (North) (m/s), Speed - Velocity Magnitude (m/s), Acceleration Magnitude (m/s²), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Path Angle (°), Latitude (°), Longitude (°), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Spin Angle - φ (°), Dynamic Pressure (Pa), Aerodynamic Lift Force (N), Aerodynamic Drag Force (N), Rotational Kinetic Energy (J), Kinetic Energy (J), ((Scalar*9.80665)*Z (m)), Total Mechanical Energy (J), Thrust Power (W), Drag Power (W)
0.000000,0.000000,0.000000,1400.000000,0.000000,0.000000,0.000000,0.704416,-0.061628,0.061628,-0.704416,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.238674,-0.160811,1.195737,-0.000000,0.000000,85598.771785,0.630241,0.000026,436.058129,10.000000,0.000000,0.000000,0.000000,0.000000,0.000000,32.990254,-106.974998,0.000000,0.000000,31.512060,4.238674,0.160811,0.000000,0.000000,315168.831651,315168.831651,0.000000,-0.000000
0.600000,4.057948,0.000000,1422.426878,14.247385,0.000000,78.515573,0.705071,-0.053609,0.053609,-0.705071,0.144781,0.000000,0.000000,24.456993,0.000001,145.889905,0.505657,0.000000,0.000000,-0.000008,14.604114,-9.605559,4.374123,0.000003,0.000000,85364.008416,0.628513,0.000026,436.058129,10.000000,0.000000,79.797764,147.925687,14.247385,79.715056,32.990254,-106.974931,14.247385,0.000000,1942.964003,14.604114,9.605559,0.083985,70116.495417,307198.302995,377314.798413,277732.984820,-766.502282
1.200000,15.932205,-0.000000,1496.924933,23.110704,-0.000003,169.573066,0.706954,-0.014687,0.014687,-0.706954,0.013553,0.000000,0.000000,5.313502,-0.000012,147.225278,-1.294174,0.000000,0.000000,-0.000011,-25.428500,-43.304288,-9.467682,0.000003,0.000000,84587.906137,0.622798,0.000026,436.058129,10.000000,0.000000,171.140671,147.321131,23.110704,82.239112,32.990254,-106.974734,23.110704,0.000100,9007.819405,25.428655,43.304288,0.000676,307690.990880,308431.693162,616122.684042,572367.738857,-7411.125056
1.800000,31.468222,-0.000005,1624.562358,29.636139,-0.000011,253.410327,0.706576,-0.027399,0.027399,-0.706576,0.147270,0.000000,0.000000,8.176044,-0.000004,95.779861,-0.172328,0.000002,0.000000,-0.000035,-0.115683,-97.206457,-0.913581,0.000014,0.000000,83271.496526,0.613106,0.000026,436.058129,10.000000,0.000000,255.137404,96.128186,29.636139,83.329604,32.990254,-106.974477,29.636139,0.000042,19804.053312,1.602974,97.206457,0.072383,654150.127627,320196.213913,974346.341540,567844.198195,-24801.001653
2.400000,49.507094,-0.000012,1779.429081,30.081285,-0.000011,254.656453,0.706564,-0.027697,0.027697,-0.706564,0.093073,0.000000,0.000000,-0.417143,0.000001,-14.609304,-0.134454,0.000001,0.000000,-0.000021,-0.798422,-96.411406,-0.887396,0.000009,0.000000,81696.578720,0.601510,0.000026,436.058129,10.000000,0.000000,256.426973,14.615259,30.081285,83.263156,32.990254,-106.974178,30.081285,0.000040,19625.228855,0.895011,96.411406,0.028586,657547.954261,349004.763974,1006552.718235,0.000000,-24722.484945
3.000000,67.447374,-0.000018,1929.621844,29.836749,-0.000011,246.019825,0.706517,-0.028879,0.028879,-0.706517,0.059231,0.000000,0.000000,-0.274582,0.000000,-14.191746,0.061658,-0.000000,0.000000,0.000000,1.684407,-87.857543,0.406942,-0.000001,0.000000,80192.317196,0.590435,0.000026,436.058129,10.000000,0.000000,247.822489,14.194402,29.836749,83.085063,32.990254,-106.973881,29.836749,0.000020,17984.426147,1.755034,87.857543,0.011577,614159.871839,378462.521213,992622.393052,-0.000000,-21773.074965
3.600000,85.259865,-0.000025,2074.706150,29.609227,-0.000011,237.627534,0.706464,-0.030146,0.030146,-0.706464,0.029236,0.000000,0.000000,-0.146848,0.000001,-13.814697,0.231937,0.000001,0.000000,-0.000021,3.902552,-80.119724,1.530784,0.000009,0.000000,78760.593963,0.579894,0.000026,436.058129,10.000000,0.000000,239.465136,13.815478,29.609227,82.897352,32.990254,-106.973586,29.609227,0.000001,16483.869219,3.932250,80.119724,0.002820,573435.517227,406918.341276,980353.858503,-0.000000,-19185.880518
4.200000,102.954099,-0.000032,2214.821306,29.395164,-0.000011,229.455745,0.706430,-0.030934,0.030934,-0.706430,-0.001257,-0.000000,0.000000,-0.124605,0.000001,-13.469073,0.255324,0.000002,0.000000,-0.000021,3.920052,-73.185936,1.685139,0.000010,0.000000,77397.623781,0.569858,0.000026,436.058129,10.000000,0.000000,231.330963,13.469650,29.395164,82.699704,32.990254,-106.973293,29.395164,0.000002,15108.685223,3.919748,73.185936,0.000005,535140.145933,434399.547216,969539.693149,-0.000000,-16930.173145
4.800000,120.538059,-0.000039,2350.092272,29.201958,-0.000011,221.480287,0.706427,-0.030993,0.030993,-0.706427,-0.020524,-0.000000,0.000000,-0.223554,-0.000001,-13.146113,0.104459,-0.000001,0.000000,0.000014,1.395286,-66.924195,0.689429,-0.000005,0.000000,76099.957511,0.560304,0.000026,436.058129,10.000000,0.000000,223.397117,13.148013,29.201958,82.488932,32.990254,-106.973002,29.201958,0.000021,13845.735807,1.409146,66.924195,0.001390,499062.718247,460930.647662,959993.365909,0.000000,-14950.672227
5.400000,138.017192,-0.000045,2480.631902,29.037882,-0.000011,213.682636,0.706428,-0.030967,0.030967,-0.706428,-0.014769,0.000000,0.000000,-0.329645,-0.000001,-12.849602,-0.069819,-0.000001,0.000000,0.000018,-1.242281,-61.202501,-0.460802,-0.000008,0.000000,74864.438861,0.551207,0.000026,436.058129,10.000000,0.000000,215.646626,12.853830,29.037882,82.261333,32.990254,-106.972713,29.037882,0.000029,12684.023133,1.252913,61.202501,0.000720,465034.673970,486533.776788,951568.450758,0.000000,-13198.112882
6.000000,155.395660,-0.000052,2606.543338,28.890888,-0.000011,206.048412,0.706385,-0.031940,0.031940,-0.706385,0.002171,0.000000,0.000000,-0.301797,0.000000,-12.588891,-0.064503,-0.000000,0.000000,-0.000000,-0.989559,-55.962487,-0.425717,-0.000000,0.000000,73688.163380,0.542547,0.000026,436.058129,10.000000,0.000000,208.064008,12.592508,28.890888,82.018360,32.990254,-106.972425,28.890888,0.000019,11613.971872,0.983045,55.962487,0.000016,432906.314637,511229.164609,944135.479246,0.000000,-11643.779451
6.600000,172.680337,-0.000058,2727.920772,28.738783,-0.000011,198.565873,0.706312,-0.033509,0.033509,-0.706312,0.000112,0.000000,0.000000,-0.211632,0.000001,-12.355776,0.038837,0.000001,0.000000,-0.000012,0.612923,-51.154253,0.256327,0.000005,0.000000,72568.455858,0.534302,0.000026,436.058129,10.000000,0.000000,200.634801,12.357589,28.738783,81.764667,32.990254,-106.972139,28.738783,0.000012,10627.154381,0.614310,51.154253,0.000000,402543.233809,535035.284841,937578.518649,0.000000,-10263.323287
7.200000,189.879449,-0.000065,2844.850430,28.590404,-0.000011,191.221962,0.706275,-0.034293,0.034293,-0.706275,-0.010124,-0.000000,0.000000,-0.220940,-0.000000,-12.132925,0.012667,-0.000000,0.000000,0.000004,0.109449,-46.734731,0.083605,-0.000002,0.000000,71502.847448,0.526457,0.000026,436.058129,10.000000,0.000000,193.347485,12.134936,28.590404,81.496457,32.990254,-106.971854,28.590404,0.000024,9716.136619,0.085912,46.734731,0.000338,373832.498870,557969.049368,931801.548238,-0.000000,-9036.042698
7.800000,206.996193,-0.000072,2957.411972,28.462321,-0.000011,184.003922,0.706235,-0.035107,0.035107,-0.706235,-0.003964,0.000000,0.000000,-0.234577,0.000000,-11.927161,-0.026943,-0.000000,0.000000,0.000001,-0.462367,-42.666426,-0.177824,-0.000000,0.000000,70489.050968,0.518992,0.000026,436.058129,10.000000,0.000000,186.192231,11.929468,28.462321,81.206992,32.990254,-106.971571,28.462321,0.000021,8874.327569,0.462463,42.666426,0.000052,346675.470253,580046.082336,926721.552589,-0.000000,-7944.157085
8.400000,224.034083,-0.000078,3065.678701,28.336416,-0.000011,176.903432,0.706158,-0.036621,0.036621,-0.706158,-0.004280,-0.000000,0.000000,-0.189973,0.000000,-11.743216,0.016421,0.000000,0.000000,-0.000004,0.227354,-38.916579,0.108375,0.000002,0.000000,69524.948632,0.511894,0.000026,436.058129,10.000000,0.000000,179.158524,11.744753,28.336416,80.899660,32.990254,-106.971288,28.336416,0.000016,8095.870059,0.227989,38.916579,0.000060,320977.766569,601280.760620,922258.527189,0.000000,-6972.236821
9.000000,241.000062,-0.000084,3169.717802,28.215591,-0.000011,169.911099,0.706105,-0.037627,0.037627,-0.706105,-0.008203,-0.000000,0.000000,-0.197194,-0.000000,-11.568493,-0.007061,-0.000000,0.000000,0.000005,-0.176745,-35.456433,-0.046601,-0.000002,0.000000,68608.580431,0.505147,0.000026,436.058129,10.000000,0.000000,172.237920,11.570173,28.215591,80.571451,32.990254,-106.971008,28.215591,0.000024,7375.546208,0.178615,35.456433,0.000222,296659.011212,621686.261606,918345.272819,0.000000,-6106.942339
9.600000,257.896242,-0.000091,3269.591717,28.106790,-0.000011,163.017831,0.706027,-0.039056,0.039056,-0.706027,-0.004616,0.000000,0.000000,-0.180128,0.000000,-11.409594,-0.000656,0.000000,0.000000,-0.000004,-0.044525,-32.260636,-0.004327,0.000002,0.000000,67738.123648,0.498738,0.000026,436.058129,10.000000,0.000000,165.423108,11.411016,28.106790,80.217502,32.990254,-106.970728,28.106790,0.000017,6708.691115,0.049289,32.260636,0.000070,273648.047499,641274.832280,914922.879779,-0.000000,-5336.654683
10.200000,274.727558,-0.000097,3365.357819,27.998716,-0.000011,156.217246,0.705946,-0.040493,0.040493,-0.705946,-0.008634,-0.000000,0.000000,-0.169766,-0.000000,-11.262123,0.000976,-0.000000,0.000000,0.000003,-0.044554,-29.306777,0.006445,-0.000001,0.000000,66911.888384,0.492655,0.000026,436.058129,10.000000,0.000000,158.706509,11.263403,27.998716,79.838801,32.990254,-106.970449,27.998716,0.000023,6091.127806,0.044583,29.306777,0.000246,251877.560835,660057.725137,911935.285972,-0.000000,-4651.176350
10.800000,291.497378,-0.000104,3457.069263,27.901348,-0.000011,149.501242,0.705857,-0.042028,0.042028,-0.705857,-0.006409,0.000000,0.000000,-0.162270,0.000000,-11.125460,-0.003094,0.000000,0.000000,-0.000003,-0.092614,-26.574955,-0.020418,0.000001,0.000000,66128.303453,0.486885,0.000026,436.058129,10.000000,0.000000,152.082565,11.126644,27.901348,79.428532,32.990254,-106.970171,27.901348,0.000019,5519.107440,0.093273,26.574955,0.000136,231291.065384,678045.365846,909336.431230,-0.000000,-4041.587358
11.400000,308.209127,-0.000110,3544.775195,27.805640,-0.000011,142.864454,0.705752,-0.043750,0.043750,-0.705752,-0.009432,-0.000000,0.000000,-0.151311,-0.000000,-10.999469,0.000160,-0.000000,0.000000,0.000003,-0.056630,-24.047483,0.001058,-0.000001,0.000000,65385.908715,0.481419,0.000026,436.058129,10.000000,0.000000,145.545203,11.000509,27.805640,78.986242,32.990254,-106.969895,27.805640,0.000023,4989.258667,0.056977,24.047483,0.000294,211834.060000,695247.393324,907081.453324,0.000000,-3499.995729
12.000000,324.866153,-0.000117,3628.521063,27.718548,-0.000011,136.300130,0.705636,-0.045591,0.045591,-0.705636,-0.008182,0.000000,0.000000,-0.143295,0.000000,-10.882584,-0.001494,0.000000,0.000000,-0.000004,-0.072994,-21.708563,-0.009859,0.000002,0.000000,64683.347048,0.476246,0.000026,436.058129,10.000000,0.000000,139.090055,10.883527,27.718548,78.504855,32.990254,-106.969619,27.718548,0.000018,4498.545911,0.072896,21.708563,0.000221,193460.433937,711672.721708,905133.155645,0.000000,-3019.445183
12.600000,341.471633,-0.000123,3708.348935,27.633742,-0.000011,129.803602,0.705505,-0.047575,0.047575,-0.705505,-0.010677,-0.000000,0.000000,-0.136328,-0.000000,-10.774313,-0.002666,-0.000000,0.000000,0.000004,-0.103575,-19.544102,-0.017593,-0.000002,0.000000,64019.356907,0.471358,0.000026,436.058129,10.000000,0.000000,132.712467,10.775175,27.633742,77.981784,32.990254,-106.969344,27.633742,0.000025,4044.230831,0.103575,19.544102,0.000376,176125.989571,727329.601624,903455.591196,-0.000000,-2593.746040
13.200000,358.028137,-0.000129,3784.297795,27.555685,-0.000011,123.369224,0.705347,-0.049859,0.049859,-0.705347,-0.010573,-0.000000,0.000000,-0.125880,0.000000,-10.674647,0.000339,0.000000,0.000000,-0.000005,-0.050493,-17.541464,0.002239,0.000002,0.000000,63392.765485,0.466744,0.000026,436.058129,10.000000,0.000000,126.409182,10.675389,27.555685,77.409114,32.990254,-106.969070,27.555685,0.000011,3623.841337,0.050493,17.541464,0.000369,159792.813392,742225.679405,902018.492798,0.000000,-2217.402128
13.800000,374.539082,-0.000136,3856.403590,27.481157,-0.000010,116.992736,0.705178,-0.052200,0.052200,-0.705178,-0.012053,0.000000,0.000000,-0.121817,-0.000000,-10.581627,-0.004102,-0.000000,0.000000,0.000002,-0.127630,-15.689327,-0.027071,-0.000001,0.000000,62802.484453,0.462398,0.000026,436.058129,10.000000,0.000000,120.177012,10.582328,27.481157,76.781081,32.990254,-106.968796,27.481157,0.000017,3235.143476,0.127630,15.689327,0.000479,144425.143177,756368.005399,900793.148576,0.000000,-1885.496451
14.400000,391.006378,-0.000142,3924.699759,27.410788,-0.000011,110.669673,0.704968,-0.054962,0.054962,-0.704968,-0.013737,-0.000000,0.000000,-0.112545,-0.000000,-10.496414,-0.001283,-0.000000,0.000000,0.000001,-0.085649,-13.977445,-0.008466,-0.000000,0.000000,62247.502084,0.458312,0.000026,436.058129,10.000000,0.000000,114.013718,10.497017,27.410788,76.088872,32.990254,-106.968524,27.410788,0.000016,2876.116563,0.085649,13.977445,0.000623,129991.279275,769763.137774,899754.417049,0.000000,-1593.620500
15.000000,407.433038,-0.000148,3989.217036,27.345339,-0.000010,104.395823,0.704729,-0.057940,0.057940,-0.704729,-0.014576,0.000000,0.000000,-0.106417,0.000000,-10.417390,-0.002454,0.000000,0.000000,-0.000002,-0.104744,-12.398402,-0.016196,0.000001,0.000000,61726.881643,0.454479,0.000026,436.058129,10.000000,0.000000,107.917818,10.417934,27.345339,75.321770,32.990254,-106.968252,27.345339,0.000014,2544.933109,0.104744,12.398402,0.000701,116462.555683,782417.104945,898879.660628,0.000000,-1338.008535
15.600000,423.821361,-0.000154,4049.983873,27.282922,-0.000010,98.167596,0.704451,-0.061233,0.061233,-0.704451,-0.016757,-0.000000,0.000000,-0.101212,-0.000000,-10.344417,-0.004172,-0.000000,0.000000,0.000004,-0.138139,-10.943307,-0.027537,-0.000001,0.000000,61239.755123,0.450892,0.000026,436.058129,10.000000,0.000000,101.888344,10.344912,27.282922,74.468225,32.990254,-106.967980,27.282922,0.000018,2239.936841,0.138139,10.943307,0.000927,103812.347875,794335.486913,898147.834789,-0.000000,-1114.995405
16.200000,440.173305,-0.000161,4107.026536,27.224263,-0.000010,91.981303,0.704111,-0.065024,0.065024,-0.704111,-0.019037,-0.000000,0.000000,-0.094352,0.000000,-10.277496,-0.003456,0.000000,0.000000,-0.000001,-0.130539,-9.603243,-0.022806,0.000000,0.000000,60785.319825,0.447546,0.000026,436.058129,10.000000,0.000000,95.925599,10.277929,27.224263,73.512508,32.990254,-106.967710,27.224263,0.000009,1959.634109,0.130539,9.603243,0.001196,92017.206555,805523.435535,897540.642090,0.000000,-921.196784
16.800000,456.491246,-0.000167,4160.369144,27.169426,-0.000010,85.833563,0.703706,-0.069266,0.069266,-0.703706,-0.021224,0.000000,0.000000,-0.088744,0.000000,-10.215789,-0.004181,0.000000,0.000000,-0.000002,-0.145397,-8.371788,-0.027596,0.000001,0.000000,60362.835719,0.444436,0.000026,436.058129,10.000000,0.000000,90.030985,10.216174,27.169426,72.435538,32.990254,-106.967440,27.169426,0.000015,1702.675176,0.145397,8.371788,0.001486,81055.784467,815985.681347,897041.465814,-0.000000,-753.720350
17.400000,472.777206,-0.000173,4210.033921,27.117558,-0.000010,79.721373,0.703219,-0.074047,0.074047,-0.703219,-0.024261,0.000000,0.000000,-0.084154,-0.000000,-10.159008,-0.005885,-0.000000,0.000000,0.000004,-0.178357,-7.243173,-0.038844,-0.000001,0.000000,59971.621309,0.441555,0.000026,436.058129,10.000000,0.000000,84.207240,10.159357,27.117558,71.214049,32.990254,-106.967170,27.117558,0.000026,1467.841817,0.178357,7.243173,0.001942,70908.594120,825726.583062,896635.177182,-0.000000,-609.927614
18.000000,489.032875,-0.000179,4256.041309,27.068491,-0.000010,73.641772,0.702616,-0.079563,0.079563,-0.702616,-0.028161,-0.000000,0.000000,-0.079361,-0.000000,-10.107124,-0.007029,-0.000000,0.000000,0.000002,-0.203253,-6.212239,-0.046389,-0.000001,0.000000,59611.050811,0.438900,0.000026,436.058129,10.000000,0.000000,78.458994,10.107436,27.068491,69.818098,32.990254,-106.966901,27.068491,0.000017,1254.036055,0.203253,6.212239,0.002617,61558.141006,834750.150028,896308.291034,0.000000,-487.406023
18.600000,505.259969,-0.000186,4298.409994,27.022302,-0.000010,67.591907,0.701862,-0.085962,0.085962,-0.701862,-0.032685,0.000000,0.000000,-0.074727,0.000000,-10.059820,-0.008188,0.000000,0.000000,-0.000002,-0.228384,-5.274421,-0.054038,0.000001,0.000000,59280.552245,0.436467,0.000026,436.058129,10.000000,0.000000,72.793342,10.060098,27.022302,68.209159,32.990254,-106.966632,27.022302,0.000010,1060.271219,0.228384,5.274421,0.003525,52988.710050,843060.047451,896048.757501,0.000000,-383.942744
19.200000,521.460144,-0.000192,4337.157019,26.978676,-0.000010,61.569150,0.700912,-0.093394,0.093394,-0.700912,-0.038138,0.000000,0.000000,-0.070871,0.000000,-10.016707,-0.010189,-0.000000,0.000000,-0.000000,-0.267931,-4.425704,-0.067246,-0.000000,0.000000,58979.604998,0.434251,0.000026,436.058129,10.000000,0.000000,67.220600,10.016958,26.978676,66.337690,32.990254,-106.966364,26.978676,0.000029,885.663245,0.267931,4.425704,0.004800,45186.095907,850659.617646,895845.713553,0.000000,-297.498450
19.800000,537.634789,-0.000198,4372.297911,26.937111,-0.000010,55.571070,0.699696,-0.102104,0.102104,-0.699696,-0.045068,0.000000,0.000000,-0.067803,-0.000000,-9.977529,-0.013048,-0.000000,0.000000,0.000001,-0.322881,-3.662588,-0.086120,-0.000001,0.000000,58707.737413,0.432250,0.000026,436.058129,10.000000,0.000000,61.755580,9.977760,26.937111,64.139018,32.990254,-106.966096,26.937111,0.000059,729.423265,0.322881,3.662588,0.006703,38137.524267,857551.906141,895689.430408,0.000000,-226.185227
20.400000,553.785007,-0.000204,4403.846780,26.897188,-0.000010,49.595368,0.698109,-0.112445,0.112445,-0.698109,-0.053935,0.000000,0.000000,-0.065370,0.000000,-9.942077,-0.016619,0.000000,0.000000,-0.000002,-0.390812,-2.982070,-0.109685,0.000001,0.000000,58464.524820,0.430459,0.000026,436.058129,10.000000,0.000000,56.419493,9.942292,26.897188,61.527581,32.990254,-106.965829,26.897188,0.000078,590.851216,0.390812,2.982070,0.009600,31831.602536,863739.680475,895571.283012,0.000000,-168.246889
