# Time (s), X (m), Y (m), Z (m), Vx (m/s), Vy (m/s), Vz (m/s), e0, e1, e2, e3, ω1 (rad/s), ω2 (rad/s), ω3 (rad/s), Ax (m/s2), Ay (m/s2), Az (m/s2), α1 (rad/s2), α2 (rad/s2), α3 (rad/s2), R1 (N), R2 (N), R3 (N), M1 (Nm), M2 (Nm), Aerodynamic Spin Moment (N m), Pressure (Pa), Density (kg/m³), Dynamic Viscosity (Pa s), Speed of Sound (m/s), Wind Velocity X (East) (m/s), Wind Velocity Y (North) (m/s), Speed - Velocity Magnitude (m/s), Acceleration Magnitude (m/s²), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Path Angle (°), Latitude (°), Longitude (°), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Spin Angle - φ (°), Dynamic Pressure (Pa), Aerodynamic Lift Force (N), Aerodynamic Drag Force (N), Rotational Kinetic Energy (J), Kinetic Energy (J), ((Scalar*9.80665)*Z (m)), Total Mechanical Energy (J), Thrust Power (W), Drag Power (W)
0.000000,0.000000,0.000000,1400.000000,0.000000,0.000000,0.000000,0.704416,-0.061628,0.061628,-0.704416,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.425186,-0.246493,1.812768,-0.000000,0.000000,85598.771785,0.955306,0.000019,354.182121,10.000000,0.000000,0.000000,0.000000,0.000000,0.000000,32.990254,-106.974998,0.000000,0.000000,47.765277,6.425186,0.246493,0.000000,0.000000,315168.831651,315168.831651,0.000000,-0.000000
0.600000,2.781969,0.000000,1415.348450,10.772832,0.000000,58.468149,0.704934,-0.055386,0.055386,-0.704934,0.140345,-0.000000,0.000000,20.157076,0.000001,112.633100,0.613822,0.000000,0.000000,-0.000002,17.999811,-8.095503,5.251682,0.000001,0.000000,85438.048645,0.953512,0.000019,354.182121,10.000000,0.000000,59.452320,114.422563,10.772832,79.560265,32.990254,-106.974952,10.772832,-0.000000,1630.086605,17.999811,8.095503,0.080512,39370.260380,309203.057500,348573.317880,164823.898544,-481.296532
1.200000,11.816390,0.000000,1469.756125,16.978032,-0.000000,114.285292,0.707087,-0.005214,0.005214,-0.707087,0.143313,0.000000,0.000000,-0.317910,-0.000004,40.596260,-1.084489,-0.000000,0.000000,0.000008,-22.779437,-29.940569,-8.325078,-0.000003,0.000000,84870.279299,0.947175,0.000019,354.182121,10.000000,0.000000,115.539523,40.597501,16.978032,81.550036,32.990254,-106.974802,16.978032,0.000223,6208.649558,22.779437,29.940569,0.079780,144461.248576,311950.684172,456411.932748,129473.712726,-3459.318813
1.800000,22.010108,-0.000001,1545.733727,17.672727,-0.000002,139.117455,0.706514,-0.028955,0.028955,-0.706514,-0.115874,-0.000001,0.000000,5.182950,0.000007,41.998776,1.015294,0.000002,0.000000,-0.000031,19.601886,-43.785102,7.587409,0.000015,0.000000,84082.533541,0.938384,0.000019,354.182121,10.000000,0.000000,140.235486,42.317373,17.672727,82.760233,32.990254,-106.974634,17.672727,-0.000092,9108.206299,19.601727,43.785102,0.050721,209702.965207,323276.377924,532979.343131,161824.843388,-6140.225089
2.400000,33.453338,-0.000000,1636.847894,19.900344,0.000006,164.659472,0.706960,-0.014476,0.014476,-0.706960,-0.027082,-0.000000,0.000000,1.222223,0.000019,42.385793,-0.970811,0.000001,0.000000,-0.000009,-19.266707,-60.798645,-7.144178,0.000005,0.000000,83145.668017,0.927928,0.000019,354.182121,10.000000,0.000000,165.857666,42.403407,19.900344,83.108793,32.990254,-106.974444,19.900344,-0.000399,12624.815716,19.267294,60.798645,0.002700,288960.447535,337230.069461,626190.516996,191967.180140,-10083.921304
3.000000,45.909910,0.000006,1743.122276,21.876493,0.000015,189.198486,0.706781,-0.021513,0.021513,-0.706781,0.085668,-0.000000,0.000000,2.810822,0.000015,38.561210,-0.239009,-0.000002,0.000000,0.000039,-2.711386,-79.789946,-1.641419,-0.000015,0.000000,82063.618077,0.915852,0.000019,354.182121,10.000000,0.000000,190.459045,38.663520,21.876493,83.404339,32.990254,-106.974238,21.876493,-0.000309,16456.545608,2.671207,79.789946,0.026134,375569.661018,353969.458195,729539.119213,206272.715652,-15196.716971
3.600000,59.475510,0.000018,1863.236453,23.512184,0.000025,210.586024,0.706715,-0.023584,0.023583,-0.706715,0.047432,-0.000000,0.000000,3.043492,0.000012,32.691102,0.202554,-0.000002,0.000000,0.000032,4.209243,-98.990122,1.432294,-0.000013,0.000000,80854.411800,0.902357,0.000019,354.182121,10.000000,0.000000,211.894541,32.832469,23.512184,83.629242,32.990254,-106.974013,23.512184,-0.000286,20090.555689,4.180965,98.990122,0.007779,458492.915237,373174.303556,831667.218793,205355.844655,-20975.466399
4.200000,74.020582,0.000036,1995.095759,25.003631,0.000033,228.176883,0.706715,-0.023576,0.023576,-0.706715,0.027795,-0.000000,0.000000,2.426065,0.000011,25.117254,0.090607,-0.000001,0.000000,0.000021,1.903963,-116.461685,0.625145,-0.000008,0.000000,79543.620180,0.887728,0.000019,354.182121,10.000000,0.000000,229.542744,25.234148,25.003631,83.746477,32.990254,-106.973772,25.003631,-0.000314,23209.569989,1.892124,116.461685,0.002598,531274.611887,394553.898881,925828.510768,188784.076096,-26732.934765
4.800000,89.332339,0.000058,2135.176798,25.848133,0.000038,235.327611,0.706715,-0.023585,0.023584,-0.706715,0.014356,-0.000000,0.000000,0.288758,0.000003,-4.639156,-0.094168,0.000001,0.000000,-0.000012,-1.124923,-122.809357,-0.620013,0.000007,0.000000,78170.002006,0.872398,0.000019,354.182121,10.000000,0.000000,236.742921,4.648064,25.848133,83.731820,32.990254,-106.973519,25.848133,-0.000342,24265.871358,1.141894,122.809357,0.000681,560767.016638,418998.983804,979766.000443,53591.236900,-29074.245970
5.400000,104.793121,0.000081,2274.019532,25.658010,0.000037,226.804443,0.706698,-0.024087,0.024086,-0.706698,0.003200,-0.000000,0.000000,-0.451226,-0.000002,-15.339666,-0.103093,0.000001,0.000000,-0.000010,-1.468952,-111.017963,-0.680412,0.000005,0.000000,76827.543246,0.857416,0.000019,354.182121,10.000000,0.000000,228.251153,15.346301,25.658010,83.545664,32.990254,-106.973263,25.658010,-0.000343,22157.963282,1.466231,111.017963,0.000034,520985.886741,446010.272819,966996.159560,0.000000,-25339.977992
6.000000,120.117538,0.000103,2407.375361,25.433275,0.000036,217.770944,0.706673,-0.024803,0.024803,-0.706673,-0.001155,-0.000000,0.000000,-0.397878,-0.000002,-14.776708,-0.063744,0.000000,0.000000,-0.000006,-0.969002,-99.714457,-0.420707,0.000003,0.000000,75555.773408,0.843223,0.000019,354.182121,10.000000,0.000000,219.251079,14.782063,25.433275,83.338654,32.990254,-106.973009,25.433275,-0.000337,20095.002427,0.966748,99.714457,0.000004,480710.357299,472165.751710,952876.109008,0.000000,-21862.502284
6.600000,135.314042,0.000124,2535.408582,25.227910,0.000035,209.056190,0.706646,-0.025570,0.025570,-0.706646,-0.001884,-0.000000,0.000000,-0.351933,-0.000002,-14.278375,-0.035069,0.000000,0.000000,-0.000003,-0.556336,-89.709333,-0.231459,0.000001,0.000000,74350.856320,0.829776,0.000019,354.182121,10.000000,0.000000,210.572881,14.282712,25.227910,83.119089,32.990254,-106.972757,25.227910,-0.000334,18228.671405,0.556298,89.709333,0.000012,443409.380069,497277.291404,940686.671473,-0.000000,-18890.352566
7.200000,150.392228,0.000145,2658.299313,25.038060,0.000034,200.623740,0.706616,-0.026381,0.026380,-0.706616,-0.001977,-0.000000,0.000000,-0.313433,-0.000002,-13.835584,-0.014139,-0.000000,0.000000,0.000000,-0.242949,-80.821793,-0.093320,-0.000000,0.000000,73209.016079,0.817033,0.000019,354.182121,10.000000,0.000000,202.180092,13.839134,25.038060,82.886206,32.990254,-106.972508,25.038060,-0.000329,16535.115478,0.242690,80.821793,0.000013,408767.894769,521380.219205,930148.113974,0.000000,-16340.557529
7.800000,165.360686,0.000165,2776.207622,24.861384,0.000033,192.443584,0.706584,-0.027227,0.027227,-0.706584,-0.002688,-0.000000,0.000000,-0.282554,-0.000002,-13.437946,-0.000605,0.000000,0.000000,-0.000000,-0.045586,-72.845433,-0.003994,0.000000,0.000000,72126.858450,0.804955,0.000019,354.182121,10.000000,0.000000,194.042834,13.440916,24.861384,82.638849,32.990254,-106.972260,24.861384,-0.000326,14994.463948,0.048344,72.845433,0.000024,376526.212970,544505.929622,921032.142592,-0.000000,-14135.134301
8.400000,180.227179,0.000184,2889.276851,24.696713,0.000032,184.488944,0.706549,-0.028104,0.028104,-0.706549,-0.003790,-0.000000,0.000000,-0.259815,-0.000002,-13.085497,0.005014,-0.000000,0.000000,0.000001,0.028742,-65.782485,0.033091,-0.000001,0.000000,71101.315836,0.793510,0.000019,354.182121,10.000000,0.000000,186.134624,13.088076,24.696713,82.375398,32.990254,-106.972014,24.696713,-0.000323,13589.717307,0.026057,65.782485,0.000047,346460.981230,566682.536553,913143.517782,-0.000000,-12244.398109
9.000000,194.998640,0.000203,2997.634412,24.543091,0.000031,176.734671,0.706513,-0.029011,0.029010,-0.706513,-0.004830,-0.000000,0.000000,-0.244327,-0.000001,-12.767928,0.002855,-0.000000,0.000000,0.000001,-0.014501,-59.426794,0.018844,-0.000000,0.000000,70129.619326,0.782666,0.000019,354.182121,10.000000,0.000000,178.430679,12.770265,24.543091,82.093916,32.990254,-106.971769,24.543091,-0.000323,12306.103908,0.014500,59.426794,0.000077,318375.073089,587935.030052,906310.103142,-0.000000,-10603.563276
9.600000,209.681291,0.000222,3101.394711,24.399961,0.000030,169.161870,0.706472,-0.029974,0.029974,-0.706472,-0.005252,-0.000000,0.000000,-0.231865,-0.000001,-12.479407,-0.002049,-0.000000,0.000000,0.000001,-0.092861,-53.655826,-0.013525,-0.000000,0.000000,69209.254598,0.772394,0.000019,354.182121,10.000000,0.000000,170.912540,12.481561,24.399961,81.792248,32.990254,-106.971526,24.399961,-0.000320,11131.394833,0.092861,53.655826,0.000091,292110.962688,608285.848836,900396.811524,0.000000,-9170.453547
