# Time (s), X (m), Y (m), Z (m), Vx (m/s), Vy (m/s), Vz (m/s), e0, e1, e2, e3, ω1 (rad/s), ω2 (rad/s), ω3 (rad/s), Ax (m/s2), Ay (m/s2), Az (m/s2), α1 (rad/s2), α2 (rad/s2), α3 (rad/s2), R1 (N), R2 (N), R3 (N), M1 (Nm), M2 (Nm), Aerodynamic Spin Moment (N m), Pressure (Pa), Density (kg/m³), Dynamic Viscosity (Pa s), Speed of Sound (m/s), Wind Velocity X (East) (m/s), Wind Velocity Y (North) (m/s), Speed - Velocity Magnitude (m/s), Acceleration Magnitude (m/s²), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Path Angle (°), Latitude (°), Longitude (°), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Spin Angle - φ (°), Dynamic Pressure (Pa), Aerodynamic Lift Force (N), Aerodynamic Drag Force (N), Rotational Kinetic Energy (J), Kinetic Energy (J), ((Scalar*9.80665)*Z (m)), Total Mechanical Energy (J), Thrust Power (W), Drag Power (W)
0.000000,0.000000,0.000000,1400.000000,0.000000,0.000000,0.000000,0.704416,-0.061628,0.061628,-0.704416,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.346064,-0.204548,1.508223,-0.000000,0.000000,85598.771785,0.794878,0.000022,388.282163,10.000000,0.000000,0.000000,0.000000,0.000000,0.000000,32.990254,-106.974998,0.000000,0.000000,39.743919,5.346064,0.204548,0.000000,0.000000,315168.831651,315168.831651,0.000000,-0.000000
0.600000,2.780719,0.000000,1415.350581,10.777476,0.000000,58.478559,0.704853,-0.056406,0.056406,-0.704853,0.118000,-0.000000,0.000000,20.403645,0.000001,112.653786,0.525659,0.000000,0.000000,-0.000002,15.282682,-6.770390,4.494157,0.000000,0.000000,85438.026340,0.793386,0.000022,388.282163,10.000000,0.000000,59.463399,114.486612,10.777476,79.557684,32.990254,-106.974952,10.777476,-0.000000,1356.826942,15.282682,6.770390,0.056915,39384.919110,309203.583871,348588.502981,164857.298594,-402.590390
1.200000,11.993412,0.000000,1469.767028,17.658951,-0.000000,114.327125,0.707038,-0.009880,0.009880,-0.707038,0.179591,0.000000,0.000000,0.665181,-0.000004,40.865691,-0.790239,-0.000001,0.000000,0.000011,-16.021941,-25.016642,-6.013649,-0.000004,0.000000,84870.165826,0.788112,0.000022,388.282163,10.000000,0.000000,115.682886,40.871104,17.658951,81.219492,32.990254,-106.974799,17.658951,0.000118,5173.702649,16.021941,25.016642,0.125281,144820.015439,311952.998132,456773.013571,129761.214807,-2893.997282
1.800000,22.616080,-0.000001,1545.819658,18.170014,-0.000003,139.344487,0.706636,-0.025814,0.025814,-0.706636,-0.180971,-0.000000,0.000000,4.254618,-0.000004,42.414883,0.536475,-0.000001,0.000000,0.000031,8.992487,-36.598712,3.921293,-0.000010,0.000000,84081.645969,0.780790,0.000022,388.282163,10.000000,0.000000,140.524146,42.627741,18.170014,82.570757,32.990254,-106.974624,18.170014,0.000026,7606.315837,8.980041,36.598712,0.123716,210567.227492,323294.349464,533861.576956,162157.942290,-5143.002783
2.400000,34.449857,-0.000002,1637.131935,20.960852,-0.000001,165.092380,0.706886,-0.017719,0.017719,-0.706886,0.091273,-0.000000,0.000000,1.977237,0.000008,42.834515,-0.771850,-0.000001,0.000000,0.000013,-13.800254,-50.811312,-5.595314,-0.000005,0.000000,83142.760688,0.772072,0.000022,388.282163,10.000000,0.000000,166.417701,42.880125,20.960852,82.764191,32.990254,-106.974428,20.960852,-0.000158,10567.975274,13.800253,50.811312,0.030563,290915.176244,337288.588824,628203.765068,192615.377379,-8455.901755
3.000000,47.449863,-0.000001,1743.766811,22.784141,0.000005,189.972079,0.706555,-0.027952,0.027952,-0.706555,0.042063,-0.000000,0.000000,4.506531,0.000014,39.074596,0.688978,0.000002,0.000000,-0.000043,13.117583,-66.636588,4.938790,0.000017,0.000000,82057.090600,0.761990,0.000022,388.282163,10.000000,0.000000,191.333499,39.333610,22.784141,83.160946,32.990254,-106.974212,22.784141,-0.000200,13812.145022,13.117417,66.636588,0.006301,379026.261268,354100.341638,733126.602905,207219.775916,-12749.811585
3.600000,61.682936,0.000004,1864.463155,24.550455,0.000013,211.789885,0.706626,-0.026091,0.026090,-0.706626,-0.049523,-0.000000,0.000000,3.563188,0.000011,33.475742,0.485343,0.000001,0.000000,-0.000007,7.330098,-82.218620,3.325279,0.000004,0.000000,80842.137282,0.750708,0.000022,388.282163,10.000000,0.000000,213.208068,33.664841,24.550455,83.387846,32.990254,-106.973977,24.550455,-0.000208,16915.951354,7.308000,82.218620,0.008484,464194.900965,373419.991090,837614.892054,206628.836212,-17529.673174
4.200000,76.977335,0.000014,1997.194473,26.252020,0.000019,229.910996,0.706653,-0.025343,0.025343,-0.706653,-0.043956,-0.000000,0.000000,2.677223,0.000010,26.088442,0.170961,-0.000000,0.000000,0.000006,1.954413,-96.581190,1.125139,-0.000001,0.000000,79522.897219,0.738457,0.000022,388.282163,10.000000,0.000000,231.404915,26.225453,26.252020,83.485985,32.990254,-106.973723,26.252020,-0.000223,19614.603556,1.739768,96.581190,0.006497,539929.492227,394968.913389,934898.405616,190319.736378,-22349.362122
4.800000,93.122521,0.000027,2138.492439,27.255511,0.000023,237.667219,0.706634,-0.025882,0.025882,-0.706634,-0.028037,-0.000000,0.000000,0.522540,0.000002,-3.617675,0.119306,0.000001,0.000000,-0.000010,1.360870,-102.126418,0.783977,0.000005,0.000000,78137.723507,0.725594,0.000022,388.282163,10.000000,0.000000,239.224935,3.655107,27.255511,83.457939,32.990254,-106.973456,27.255511,-0.000235,20600.879511,1.387659,102.126418,0.002597,572586.817698,419649.627651,992236.445348,54161.521733,-24431.185728
5.400000,109.456663,0.000041,2278.914260,27.109517,0.000022,229.719564,0.706614,-0.026427,0.026427,-0.706614,-0.019098,-0.000000,0.000000,-0.312273,-0.000001,-14.453163,0.065298,0.000001,0.000000,-0.000007,0.713377,-93.137148,0.430967,0.000004,0.000000,76780.559490,0.712992,0.000022,388.282163,10.000000,0.000000,231.313648,14.456536,27.109517,83.269576,32.990254,-106.973186,27.109517,-0.000232,18917.027330,0.735984,93.137148,0.001204,535060.040452,446970.290634,982030.331086,0.000000,-21543.893524
