# Time (s), X (m), Y (m), Z (m), Vx (m/s), Vy (m/s), Vz (m/s), e0, e1, e2, e3, ω1 (rad/s), ω2 (rad/s), ω3 (rad/s), Ax (m/s2), Ay (m/s2), Az (m/s2), α1 (rad/s2), α2 (rad/s2), α3 (rad/s2), R1 (N), R2 (N), R3 (N), M1 (Nm), M2 (Nm), Aerodynamic Spin Moment (N m), Pressure (Pa), Density (kg/m³), Dynamic Viscosity (Pa s), Speed of Sound (m/s), Wind Velocity X (East) (m/s), Wind Velocity Y (North) (m/s), Speed - Velocity Magnitude (m/s), Acceleration Magnitude (m/s²), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Path Angle (°), Latitude (°), Longitude (°), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Spin Angle - φ (°), Dynamic Pressure (Pa), Aerodynamic Lift Force (N), Aerodynamic Drag Force (N), Rotational Kinetic Energy (J), Kinetic Energy (J), ((Scalar*9.80665)*Z (m)), Total Mechanical Energy (J), Thrust Power (W), Drag Power (W)
0.000000,0.000000,0.000000,1471.466078,0.000000,0.000000,0.000000,0.704416,-0.061628,0.061628,-0.704416,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.787763,0.246349,-0.028231,0.071525,0.228905,0.000000,85052.960160,1.051479,0.000018,336.517200,1.072314,3.376571,0.000000,0.000000,0.000000,0.000000,32.990254,-106.974998,0.000000,0.000000,6.598603,0.825384,0.028231,0.000000,0.000000,360117.623248,360117.623248,0.000000,-0.000000
0.600000,2.521522,0.003169,1485.438933,9.831753,0.002794,53.247173,0.704283,-0.059074,0.063119,-0.704636,0.011877,0.049191,0.000000,19.656332,-0.382185,102.349908,0.044198,0.236339,0.000000,-6.747659,1.351555,-7.629683,0.382070,2.018751,0.000000,84910.538824,1.050038,0.000018,336.465285,1.158475,3.403038,54.147252,104.221021,9.831753,79.538518,32.990254,-106.974956,9.831753,1.881406,1534.130894,6.881682,7.629683,0.010487,35589.428066,353649.796561,389239.224626,150120.725926,-413.126670
1.200000,11.723794,-0.358791,1534.833212,19.396964,-1.513798,103.448921,0.702432,-0.036246,0.080549,-0.706248,-0.003318,0.077156,0.000000,7.513102,-3.201646,35.741585,-0.097817,-0.352339,0.000000,6.849963,-2.142366,-27.851269,-0.763023,-2.685447,0.000000,84416.239477,1.045006,0.000018,336.283056,1.622378,3.534833,105.262591,36.662757,19.455945,79.348635,32.990251,-106.974804,19.455945,20.617990,5770.055247,7.177179,27.851269,0.023189,130985.444495,355866.212713,486851.657209,118043.243835,-2931.696019
1.800000,24.760229,-1.882386,1603.414610,24.161439,-3.419468,125.295401,0.702838,-0.045210,0.079093,-0.705491,-0.008619,-0.050904,0.000000,8.438253,-2.057514,37.115877,0.098460,0.295395,0.000000,-5.422373,2.049607,-40.502008,0.738177,2.196077,0.000000,83729.931869,1.038020,0.000018,336.030041,2.266509,3.717828,127.649541,38.118576,24.402210,78.979181,32.990237,-106.974588,24.402210,15.139337,8423.154670,5.799997,40.502008,0.010077,190045.343465,366788.070780,556833.414244,147301.391355,-5170.062745
2.400000,40.776636,-4.307604,1685.344909,29.191046,-4.848955,147.829462,0.702186,-0.038237,0.084333,-0.705946,-0.006541,0.020047,0.000000,8.195152,-3.414772,37.246461,-0.071746,-0.358510,0.000000,6.537045,-1.357240,-56.018768,-0.531647,-2.616696,0.000000,82910.039185,1.029675,0.000018,335.727778,3.036016,3.936443,150.761996,38.289942,29.591039,78.680696,32.990215,-106.974323,29.591039,20.457296,11642.954844,6.665817,56.018768,0.001642,261483.394646,380276.795337,641760.189983,174494.671946,-8445.501086
3.000000,59.772698,-7.764514,1780.623353,34.093455,-6.540197,169.431384,0.702354,-0.040933,0.083417,-0.705736,0.006744,0.037771,0.000000,7.777916,-2.578521,33.896164,-0.017807,0.089168,0.000000,-2.324128,-0.042549,-73.325029,-0.122028,0.662660,0.000000,81956.568973,1.019970,0.000017,335.376271,3.930891,4.190674,172.951241,34.872550,34.715095,78.420825,32.990184,-106.974008,34.715095,18.725331,15162.830966,2.320739,73.325029,0.005244,339607.449873,396508.564627,736116.014500,187311.252942,-12681.654710
3.600000,81.569720,-12.198095,1888.071023,38.487137,-8.183335,188.205616,0.702193,-0.039924,0.084911,-0.705777,0.003758,0.011139,0.000000,6.911490,-2.346376,28.683924,0.028152,0.192631,0.000000,-3.440857,0.696554,-90.617588,0.197241,1.340066,0.000000,80881.318912,1.009025,0.000017,334.979867,4.940063,4.477377,192.274753,29.598001,39.347511,78.191451,32.990144,-106.973647,39.347511,19.671954,18519.165167,3.512718,90.617588,0.000478,414487.534324,415179.544834,829667.079158,186341.496252,-17423.474308
4.200000,105.836279,-17.556494,2005.815938,42.284339,-9.646544,203.596380,0.702000,-0.038090,0.086404,-0.705889,0.004049,0.008978,0.000000,5.696935,-2.091245,21.918715,0.040946,0.158022,0.000000,-2.707251,0.908680,-106.437394,0.277714,1.068016,0.000000,79717.318412,0.997163,0.000017,334.541272,6.104433,4.875696,208.164616,22.743316,43.370740,77.974425,32.990096,-106.973246,43.370740,21.052093,21424.731804,2.855652,106.437394,0.000327,480256.352406,436014.617571,916270.969976,171201.235772,-22156.499226
4.800000,132.007958,-23.667014,2130.712366,44.408783,-10.509190,209.657061,0.701778,-0.035319,0.087800,-0.706082,0.004525,0.012083,0.000000,0.922282,-0.314950,-4.716028,0.017626,0.083925,0.000000,-1.563628,0.543379,-112.332655,0.117185,0.556483,0.000000,78527.600757,0.984996,0.000017,334.062814,7.523542,5.562945,214.566229,4.815693,45.635327,77.720169,32.990041,-106.972812,45.635327,22.911549,22445.558061,1.655353,112.332655,0.000550,506667.575558,459913.199769,966580.775327,48578.560280,-24102.794211
5.400000,158.576562,-29.935255,2254.293048,44.048201,-10.333451,201.674402,0.701554,-0.032651,0.089178,-0.706260,0.003896,0.012360,0.000000,-0.776095,0.411101,-14.349876,0.006291,0.038909,0.000000,-0.887744,0.351427,-101.796887,0.041519,0.256801,0.000000,77350.420440,0.972957,0.000017,333.589395,8.927716,6.242978,206.687176,14.376726,45.244052,77.355502,32.989985,-106.972372,45.244052,24.699033,20520.053175,0.954749,101.796887,0.000554,469915.475473,486355.384298,956270.859771,0.000000,-21040.111100
