id,rocket mass (kg),time (s),motor type,impulse (N*s),burn out (s),nozzle radius (m),throat radius (m),radius (kg*m^2),distance rocket nozzle (m),distance rocket propellant (m),nose length (m),nose distance to cm (m),fin span (m),fin distance to cm (m),rail length (m),latitude,longitude,Phase 1 - Rail Launch,Phase 2 - Powered Flight,Apogee,Phase 3 - Drogue Parachute Deployment,Phase 4 - Descent Under Drogue Parachute,Phase 5 - Main Parachute Deployment,Phase 6 - Descent Under Main Parachute,Phase 7 - Impact,No. Stages,apogee X,apogee Y,apogee Z,x impact,y impact,impact velocity
1,21,398.58423847137914,Cesaroni_M1300,6420.952724999999,4.901,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.32990264930347274,24.118616315114014,24.123809523809527,25.623809523809527,43.8952380952381,45.3952380952381,398.58423847137914,7,732.0204380407781,57.7638285856702,2657.6478367232835,4169.461008238365,775.8421561939729,-5.915452732617669
2,22,382.2085122186552,Cesaroni_M1300,6420.952724999999,4.901,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.33613581556254235,23.540735996322763,23.542857142857144,25.042857142857144,35.761904761904766,37.261904761904766,382.2085122186552,7,690.4245042781444,56.64884236250733,2497.1534112371332,3975.015699954092,744.1155264764867,-6.054680906163622
3,23,367.21792020035286,Cesaroni_M1300,6420.952724999999,4.901,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.34229155604612876,22.96381389962716,22.971428571428575,24.471428571428575,28.06666666666667,29.56666666666667,367.21792020035286,7,650.6542459276352,55.58793411644979,2345.5351082937204,3785.4416948254093,714.875765130506,-6.190795970393907
4,24,127.3932063804641,Cesaroni_M1300,6420.952724999999,4.901,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.3482521777276486,22.393640960149632,22.400000000000002,22.400000100000003,23.900000000000002,23.900000100000003,127.3932063804641,7,612.8522478832991,54.6185149074975,2203.245407008465,1649.9548879417005,267.9762443047772,-20.0284879971406
5,25,119.00905128025204,Cesaroni_M1300,6420.952724999999,4.901,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.3542567479649088,21.831045412511443,21.83809523809524,21.83809533809524,23.33809523809524,23.33809533809524,119.00905128025204,7,576.9417303452717,53.694939778567985,2069.5640307981907,1535.2618272444763,251.85031865467934,-20.442450536330313
6,26,111.31940598614635,Cesaroni_M1300,6420.952724999999,4.901,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.36012341552264765,21.28145032212925,21.28571428571429,21.28571438571429,22.78571428571429,22.78571438571429,111.31940598614635,7,543.1119145476528,52.82797999531539,1944.8277514733734,1429.2402460165097,237.15588387901377,-20.84833292736971
7,21,392.5618540213956,Cesaroni_M1400,6258.825000000001,4.47,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.36594785257152085,23.681811293588435,23.685714285714287,25.185714285714287,37.885714285714286,39.385714285714286,392.5618540213956,7,622.7366443078987,100.07940202779929,2537.3434412724596,3985.8465890978428,816.4229263849736,-5.915445598926708
8,22,376.5819696196668,Cesaroni_M1400,6258.825000000001,4.47,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.37490909463688854,23.105512045489903,23.114285714285717,24.614285714285717,29.980952380952385,31.480952380952385,376.5819696196668,7,583.9608560618092,98.29830179020806,2382.232392486536,3793.2451242025445,784.2398321421844,-6.054688309779889
9,23,131.10629962394034,Cesaroni_M1400,6258.825000000001,4.47,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.38116410553749014,22.5312792551571,22.533333333333335,22.533333433333336,24.033333333333335,24.033333433333336,131.10629962394034,7,547.0552836824323,96.60592373805959,2235.9159938561347,1601.2463676129237,326.8802629267915,-19.60582362302568
10,24,122.27287360903178,Cesaroni_M1400,6258.825000000001,4.47,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.38867966935829634,21.962902542892504,21.971428571428575,21.971428671428576,23.471428571428575,23.471428671428576,122.27287360903178,7,512.3836573770942,94.63060871186028,2098.3747846611054,1483.1601044110869,309.0143219000937,-20.028472239008337
11,25,114.16938148629465,Cesaroni_M1400,6258.825000000001,4.47,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.39612108464135853,21.40467281283655,21.40952380952381,21.409523909523813,22.90952380952381,22.909523909523813,114.16938148629465,7,479.9017204362733,92.51817463004917,1969.6774707772308,1374.2258539818492,292.4072913724839,-20.442507832723134
12,26,106.72686617130617,Cesaroni_M1400,6258.825000000001,4.47,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.4035366647643902,20.85867980832665,20.866666666666667,20.86666676666667,22.366666666666667,22.36666676666667,106.72686617130617,7,449.59720713588234,90.27594377503503,1849.4569352026012,1273.8671771871893,276.9264273048583,-20.848317794036344
13,21,410.9822735983522,Cesaroni_M1540,6819.0,4.5,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.33399633853783267,25.07784791172796,25.08571428571429,26.58571428571429,56.31428571428572,57.81428571428572,410.9822735983522,7,706.207262987041,110.9373912287034,2912.883355750039,4248.283713839369,862.1892784624605,-5.915452775049829
14,22,394.28222913427675,Cesaroni_M1540,6819.0,4.5,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.34126296407477785,24.52574420671903,24.533333333333335,26.033333333333335,47.85714285714286,49.35714285714286,394.28222913427675,7,665.0401914525746,109.72047667573153,2747.827006554968,4051.9308445672705,830.1266865287256,-6.054681371106487
15,23,378.7223561838952,Cesaroni_M1540,6819.0,4.5,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.34850380673711684,23.96728122036992,23.971428571428575,25.471428571428575,40.00952380952381,41.50952380952381,378.7223561838952,7,625.6218536539835,108.2189077394867,2590.1684050092085,3867.5957070108834,799.9061582062989,-6.190791559425743
16,24,364.2883751152297,Cesaroni_M1540,6819.0,4.5,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.3555288534750452,23.40900068985857,23.40952380952381,24.90952380952381,32.733333333333334,34.233333333333334,364.2883751152297,7,588.234127586116,106.47517797194554,2440.6894445411012,3693.290355397236,771.1250593211957,-6.3239756144041195
17,25,351.2980283004152,Cesaroni_M1540,6819.0,4.5,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.3625424944809499,22.854673907240098,22.857142857142858,24.357142857142858,25.46666666666667,26.96666666666667,351.2980283004152,7,552.8959779826928,104.53947227349788,2299.4264776989357,3518.8502573898145,741.8134466809222,-6.454405088640789
18,26,121.6914732901744,Cesaroni_M1540,6819.0,4.5,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.3694850319902989,22.307530160569602,22.314285714285717,22.314285814285718,23.814285714285717,23.814285814285718,121.6914732901744,7,519.5941632673668,102.45600530486335,2166.338080300851,1487.385889564242,317.2682918356656,-20.848325899569666
19,21,385.8861199097575,Cesaroni_M1670,6026.35,3.9,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.39333039742627024,22.903157700839163,22.904761904761905,24.404761904761905,31.123809523809527,32.62380952380953,385.8861199097575,7,594.7111742765837,97.48036307902022,2408.3724339692185,3892.635370175148,801.5600756710127,-5.915445494444273
20,22,134.4475019506257,Cesaroni_M1670,6026.35,3.9,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.40098340504253543,22.33835030637974,22.342857142857145,22.342857242857146,23.842857142857145,23.842857242857146,134.4475019506257,7,557.9234581832258,95.10422134145466,2261.4531493882027,1645.7893795891778,331.66427007276906,-19.173976688611702
21,23,125.27983264617508,Cesaroni_M1670,6026.35,3.9,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.40853519989903925,21.775807597454445,21.78095238095238,21.780952480952383,23.28095238095238,23.280952480952383,125.27983264617508,7,523.1985357156093,92.54351406986761,2122.8476262883337,1524.5805083370715,312.38252889871734,-19.605837657935094
22,24,116.86035455945226,Cesaroni_M1670,6026.35,3.9,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.41599150954426467,21.220874097057926,21.22857142857143,21.228571528571432,22.72857142857143,22.728571528571432,116.86035455945226,7,490.5410540062936,89.90113053165875,1992.8283274908258,1412.645713062436,294.4495733629185,-20.02850217319795
23,25,109.14153205402539,Cesaroni_M1670,6026.35,3.9,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.4233702996504145,20.67688107159972,20.685714285714287,20.685714385714288,22.185714285714287,22.185714385714288,109.14153205402539,7,459.96241103308625,87.20834003520723,1871.3309609219207,1309.5129731635864,277.80516594423267,-20.44247398625528
24,26,102.05456638245862,Cesaroni_M1670,6026.35,3.9,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.43087660307681835,20.144828165728786,20.152380952380955,20.152381052380957,21.652380952380955,21.652381052380957,102.05456638245862,7,431.33373636291316,84.49381765977094,1757.7398089804014,1214.3753687967876,262.3196134622369,-20.848323547962362
25,21,391.75258484671343,Cesaroni_M3100,6131.300424499999,2.0,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.25373421409878666,22.659881066281137,22.666666666666668,24.166666666666668,37.06666666666667,38.56666666666667,391.75258484671343,7,682.9152769375014,75.44399099314714,2540.553852017477,4060.3283951005224,787.0485858130722,-5.915445613929701
26,22,376.35615367257816,Cesaroni_M3100,6131.300424499999,2.0,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.2595175507122296,22.136405300758575,22.142857142857146,23.642857142857146,29.800000000000004,31.300000000000004,376.35615367257816,7,645.6586455234981,72.90313811563298,2397.8388284054577,3875.826668247968,755.2287802010972,-6.054688977774063
27,23,131.41092497910853,Cesaroni_M3100,6131.300424499999,2.0,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.2648602288840615,21.610956719360722,21.61904761904762,21.61904771904762,23.11904761904762,23.11904771904762,131.41092497910853,7,610.1289939611099,70.2792837264079,2262.0984583204613,1690.250211560315,296.7560376599658,-19.60584889457534
28,24,123.01468824893624,Cesaroni_M3100,6131.300424499999,2.0,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.2701038175117662,21.08832461266925,21.0952380952381,21.0952381952381,22.5952380952381,22.5952381952381,123.01468824893624,7,576.4282564251779,67.60844627229672,2133.6800741971274,1577.7031074020738,278.4701870979458,-20.028479239563392
29,25,115.26782945680554,Cesaroni_M3100,6131.300424499999,2.0,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.2746968656258626,20.572432206125665,20.580952380952382,20.580952480952384,22.080952380952382,22.080952480952384,115.26782945680554,7,544.5501610962059,64.98292648537972,2012.7350572332623,1473.2442699856902,261.4935552842517,-20.442453393570975
30,26,108.13253203155416,Cesaroni_M3100,6131.300424499999,2.0,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.280073740432445,20.06587055892332,20.06666666666667,20.06666676666667,21.56666666666667,21.56666676666667,108.13253203155416,7,514.5745372044554,62.339203991374234,1899.1410027637526,1376.4877876648668,245.651149503543,-20.848308855709835id,rocket mass (kg),time (s),motor type,impulse (N*s),burn out (s),nozzle radius (m),throat radius (m),radius (kg*m^2),distance rocket nozzle (m),distance rocket propellant (m),nose length (m),nose distance to cm (m),fin span (m),fin distance to cm (m),rail length (m),latitude,longitude,Phase 1 - Rail Launch,Phase 2 - Powered Flight,Apogee,Phase 3 - Drogue Parachute Deployment,Phase 4 - Descent Under Drogue Parachute,Phase 5 - Main Parachute Deployment,Phase 6 - Descent Under Main Parachute,Phase 7 - Impact,No. Stages,apogee X,apogee Y,apogee Z,x impact,y impact,impact velocity
