id,rocket mass (kg),time (s),motor type,impulse (N*s),burn out (s),nozzle radius (m),throat radius (m),radius (kg*m^2),distance rocket nozzle (m),distance rocket propellant (m),nose length (m),nose distance to cm (m),fin span (m),fin distance to cm (m),rail length (m),latitude,longitude,Phase 1 - Rail Launch,Phase 2 - Powered Flight,Apogee,Phase 3 - Drogue Parachute Deployment,Phase 4 - Descent Under Drogue Parachute,Phase 5 - Main Parachute Deployment,Phase 6 - Descent Under Main Parachute,Phase 7 - Impact,No. Stages,apogee X,apogee Y,apogee Z,x impact,y impact,impact velocity,temperature,E wind start,E wind end,N wind start,N wind end,Burn out time,Nozzle Distance,Propellant
1,20,220.18194858789283,Cesaroni_M1300,6420.952724999999,3.6,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.3236580036713254,22.366228004196294,22.371428571428574,23.871428571428574,89.24761904761905,90.74761904761905,220.18194858789283,7,51.783217421270706,-0.0002483499280168308,3695.6852667023977,3919.1506122194774,-0.0002975865156660461,-6.2811906190155895,300,10,20,0,0,3.6,-1.255,-0.85704
2,20,219.76087181380703,Cesaroni_M1300,6420.952724999999,3.6,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.3236740674076763,22.31002013938626,22.314285714285717,23.814285714285717,88.81904761904762,90.31904761904762,219.76087181380703,7,-33.108667025396265,0.0013739896457680134,3684.108741288906,4196.1610224057395,0.0016858170156141565,-6.281190619041676,300,12,22,0,0,3.6,-1.255,-0.85704
3,20,219.1690137113082,Cesaroni_M1300,6420.952724999999,3.6,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.3236278089102503,22.232201438935242,22.23809523809524,23.73809523809524,88.22857142857144,89.72857142857144,219.1690137113082,7,-118.17264917620706,0.001979150224603587,3669.1790403011855,4470.062196248915,0.002400528937692647,-6.281190619035199,300,14,24,0,0,3.6,-1.255,-0.85704
4,20,218.4192529309076,Cesaroni_M1300,6420.952724999999,3.6,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.3236471482359513,22.13585577184586,22.142857142857146,23.642857142857146,87.47619047619048,88.97619047619048,218.4192529309076,7,-202.8573469049811,-0.0013327064985141643,3650.9760274508467,4740.488428004578,-0.001660133290622578,-6.281190619044681,300,16,26,0,0,3.6,-1.255,-0.85704
5,20,217.48655176163854,Cesaroni_M1300,6420.952724999999,3.6,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.3236680579368004,22.022432974936223,22.028571428571432,23.528571428571432,86.56190476190477,88.06190476190477,217.48655176163854,7,-286.7413962712197,-0.0021501242567153874,3629.4271689422926,5006.113519715162,-0.0025326639700485303,-6.281190618977252,300,18,28,0,0,3.6,-1.255,-0.85704
6,20,216.40588669135866,Cesaroni_M1300,6420.952724999999,3.6,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.32369049558663865,21.892520710160866,21.895238095238096,23.395238095238096,85.46666666666667,86.96666666666667,216.40588669135866,7,-369.5689613377821,0.007502000184725239,3604.563356935372,5267.070204866834,0.00895614903443029,-6.2811906190295845,300,20,30,0,0,3.6,-1.255,-0.85704
7,20,225.14430057000266,Cesaroni_M1400,6258.825000000001,3.6,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.3582960278285504,22.950441325625402,22.952380952380956,24.452380952380956,94.20952380952382,95.70952380952382,225.14430057000266,7,-339.4687492873285,0.0013939692682637486,3786.936576990009,3544.0734516654315,0.001601301729811355,-6.281190619012857,300,10,20,0,0,3.6,-1.255,-0.85704
8,20,223.74657917562575,Cesaroni_M1400,6258.825000000001,3.6,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.35831905513192264,22.786531229766304,22.79047619047619,24.29047619047619,92.80952380952382,94.30952380952382,223.74657917562575,7,-469.2578490305829,-0.003886348109401973,3754.348999757316,3764.6484151174704,-0.004584471840642434,-6.281190619020853,300,12,22,0,0,3.6,-1.255,-0.85704
9,20,222.02375879670709,Cesaroni_M1400,6258.825000000001,3.6,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.35834426782244183,22.592342790687976,22.6,24.1,91.08571428571429,92.58571428571429,222.02375879670709,7,-596.0052905229135,-0.003108718111549477,3715.4950598839373,3978.6129167843233,-0.0035607033151415788,-6.281190619027732,300,14,24,0,0,3.6,-1.255,-0.85704
10,20,219.98118812216535,Cesaroni_M1400,6258.825000000001,3.6,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.3583716632137067,22.367989834336438,22.371428571428574,23.871428571428574,89.04761904761905,90.54761904761905,219.98118812216535,7,-718.6403394065787,0.020466130389609986,3670.5050070728867,4185.42894079277,0.023902044578602455,-6.2811906190108155,300,16,26,0,0,3.6,-1.255,-0.85704
11,20,217.62281641390578,Cesaroni_M1400,6258.825000000001,3.6,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.35840123232341414,22.114150995091933,22.114285714285717,23.614285714285717,86.70476190476191,88.20476190476191,217.62281641390578,7,-836.3811124187314,-0.001458883888485518,3619.6735074669396,4383.568887006263,-0.0015533835636430634,-6.281190618949757,300,18,28,0,0,3.6,-1.255,-0.85704
12,20,214.997813977428,Cesaroni_M1400,6258.825000000001,3.6,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.3584329609538285,21.832721193053295,21.83809523809524,23.33809523809524,84.06666666666668,85.56666666666668,214.997813977428,7,-948.0646371352475,0.00456114766233099,3563.5595611943,4573.1786818229575,0.005420004319814554,-6.281190618999058,300,20,30,0,0,3.6,-1.255,-0.85704
