# Time (s), X (m), Y (m), Z (m), Vx (m/s), Vy (m/s), Vz (m/s), e0, e1, e2, e3, ω1 (rad/s), ω2 (rad/s), ω3 (rad/s), Ax (m/s2), Ay (m/s2), Az (m/s2), α1 (rad/s2), α2 (rad/s2), α3 (rad/s2), R1 (N), R2 (N), R3 (N), M1 (Nm), M2 (Nm), Aerodynamic Spin Moment (N m), Pressure (Pa), Density (kg/m³), Dynamic Viscosity (Pa s), Speed of Sound (m/s), Wind Velocity X (East) (m/s), Wind Velocity Y (North) (m/s), Speed - Velocity Magnitude (m/s), Acceleration Magnitude (m/s²), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Path Angle (°), Latitude (°), Longitude (°), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Spin Angle - φ (°), Dynamic Pressure (Pa), Aerodynamic Lift Force (N), Aerodynamic Drag Force (N), Rotational Kinetic Energy (J), Kinetic Energy (J), ((Scalar*9.80665)*Z (m)), Total Mechanical Energy (J), Thrust Power (W), Drag Power (W)
0.000000,0.000000,0.000000,1400.000000,0.000000,0.000000,0.000000,0.704416,-0.061628,0.061628,-0.704416,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-73.824870,0.000000,-3.098347,0.000000,20.912776,0.000000,85598.771785,0.993995,0.000018,347.220687,0.000000,35.000000,0.000000,0.000000,0.000000,0.000000,32.990254,-106.974998,0.000000,0.000000,608.822197,73.824870,3.098347,0.000000,0.000000,315168.831651,315168.831651,0.000000,-0.000000
0.600000,4.051953,-0.038949,1422.376245,14.396873,-1.704308,78.191431,0.696797,-0.003068,0.120529,-0.707059,-0.009917,0.955852,0.000000,27.076147,-22.740752,143.208643,-0.061822,2.415078,0.000000,-77.238256,-1.728215,-18.484685,-0.517517,21.477869,0.000000,85364.537845,0.991275,0.000018,347.220687,0.000000,35.000000,79.524050,147.509237,14.497401,79.496121,32.990254,-106.974931,14.497401,43.122928,3800.736440,77.257660,18.484685,3.661096,69639.886027,307187.403268,376827.289295,276779.893119,-1469.977071
1.200000,17.491442,-11.661551,1493.991016,30.040692,-43.925881,156.957601,0.665714,0.115481,0.245041,-0.695302,-0.011739,-0.753656,0.000000,25.634271,-79.817386,121.452618,0.145665,-2.849261,0.000000,71.635123,2.510153,-75.469113,1.042422,-22.624726,0.000000,84618.362484,0.982611,0.000018,347.220687,0.000000,35.000000,165.733565,147.576025,53.215845,71.270979,32.990149,-106.974708,53.215845,68.987826,15607.505923,71.869804,75.469113,2.084651,288558.344139,307828.081440,596386.425579,554316.329391,-12507.769744
1.800000,40.240021,-49.319015,1610.756699,45.259266,-81.855849,229.284281,0.671349,0.098330,0.231107,-0.697289,-0.004972,-0.471625,0.000000,17.815672,-47.554644,79.592881,0.130747,-0.619615,0.000000,20.370684,1.750292,-169.023955,0.864747,-4.897368,0.000000,83413.078081,0.968615,0.000018,347.220687,0.000000,35.000000,247.628881,94.413280,93.534920,67.807340,32.989811,-106.974332,93.534920,66.962648,33066.066421,20.325741,169.023955,0.742470,616224.988250,317480.320556,933705.308807,553534.672574,-41855.212551
2.400000,68.095343,-99.972724,1750.115755,46.153609,-83.577736,227.993335,0.673112,0.092379,0.227592,-0.697561,-0.004957,0.159025,0.000000,-1.372785,5.358539,-16.270429,-0.058512,2.460166,0.000000,-37.756518,-0.921941,-165.906988,-0.386182,16.237096,0.000000,81992.814697,0.952122,0.000018,347.220687,0.000000,35.000000,247.176768,17.185034,95.474570,67.277997,32.989355,-106.973870,95.474570,66.070317,32453.936890,37.770956,165.906988,0.083532,610963.628186,343255.453417,954219.081604,-0.000000,-41008.353147
3.000000,95.524435,-149.483947,1883.868580,45.293937,-81.414122,217.953114,0.669695,0.101699,0.239721,-0.695487,-0.009864,0.077255,0.000000,-1.447962,2.754914,-16.778798,-0.002624,-1.387801,0.000000,18.243438,-0.229312,-151.611045,-0.017317,-9.159490,0.000000,80648.165032,0.936508,0.000018,347.220687,0.000000,35.000000,237.030294,17.065000,93.165444,66.855406,32.988910,-106.973416,93.165444,66.906148,29550.258273,18.236362,151.611045,0.020017,561833.621074,369488.796296,931322.417370,0.000000,-35936.410558
3.600000,122.457536,-197.737423,2011.716071,44.492683,-79.434065,208.276531,0.669098,0.102484,0.243733,-0.694551,-0.008390,-0.029337,0.000000,-1.295435,3.023008,-15.901972,0.013490,-0.385973,0.000000,6.108472,0.038419,-138.385490,0.089033,-2.547422,0.000000,79379.628933,0.921777,0.000018,347.220687,0.000000,35.000000,227.307023,16.238517,91.045975,66.387944,32.988476,-106.972970,91.045975,66.736251,26940.718270,6.129255,138.385490,0.003072,516684.830855,394563.908117,911248.738972,-0.000000,-31455.993683
4.200000,148.930602,-244.808473,2133.891822,43.757394,-77.531600,199.019295,0.668413,0.103473,0.248014,-0.693548,-0.008169,-0.008808,0.000000,-1.166166,3.121835,-15.080126,0.003631,0.188635,0.000000,-2.594141,-0.092235,-124.737295,0.023965,1.244989,0.000000,78182.514437,0.907876,0.000018,347.220687,0.000000,35.000000,218.024169,15.443964,89.027291,65.899602,32.988053,-106.972532,89.027291,66.588896,24597.422241,2.694270,124.737295,0.000476,475345.383451,418526.604631,893871.988083,-0.000000,-27195.745006
4.800000,174.979237,-290.785642,2250.619727,43.078443,-75.770692,190.116268,0.667194,0.105843,0.253835,-0.692257,-0.008812,0.013300,0.000000,-1.079568,2.907208,-14.523028,-0.000918,0.183314,0.000000,-2.927690,-0.163251,-112.853945,-0.006056,1.209875,0.000000,77052.476198,0.894754,0.000018,347.220687,0.000000,35.000000,209.143839,14.850443,87.160485,65.370493,32.987639,-106.972101,87.160485,66.578820,22489.673599,2.930680,112.853945,0.000840,437411.454799,441420.799005,878832.253804,-0.000000,-23602.707358
5.400000,200.635117,-335.752332,2362.096837,42.448541,-74.146197,181.518108,0.665765,0.108625,0.260279,-0.690807,-0.009518,0.020893,0.000000,-1.005662,2.665269,-14.060304,-0.001609,0.108731,0.000000,-1.957714,-0.178629,-102.369750,-0.010618,0.717627,0.000000,75985.653211,0.882365,0.000018,347.220687,0.000000,35.000000,200.619941,14.345981,85.437329,64.794472,32.987235,-106.971676,85.437329,66.595213,20587.169766,1.965851,102.369750,0.001739,402483.607515,463285.139025,865768.746540,-0.000000,-20537.413193
