# Time (s), X (m), Y (m), Z (m), Vx (m/s), Vy (m/s), Vz (m/s), e0, e1, e2, e3, ω1 (rad/s), ω2 (rad/s), ω3 (rad/s), Ax (m/s2), Ay (m/s2), Az (m/s2), α1 (rad/s2), α2 (rad/s2), α3 (rad/s2), R1 (N), R2 (N), R3 (N), M1 (Nm), M2 (Nm), Aerodynamic Spin Moment (N m), Pressure (Pa), Density (kg/m³), Dynamic Viscosity (Pa s), Speed of Sound (m/s), Wind Velocity X (East) (m/s), Wind Velocity Y (North) (m/s), Speed - Velocity Magnitude (m/s), Acceleration Magnitude (m/s²), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Path Angle (°), Latitude (°), Longitude (°), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Spin Angle - φ (°), Dynamic Pressure (Pa), Aerodynamic Lift Force (N), Aerodynamic Drag Force (N), Rotational Kinetic Energy (J), Kinetic Energy (J), ((Scalar*9.80665)*Z (m)), Total Mechanical Energy (J), Thrust Power (W), Drag Power (W)
0.000000,0.000000,0.000000,1400.000000,0.000000,0.000000,0.000000,0.704416,-0.061628,0.061628,-0.704416,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,159.658952,149.746071,-8.298135,42.744781,-45.574398,0.000000,85598.771785,0.993995,0.000018,347.220687,40.000000,-42.000000,0.000000,0.000000,0.000000,0.000000,32.990254,-106.974998,0.000000,0.000000,1671.900304,218.894648,8.298135,0.000000,0.000000,315168.831651,315168.831651,0.000000,-0.000000
0.600000,2.834400,-0.075551,1415.296351,10.386498,0.406375,58.412980,0.709687,-0.064899,-0.044994,-0.700080,1.001396,-1.074556,0.000000,7.543128,14.884222,113.281891,2.961668,-3.206840,0.000000,105.079380,97.187761,-14.765134,25.878458,-28.004537,0.000000,85438.593791,0.992135,0.000018,347.220687,40.000000,-42.000000,59.330600,114.504227,10.394424,79.909984,32.990253,-106.974951,10.394424,-79.326818,3019.730961,143.133606,14.765134,8.818768,39217.951432,309191.637949,348409.589382,164484.388289,-876.024117
1.200000,5.097862,7.811870,1467.056514,-6.827571,27.755428,101.220008,0.644721,-0.074197,-0.468842,-0.599187,-0.139924,0.116640,0.000000,-29.812276,35.614839,9.654017,-6.040376,6.494937,0.000000,-148.228167,-138.361115,-41.014804,-47.024031,50.539146,0.000000,84898.378758,0.985862,0.000018,347.220687,40.000000,-42.000000,105.178275,47.438264,28.582853,74.231199,32.990324,-106.974914,28.582853,-123.910737,8529.745116,202.769297,41.014804,0.128900,119713.341015,311377.701063,431091.042078,117911.697263,-4313.866356
1.800000,-2.935227,29.841875,1531.781072,-17.256526,43.485837,117.894705,0.690353,-0.075100,-0.275076,-0.664926,0.518390,-0.556748,0.000000,-10.555370,20.661500,36.744038,3.956871,-4.292900,0.000000,98.977052,91.321905,-57.618875,30.281732,-32.849186,0.000000,84226.750909,0.978063,0.000018,347.220687,40.000000,-42.000000,126.838350,43.456152,46.784674,68.355119,32.990522,-106.975047,46.784674,-118.654716,11974.084693,134.654344,57.618875,2.186067,171551.817119,320358.304880,491910.121999,146365.208900,-7308.283052
2.400000,-16.885239,61.153939,1607.421719,-30.024385,61.618672,133.338477,0.677135,-0.078711,-0.341453,-0.647089,-0.456876,0.481761,0.000000,-17.055727,26.993428,30.630804,2.376342,-2.476542,0.000000,37.767041,36.341776,-78.417277,17.094551,-17.811128,0.000000,83447.308611,0.969012,0.000018,347.220687,40.000000,-42.000000,149.924894,44.246918,68.544324,62.793999,32.990804,-106.975278,68.544324,-120.719206,16191.897650,52.363933,78.417277,1.617253,236111.844714,331167.569102,567279.413815,173526.253133,-11756.702027
3.000000,-37.907497,102.882718,1692.787218,-41.040927,78.229495,149.546371,0.668961,-0.080847,-0.375315,-0.636486,-0.295451,0.304316,0.000000,-19.671342,28.398006,22.562827,-0.824041,0.936352,0.000000,-22.377543,-20.249075,-102.624556,-6.082670,6.889186,0.000000,82574.682099,0.958879,0.000018,347.220687,40.000000,-42.000000,173.690324,41.261236,88.341449,59.428402,32.991179,-106.975626,88.341449,-121.418647,20801.382092,30.222071,102.624556,0.640669,312348.488638,343748.102322,656096.590960,188111.701446,-17824.892319
3.600000,-65.537346,154.400254,1786.789697,-51.265428,93.522958,162.785229,0.667951,-0.082576,-0.377144,-0.636249,-0.171670,0.173957,0.000000,-16.707422,24.565303,18.752111,-0.228307,0.282148,0.000000,-8.098770,-7.192488,-127.491400,-1.691665,2.065643,0.000000,81622.329762,0.947820,0.000018,347.220687,40.000000,-42.000000,194.611712,35.131668,106.652181,56.768341,32.991642,-106.976083,106.652181,-121.257443,25209.584388,10.996175,127.491400,0.206548,386750.839889,357863.329536,744614.169425,188606.335111,-24811.319698
4.200000,-98.995807,214.582224,1887.734573,-60.155092,106.802333,172.870408,0.667185,-0.084186,-0.378020,-0.636322,-0.050666,0.046993,0.000000,-12.664223,19.326101,14.331583,1.084741,-1.146733,0.000000,15.955515,14.963332,-149.118574,7.267783,-7.686832,0.000000,80609.566498,0.936059,0.000018,347.220687,40.000000,-42.000000,211.918738,27.189613,122.578030,54.660512,32.992184,-106.976637,122.578030,-121.088604,29044.686994,21.856091,149.118574,0.016060,452825.270213,373321.948902,826147.219115,174289.401722,-31601.020033
4.800000,-136.928203,281.420763,1992.958669,-64.944447,113.973504,175.433522,0.664283,-0.085814,-0.387787,-0.633256,0.059991,-0.072130,0.000000,-1.220106,1.941683,-7.128373,0.282139,-0.313061,0.000000,5.862448,5.183628,-156.369301,1.873817,-2.080058,0.000000,79564.726557,0.923927,0.000018,347.220687,40.000000,-42.000000,219.054015,7.486679,131.178279,53.213145,32.992785,-106.977265,131.178279,-121.152217,30544.082464,7.872587,156.369301,0.029080,480099.127821,391090.637407,871189.765228,49613.172930,-34253.323181
5.400000,-175.535299,349.262566,2095.835125,-63.441452,111.727992,167.060594,0.661145,-0.087528,-0.398027,-0.629943,0.023627,-0.034454,0.000000,2.860196,-4.369413,-14.897680,-0.335337,0.356619,0.000000,-4.436834,-4.337452,-145.731204,-2.213225,2.353685,0.000000,78553.826727,0.912188,0.000018,347.220687,40.000000,-42.000000,210.753895,15.786492,128.483315,52.436759,32.993395,-106.977904,128.483315,-121.213388,28388.042835,6.192290,145.731204,0.005761,444172.048539,411062.430607,855234.479146,-0.000000,-30713.418817
