id,rocket mass (kg),time (s),motor type,impulse (N*s),burn out (s),nozzle radius (m),throat radius (m),radius (kg*m^2),distance rocket nozzle (m),distance rocket propellant (m),nose length (m),nose distance to cm (m),fin span (m),fin distance to cm (m),rail length (m),latitude,longitude,Phase 1 - Rail Launch,Phase 2 - Powered Flight,Apogee,Phase 3 - Drogue Parachute Deployment,Phase 4 - Descent Under Drogue Parachute,Phase 5 - Main Parachute Deployment,Phase 6 - Descent Under Main Parachute,Phase 7 - Impact,No. Stages,apogee X,apogee Y,apogee Z,x impact,y impact,impact velocity,temperature,E wind start,E wind end,N wind start,N wind end,Burn out time,Nozzle Distance,Propellant
1,20,217.39363158016948,Cesaroni_M1300,6420.952724999999,3.6,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.32358589422234696,21.9989761821366,22.000000000000004,23.500000000000004,86.46666666666667,87.96666666666667,217.39363158016948,7,910.8982953295698,-4.9027797587862e-05,3626.3042128069637,709.4106728566359,3.9358503983004376e-05,-6.281190618985967,300,0,-2,-2,0,3.6,-1.255,-0.85704
2,20,218.99135070912362,Cesaroni_M1300,6420.952724999999,3.6,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.32361484739905244,22.201961218156022,22.209523809523812,23.709523809523812,88.05714285714286,89.55714285714286,218.99135070912362,7,532.3359329040674,-395.6809909595892,3664.1966920285095,2182.2903204193126,1442.515380541764,-6.2811906190108235,300,10,8,8,10,3.6,-1.255,-0.85704
3,20,214.20278724434803,Cesaroni_M1300,6420.952724999999,3.6,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.3236602513536046,21.635182948609877,21.63809523809524,23.13809523809524,83.26666666666668,84.76666666666668,214.20278724434803,7,108.26993638495061,-775.3457357064906,3555.6786594598952,3523.3130890941393,2851.9729553290563,-6.281190619018814,300,20,18,18,20,3.6,-1.255,-0.85704
4,20,202.28134244087482,Cesaroni_M1300,6420.952724999999,3.6,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.32384761181815797,20.322305014496838,20.323809523809526,21.823809523809526,71.36190476190477,72.86190476190477,202.28134244087482,7,-290.0228939218465,-1071.2520058359535,3305.5943947227606,4661.98299666928,4106.475599923454,-6.281190618953951,300,30,28,28,30,3.6,-1.255,-0.85704
5,20,185.17767482687194,Cesaroni_M1300,6420.952724999999,3.6,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.3241090965659662,18.42793852248505,18.42857142857143,19.92857142857143,54.247619047619054,55.747619047619054,185.17767482687194,7,-586.2667587012384,-1229.3020908192925,2961.9896387579465,5540.839695245225,5119.655811007611,-6.2811906189946285,300,40,38,38,40,3.6,-1.255,-0.85704
6,20,166.36306179627053,Cesaroni_M1300,6420.952724999999,3.6,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.32444346459979856,16.22715481254451,16.22857142857143,17.72857142857143,35.419047619047625,36.919047619047625,166.36306179627053,7,-746.8325527449223,-1245.295890057127,2597.9577081495568,6199.814689963461,5910.424097002624,-6.281190571201048,300,50,48,48,50,3.6,-1.255,-0.85704
7,20,223.14138237527533,Cesaroni_M1400,6258.825000000001,3.6,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.35819352999400034,22.70483218384584,22.714285714285715,24.214285714285715,92.2,93.7,223.14138237527533,7,1033.9858582018883,-0.0005925783250667141,3739.7361053180953,837.3720409566677,-0.0007207853465120259,-6.281190619037865,300,0,-2,-2,0,3.6,-1.255,-0.85704
8,20,224.69969485850046,Cesaroni_M1400,6258.825000000001,3.6,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.35823457232364403,22.889175202287166,22.895238095238096,24.395238095238096,93.75238095238096,95.25238095238096,224.69969485850046,7,427.165466695489,-624.554041970472,3775.6848866794526,2090.6148495884045,1225.2494480291884,-6.281190619060472,300,10,8,8,10,3.6,-1.255,-0.85704
9,20,213.0789935237772,Cesaroni_M1400,6258.825000000001,3.6,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.3583901348513519,21.623180252489593,21.62857142857143,23.12857142857143,82.13333333333334,83.63333333333334,213.0789935237772,7,-222.5432054887333,-1165.9639784883075,3522.7279979546993,3121.401076799984,2394.2840479722954,-6.28119061905419,300,20,18,18,20,3.6,-1.255,-0.85704
10,20,189.93963562221413,Cesaroni_M1400,6258.825000000001,3.6,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.3586541841588404,19.142946464075635,19.152380952380955,20.652380952380955,59.00000000000001,60.50000000000001,189.93963562221413,7,-709.4222473963158,-1452.5256342293185,3051.1045955214636,3873.441904914947,3345.9688233582365,-6.281190619031004,300,30,28,28,30,3.6,-1.255,-0.85704
