# Time (s), X (m), Y (m), Z (m), Vx (m/s), Vy (m/s), Vz (m/s), e0, e1, e2, e3, ω1 (rad/s), ω2 (rad/s), ω3 (rad/s)
0.000000,0.000000,0.000000,1471.466078,0.000000,0.000000,0.000000,0.704416,-0.061628,0.061628,-0.704416,0.000000,0.000000,0.000000
0.550000,3.215980,0.001169,1489.298116,12.498833,-0.019031,67.990626,0.704180,-0.061076,0.064294,-0.704462,-0.024763,0.034917,0.000000
1.100000,14.378924,-0.319446,1548.191484,28.565698,-1.612563,146.275133,0.702379,-0.061083,0.083279,-0.704271,-0.035101,0.014961,0.000000
1.650000,34.654699,-1.882916,1649.022740,44.872255,-3.955055,219.599327,0.702370,-0.060809,0.083368,-0.704292,-0.033780,0.039433,0.000000
2.200000,61.810956,-4.478205,1780.084069,50.249275,-4.855982,239.785895,0.701888,-0.060152,0.087901,-0.704279,-0.020024,0.019249,0.000000
2.750000,89.230701,-7.106117,1909.448442,49.458826,-4.693246,230.689714,0.701487,-0.059413,0.091531,-0.704279,-0.009502,0.009744,0.000000
3.300000,116.228803,-9.638752,2033.907124,48.723758,-4.517222,221.943292,0.701072,-0.058593,0.095175,-0.704277,-0.007135,0.009228,0.000000
3.850000,142.839465,-12.077507,2153.643285,48.049064,-4.348878,213.511214,0.700879,-0.058434,0.096900,-0.704248,-0.005704,0.006571,0.000000
4.400000,169.094005,-14.425109,2268.820736,47.428967,-4.187541,205.360686,0.700675,-0.058349,0.098711,-0.704206,-0.005857,0.005878,0.000000
4.950000,195.021245,-16.685714,2379.586202,46.858468,-4.033561,197.462983,0.700455,-0.058320,0.100666,-0.704151,-0.006059,0.005305,0.000000
5.500000,220.646995,-18.863246,2486.071597,46.332485,-3.886284,189.792592,0.700213,-0.058349,0.102798,-0.704081,-0.006135,0.005052,0.000000
6.050000,245.994444,-20.961412,2588.395856,45.846518,-3.745154,182.328114,0.699948,-0.058456,0.105119,-0.703993,-0.006352,0.005386,0.000000
6.600000,271.082245,-22.989241,2686.667013,45.388628,-3.628132,175.050590,0.699865,-0.061177,0.106598,-0.703621,-0.011977,-0.005432,0.000000
7.150000,295.928156,-24.952255,2780.981932,44.961843,-3.518797,167.939475,0.699729,-0.063630,0.108388,-0.703266,-0.013867,-0.007042,0.000000
7.700000,320.546637,-26.858848,2871.428167,44.563273,-3.417709,160.980358,0.699596,-0.066610,0.110212,-0.702838,-0.012505,-0.001734,0.000000
8.250000,344.951561,-28.715387,2958.086049,44.187163,-3.332032,154.161439,0.699456,-0.070079,0.112138,-0.702335,-0.013540,-0.001948,0.000000
8.800000,369.156178,-30.526865,3041.029460,43.832926,-3.257623,147.471634,0.699254,-0.073389,0.114429,-0.701829,-0.015875,-0.004378,0.000000
9.350000,393.172187,-32.299169,3120.326580,43.501104,-3.189128,140.900621,0.699016,-0.076981,0.116936,-0.701268,-0.016309,-0.002305,0.000000
9.900000,417.010707,-34.037043,3196.040321,43.187636,-3.131179,134.439665,0.698744,-0.080974,0.119675,-0.700627,-0.018436,-0.003360,0.000000
10.450000,440.681167,-35.745397,3268.228897,42.890318,-3.081883,128.080221,0.698416,-0.085815,0.122819,-0.699834,-0.021883,-0.004864,0.000000
11.000000,464.193607,-37.427885,3336.945544,42.611443,-3.037774,121.813651,0.698025,-0.090777,0.126233,-0.698989,-0.022773,-0.003861,0.000000
11.550000,487.556279,-39.088427,3402.239837,42.346763,-3.001196,115.633844,0.697550,-0.096331,0.130094,-0.698011,-0.025509,-0.004469,0.000000
12.100000,510.777924,-40.730002,3464.157383,42.097625,-2.969251,109.533792,0.696982,-0.102125,0.134342,-0.696950,-0.027409,-0.003918,0.000000
12.650000,533.866035,-42.355677,3522.740633,41.861593,-2.942944,103.508012,0.696296,-0.108517,0.139119,-0.695731,-0.030643,-0.004317,0.000000
13.200000,556.828257,-43.967878,3578.028696,41.639438,-2.920313,97.550493,0.695473,-0.115388,0.144430,-0.694365,-0.033292,-0.003879,0.000000
13.750000,579.671567,-45.568822,3630.057832,41.429177,-2.901918,91.656508,0.694479,-0.122882,0.150394,-0.692806,-0.037264,-0.004077,0.000000
14.300000,602.402618,-47.160523,3678.861543,41.231175,-2.886530,85.820872,0.693279,-0.131126,0.157089,-0.691009,-0.041167,-0.003863,0.000000
