# Time (s), X (m), Y (m), Z (m), Vx (m/s), Vy (m/s), Vz (m/s), e0, e1, e2, e3, ω1 (rad/s), ω2 (rad/s), ω3 (rad/s)
0.000000,0.000000,0.000000,1471.466078,0.000000,0.000000,0.000000,0.704416,-0.061628,0.061628,-0.704416,0.000000,0.000000,0.000000
0.600000,0.549373,0.000000,1474.581636,2.126792,0.000045,12.045609,0.704416,-0.061628,0.061629,-0.704416,-0.000010,0.000110,0.000000
1.200000,2.871115,-0.005610,1486.236755,5.716920,-0.060444,26.930180,0.703906,-0.058031,0.067278,-0.704714,-0.014953,0.051638,0.000000
1.800000,7.447879,-0.203237,1506.875904,9.590214,-0.772707,41.738590,0.701341,-0.048101,0.092628,-0.705143,-0.062409,0.108687,0.000000
2.400000,14.480002,-1.179138,1536.055421,13.956534,-2.667557,55.225347,0.696918,-0.044115,0.130933,-0.703716,-0.088548,0.068202,0.000000
3.000000,24.315720,-3.523416,1572.806045,18.894795,-5.139480,67.066701,0.695555,-0.054201,0.146424,-0.701302,-0.023354,-0.030004,0.000000
3.600000,36.524632,-6.993163,1614.218446,21.038112,-6.071307,68.412390,0.695791,-0.057579,0.146294,-0.700826,-0.016794,0.036325,0.000000
4.200000,49.211562,-10.661387,1653.735857,21.144773,-6.114714,62.951750,0.692122,-0.054497,0.168977,-0.699603,-0.068398,0.059133,0.000000
4.800000,61.886540,-14.328392,1689.707556,21.107934,-6.107616,56.956652,0.689483,-0.061077,0.188119,-0.696774,-0.048277,0.006751,0.000000
5.400000,74.541183,-17.986163,1722.088726,21.072578,-6.081708,50.985120,0.687937,-0.066989,0.199389,-0.694621,-0.043706,0.030458,0.000000
6.000000,87.172050,-21.625686,1750.894292,21.030079,-6.051674,45.036262,0.683418,-0.068406,0.222529,-0.691911,-0.077553,0.067987,0.000000
6.600000,99.778229,-25.250803,1776.134717,20.991833,-6.033760,39.100179,0.676543,-0.072761,0.255556,-0.686794,-0.101673,0.065187,0.000000
7.200000,112.363619,-28.866939,1797.816717,20.960207,-6.019702,33.175303,0.669230,-0.082134,0.289400,-0.679435,-0.111079,0.055930,0.000000
7.800000,124.930855,-32.473593,1815.947973,20.930593,-6.001736,27.264757,0.660571,-0.093506,0.325287,-0.670141,-0.127478,0.068155,0.000000
8.400000,137.480235,-36.068475,1830.537395,20.900616,-5.981090,21.368973,0.647782,-0.105247,0.369751,-0.657711,-0.160671,0.096806,0.000000
9.000000,150.011662,-39.651114,1841.593281,20.871000,-5.961427,15.485899,0.628111,-0.118326,0.427067,-0.639600,-0.207658,0.129227,0.000000
9.600000,162.525828,-43.222775,1849.122590,20.843346,-5.944659,9.613421,0.599102,-0.134379,0.497894,-0.612469,-0.263352,0.160094,0.000000
10.200000,175.024388,-46.785389,1853.131188,20.819251,-5.931316,3.749948,0.558101,-0.154231,0.580472,-0.572527,-0.323926,0.189362,0.000000
10.800000,187.509969,-50.341107,1853.623430,20.800341,-5.921733,-2.107068,0.502324,-0.177396,0.670713,-0.516083,-0.383106,0.216038,0.000000
11.400000,199.985933,-53.892175,1850.602368,20.787428,-5.915866,-7.964599,0.430593,-0.201852,0.760866,-0.441494,-0.424647,0.232897,0.000000
12.000000,212.455441,-57.440388,1844.064800,20.849169,-5.953317,-13.924128,0.345258,-0.224592,0.840746,-0.351185,-0.413577,0.222106,0.000000
12.600000,224.388199,-60.675173,1834.676552,18.746494,-4.725366,-17.020688,0.335152,-0.226918,0.848704,-0.340417,-0.407077,0.218147,0.000000
13.200000,234.991625,-63.136717,1823.714968,16.643121,-3.507957,-19.470660,0.335153,-0.226918,0.848704,-0.340418,-0.407077,0.218147,0.000000
13.800000,244.406287,-64.914216,1811.368547,14.773629,-2.439272,-21.636716,0.335153,-0.226918,0.848704,-0.340418,-0.407077,0.218147,0.000000
14.400000,252.758312,-66.088758,1797.806993,13.094655,-1.494492,-23.521999,0.335153,-0.226918,0.848704,-0.340418,-0.407077,0.218147,0.000000
15.000000,260.153218,-66.729687,1783.196157,11.581138,-0.659389,-25.136944,0.335153,-0.226918,0.848704,-0.340418,-0.407077,0.218147,0.000000
15.600000,266.685449,-66.900051,1767.693218,10.216722,0.075432,-26.499195,0.335153,-0.226918,0.848704,-0.340418,-0.407077,0.218147,0.000000
16.200000,272.440746,-66.657814,1751.442923,8.989757,0.716919,-27.631989,0.335153,-0.226918,0.848704,-0.340418,-0.407077,0.218147,0.000000
16.800000,277.498356,-66.056964,1734.574531,7.890367,1.271276,-28.561676,0.335153,-0.226918,0.848704,-0.340418,-0.407077,0.218147,0.000000
17.400000,281.932201,-65.148067,1717.202398,6.909154,1.744643,-29.315420,0.335153,-0.226918,0.848704,-0.340418,-0.407077,0.218147,0.000000
18.000000,285.810416,-63.977859,1699.424180,6.036688,2.143356,-29.919623,0.335153,-0.226918,0.848704,-0.340418,-0.407077,0.218147,0.000000
18.600000,289.195423,-62.589214,1681.322280,5.263534,2.473863,-30.398810,0.335153,-0.226918,0.848704,-0.340418,-0.407077,0.218147,0.000000
