id,rocket mass (kg),time (s),motor type,impulse (N*s),burn out (s),nozzle radius (m),throat radius (m),radius (kg*m^2),distance rocket nozzle (m),distance rocket propellant (m),nose length (m),nose distance to cm (m),fin span (m),fin distance to cm (m),rail length (m),latitude,longitude,Phase 1 - Rail Launch,Phase 2 - Powered Flight,Apogee,Phase 3 - Drogue Parachute Deployment,Phase 4 - Descent Under Drogue Parachute,Phase 5 - Main Parachute Deployment,Phase 6 - Descent Under Main Parachute,Phase 7 - Impact,No. Stages,apogee X,apogee Y,apogee Z,x impact,y impact,impact velocity
1,51,30.72447039650094,Cesaroni_M1300,6420.952724999999,4.901,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.5044726633230878,11.97918101037485,11.980952380952383,11.980952480952382,13.480952380952383,13.480952480952382,30.72447039650094,7,254.91735522114863,-71.02148518240392,1965.248713282491,405.04547918222767,-44.43302493768052,-30.720635775615648
2,52,29.667410622992122,Cesaroni_M1300,6420.952724999999,4.901,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.5103458295070749,11.758868767447428,11.761904761904763,11.761904861904762,13.261904761904763,13.261904861904762,29.667410622992122,7,245.20882465697133,-68.88368764175215,1943.2777376741324,393.61410368312715,-48.43851094158001,-31.01328679625979
3,53,28.676065452732605,Cesaroni_M1300,6420.952724999999,4.901,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.5150899625633477,11.546817563029592,11.552380952380954,11.552381052380953,13.052380952380954,13.052381052380953,28.676065452732605,7,236.08180544674025,-66.85395503777238,1922.6113632663546,382.83393006645014,-51.96820564843658,-31.29961740750664
4,54,27.745105740905075,Cesaroni_M1300,6420.952724999999,4.901,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.5199143697141702,11.341882912563188,11.342857142857143,11.342857242857143,12.842857142857143,12.842857242857143,27.745105740905075,7,227.396020498695,-64.89215141136641,1903.0907889286416,372.37306238374083,-54.94568591320079,-31.57908173280148
5,55,26.864943445522137,Cesaroni_M1300,6420.952724999999,4.901,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.5248861209960602,11.144364079173249,11.152380952380954,11.152381052380953,12.652380952380954,12.652381052380953,26.864943445522137,7,219.1413220965481,-62.98789679165523,1884.6832442516466,362.4828484920016,-57.61722165781122,-31.850195220171628
6,56,26.029981852971154,Cesaroni_M1300,6420.952724999999,4.901,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.5298165391262957,10.95076729087359,10.952380952380953,10.952381052380952,12.452380952380953,12.452381052380952,26.029981852971154,7,211.16859221080605,-61.11443767168079,1867.0630379776273,352.60930624536957,-59.76238840655663,-32.11264417979817
7,51,29.368137300994114,Cesaroni_M1400,6258.825000000001,4.47,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.591814991180895,11.694964864380745,11.695238095238096,11.695238195238096,13.195238095238096,13.195238195238096,29.368137300994114,7,238.6886513475146,-72.37366763193987,1932.1682519884923,382.720381440002,-54.996380392840926,-30.711063349188528
8,52,28.378797272512024,Cesaroni_M1400,6258.825000000001,4.47,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.5988221154477588,11.484217903422197,11.485714285714288,11.485714385714287,12.985714285714288,12.985714385714287,28.378797272512024,7,229.32152888597994,-69.72717876480647,1911.7813512031892,371.4591188826661,-57.48136859174729,-30.999798367082334
9,53,27.43989045521352,Cesaroni_M1400,6258.825000000001,4.47,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.6058808632853768,11.278908687118266,11.285714285714286,11.285714385714286,12.785714285714286,12.785714385714286,27.43989045521352,7,220.33314753852395,-67.15790620523515,1892.4017378444648,360.5745319338717,-59.57590582147396,-31.281135345323733
10,54,26.559548096618915,Cesaroni_M1400,6258.825000000001,4.47,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.6130953402619921,11.081264039706143,11.085714285714287,11.085714385714287,12.585714285714287,12.585714385714287,26.559548096618915,7,211.8149488724634,-64.71353029014462,1874.119978423443,350.02453276234814,-61.23649572137144,-31.55414238047095
