# Time (s), X (m), Y (m), Z (m), Vx (m/s), Vy (m/s), Vz (m/s), e0, e1, e2, e3, ω1 (rad/s), ω2 (rad/s), ω3 (rad/s), Ax (m/s2), Ay (m/s2), Az (m/s2), α1 (rad/s2), α2 (rad/s2), α3 (rad/s2), R1 (N), R2 (N), R3 (N), M1 (Nm), M2 (Nm), Aerodynamic Spin Moment (N m), Pressure (Pa), Density (kg/m³), Dynamic Viscosity (Pa s), Speed of Sound (m/s), Wind Velocity X (East) (m/s), Wind Velocity Y (North) (m/s), Speed - Velocity Magnitude (m/s), Acceleration Magnitude (m/s²), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Path Angle (°), Latitude (°), Longitude (°), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Spin Angle - φ (°), Dynamic Pressure (Pa), Aerodynamic Lift Force (N), Aerodynamic Drag Force (N), Rotational Kinetic Energy (J), Kinetic Energy (J), ((Scalar*9.80665)*Z (m)), Total Mechanical Energy (J), Thrust Power (W), Drag Power (W)
0.000000,0.000000,0.000000,1400.000000,0.000000,0.000000,0.000000,0.704416,-0.061628,0.061628,-0.704416,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.341014,-6.138049,-0.331168,-1.541192,0.834070,0.000000,85598.771785,0.993995,0.000018,347.220687,-10.000000,5.363636,0.000000,0.000000,0.000000,0.000000,32.990254,-106.974998,0.000000,0.000000,63.997697,6.988420,0.331168,0.000000,0.000000,246522.281651,246522.281651,0.000000,-0.000000
0.600000,2.643902,0.011485,1414.733961,9.810711,0.045858,53.394219,0.703513,-0.064600,0.071514,-0.704118,-0.142669,0.076234,0.000000,19.339649,-0.442861,95.219185,-0.619823,0.326280,0.000000,-10.723134,-20.227589,-8.064776,-5.255152,2.767578,0.000000,85444.478635,0.992204,0.000018,347.220687,-10.000000,5.484187,54.288072,97.164351,9.810818,79.588430,32.990254,-106.974954,9.810818,2.883230,1623.732447,22.894125,8.064776,0.107658,25722.029266,242169.812220,267891.841486,101665.314656,-437.821042
1.200000,12.837952,-0.515574,1463.441423,25.994204,-2.839206,107.928132,0.692209,-0.091724,0.158741,-0.698022,-0.249995,0.127420,0.000000,36.477271,-10.217382,84.888407,0.861866,-0.459679,0.000000,9.575963,17.973442,-30.951177,6.566632,-3.508571,0.000000,84936.018989,0.986299,0.000018,347.220687,-10.000000,5.882703,111.050626,92.957135,26.148800,76.380827,32.990249,-106.974785,26.148800,14.740027,6420.876107,20.360449,30.951177,0.311947,104452.897921,243110.166615,347563.064536,195200.352231,-3437.147745
1.800000,35.183210,-4.184380,1542.951086,47.601701,-8.950613,156.776813,0.694497,-0.087496,0.144498,-0.699385,0.098103,-0.045908,0.000000,29.430283,-6.888799,80.707681,-1.198672,0.639287,0.000000,-13.283210,-24.388411,-66.253028,-9.039943,4.827814,0.000000,84111.279490,0.976722,0.000018,347.220687,-10.000000,6.533236,164.088405,86.181940,48.435890,72.831568,32.990216,-106.974415,48.435890,13.603479,13740.858475,27.771038,66.253028,0.044721,221600.827288,249068.228889,470669.056177,268711.171861,-10871.353661
2.400000,69.207418,-10.944623,1651.075038,66.471171,-14.027574,202.691096,0.691586,-0.092743,0.162606,-0.697617,0.103182,-0.062124,0.000000,31.781468,-8.968789,72.629513,0.179406,-0.116102,0.000000,3.600837,5.728574,-113.720736,1.417008,-0.912391,0.000000,83000.145972,0.963819,0.000018,347.220687,-10.000000,7.000000,213.772939,79.784387,67.935185,71.470594,32.990156,-106.973852,67.935185,15.052804,22829.837807,6.046344,113.720736,0.053132,365790.707673,259205.751746,624996.459418,328195.337729,-24310.415992
3.000000,114.355314,-20.771229,1785.142827,83.818016,-18.746647,242.737808,0.691547,-0.094083,0.163164,-0.697345,0.044815,-0.029493,0.000000,26.396633,-7.108358,59.987680,-0.435191,0.234653,0.000000,-3.071204,-5.931907,-165.685820,-3.025056,1.626331,0.000000,81638.937542,0.948013,0.000018,347.220687,-10.000000,7.000000,257.485029,65.922930,85.888862,70.514495,32.990067,-106.973105,85.888862,14.792442,32415.568838,6.637816,165.685820,0.010135,517129.690203,273098.394250,790228.084454,343773.146165,-42661.618182
3.600000,169.239881,-33.262585,1940.989147,98.795825,-22.816419,275.590544,0.690930,-0.096193,0.167035,-0.696752,-0.040222,0.018919,0.000000,-2.362679,0.680596,-15.492186,-0.057369,0.038832,0.000000,-0.961650,-1.697742,-226.303987,-0.383431,0.258787,0.000000,80079.386954,0.929903,0.000018,347.220687,-10.000000,7.000000,293.651753,27.714033,101.396273,69.800239,32.989955,-106.972196,101.396273,14.822729,41229.893669,1.951179,226.303987,0.006701,657199.504629,290138.796126,947338.300755,342948.541474,-66454.562622
4.200000,227.582364,-46.699971,2102.199241,95.745684,-21.990238,261.999184,0.690333,-0.098164,0.170691,-0.696182,-0.000265,-0.003609,0.000000,-4.747592,1.291966,-21.586611,0.007742,-0.007677,0.000000,0.180302,0.100356,-191.493127,0.051095,-0.050668,0.000000,78491.633975,0.911465,0.000018,347.220687,-10.000000,7.000000,279.811327,22.140248,98.238519,69.446097,32.989834,-106.971230,98.238519,14.855267,36762.208021,0.374610,191.493127,0.000043,588750.468390,310045.354129,898795.822519,105838.593787,-53581.946124
4.800000,284.203559,-59.665930,2255.625475,93.046315,-21.246068,249.567364,0.689802,-0.100111,0.173938,-0.695627,-0.018574,0.006330,0.000000,-4.301124,1.192180,-20.067104,-0.042364,0.024443,0.000000,-0.462276,-0.950898,-167.834443,-0.279604,0.161324,0.000000,77004.313171,0.894194,0.000018,347.220687,-10.000000,7.000000,267.194464,20.557472,95.441145,69.071827,32.989717,-106.970292,95.441145,14.836424,32951.173413,1.056048,167.834443,0.001271,535446.612004,331801.943484,867248.555488,0.000002,-44844.434004
5.400000,339.286521,-72.209949,2401.814191,90.594500,-20.574977,237.833463,0.689131,-0.102315,0.177903,-0.694969,-0.014656,0.003955,0.000000,-3.896789,1.058267,-19.059576,0.036598,-0.021014,0.000000,0.221426,0.240278,-151.433928,0.241546,-0.138696,0.000000,75608.465500,0.877985,0.000018,347.220687,-10.000000,7.000000,255.333996,19.482616,92.901524,68.663595,32.989605,-106.969380,92.901524,14.854428,29607.593171,0.326685,151.433928,0.000760,488965.870444,353306.266998,842272.137442,-0.000000,-38666.229869
6.000000,392.955188,-84.366458,2541.143137,88.331388,-19.955092,226.688614,0.688470,-0.104561,0.181752,-0.694294,-0.014204,0.003375,0.000000,-3.626843,0.994157,-18.119451,-0.004002,0.001486,0.000000,-0.081257,-0.309758,-136.857664,-0.026414,0.009811,0.000000,74297.254907,0.862759,0.000018,347.220687,-10.000000,7.000000,244.107287,18.505590,90.557384,68.224319,32.989495,-106.968492,90.557384,14.847035,26652.085170,0.320168,136.857664,0.000703,446912.756055,373801.520150,820714.276205,0.000000,-33407.953273
6.600000,445.317721,-96.164902,2673.946763,86.241564,-19.381937,216.079201,0.687732,-0.106979,0.185936,-0.693548,-0.016480,0.004328,0.000000,-3.332163,0.915717,-17.221440,-0.010710,0.005417,0.000000,-0.151622,-0.433738,-122.706967,-0.070688,0.035752,0.000000,73064.652607,0.848446,0.000018,347.220687,-10.000000,7.000000,233.459821,17.564732,88.392686,67.751738,32.989389,-106.967624,88.392686,14.844603,24031.665490,0.459476,122.706967,0.000958,408776.160779,393336.900359,802113.061138,-0.000000,-28647.146538
7.200000,496.482015,-107.634860,2800.545774,84.334925,-18.859150,206.001136,0.686917,-0.109572,0.190449,-0.692726,-0.018074,0.004893,0.000000,-3.039288,0.834313,-16.387426,-0.005791,0.002712,0.000000,-0.118437,-0.375528,-109.447865,-0.038218,0.017897,0.000000,71905.105167,0.834981,0.000018,347.220687,-10.000000,7.000000,223.393185,16.687753,86.417863,67.241859,32.989286,-106.966777,86.417863,14.845451,21711.276088,0.393762,109.447865,0.001157,374283.864286,411959.583163,786243.447450,-0.000000,-24449.907073
7.800000,546.552298,-118.804931,2921.241253,82.590639,-18.381006,196.389813,0.686027,-0.112333,0.195249,-0.691829,-0.019264,0.005206,0.000000,-2.787072,0.764974,-15.663723,-0.005258,0.002348,0.000000,-0.114455,-0.372652,-97.969155,-0.034701,0.015496,0.000000,70813.548517,0.822306,0.000018,347.220687,-10.000000,7.000000,213.841141,15.928126,84.611317,66.692002,32.989186,-106.965948,84.611317,14.845577,19647.420198,0.389832,97.969155,0.001314,342960.253914,429713.858059,772674.111973,-0.000000,-20949.835862
8.400000,595.619372,-129.700004,3036.294475,80.987959,-17.941719,187.184408,0.685053,-0.115277,0.200365,-0.690846,-0.020412,0.005466,0.000000,-2.566255,0.704532,-15.031023,-0.005906,0.002649,0.000000,-0.119279,-0.385651,-87.945765,-0.038982,0.017484,0.000000,69785.549370,0.810368,0.000018,347.220687,-10.000000,7.000000,204.741196,15.264785,82.951521,66.099281,32.989088,-106.965136,82.951521,14.845422,17803.342445,0.403676,87.945765,0.001474,314392.182635,446638.158157,761030.340792,-0.000000,-18006.121056
9.000000,643.762909,-140.341915,3145.933456,79.509866,-17.536615,178.334256,0.683983,-0.118420,0.205828,-0.689768,-0.021548,0.005691,0.000000,-2.371727,0.651161,-14.477242,-0.006238,0.002747,0.000000,-0.120411,-0.392943,-79.177799,-0.041168,0.018127,0.000000,68817.203643,0.799123,0.000018,347.220687,-10.000000,7.000000,196.041982,14.684674,81.420831,65.460313,32.988992,-106.964339,81.420831,14.845446,16149.153490,0.410975,79.177799,0.001639,288243.440850,462766.024857,751009.465707,0.000000,-15522.172568
9.600000,691.053110,-150.749902,3250.358111,78.141970,-17.161726,169.796719,0.682804,-0.121781,0.211677,-0.688580,-0.022744,0.005919,0.000000,-2.196457,0.602508,-13.987749,-0.004600,0.001743,0.000000,-0.104676,-0.370221,-71.416954,-0.030361,0.011501,0.000000,67905.056113,0.788531,0.000018,347.220687,-10.000000,7.000000,187.700874,14.171964,80.004327,64.771260,32.988898,-106.963556,80.004327,14.846252,14660.265122,0.384735,71.416954,0.001823,264237.137661,478126.865497,742364.003159,0.000000,-13405.024775
10.200000,737.552548,-160.941117,3349.745314,76.872396,-16.813674,161.537117,0.681502,-0.125377,0.217943,-0.687269,-0.024452,0.006397,0.000000,-2.038100,0.557944,-13.554927,-0.000574,-0.000548,0.000000,-0.071911,-0.315927,-64.542310,-0.003790,-0.003614,0.000000,67046.027734,0.778556,0.000018,347.220687,-10.000000,7.000000,179.683904,13.718645,78.689675,64.027869,32.988807,-106.962786,78.689675,14.847875,13316.479582,0.324010,64.542310,0.002108,242147.291163,492746.698250,734893.989413,0.000000,-11597.214294
10.800000,783.317020,-170.930880,3444.251644,75.689508,-16.489266,153.522359,0.680071,-0.129214,0.224611,-0.685826,-0.026795,0.007178,0.000000,-1.901427,0.520563,-13.171335,-0.000498,-0.000598,0.000000,-0.076573,-0.328156,-58.494244,-0.003285,-0.003947,0.000000,66237.368615,0.769166,0.000018,347.220687,-10.000000,7.000000,171.959042,13.318051,77.464815,63.225252,32.988717,-106.962028,77.464815,14.847690,12100.342894,0.336971,58.494244,0.002539,221774.343596,506648.555709,728422.899305,-0.000000,-10058.614079
11.400000,828.395937,-180.732736,3534.015577,74.585412,-16.186640,145.725702,0.678498,-0.133310,0.231711,-0.684236,-0.028713,0.007671,0.000000,-1.780726,0.488735,-12.823507,-0.005289,0.001973,0.000000,-0.118144,-0.409490,-53.055190,-0.034906,0.013025,0.000000,65476.619555,0.760332,0.000018,347.220687,-10.000000,7.000000,164.502192,12.955777,76.321629,62.357382,32.988629,-106.961282,76.321629,14.845694,10997.548941,0.426192,53.055190,0.002915,202957.286391,519852.807890,722810.094281,0.000000,-8727.694987
12.000000,872.833996,-190.358889,3619.161714,73.552982,-15.903768,138.125758,0.676740,-0.137715,0.239376,-0.682465,-0.030322,0.007950,0.000000,-1.665898,0.456793,-12.512451,-0.004460,0.001379,0.000000,-0.107856,-0.398814,-48.150867,-0.029439,0.009101,0.000000,64761.559822,0.752028,0.000018,347.220687,-10.000000,7.000000,157.294933,12.631124,75.252714,61.417875,32.988542,-106.960546,75.252714,14.846565,9996.112997,0.413142,48.150867,0.003243,185562.723242,532377.783305,717940.506547,-0.000000,-7573.887445
12.600000,916.672200,-199.820609,3699.802345,72.585046,-15.638312,130.704435,0.674784,-0.142440,0.247601,-0.680494,-0.033041,0.008790,0.000000,-1.559872,0.427077,-12.231517,-0.002171,0.000035,0.000000,-0.091309,-0.375405,-43.719039,-0.014327,0.000233,0.000000,64090.180544,0.744232,0.000018,347.220687,-10.000000,7.000000,150.322304,12.337974,74.250560,60.399964,32.988457,-106.959820,74.250560,14.847657,9085.745266,0.386348,43.719039,0.003858,169475.966311,544240.000011,713715.966322,-0.000000,-6571.946673
13.200000,959.948164,-209.128240,3776.039170,71.677381,-15.389523,123.444230,0.672622,-0.147492,0.256362,-0.678310,-0.035577,0.009455,0.000000,-1.466994,0.402615,-11.973274,-0.006005,0.002061,0.000000,-0.125652,-0.445015,-39.707461,-0.039631,0.013603,0.000000,63460.658963,0.736922,0.000018,347.220687,-10.000000,7.000000,143.572150,12.069526,73.310874,59.294834,32.988373,-106.959103,73.310874,14.845776,8257.564164,0.462414,39.707461,0.004472,154597.221787,555454.417830,710051.639618,-0.000000,-5700.885496
13.800000,1002.696135,-218.291095,3847.964641,70.824963,-15.155926,116.330433,0.670186,-0.152941,0.265852,-0.675858,-0.038073,0.010037,0.000000,-1.376768,0.377095,-11.742156,-0.003987,0.000783,0.000000,-0.106421,-0.419886,-36.071917,-0.026315,0.005169,0.000000,62871.337520,0.730078,0.000018,347.220687,-10.000000,7.000000,137.035204,11.828606,72.428430,58.093216,32.988291,-106.958395,72.428430,14.847397,7503.866931,0.433162,36.071917,0.005116,140839.858838,566034.636654,706874.495491,-0.000000,-4943.122458
14.400000,1044.948089,-227.318018,3915.662462,70.022861,-14.935938,109.350334,0.667477,-0.158781,0.275991,-0.673122,-0.041553,0.011082,0.000000,-1.296557,0.355582,-11.529344,-0.005715,0.001647,0.000000,-0.125120,-0.461740,-32.774752,-0.037721,0.010873,0.000000,62320.711339,0.723684,0.000018,347.220687,-10.000000,7.000000,130.704930,11.607466,71.598068,56.784882,32.988209,-106.957696,71.598068,14.846310,6817.954108,0.478392,32.774752,0.006103,128128.346808,575992.969252,704121.316060,0.000000,-4283.821702
15.000000,1086.733172,-236.216934,3979.209086,69.268408,-14.729262,102.490991,0.664423,-0.165075,0.286939,-0.670045,-0.044413,0.011700,0.000000,-1.220632,0.334488,-11.336929,-0.005654,0.001425,0.000000,-0.122147,-0.467585,-29.783731,-0.037314,0.009405,0.000000,61807.408650,0.717724,0.000018,347.220687,-10.000000,7.000000,124.577151,11.407356,70.817113,55.357102,32.988129,-106.957004,70.817113,14.847036,6193.972922,0.483276,29.783731,0.006961,116396.006824,585340.661756,701736.668580,-0.000000,-3710.372421
15.600000,1128.078638,-244.995365,4038.673943,68.556710,-14.534028,95.742909,0.660997,-0.171840,0.298691,-0.666588,-0.048577,0.012950,0.000000,-1.151330,0.315703,-11.160550,-0.006545,0.001799,0.000000,-0.133588,-0.497839,-27.071121,-0.043198,0.011871,0.000000,61330.182583,0.712182,0.000018,347.220687,-10.000000,7.000000,118.650601,11.224219,70.080386,53.797206,32.988050,-106.956319,70.080386,14.846437,5626.800403,0.515451,27.071121,0.008340,105584.746658,594087.927358,699672.674016,0.000000,-3212.004729
16.200000,1169.009489,-253.660118,4094.120517,67.886023,-14.350317,89.095008,0.657123,-0.179131,0.311374,-0.662683,-0.052106,0.013745,0.000000,-1.086164,0.297605,-11.000529,-0.006688,0.001671,0.000000,-0.132708,-0.508824,-24.612970,-0.044138,0.011027,0.000000,60887.896934,0.707046,0.000018,347.220687,-10.000000,7.000000,112.926366,11.058027,69.386192,52.088942,32.987972,-106.955642,69.386192,14.847117,5111.940551,0.525846,24.612970,0.009583,95642.740907,602244.104590,697886.845496,-0.000000,-2779.453298
16.800000,1209.549150,-262.217669,4145.606521,67.252088,-14.176425,82.539803,0.652760,-0.186970,0.324985,-0.658280,-0.056904,0.015140,0.000000,-1.026926,0.281710,-10.853202,-0.008191,0.002352,0.000000,-0.149029,-0.549584,-22.388561,-0.054063,0.015524,0.000000,60479.519927,0.702304,0.000018,347.220687,-10.000000,7.000000,107.408722,10.905317,68.730011,50.216213,32.987895,-106.954970,68.730011,14.846172,4645.441281,0.569431,22.388561,0.011442,86524.762678,609817.682774,696342.445453,0.000000,-2404.726701
17.400000,1249.719054,-270.673819,4193.184906,66.653294,-14.012359,76.068095,0.647797,-0.195423,0.339699,-0.653280,-0.061384,0.016243,0.000000,-0.970218,0.265687,-10.720693,-0.007461,0.001726,0.000000,-0.141367,-0.549513,-20.379890,-0.049240,0.011393,0.000000,60104.111876,0.697945,0.000018,347.220687,-10.000000,7.000000,102.104666,10.767784,68.110262,48.159199,32.987819,-106.954305,68.110262,14.847451,4223.822579,0.567406,20.379890,0.013305,78190.235057,616816.451408,695006.686465,0.000000,-2080.881830
18.000000,1289.539464,-279.034217,4236.903609,66.086468,-13.856969,69.673317,0.642203,-0.204489,0.355434,-0.647632,-0.066632,0.017656,0.000000,-0.919734,0.252382,-10.597217,-0.009803,0.002859,0.000000,-0.164028,-0.602889,-18.571350,-0.064701,0.018871,0.000000,59760.823524,0.693958,0.000018,347.220687,-10.000000,7.000000,97.024780,10.640047,67.523602,45.897684,32.987744,-106.953646,67.523602,14.846072,3844.021084,0.624804,18.571350,0.015680,70603.575789,623247.461700,693851.037489,0.000000,-1801.881115
18.600000,1329.028751,-287.303799,4276.806870,65.549369,-13.709679,63.348640,0.635819,-0.214247,0.372416,-0.641201,-0.072355,0.019223,0.000000,-0.871053,0.238617,-10.487000,-0.009049,0.002230,0.000000,-0.158337,-0.606720,-16.949340,-0.059724,0.014719,0.000000,59448.882339,0.690336,0.000018,347.220687,-10.000000,7.000000,92.183107,10.525818,66.967717,43.409221,32.987670,-106.952992,66.967717,14.847126,3503.333955,0.627041,16.949340,0.018496,63732.958084,629117.221427,692850.179511,0.000000,-1562.442785
