id,rocket mass (kg),time (s),motor type,impulse (N*s),burn out (s),nozzle radius (m),throat radius (m),radius (kg*m^2),distance rocket nozzle (m),distance rocket propellant (m),nose length (m),nose distance to cm (m),fin span (m),fin distance to cm (m),rail length (m),latitude,longitude,Phase 1 - Rail Launch,Phase 2 - Powered Flight,Apogee,Phase 3 - Drogue Parachute Deployment,Phase 4 - Descent Under Drogue Parachute,Phase 5 - Main Parachute Deployment,Phase 6 - Descent Under Main Parachute,Phase 7 - Impact,No. Stages,apogee X,apogee Y,apogee Z,x impact,y impact,impact velocity,temperature,E wind start,E wind end,N wind start,N wind end,Burn out time,Nozzle Distance,Propellant
1,10,408.1154889562276,Cesaroni_M1300,6420.952724999999,3.6,0.033,0.011,0.0635,-0.714,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.26675246672638697,25.64341467219178,25.64761904761905,27.14761904761905,212.01904761904763,213.51904761904763,408.1154889562276,7,906.4830452815892,-219.78899009588073,5131.003713930723,3684.4972716998273,2386.3431393670485,-4.23659243500324,273,0,10,-2,0,3.6,-1.255,-0.85704
2,10,395.56983530776927,Cesaroni_M1300,6420.952724999999,3.6,0.033,0.011,0.0635,-0.714,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.266771254471652,24.78701516617519,24.79047619047619,26.29047619047619,199.45714285714288,200.95714285714288,395.56983530776927,7,1399.7431707853177,203.69135305780154,4921.050513528743,-2115.740822877026,-2327.545272382448,-4.236583406129528,273,0,10,-2,0,3.6,-1.255,-0.85704
3,10,405.5877240566838,Cesaroni_M1300,6420.952724999999,3.6,0.033,0.011,0.0635,-0.714,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.266744863571485,25.460856650979235,25.46666666666667,26.96666666666667,209.4857142857143,210.9857142857143,405.5877240566838,7,1063.4517099986283,197.35271336796893,5087.232147717705,1956.4604158720858,-2382.0071497143936,-4.236542119415355,273,0,10,-2,0,3.6,-1.255,-0.85704
4,10,404.7584699644765,Cesaroni_M1300,6420.952724999999,3.6,0.033,0.011,0.0635,-0.714,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.26674133855672433,25.40270431164502,25.40952380952381,26.90952380952381,208.65714285714287,210.15714285714287,404.7584699644765,7,1126.2726266619618,115.08168392389969,5073.145389242353,1271.873875965053,-1358.1865892727285,-4.236592961469385,273,0,10,-2,0,3.6,-1.255,-0.85704
5,10,409.6699897466293,Cesaroni_M1300,6420.952724999999,3.6,0.033,0.011,0.0635,-0.714,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.2667499980628475,25.753108800521304,25.761904761904763,27.261904761904763,213.57142857142858,215.07142857142858,409.6699897466293,7,845.2613332412839,-15.029928022960492,5158.930500587533,4389.58117894195,-4.986817188407288,-4.236600387808303,273,0,10,-2,0,3.6,-1.255,-0.85704
6,10,404.7164098435298,Cesaroni_M1300,6420.952724999999,3.6,0.033,0.011,0.0635,-0.714,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.2667420622978717,25.40000472784829,25.400000000000002,26.900000000000002,208.62857142857143,210.12857142857143,404.7164098435298,7,1126.0557097368496,129.83983919002225,5072.481135733481,1271.3623107298322,-1353.630227947338,-4.236608721109617,273,0,10,-2,0,3.6,-1.255,-0.85704
7,10,397.93918314911184,Cesaroni_M1300,6420.952724999999,3.6,0.033,0.011,0.0635,-0.714,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.2667599446779745,24.941934116198098,24.942857142857147,26.442857142857147,201.83809523809526,203.33809523809526,397.93918314911184,7,1350.1030937127787,149.61485593690188,4959.756545447747,-1449.4593676210513,-1670.6279227966716,-4.236600335308334,273,0,10,-2,0,3.6,-1.255,-0.85704
8,10,408.83227679702736,Cesaroni_M1300,6420.952724999999,3.6,0.033,0.011,0.0635,-0.714,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.2667939271414036,25.693405547760513,25.695238095238096,27.195238095238096,212.71428571428572,214.21428571428572,408.83227679702736,7,841.1534434801948,-219.85079620863004,5143.377911363262,4375.579441314769,2740.94703134754,-4.2364817748220736,273,0,10,-2,0,3.6,-1.255,-0.85704
9,10,404.87158350995315,Cesaroni_M1300,6420.952724999999,3.6,0.033,0.011,0.0635,-0.714,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.2667403416839805,25.410383932528546,25.41904761904762,26.91904761904762,208.7619047619048,210.2619047619048,404.87158350995315,7,1126.9125092356248,-81.40408685658377,5075.013827202663,1272.9123201074792,1020.3780838176027,-4.236592982841071,273,0,10,-2,0,3.6,-1.255,-0.85704
10,10,397.0824537748847,Cesaroni_M1300,6420.952724999999,3.6,0.033,0.011,0.0635,-0.714,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.2667624664305573,24.88633899396295,24.8952380952381,26.3952380952381,200.9809523809524,202.4809523809524,397.0824537748847,7,1377.2749787285402,121.21934810675612,4945.880942791085,-1782.9912966083634,-1333.3841695760657,-4.2366056438484145,273,0,10,-2,0,3.6,-1.255,-0.85704
11,10,407.9105992039573,Cesaroni_M1300,6420.952724999999,3.6,0.033,0.011,0.0635,-0.714,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.26674219459183074,25.627180325641717,25.62857142857143,27.12857142857143,211.8,213.3,407.9105992039573,7,974.0426621779998,73.31560879358031,5127.1790145789455,3001.799954659625,-678.3046562417067,-4.236608840242126,273,0,10,-2,0,3.6,-1.255,-0.85704
12,10,400.0685517844162,Cesaroni_M1300,6420.952724999999,3.6,0.033,0.011,0.0635,-0.714,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.2667566313908763,25.082633036519912,25.08571428571429,26.58571428571429,203.95238095238096,205.45238095238096,400.0685517844162,7,1264.860733176483,-240.47221925117557,4994.598376966638,-441.05144774624694,2685.6462029870827,-4.236583404736834,273,0,10,-2,0,3.6,-1.255,-0.85704
13,10,401.81788104891314,Cesaroni_M1300,6420.952724999999,3.6,0.033,0.011,0.0635,-0.714,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.2667457265701917,25.200589594291436,25.209523809523812,26.709523809523812,205.71428571428572,207.21428571428572,401.81788104891314,7,1242.5167446832434,85.25415791702174,5023.807285841636,-97.20147273798852,-1012.4988316629939,-4.236600396436979,273,0,10,-2,0,3.6,-1.255,-0.85704
14,10,401.87430275470814,Cesaroni_M1300,6420.952724999999,3.6,0.033,0.011,0.0635,-0.714,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.26674533389843547,25.204747769940045,25.209523809523812,26.709523809523812,205.7809523809524,207.2809523809524,401.87430275470814,7,1242.8961471913415,-66.6073248927144,5024.797324048794,-96.99884724223661,672.2664119492053,-4.236612233579829,273,0,10,-2,0,3.6,-1.255,-0.85704
15,10,403.28946591381214,Cesaroni_M1300,6420.952724999999,3.6,0.033,0.011,0.0635,-0.714,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.2667436838401399,25.300340580949793,25.304761904761907,26.804761904761907,207.1809523809524,208.6809523809524,403.28946591381214,7,1184.7259145316739,124.21082710814677,5048.266031024418,584.8917624641671,-1351.2389610122527,-4.236605643188016,273,0,10,-2,0,3.6,-1.255,-0.85704
