# Time (s), X (m), Y (m), Z (m), Vx (m/s), Vy (m/s), Vz (m/s), e0, e1, e2, e3, ω1 (rad/s), ω2 (rad/s), ω3 (rad/s), Ax (m/s2), Ay (m/s2), Az (m/s2), α1 (rad/s2), α2 (rad/s2), α3 (rad/s2), R1 (N), R2 (N), R3 (N), M1 (Nm), M2 (Nm), Aerodynamic Spin Moment (N m), Pressure (Pa), Density (kg/m³), Dynamic Viscosity (Pa s), Speed of Sound (m/s), Wind Velocity X (East) (m/s), Wind Velocity Y (North) (m/s), Speed - Velocity Magnitude (m/s), Acceleration Magnitude (m/s²), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Path Angle (°), Latitude (°), Longitude (°), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Spin Angle - φ (°), Dynamic Pressure (Pa), Aerodynamic Lift Force (N), Aerodynamic Drag Force (N), Rotational Kinetic Energy (J), Kinetic Energy (J), ((Scalar*9.80665)*Z (m)), Total Mechanical Energy (J), Thrust Power (W), Drag Power (W)
0.000000,0.000000,0.000000,1400.000000,0.000000,0.000000,0.000000,0.704416,-0.061628,0.061628,-0.704416,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2.311332,2.276217,-0.124741,3.008818,3.055234,0.000000,85598.771785,0.993995,0.000018,347.220687,5.000000,5.000000,0.000000,0.000000,0.000000,0.000000,32.990254,-106.974998,0.000000,0.000000,24.849886,3.243982,0.124741,0.000000,0.000000,332089.731923,332089.731923,0.000000,-0.000000
0.600000,2.709298,0.002326,1415.098888,10.725927,-0.036999,58.814589,0.704368,-0.052445,0.061833,-0.705189,0.119974,0.127480,0.000000,21.735494,-1.293552,120.732631,0.601660,0.668634,0.000000,-9.459913,8.497209,-8.650336,10.657273,11.870627,0.000000,85440.660002,0.992159,0.000018,347.220687,5.000000,5.000000,59.784636,122.680370,10.725991,79.664575,32.990254,-106.974953,10.725991,4.663200,1744.867762,12.715840,8.650336,0.285439,37404.904422,290458.126862,327863.031284,165742.882083,-517.157197
1.200000,12.174217,-1.201788,1472.058020,18.637300,-4.776960,122.399464,0.702183,0.009617,0.068382,-0.708639,-0.118794,-0.090014,0.000000,4.034622,-7.662415,49.690668,-1.218104,-1.398419,0.000000,18.316778,-15.958691,-36.185068,-18.963647,-21.859180,0.000000,84846.325497,0.985258,0.000018,347.220687,5.000000,5.000000,123.902369,50.439602,19.239758,81.066871,32.990243,-106.974796,19.239758,52.743031,7519.090426,24.293675,36.185068,0.174972,137299.009254,258216.047370,395515.056625,138869.620870,-4483.415654
1.800000,24.673332,-4.957187,1554.909833,23.428711,-7.436865,154.458397,0.703015,-0.008131,0.069533,-0.707722,0.149569,0.181728,0.000000,6.747827,-6.280361,56.355116,-0.749630,-0.650311,0.000000,7.873519,-9.104465,-57.138743,-10.964382,-9.614343,0.000000,83987.796565,0.975288,0.000018,347.220687,5.000000,5.000000,156.402071,57.104074,24.580713,80.957700,32.990209,-106.974589,24.580713,38.139058,11874.959605,12.036753,57.138743,0.393610,200181.599508,249571.035699,449752.635207,180480.286615,-8936.617773
2.400000,40.028045,-10.622756,1658.106884,28.315251,-11.028366,190.144312,0.703087,-0.012556,0.072093,-0.707329,0.122842,0.144997,0.000000,8.335590,-6.222674,61.527453,-0.354777,-0.216272,0.000000,2.306754,-3.897696,-86.643329,-4.723375,-3.018468,0.000000,82928.297082,0.962985,0.000018,347.220687,5.000000,5.000000,192.557102,62.400572,30.387140,80.920286,32.990158,-106.974335,30.387140,34.947769,17793.736051,4.324880,86.643329,0.227789,275145.257445,241326.926621,516472.184066,222869.675119,-16683.788272
3.000000,58.509706,-18.454973,1783.361335,33.468581,-14.917834,227.329307,0.702776,-0.008897,0.074684,-0.707425,-0.004263,0.014876,0.000000,7.380912,-7.660350,60.516970,-1.253481,-1.347705,0.000000,13.971023,-13.025124,-126.698062,-13.787902,-14.860228,0.000000,81656.905980,0.948221,0.000018,347.220687,5.000000,5.000000,230.263548,61.444792,36.642703,80.843380,32.990088,-106.974029,36.642703,38.017214,25073.722059,19.100918,126.698062,0.001312,355073.534505,234238.314157,589311.848662,249382.158074,-29173.945276
3.600000,80.142937,-28.525600,1930.409681,38.644088,-18.576981,262.366548,0.702989,-0.015814,0.076292,-0.706921,-0.002483,-0.000269,0.000000,6.846605,-3.256720,36.773549,0.935556,1.008953,0.000000,-9.030780,8.366715,-167.577857,8.062490,8.692360,0.000000,80184.486153,0.931123,0.000018,347.220687,5.000000,5.000000,265.847090,49.939781,42.877381,80.718459,32.989997,-106.973671,42.877381,33.129893,32833.272279,12.310845,167.577857,0.000029,425150.587707,227760.874309,652911.462016,257643.513733,-44550.085447
4.200000,102.962335,-39.408727,2083.212257,37.417791,-17.746156,247.180582,0.702789,-0.013949,0.078146,-0.706957,-0.029546,-0.022756,0.000000,-1.863067,1.348740,-24.317314,0.069394,0.030625,0.000000,-0.135302,0.406421,-146.917545,0.458001,0.202127,0.000000,78677.300635,0.913621,0.000018,347.220687,5.000000,5.000000,250.625731,24.425845,41.412765,80.488969,32.989900,-106.973293,41.412765,34.709727,28626.749010,0.308722,146.917545,0.005375,339106.183913,220581.243902,559687.427815,206123.425143,-36821.317254
4.800000,125.093151,-49.812805,2227.255755,36.358766,-16.962608,233.156940,0.702668,-0.013981,0.079985,-0.706870,0.001347,0.012004,0.000000,-1.803772,1.082158,-22.394638,-0.150047,-0.147911,0.000000,1.106010,-1.167596,-127.615139,-0.990311,-0.976211,0.000000,77277.596446,0.897368,0.000018,347.220687,5.000000,5.000000,236.583703,22.493208,40.120941,80.236335,32.989806,-106.972927,40.120941,34.914383,25049.072637,1.612770,127.615139,0.000489,281272.650472,219522.276986,500794.927458,53703.801094,-30191.662107
5.400000,146.611565,-59.789160,2363.226127,35.393316,-16.300097,220.248806,0.702571,-0.014875,0.082048,-0.706712,-0.008831,0.000660,0.000000,-1.454143,1.103099,-20.686669,0.067424,0.069201,0.000000,-0.545572,0.494429,-110.318065,0.445001,0.456726,0.000000,75974.907575,0.882241,0.000018,347.220687,5.000000,5.000000,223.669212,20.767032,38.966395,79.967056,32.989716,-106.972570,38.966395,34.555518,22006.161108,0.740369,110.318065,0.000259,250139.582759,231753.314953,481892.897713,-0.000002,-24674.754716
