id,rocket mass (kg),time (s),motor type,impulse (N*s),burn out (s),nozzle radius (m),throat radius (m),radius (kg*m^2),distance rocket nozzle (m),distance rocket propellant (m),nose length (m),nose distance to cm (m),fin span (m),fin distance to cm (m),rail length (m),latitude,longitude,Phase 1 - Rail Launch,Phase 2 - Powered Flight,Apogee,Phase 3 - Drogue Parachute Deployment,Phase 4 - Descent Under Drogue Parachute,Phase 5 - Main Parachute Deployment,Phase 6 - Descent Under Main Parachute,Phase 7 - Impact,No. Stages,apogee X,apogee Y,apogee Z,x impact,y impact,impact velocity,temperature,E wind start,E wind end,N wind start,N wind end,Burn out time,Nozzle Distance,Propellant
1,10,405.59120041508805,Cesaroni_M1300,6420.952724999999,3.6,0.033,0.011,0.0635,0.343,0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.2852307808751447,26.601466488947278,26.60952380952381,28.10952380952381,218.70476190476194,220.20476190476194,405.59120041508805,7,931.0288885289945,-320.1599475444735,5385.341395033967,2935.2596894866488,1512.9726824720692,-4.441197395315521,300,0,10,-2,0,3.6,-1.255,-0.85704
2,10,401.8774401767936,Cesaroni_M1300,6420.952724999999,3.6,0.033,0.011,0.0635,0.343,0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.2906876994240558,26.470465136331654,26.476190476190478,27.976190476190478,214.99047619047622,216.49047619047622,401.8774401767936,7,912.3139086266237,-325.99036632461366,5320.5095479296915,2897.0606028237567,1487.9951288082123,-4.441197395641133,300,0,10,-2,0,3.6,-1.255,-0.85704
3,10,398.16639035080254,Cesaroni_M1300,6420.952724999999,3.6,0.033,0.011,0.0635,0.343,0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.2956988360903489,26.336378268852776,26.342857142857145,27.842857142857145,211.2761904761905,212.7761904761905,398.16639035080254,7,894.0069689320366,-331.27924838889896,5256.079483982772,2859.3824157702347,1463.6133397506337,-4.441197397621027,300,0,10,-2,0,3.6,-1.255,-0.85704
4,10,394.35460148331066,Cesaroni_M1300,6420.952724999999,3.6,0.033,0.011,0.0635,0.343,0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.3007987682306212,26.193640379219207,26.200000000000003,27.700000000000003,207.45714285714288,208.95714285714288,394.35460148331066,7,876.032407836451,-335.47085438778595,5190.217376024755,2821.6138248900097,1439.9992257984904,-4.441197402038787,300,0,10,-2,0,3.6,-1.255,-0.85704
5,10,390.4149235865177,Cesaroni_M1300,6420.952724999999,3.6,0.033,0.011,0.0635,0.343,0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.3058082972476039,26.04194420188062,26.04761904761905,27.54761904761905,203.54285714285717,205.04285714285717,390.4149235865177,7,858.4248996746472,-338.5216967867479,5122.90958611689,2783.668946670267,1417.0678657424803,-4.441197386549381,300,0,10,-2,0,3.6,-1.255,-0.85704
6,10,386.3934395234939,Cesaroni_M1300,6420.952724999999,3.6,0.033,0.011,0.0635,0.343,0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.3107278485110158,25.880683729238278,25.88571428571429,27.38571428571429,199.4952380952381,200.9952380952381,386.3934395234939,7,841.2406041074801,-340.3304232929078,5054.008430165621,2745.860381191487,1395.16425166826,-4.4411974024956375,300,0,10,-2,0,3.6,-1.255,-0.85704
7,10,382.21850451363906,Cesaroni_M1300,6420.952724999999,3.6,0.033,0.011,0.0635,0.343,0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.3155122718547861,25.709083831761777,25.714285714285715,27.214285714285715,195.33333333333334,196.83333333333334,382.21850451363906,7,824.4747954685322,-340.84722736985174,4983.364157267136,2707.845045746451,1373.9822617979373,-4.4411973945404055,300,0,10,-2,0,3.6,-1.255,-0.85704
8,10,377.93009599662423,Cesaroni_M1300,6420.952724999999,3.6,0.033,0.011,0.0635,0.343,0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.32027394755850686,25.5269630815362,25.533333333333335,27.033333333333335,191.03809523809525,192.53809523809525,377.93009599662423,7,808.132218953951,-340.0355717796581,4911.03301484416,2669.8350417327533,1353.7665289349186,-4.441197398709923,300,0,10,-2,0,3.6,-1.255,-0.85704
9,10,373.4899406004526,Cesaroni_M1300,6420.952724999999,3.6,0.033,0.011,0.0635,0.343,0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.32492703436586096,25.332902813115524,25.333333333333336,26.833333333333336,186.60000000000002,188.10000000000002,373.4899406004526,7,792.1771125945783,-337.8340680271184,4836.590979355601,2631.492056258941,1334.4913031496371,-4.441197397451094,300,0,10,-2,0,3.6,-1.255,-0.85704
10,10,368.91328184643316,Cesaroni_M1300,6420.952724999999,3.6,0.033,0.011,0.0635,0.343,0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.3295516218480233,25.128120262301966,25.133333333333336,26.633333333333336,182.02857142857144,183.52857142857144,368.91328184643316,7,776.6555558158194,-334.3316800456507,4760.558861730427,2593.2071127194063,1315.9415397762607,-4.441197394251602,300,0,10,-2,0,3.6,-1.255,-0.85704
11,10,364.36128207541594,Cesaroni_M1300,6420.952724999999,3.6,0.033,0.011,0.0635,0.343,0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.33408251782571485,24.920290728988395,24.923809523809528,26.423809523809528,177.47619047619048,178.97619047619048,364.36128207541594,7,761.9097658191341,-329.93953461604855,4685.193142161253,2555.8379981521566,1298.6186484455181,-4.441197394491219,300,0,10,-2,0,3.6,-1.255,-0.85704
12,10,359.89083387377934,Cesaroni_M1300,6420.952724999999,3.6,0.033,0.011,0.0635,0.343,0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.33853891131096886,24.712752821335048,24.714285714285715,26.214285714285715,172.99047619047622,174.49047619047622,359.89083387377934,7,748.1180499168931,-324.7844197614673,4611.431306409033,2519.939494612845,1282.593345511479,-4.441197403814942,300,0,10,-2,0,3.6,-1.255,-0.85704
13,10,355.4531388700261,Cesaroni_M1300,6420.952724999999,3.6,0.033,0.011,0.0635,0.343,0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.34293939352416586,24.505202102510957,24.514285714285716,26.014285714285716,168.57142857142858,170.07142857142858,355.4531388700261,7,735.2326264432146,-318.89353811154683,4539.152040937046,2485.3665340259704,1267.4927792053973,-4.441197392427839,300,0,10,-2,0,3.6,-1.255,-0.85704
14,10,351.0927918113418,Cesaroni_M1300,6420.952724999999,3.6,0.033,0.011,0.0635,0.343,0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.34728786353666213,24.29719802430269,24.304761904761907,25.804761904761907,164.20952380952383,165.70952380952383,351.0927918113418,7,723.0716028939589,-312.4247310995805,4468.149443143797,2451.8658065015816,1253.5571855666108,-4.4411973933794835,300,0,10,-2,0,3.6,-1.255,-0.85704
15,10,346.78762364029177,Cesaroni_M1300,6420.952724999999,3.6,0.033,0.011,0.0635,0.343,0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.3515939771855642,24.089214074360036,24.0952380952381,25.5952380952381,159.91428571428574,161.41428571428574,346.78762364029177,7,711.4221270477356,-305.6323116458136,4398.546731560282,2419.2099760744277,1240.2845293371483,-4.441197387323605,300,0,10,-2,0,3.6,-1.255,-0.85704
16,10,342.55825576464997,Cesaroni_M1300,6420.952724999999,3.6,0.033,0.011,0.0635,0.343,0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.3558756676844938,23.88101312888406,23.885714285714286,25.385714285714286,155.66666666666669,157.16666666666669,342.55825576464997,7,700.2433687226854,-298.5177216235436,4330.229996431007,2387.4646772591864,1227.777797815942,-4.441197398455556,300,0,10,-2,0,3.6,-1.255,-0.85704
17,10,338.3893896575734,Cesaroni_M1300,6420.952724999999,3.6,0.033,0.011,0.0635,0.343,0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.3600715261190002,23.673422810032136,23.676190476190477,25.176190476190477,151.4952380952381,152.9952380952381,338.3893896575734,7,689.5966989578781,-291.09856770362404,4263.39163324041,2356.6097920481643,1215.95300103776,-4.441197400030235,300,0,10,-2,0,3.6,-1.255,-0.85704
18,10,334.28593976398156,Cesaroni_M1300,6420.952724999999,3.6,0.033,0.011,0.0635,0.343,0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.3642337093736246,23.466882612585444,23.476190476190478,24.976190476190478,147.3904761904762,148.8904761904762,334.28593976398156,7,679.4312742951388,-283.485114321147,4198.08561215717,2326.738014320843,1204.6156332661556,-4.441197400822789,300,0,10,-2,0,3.6,-1.255,-0.85704
