# Time (s), X (m), Y (m), Z (m), Vx (m/s), Vy (m/s), Vz (m/s), e0, e1, e2, e3, ω1 (rad/s), ω2 (rad/s), ω3 (rad/s), Ax (m/s2), Ay (m/s2), Az (m/s2), α1 (rad/s2), α2 (rad/s2), α3 (rad/s2), R1 (N), R2 (N), R3 (N), M1 (Nm), M2 (Nm), Aerodynamic Spin Moment (N m), Pressure (Pa), Density (kg/m³), Dynamic Viscosity (Pa s), Speed of Sound (m/s), Wind Velocity X (East) (m/s), Wind Velocity Y (North) (m/s), Speed - Velocity Magnitude (m/s), Acceleration Magnitude (m/s²), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Path Angle (°), Latitude (°), Longitude (°), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Spin Angle - φ (°), Dynamic Pressure (Pa), Aerodynamic Lift Force (N), Aerodynamic Drag Force (N), Rotational Kinetic Energy (J), Kinetic Energy (J), ((Scalar*9.80665)*Z (m)), Total Mechanical Energy (J), Thrust Power (W), Drag Power (W)
0.000000,0.000000,0.000000,1400.000000,0.000000,0.000000,0.000000,0.704416,-0.061628,0.061628,-0.704416,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-29.837273,29.383978,-0.124741,37.552261,38.131565,0.000000,85598.771785,0.993995,0.000018,347.220687,5.000000,5.000000,0.000000,0.000000,0.000000,0.000000,32.990254,-106.974998,0.000000,0.000000,24.849886,41.876974,0.124741,0.000000,0.000000,177875.731651,177875.731651,0.000000,-0.000000
0.600000,4.567158,-0.602318,1428.747389,14.814475,-5.228266,109.390395,0.703176,-0.005370,0.064285,-0.708083,0.084121,0.094538,0.000000,26.230471,-14.491844,213.002749,7.896747,8.121905,0.000000,-52.693335,51.219595,-29.072405,63.459449,65.268418,0.000000,85297.939895,0.990502,0.000018,347.220687,5.000000,5.000000,110.512723,215.100495,15.709979,81.827412,32.990249,-106.974922,15.709979,40.025814,6025.818404,73.481898,29.072405,0.064340,74970.875581,172017.951761,246988.827343,306378.506537,-3212.870658
1.200000,16.886122,-7.349637,1530.572867,24.829273,-15.769098,213.829676,0.702773,0.001285,0.066668,-0.708282,-0.004704,0.003826,0.000000,7.949224,-8.331533,75.973506,-0.003316,-0.004907,0.000000,0.018308,-0.037026,-113.175137,-0.025424,-0.037806,0.000000,84239.248567,0.978208,0.000018,347.220687,5.000000,5.000000,215.843202,76.841253,29.413555,82.167774,32.990188,-106.974718,29.413555,45.880921,22766.665970,0.119587,113.175137,0.000141,271216.652351,174760.904504,445977.556854,241936.694891,-24428.083903
1.800000,33.230103,-18.325676,1672.570110,29.673438,-20.842101,259.525810,0.702694,0.001315,0.068329,-0.708202,-0.003557,0.003654,0.000000,8.185145,-8.586322,76.377349,-0.010034,-0.013170,0.000000,0.068043,-0.077894,-168.573287,-0.075240,-0.098865,0.000000,82780.675320,0.961271,0.000018,347.220687,5.000000,5.000000,262.046851,77.293085,36.261634,82.045976,32.990089,-106.974448,36.261634,45.878878,32986.127368,0.104044,168.573287,0.000098,388885.535753,185779.975731,574665.511484,302389.158866,-44174.098947
2.400000,52.512905,-32.379712,1841.966881,34.572660,-25.973414,304.643064,0.702625,0.001342,0.069751,-0.708132,-0.003093,0.003086,0.000000,7.891631,-8.266834,71.512076,0.000259,-0.002546,0.000000,0.001043,-0.013280,-253.415063,0.001921,-0.018612,0.000000,81067.477590,0.941377,0.000018,347.220687,5.000000,5.000000,307.696739,72.419579,43.242190,81.921189,32.989963,-106.974128,43.242190,45.878160,44546.560091,0.043925,253.415063,0.000070,521132.585437,198854.273563,719986.859000,356134.733425,-77974.800007
3.000000,74.597746,-49.368492,2036.725931,38.840347,-30.443166,342.350583,0.702562,0.001365,0.071008,-0.708069,-0.002795,0.002880,0.000000,5.954949,-6.237238,50.457257,0.000153,-0.000557,0.000000,-0.012075,-0.014123,-431.210389,0.001102,-0.003973,0.000000,79133.374721,0.918918,0.000018,347.220687,5.000000,5.000000,345.889116,51.188859,49.349356,81.797396,32.989810,-106.973763,49.349356,45.877943,54953.707650,0.018587,431.210389,0.000057,640489.112992,213855.893952,854345.006944,374608.029514,-149150.980299
3.600000,98.830068,-68.606463,2249.715145,41.721237,-33.460510,365.397857,0.702503,0.001388,0.072175,-0.708010,-0.002648,0.002722,0.000000,-3.004762,3.146802,-39.698150,0.000913,-0.001397,0.000000,-0.007447,-0.009954,-558.845271,0.006095,-0.009328,0.000000,77061.182283,0.894855,0.000018,347.220687,5.000000,5.000000,369.291025,55.922762,53.481467,81.673028,32.989637,-106.973362,53.481467,45.877950,61003.700285,0.012432,558.845271,0.000050,710734.170504,229957.666349,940691.836853,357895.350365,-206376.543049
4.200000,122.980694,-87.758871,2458.458092,38.996276,-30.606479,332.614087,0.702441,0.001411,0.073384,-0.707947,-0.002962,0.003054,0.000000,-3.559577,3.728179,-44.618648,-0.000424,0.000447,0.000000,-0.018691,-0.018074,-351.915490,-0.002802,0.002948,0.000000,75073.154067,0.871769,0.000018,347.220687,5.000000,5.000000,336.287967,44.915404,49.572836,81.523030,32.989465,-106.972962,49.572836,45.877931,49279.236807,0.024534,351.915490,0.000061,574844.470461,245098.941126,819943.411587,276265.992855,-118344.917507
4.800000,145.819527,-105.537352,2650.826120,37.242445,-28.769579,309.724718,0.702371,0.001437,0.074718,-0.707877,-0.003243,0.003344,0.000000,-2.492445,2.610474,-33.734115,-0.000528,0.000506,0.000000,-0.018981,-0.018633,-241.981491,-0.003485,0.003339,0.000000,73278.045258,0.850924,0.000018,347.220687,5.000000,5.000000,313.279571,33.926647,47.060476,81.360394,32.989305,-106.972584,47.060476,45.877930,41741.800505,0.026598,241.981491,0.000072,491237.217361,260230.999016,751468.216377,70347.301677,-75807.847784
5.400000,167.744478,-122.358665,2830.883830,35.885239,-27.348090,290.933470,0.702294,0.001465,0.076169,-0.707799,-0.003515,0.003625,0.000000,-2.050859,2.147979,-29.106326,-0.001222,0.001232,0.000000,-0.023306,-0.022770,-195.268359,-0.008068,0.008131,0.000000,71629.457981,0.831780,0.000018,347.220687,5.000000,5.000000,294.411196,29.257443,45.118382,81.184710,32.989154,-106.972221,45.118382,45.877930,36033.786026,0.032583,195.268359,0.000084,433389.859964,277614.924346,711004.784309,42.288249,-57489.112709
