id,rocket mass (kg),time (s),motor type,impulse (N*s),burn out (s),nozzle radius (m),throat radius (m),radius (kg*m^2),distance rocket nozzle (m),distance rocket propellant (m),nose length (m),nose distance to cm (m),fin span (m),fin distance to cm (m),rail length (m),latitude,longitude,Phase 1 - Rail Launch,Phase 2 - Powered Flight,Apogee,Phase 3 - Drogue Parachute Deployment,Phase 4 - Descent Under Drogue Parachute,Phase 5 - Main Parachute Deployment,Phase 6 - Descent Under Main Parachute,Phase 7 - Impact,No. Stages,apogee X,apogee Y,apogee Z,x impact,y impact,impact velocity,temperature,E wind start,E wind end,N wind start,N wind end,Burn out time,Nozzle Distance,Propellant
1,10,405.59120041508805,Cesaroni_M1300,6420.952724999999,3.6,0.033,0.011,0.0635,0.343,0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.2852307808751447,26.601466488947278,26.60952380952381,28.10952380952381,218.70476190476194,220.20476190476194,405.59120041508805,7,931.0288885289945,-320.1599475444735,5385.341395033967,2935.2596894866488,1512.9726824720692,-4.441197395315521,300,0,10,-2,0,3.6,-1.255,-0.85704
2,10,407.88894283873697,Cesaroni_M1300,6420.952724999999,3.6,0.033,0.011,0.0635,1.343,0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.26090863012336285,26.77947963713546,26.78095238095238,28.28095238095238,221.00000000000003,222.50000000000003,407.88894283873697,7,601.7673119528798,-334.18281099566383,5429.25609186376,4462.247400939655,1502.7690629804426,-4.441197396829155,300,0,10,-2,0,3.6,-1.255,-0.85704
3,10,408.2218926415726,Cesaroni_M1300,6420.952724999999,3.6,0.033,0.011,0.0635,2.343,0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.23290337815787057,26.805917961352353,26.80952380952381,28.30952380952381,221.34285714285716,222.84285714285716,408.2218926415726,7,254.71374222401113,-340.3607647370656,5436.175442026043,5954.4622195493275,1496.097883052532,-4.441197390782257,300,0,10,-2,0,3.6,-1.255,-0.85704
4,10,406.61940133097204,Cesaroni_M1300,6420.952724999999,3.6,0.033,0.011,0.0635,3.343,0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.19891410146716682,26.68238574410982,26.685714285714287,28.185714285714287,219.74285714285716,221.24285714285716,406.61940133097204,7,-93.65084929149334,-340.5002015639709,5404.866537351756,7417.493663322833,1492.6846726217518,-4.441197389274285,300,0,10,-2,0,3.6,-1.255,-0.85704
5,10,402.68475887482185,Cesaroni_M1300,6420.952724999999,3.6,0.033,0.011,0.0635,4.343,0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.15208684588633326,26.38560104946153,26.390476190476193,27.890476190476193,215.7904761904762,217.2904761904762,402.68475887482185,7,-455.30749640816913,-340.4031028093963,5331.781317492827,8809.26236440154,1480.384067223126,-4.4411974001015535,300,0,10,-2,0,3.6,-1.255,-0.85704
6,10,394.5207688152218,Cesaroni_M1300,6420.952724999999,3.6,0.033,0.011,0.0635,5.343,0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.08598152827000295,25.819803049889853,25.82857142857143,27.32857142857143,207.63809523809525,209.13809523809525,394.5207688152218,7,-902.6017039886486,-350.9034319114503,5188.058963509746,9962.898669824219,1436.54403408112,-4.441197393020809,300,0,10,-2,0,3.6,-1.255,-0.85704
7,10,395.69112645241023,Cesaroni_M1300,6420.952724999999,3.6,0.033,0.011,0.0635,6.343,0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.1678098288937936,25.895563662108533,25.90476190476191,27.40476190476191,208.8,210.3,395.69112645241023,7,-734.9150170617381,-275.5440033621413,5208.258830823857,12015.1146650129,1525.7363761143233,-4.441197398187854,300,0,10,-2,0,3.6,-1.255,-0.85704
8,10,394.7282016438324,Cesaroni_M1300,6420.952724999999,3.6,0.033,0.011,0.0635,7.343,0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.20968096009042578,25.826150083296383,25.82857142857143,27.32857142857143,207.82857142857145,209.32857142857145,394.7282016438324,7,-680.6527339898937,-232.49449291454232,5191.348518429055,13876.616242048538,1569.9435655448542,-4.4411974033669175,300,0,10,-2,0,3.6,-1.255,-0.85704
9,10,393.69158953394833,Cesaroni_M1300,6420.952724999999,3.6,0.033,0.011,0.0635,8.343,0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.24178541170687504,25.752632264129385,25.761904761904763,27.261904761904763,206.7904761904762,208.2904761904762,393.69158953394833,7,-624.9314434428578,-199.04019807807657,5173.504178811191,15727.30266002309,1602.8578461418572,-4.441197404290495,300,0,10,-2,0,3.6,-1.255,-0.85704
10,10,392.71782638969864,Cesaroni_M1300,6420.952724999999,3.6,0.033,0.011,0.0635,9.343,0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.2685978550382869,25.68378013110093,25.685714285714287,27.185714285714287,205.83809523809526,207.33809523809526,392.71782638969864,7,-562.3771999559381,-171.73773394409577,5156.876331436724,17579.55958632454,1629.2117327819926,-4.441197391224163,300,0,10,-2,0,3.6,-1.255,-0.85704
11,10,391.83937980112796,Cesaroni_M1300,6420.952724999999,3.6,0.033,0.011,0.0635,10.343,0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.29220358739085545,25.620716520566077,25.62857142857143,27.12857142857143,204.95238095238096,206.45238095238096,391.83937980112796,7,-493.0598832556382,-148.9194853724945,5141.782554606614,19434.49328335584,1650.8129354187424,-4.441197395659916,300,0,10,-2,0,3.6,-1.255,-0.85704
12,10,391.03118407072026,Cesaroni_M1300,6420.952724999999,3.6,0.033,0.011,0.0635,11.343,0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.3134924743073088,25.5625170178782,25.571428571428573,27.071428571428573,204.14285714285717,205.64285714285717,391.03118407072026,7,-418.74851017798716,-129.57425543399302,5127.928176086332,21290.951495500172,1668.8486361239623,-4.44119739647146,300,0,10,-2,0,3.6,-1.255,-0.85704
13,10,390.26672437187796,Cesaroni_M1300,6420.952724999999,3.6,0.033,0.011,0.0635,12.343,0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.33302465099959755,25.507789357614627,25.514285714285716,27.014285714285716,203.39047619047622,204.89047619047622,390.26672437187796,7,-340.7141096007322,-112.97660595453051,5114.967461924319,23146.831864294967,1684.0008580926474,-4.4411973891014105,300,0,10,-2,0,3.6,-1.255,-0.85704
