# Time (s), X (m), Y (m), Z (m), Vx (m/s), Vy (m/s), Vz (m/s), e0, e1, e2, e3, ω1 (rad/s), ω2 (rad/s), ω3 (rad/s), Ax (m/s2), Ay (m/s2), Az (m/s2), α1 (rad/s2), α2 (rad/s2), α3 (rad/s2), R1 (N), R2 (N), R3 (N), M1 (Nm), M2 (Nm), Aerodynamic Spin Moment (N m), Pressure (Pa), Density (kg/m³), Dynamic Viscosity (Pa s), Speed of Sound (m/s), Wind Velocity X (East) (m/s), Wind Velocity Y (North) (m/s), Speed - Velocity Magnitude (m/s), Acceleration Magnitude (m/s²), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Path Angle (°), Latitude (°), Longitude (°), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Spin Angle - φ (°), Dynamic Pressure (Pa), Aerodynamic Lift Force (N), Aerodynamic Drag Force (N), Rotational Kinetic Energy (J), Kinetic Energy (J), ((Scalar*9.80665)*Z (m)), Total Mechanical Energy (J), Thrust Power (W), Drag Power (W)
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.704416,-0.061628,0.061628,-0.704416,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2.735970,2.694405,-0.147658,1.183813,1.202075,0.000000,101325.000000,1.176613,0.000018,347.220687,5.000000,5.000000,0.000000,0.000000,0.000000,0.000000,32.990254,-106.974998,0.000000,0.000000,29.415313,3.839967,0.147658,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
0.600000,5.143181,-0.001886,28.698727,19.425450,-0.353241,109.090861,0.704218,-0.041420,0.062237,-0.706036,0.158060,0.173520,0.000000,33.277019,-5.734715,210.672629,0.118092,0.197484,0.000000,-10.416917,8.299447,-34.334944,0.940451,1.577659,0.000000,100980.712599,1.172615,0.000018,347.220687,5.000000,5.000000,110.807440,213.361673,19.428661,79.901721,32.990254,-106.974913,19.428661,11.281562,7116.343689,13.318902,34.334944,0.221345,75371.432189,3455.261723,78826.693912,307195.556850,-3804.567234
1.200000,21.557629,-2.283417,130.149442,33.143195,-6.606637,212.769557,0.703840,-0.030923,0.065352,-0.706670,-0.002389,0.000308,0.000000,12.435383,-3.163568,74.179465,0.595701,0.634867,0.000000,-11.488761,10.584022,-132.920751,4.581022,4.882170,0.000000,99771.232400,1.158570,0.000018,347.220687,5.000000,5.000000,215.436773,75.281072,33.795252,80.974819,32.990233,-106.974641,33.795252,19.562750,26761.592980,15.620924,132.920751,0.000022,270196.222790,14860.471286,285056.694076,241528.685710,-28636.017663
1.800000,43.484339,-7.030554,271.142858,39.913481,-9.291054,257.160675,0.703674,-0.028533,0.066957,-0.706786,0.004150,0.011106,0.000000,11.440351,-4.464596,73.805308,0.024057,0.037413,0.000000,-1.590254,0.767120,-196.807588,0.180454,0.280573,0.000000,98109.834974,1.139277,0.000018,347.220687,5.000000,5.000000,260.405496,74.820036,40.980601,80.945595,32.990191,-106.974278,40.980601,21.792609,38481.819752,1.731754,196.807588,0.000527,384029.150132,30117.071474,414146.221606,300495.115660,-51249.778122
2.400000,69.460653,-13.445121,438.623963,46.628512,-12.061805,300.549841,0.703584,-0.028751,0.068359,-0.706732,-0.005161,0.000947,0.000000,10.728209,-4.437737,68.175486,-0.008687,-0.011853,0.000000,0.106373,-0.661907,-289.474636,-0.063416,-0.086606,0.000000,96165.503303,1.116699,0.000018,347.220687,5.000000,5.000000,304.384481,69.156958,48.163319,80.895719,32.990133,-106.973848,48.163319,22.060922,51565.950490,0.670290,289.474636,0.000101,509973.315159,47352.778433,557326.093592,352301.052342,-88111.597496
3.000000,99.262155,-21.429417,630.339827,52.418589,-14.433469,336.300598,0.703516,-0.029307,0.069572,-0.706659,-0.003823,0.001658,0.000000,7.945540,-3.255878,46.872783,0.000036,-0.000518,0.000000,-0.181552,-0.438890,-469.237511,0.000269,-0.003689,0.000000,93978.246506,1.091300,0.000018,347.220687,5.000000,5.000000,340.667177,47.652808,54.369417,80.816502,32.990061,-106.973354,54.369417,22.029468,63144.955087,0.474968,469.237511,0.000062,621295.979053,66185.580111,687481.559164,368952.508731,-159853.817473
3.600000,131.931689,-30.588937,839.012402,56.150791,-15.963114,356.889505,0.703450,-0.029782,0.070697,-0.706593,-0.003616,0.001533,0.000000,-8.538277,3.500822,-69.062760,-0.000184,0.000499,0.000000,-0.220650,-0.501736,-622.641659,-0.001236,0.003308,0.000000,91643.498520,1.064188,0.000018,347.220687,5.000000,5.000000,361.632204,70.808037,58.375785,80.710493,32.989979,-106.972813,58.375785,22.028824,69398.903113,0.548110,622.641659,0.000053,681559.674037,85760.783714,767320.457751,350472.867248,-225167.275460
4.200000,164.288896,-39.620431,1042.184420,52.067853,-14.289911,322.930916,0.703381,-0.030270,0.071863,-0.706523,-0.004171,0.001664,0.000000,-5.205135,2.132824,-45.182803,-0.000853,0.000268,0.000000,-0.207973,-0.524730,-358.205430,-0.005629,0.001769,0.000000,89415.641609,1.038318,0.000018,347.220687,5.000000,5.000000,327.413561,45.531615,53.993174,80.508100,32.989898,-106.972278,53.993174,22.030254,55483.483162,0.564440,358.205430,0.000068,544903.064220,103901.362994,648804.427215,269142.527657,-117281.101900
4.800000,194.702254,-47.855286,1228.593088,49.431706,-13.209513,299.313735,0.703303,-0.030816,0.073157,-0.706445,-0.004562,0.001841,0.000000,-3.874549,1.587781,-35.577937,-0.000732,0.000253,0.000000,-0.208295,-0.518172,-261.091799,-0.004829,0.001668,0.000000,87410.373511,1.015032,0.000018,347.220687,5.000000,5.000000,303.655556,35.823495,51.166246,80.299328,32.989824,-106.971774,51.166246,22.030035,46637.925698,0.558470,261.091799,0.000080,461508.757057,120607.640906,582116.397963,69517.429283,-79281.982691
5.400000,223.711582,-55.514727,1402.125598,47.337416,-12.351200,279.648514,0.703216,-0.031413,0.074573,-0.706357,-0.004965,0.002012,0.000000,-3.145134,1.289072,-30.258112,-0.000667,0.000307,0.000000,-0.209394,-0.514877,-207.319264,-0.004401,0.002029,0.000000,85576.498734,0.993737,0.000018,347.220687,5.000000,5.000000,283.895535,30.448430,48.922214,80.076990,32.989755,-106.971294,48.922214,22.029815,39896.948066,0.555827,207.319264,0.000095,402983.373080,137501.549976,540484.923056,0.001549,-58857.013353
