# Time (s), X (m), Y (m), Z (m), Vx (m/s), Vy (m/s), Vz (m/s), e0, e1, e2, e3, ω1 (rad/s), ω2 (rad/s), ω3 (rad/s), Ax (m/s2), Ay (m/s2), Az (m/s2), α1 (rad/s2), α2 (rad/s2), α3 (rad/s2), R1 (N), R2 (N), R3 (N), M1 (Nm), M2 (Nm), Aerodynamic Spin Moment (N m), Pressure (Pa), Density (kg/m³), Dynamic Viscosity (Pa s), Speed of Sound (m/s), Wind Velocity X (East) (m/s), Wind Velocity Y (North) (m/s), Speed - Velocity Magnitude (m/s), Acceleration Magnitude (m/s²), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Path Angle (°), Latitude (°), Longitude (°), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Spin Angle - φ (°), Dynamic Pressure (Pa), Aerodynamic Lift Force (N), Aerodynamic Drag Force (N), Rotational Kinetic Energy (J), Kinetic Energy (J), ((Scalar*9.80665)*Z (m)), Total Mechanical Energy (J), Thrust Power (W), Drag Power (W)
0.000000,0.000000,0.000000,1400.000000,0.000000,0.000000,0.000000,0.704416,-0.061628,0.061628,-0.704416,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2.311332,2.276217,-0.124741,2.309596,2.345225,0.000000,85598.771785,0.993995,0.000018,347.220687,5.000000,5.000000,0.000000,0.000000,0.000000,0.000000,32.990254,-106.974998,0.000000,0.000000,24.849886,3.243982,0.124741,0.000000,0.000000,177875.731651,177875.731651,0.000000,-0.000000
0.600000,5.080702,-0.070780,1428.723891,18.654986,-1.188432,109.287110,0.703753,-0.021824,0.062820,-0.707326,0.280008,0.309621,0.000000,26.401863,-13.151485,211.631270,-0.442825,-0.320491,0.000000,2.067771,-3.120652,-29.075383,-3.574146,-2.592597,0.000000,85298.185442,0.990505,0.000018,347.220687,5.000000,5.000000,110.874223,213.676895,18.692802,80.293880,32.990253,-106.974914,18.692802,25.697254,6026.443932,3.755150,29.075383,0.700163,75462.791247,172015.123758,247477.915005,307380.802663,-3223.710508
1.200000,20.233792,-3.799775,1530.458601,30.804039,-9.414854,213.647185,0.703275,-0.011761,0.065984,-0.707753,0.081634,0.105158,0.000000,7.740021,-8.320248,75.754132,-2.505990,-2.519304,0.000000,19.786660,-19.766034,-113.098380,-19.272589,-19.375365,0.000000,84240.430608,0.978222,0.000018,347.220687,5.000000,5.000000,216.061676,76.601718,32.210686,81.426328,32.990220,-106.974663,32.210686,34.712132,22752.835543,27.967955,113.098380,0.068142,271766.044716,174747.857646,446513.902362,242248.395866,-24436.225631
1.800000,40.512590,-10.594412,1672.330404,36.998295,-13.069019,259.304053,0.703555,-0.022177,0.067606,-0.707072,0.025835,0.028098,0.000000,12.091527,-4.477035,76.417064,1.511518,1.619230,0.000000,-12.900850,12.040925,-168.481753,11.341085,12.149257,0.000000,82783.120190,0.961299,0.000018,347.220687,5.000000,5.000000,262.256106,77.497202,39.238669,81.395114,32.990159,-106.974327,39.238669,26.695874,32967.266884,17.646770,168.481753,0.005468,389506.870313,185753.350511,575260.220824,302630.628656,-44185.368448
2.400000,64.617861,-19.527874,1841.587320,43.333506,-16.675263,304.398514,0.703410,-0.020478,0.069071,-0.707125,0.005154,0.009217,0.000000,10.896549,-5.100017,71.507703,0.739058,0.785708,0.000000,-6.195574,5.809350,-253.237436,5.399309,5.740081,0.000000,81071.283925,0.941421,0.000018,347.220687,5.000000,5.000000,307.919328,72.512733,46.431208,81.327279,32.990078,-106.973928,46.431208,28.335507,44528.146920,8.494242,253.237436,0.000408,521886.833455,198813.297118,720700.130572,356392.362120,-77976.701147
3.000000,92.355032,-30.517968,2036.197115,48.871106,-19.800222,342.097577,0.703301,-0.019631,0.070332,-0.707133,0.007464,0.013837,0.000000,7.625440,-4.451651,50.449294,-0.129551,-0.115456,0.000000,0.818630,-0.965994,-430.909858,-0.920872,-0.820707,0.000000,79138.575193,0.918978,0.000018,347.220687,5.000000,5.000000,346.137525,51.216168,52.729819,81.237572,32.989980,-106.973469,52.729819,29.248855,54941.314514,1.130079,430.909858,0.000878,641409.411785,213800.368272,855209.780057,374877.063986,-149154.071570
3.600000,122.876032,-43.085119,2249.036317,52.594758,-21.926254,365.138850,0.703241,-0.020047,0.071501,-0.707064,-0.007039,-0.001874,0.000000,2.561659,-1.433383,9.760433,0.020536,0.014052,0.000000,-0.097133,0.114763,-558.811804,0.140603,0.096213,0.000000,77067.716128,0.894931,0.000018,347.220687,5.000000,5.000000,369.558316,37.083458,56.982183,81.130180,32.989867,-106.972963,56.982183,29.182294,60996.974526,0.150351,558.811804,0.000183,711763.394336,229888.279075,941651.673411,358154.393150,-206513.549387
4.200000,153.291078,-55.592647,2457.630986,49.066135,-19.925106,332.376010,0.703177,-0.020413,0.072692,-0.706996,-0.002723,0.003179,0.000000,-4.597145,2.627340,-44.585001,0.020908,0.025340,0.000000,-0.213950,0.145591,-351.791077,0.137993,0.167241,0.000000,75080.948461,0.871860,0.000018,347.220687,5.000000,5.000000,336.568429,44.898318,52.957487,80.947154,32.989754,-106.972460,52.957487,29.159379,49276.157396,0.256346,351.791077,0.000059,575799.306278,245014.468911,820813.775188,276805.703805,-118401.769898
4.800000,182.005943,-67.138343,2649.860902,46.793379,-18.639824,309.505553,0.703102,-0.020741,0.074014,-0.706924,-0.003471,0.003102,0.000000,-3.237141,1.822761,-33.718079,-0.009363,-0.006896,0.000000,0.036888,-0.090528,-241.983030,-0.061798,-0.045511,0.000000,73286.964726,0.851027,0.000018,347.220687,5.000000,5.000000,313.577344,33.922123,50.369269,80.756657,32.989650,-106.971984,50.369269,29.189966,41742.564297,0.089627,241.983030,0.000072,492171.354055,260136.160326,752307.514381,71282.544323,-75880.391130
5.400000,209.536561,-78.014227,2829.790127,45.033761,-17.644825,290.723166,0.703019,-0.021140,0.075451,-0.706842,-0.004115,0.002995,0.000000,-2.664074,1.498022,-29.092240,-0.009178,-0.007486,0.000000,0.043292,-0.090727,-195.262704,-0.060575,-0.049409,0.000000,71639.380328,0.831895,0.000018,347.220687,5.000000,5.000000,294.719085,29.252347,48.367133,80.554309,32.989552,-106.971529,48.367133,29.192366,36035.811802,0.099588,195.262704,0.000085,434296.694676,277507.613474,711804.308150,-0.000010,-57547.645382
