# Time (s), X (m), Y (m), Z (m), Vx (m/s), Vy (m/s), Vz (m/s), e0, e1, e2, e3, ω1 (rad/s), ω2 (rad/s), ω3 (rad/s), Ax (m/s2), Ay (m/s2), Az (m/s2), α1 (rad/s2), α2 (rad/s2), α3 (rad/s2), R1 (N), R2 (N), R3 (N), M1 (Nm), M2 (Nm), Aerodynamic Spin Moment (N m), Pressure (Pa), Density (kg/m³), Dynamic Viscosity (Pa s), Speed of Sound (m/s), Wind Velocity X (East) (m/s), Wind Velocity Y (North) (m/s), Speed - Velocity Magnitude (m/s), Acceleration Magnitude (m/s²), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Path Angle (°), Latitude (°), Longitude (°), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Spin Angle - φ (°), Dynamic Pressure (Pa), Aerodynamic Lift Force (N), Aerodynamic Drag Force (N), Rotational Kinetic Energy (J), Kinetic Energy (J), ((Scalar*9.80665)*Z (m)), Total Mechanical Energy (J), Thrust Power (W), Drag Power (W)
0.000000,0.000000,0.000000,1400.000000,0.000000,0.000000,0.000000,0.704416,-0.061628,0.061628,-0.704416,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-2.311332,2.276217,-0.124741,7.295094,7.407632,0.000000,85598.771785,0.993995,0.000018,347.220687,5.000000,5.000000,0.000000,0.000000,0.000000,0.000000,32.990254,-106.974998,0.000000,0.000000,24.849886,3.243982,0.124741,0.000000,0.000000,177875.731651,177875.731651,0.000000,-0.000000
0.600000,5.182531,0.034991,1428.717053,19.950730,0.174011,109.167292,0.704392,-0.056352,0.061785,-0.704868,0.051062,0.055440,0.000000,38.439485,-0.356409,210.757029,0.192525,0.223135,0.000000,-16.847915,14.532804,-29.065723,40.071518,46.461801,0.000000,85298.256901,0.990506,0.000018,347.220687,5.000000,5.000000,110.975491,214.234093,19.951488,79.642889,32.990254,-106.974912,19.951488,2.613651,6024.410778,22.249758,29.065723,0.594510,75600.629075,172014.355704,247614.984779,307666.478439,-3225.582444
1.200000,23.082862,-0.636932,1530.293845,36.160721,-3.236755,213.260204,0.703689,-0.026201,0.065149,-0.707029,0.000012,0.021106,0.000000,8.505052,-7.525894,75.459641,-0.428135,-0.466476,0.000000,32.428673,-29.766811,-113.100727,-68.917870,-75.155167,0.000000,84242.134978,0.978242,0.000018,347.220687,5.000000,5.000000,216.328428,76.309451,36.305293,80.338623,32.990248,-106.974616,36.305293,22.955440,22753.292268,44.019108,113.100727,0.035852,272437.474003,174729.045740,447166.519743,242651.116492,-24466.901500
1.800000,46.753108,-3.560627,1671.876599,43.690953,-5.544600,258.786414,0.704032,-0.044816,0.066189,-0.705656,0.013587,0.013374,0.000000,15.875227,-0.153414,76.347587,0.382904,0.436296,0.000000,-28.323634,24.858029,-168.467072,51.528627,58.721471,0.000000,82787.748921,0.961353,0.000018,347.220687,5.000000,5.000000,262.507238,77.980768,44.041367,80.341696,32.990222,-106.974224,44.041367,10.832267,32964.117942,37.685272,168.467072,0.024409,390253.216621,185702.944259,575956.160880,302920.422549,-44223.827381
2.400000,75.297890,-7.461837,1840.798198,50.969433,-7.995519,303.762049,0.703770,-0.038213,0.068206,-0.706114,-0.048249,-0.045993,0.000000,12.530525,-3.549557,71.294162,0.041214,-0.009418,0.000000,0.573782,2.407921,-253.079707,4.602149,-0.815633,0.000000,81079.197923,0.941513,0.000018,347.220687,5.000000,5.000000,308.112307,72.473942,51.592746,80.360535,32.990187,-106.973751,51.592746,15.644681,44511.650760,3.021276,253.079707,0.236896,522541.429270,198728.105328,721269.534597,356615.725429,-77976.938479
3.000000,108.160951,-12.649525,2035.006046,57.851417,-9.604526,341.386054,0.703674,-0.037640,0.069294,-0.706134,-0.022538,-0.015234,0.000000,8.191779,-3.910120,50.276357,-0.201920,-0.248351,0.000000,12.676466,-10.313919,-430.789695,-15.821585,-19.512649,0.000000,79150.289373,0.919114,0.000018,347.220687,5.000000,5.000000,346.386303,51.089197,58.643272,80.252866,32.990140,-106.973207,58.643272,16.389353,54940.497116,16.318238,430.789695,0.028972,642331.768300,213675.306231,856007.074531,375146.498591,-149219.649695
3.600000,144.372216,-18.773525,2247.398540,62.405093,-10.807727,364.365945,0.703625,-0.039223,0.070363,-0.705990,-0.016873,-0.010742,0.000000,-4.721725,0.492737,-36.373458,-0.543579,-0.685712,0.000000,7.074835,-5.659486,-558.899190,-5.476096,-6.903338,0.000000,77083.481892,0.895114,0.000018,347.220687,5.000000,5.000000,369.829345,54.664515,63.334055,80.139373,32.990085,-106.972608,63.334055,15.766965,61005.472490,9.059971,558.899190,0.010097,712807.781801,229720.871504,942528.653305,358417.058596,-206697.321488
4.200000,180.439945,-24.875248,2455.546214,58.150270,-9.630963,331.655726,0.703582,-0.041073,0.071424,-0.705822,-0.007544,-0.003484,0.000000,-5.395835,1.730517,-44.534831,0.240904,0.283347,0.000000,-2.166470,1.815419,-351.863089,1.589966,1.870091,0.000000,75100.597631,0.872088,0.000018,347.220687,5.000000,5.000000,336.852683,44.893884,58.942424,79.922516,32.990030,-106.972010,58.942424,15.007592,49288.024086,2.826525,351.863089,0.000842,576772.316570,244806.626525,821578.943095,277039.521600,-118526.025526
4.800000,214.457635,-30.410974,2647.354240,55.412426,-8.870881,308.817210,0.703489,-0.041598,0.072729,-0.705751,-0.002400,0.004226,0.000000,-3.862500,1.121547,-33.676986,0.048232,0.066251,0.000000,-0.533528,0.359580,-242.067254,0.318331,0.437259,0.000000,73310.132609,0.851297,0.000018,347.220687,5.000000,5.000000,313.874655,33.916311,56.117996,79.700647,32.989981,-106.971447,56.117996,15.140251,41756.895844,0.651880,242.067254,0.000091,493104.891639,259889.984038,752994.875677,70991.280580,-75978.774625
5.400000,247.046304,-35.553621,2826.878099,53.288299,-8.287846,290.059019,0.703390,-0.042338,0.074148,-0.705658,-0.004442,0.002605,0.000000,-3.197194,0.896800,-29.058350,0.013047,0.019147,0.000000,-0.160361,0.079197,-195.359647,0.086108,0.126369,0.000000,71665.804372,0.832202,0.000018,347.220687,5.000000,5.000000,295.029771,29.247461,53.928946,79.467599,32.989934,-106.970907,53.928946,15.181303,36052.062772,0.176342,195.359647,0.000088,435212.829556,277222.041078,712434.870633,-0.000000,-57636.912077
