id,rocket mass (kg),time (s),motor type,impulse (N*s),burn out (s),nozzle radius (m),throat radius (m),radius (kg*m^2),distance rocket nozzle (m),distance rocket propellant (m),nose length (m),nose distance to cm (m),fin span (m),fin distance to cm (m),rail length (m),latitude,longitude,Phase 1 - Rail Launch,Phase 2 - Powered Flight,Apogee,Phase 3 - Drogue Parachute Deployment,Phase 4 - Descent Under Drogue Parachute,Phase 5 - Main Parachute Deployment,Phase 6 - Descent Under Main Parachute,Phase 7 - Impact,No. Stages,apogee X,apogee Y,apogee Z,x impact,y impact,impact velocity,temperature,E wind start,E wind end,N wind start,N wind end,Burn out time,Nozzle Distance,Propellant
1,10,405.5912004,Cesaroni_M1300,6420.952725,3.6,0.033,0.011,0.0635,0.343,0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.2852307809,26.60146649,26.60952381,28.10952381,218.7047619,220.2047619,405.5912004,7,931.0288885,-320.1599475,5385.341395,2935.259689,1512.972682,-4.441197395,300,0,10,-2,0,3.6,-1.255,-0.85704
2,10,405.6131232,Cesaroni_M1300,6420.952725,3.6,0.033,0.011,0.0635,1.343,0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.2608980562,26.60222986,26.60952381,28.10952381,218.7142857,220.2142857,405.6131232,7,924.5662066,-329.948437,5385.570862,2928.019626,1501.94728,-4.441197403,300,0,10,-2,0,3.6,-1.255,-0.85704
3,10,405.5945243,Cesaroni_M1300,6420.952725,3.6,0.033,0.011,0.0635,2.343,0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.2328747898,26.60157287,26.60952381,28.10952381,218.7142857,220.2142857,405.5945243,7,923.7103686,-333.9547077,5385.466195,2926.938395,1497.317167,-4.441197392,300,0,10,-2,0,3.6,-1.255,-0.85704
4,10,405.587423,Cesaroni_M1300,6420.952725,3.6,0.033,0.011,0.0635,3.343,0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.1988372713,26.59959146,26.6,28.1,218.6952381,220.1952381,405.587423,7,928.6720784,-332.2685331,5385.040617,2932.347158,1499.33677,-4.441197399,300,0,10,-2,0,3.6,-1.255,-0.85704
5,10,405.53615,Cesaroni_M1300,6420.952725,3.6,0.033,0.011,0.0635,4.343,0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.1519655673,26.59557417,26.6,28.1,218.6380952,220.1380952,405.53615,7,939.2204341,-326.028117,5384.075919,2944.035692,1506.243402,-4.441197402,300,0,10,-2,0,3.6,-1.255,-0.85704
6,10,405.4433363,Cesaroni_M1300,6420.952725,3.6,0.033,0.011,0.0635,5.343,0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.08586955274,26.58883026,26.59047619,28.09047619,218.552381,220.052381,405.4433363,7,957.664524,-313.6622221,5382.384865,2964.284317,1520.038329,-4.441197398,300,0,10,-2,0,3.6,-1.255,-0.85704
7,10,405.3620753,Cesaroni_M1300,6420.952725,3.6,0.033,0.011,0.0635,6.343,0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.1676152106,26.58341332,26.59047619,28.09047619,218.4666667,219.9666667,405.3620753,7,989.7730711,-265.389356,5380.923249,3000.329714,1574.554548,-4.441197401,300,0,10,-2,0,3.6,-1.255,-0.85704
8,10,405.2466526,Cesaroni_M1300,6420.952725,3.6,0.033,0.011,0.0635,7.343,0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.2094230082,26.57603835,26.58095238,28.08095238,218.3714286,219.8714286,405.2466526,7,1017.23717,-228.5979904,5378.991887,3030.699323,1615.955424,-4.441197388,300,0,10,-2,0,3.6,-1.255,-0.85704
9,10,405.1519009,Cesaroni_M1300,6420.952725,3.6,0.033,0.011,0.0635,8.343,0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.2413668581,26.5683232,26.57142857,28.07142857,218.2571429,219.7571429,405.1519009,7,1040.537627,-197.9604888,5376.960509,3056.42865,1650.448145,-4.4411974,300,0,10,-2,0,3.6,-1.255,-0.85704
10,10,405.0352403,Cesaroni_M1300,6420.952725,3.6,0.033,0.011,0.0635,9.343,0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.2681705368,26.56041513,26.56190476,28.06190476,218.152381,219.652381,405.0352403,7,1060.196578,-172.1164056,5374.942292,3077.920177,1679.363863,-4.441197393,300,0,10,-2,0,3.6,-1.255,-0.85704
11,10,406.8219536,Cesaroni_M1300,6420.952725,3.6,0.033,0.011,0.0635,0.343,0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.2853086855,26.70470666,26.7047619,28.2047619,219.9238095,221.4238095,406.8219536,7,-36.84977245,-324.2785193,5408.699396,7484.896903,1511.330136,-4.441197402,300,0,10,-2,0,3.6,-1.255,-0.85704
12,10,406.5888202,Cesaroni_M1300,6420.952725,3.6,0.033,0.011,0.0635,1.343,0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.26100992,26.68650428,26.6952381,28.1952381,219.7047619,221.2047619,406.5888202,7,-76.09018749,-334.5126587,5404.51852,7436.398435,1499.023828,-4.441197394,300,0,10,-2,0,3.6,-1.255,-0.85704
