# Time (s), X (m), Y (m), Z (m), Vx (m/s), Vy (m/s), Vz (m/s), e0, e1, e2, e3, ω1 (rad/s), ω2 (rad/s), ω3 (rad/s), Ax (m/s2), Ay (m/s2), Az (m/s2), α1 (rad/s2), α2 (rad/s2), α3 (rad/s2), R1 (N), R2 (N), R3 (N), M1 (Nm), M2 (Nm), Aerodynamic Spin Moment (N m), Pressure (Pa), Density (kg/m³), Dynamic Viscosity (Pa s), Speed of Sound (m/s), Wind Velocity X (East) (m/s), Wind Velocity Y (North) (m/s), Speed - Velocity Magnitude (m/s), Acceleration Magnitude (m/s²), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Path Angle (°), Latitude (°), Longitude (°), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Spin Angle - φ (°), Dynamic Pressure (Pa), Aerodynamic Lift Force (N), Aerodynamic Drag Force (N), Rotational Kinetic Energy (J), Kinetic Energy (J), ((Scalar*9.80665)*Z (m)), Total Mechanical Energy (J), Thrust Power (W), Drag Power (W)
0.000000,0.000000,0.000000,1400.000000,0.000000,0.000000,0.000000,0.704416,-0.061628,0.061628,-0.704416,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-6.973248,27.469233,-1.095265,65.479109,16.622307,0.000000,85598.771785,0.993995,0.000018,347.220687,20.000000,5.000000,0.000000,0.000000,0.000000,0.000000,32.990254,-106.974998,0.000000,0.000000,211.224028,28.340518,1.095265,0.000000,0.000000,177875.731651,177875.731651,0.000000,-0.000000
0.600000,5.248607,0.026073,1428.697764,19.961711,0.045269,109.166804,0.705336,-0.039187,0.048344,-0.706136,0.351705,0.090766,0.000000,32.199232,-1.710840,211.820322,1.259298,0.330761,0.000000,-14.786663,56.294726,-28.541742,117.341236,30.824355,0.000000,85298.458466,0.990508,0.000018,347.220687,20.000000,5.000000,110.976858,214.260512,19.961763,79.637626,32.990254,-106.974911,19.961763,5.939638,5914.295072,58.206084,28.541742,6.187797,75608.068636,172012.010829,247620.079465,307668.146725,-3167.472707
1.200000,18.706326,-1.279322,1530.556329,19.359458,-5.096069,213.898547,0.704772,0.039369,0.002992,-0.708334,-0.287515,-0.069548,0.000000,-12.037330,-7.109117,75.579233,-2.173159,-0.576965,0.000000,23.393020,-88.140012,-111.303400,-158.249290,-42.024223,0.000000,84239.419647,0.978210,0.000018,347.220687,20.000000,5.000000,214.833300,76.861291,20.018954,84.653212,32.990242,-106.974688,20.018954,132.317038,22427.881365,91.191868,111.303400,3.193736,268687.810639,174759.016191,443446.826830,240835.193518,-23911.676742
1.800000,30.895239,-4.934371,1672.735275,22.033260,-6.880711,260.111983,0.705384,0.023215,0.012947,-0.708327,0.266887,0.072034,0.000000,-7.074192,-5.851284,76.728321,-1.768981,-0.440602,0.000000,16.334176,-65.614839,-166.636224,-109.601424,-27.307783,0.000000,82778.990761,0.961251,0.000018,347.220687,20.000000,5.000000,261.134165,77.275617,23.082650,84.928787,32.990210,-106.974486,23.082650,105.732387,32588.118080,67.336434,166.636224,2.350739,386183.695902,185798.321363,571982.017265,301335.964328,-43514.412726
2.400000,43.359061,-10.004316,1842.579054,21.766111,-9.435242,305.714931,0.705576,0.016255,0.017686,-0.708228,0.214684,0.057208,0.000000,-1.409341,-4.302402,72.492660,-0.527803,-0.119662,0.000000,3.892897,-17.247626,-249.394252,-26.630377,-6.053205,0.000000,81061.338857,0.941306,0.000018,347.220687,20.000000,5.000000,306.633994,72.634236,23.723138,85.562803,32.990164,-106.974280,23.723138,87.473928,44087.511498,12.675292,249.394252,1.224476,517540.172003,198920.362299,716460.534302,354904.683059,-76472.707847
3.000000,56.002120,-16.453651,2038.171733,21.343389,-11.717744,344.146351,0.705493,0.019623,0.016246,-0.708260,0.075172,0.021628,0.000000,-4.324075,-4.120050,51.535037,-1.502358,-0.381358,0.000000,10.925179,-43.066482,-422.785090,-56.733613,-14.405956,0.000000,79119.157887,0.918752,0.000018,347.220687,20.000000,5.000000,345.006604,51.879973,24.348425,85.953055,32.990106,-106.974071,24.348425,95.266180,54536.225857,44.432674,422.785090,0.114551,637225.071968,214007.702841,851232.774809,373652.243803,-145863.648045
3.600000,68.669877,-23.996732,2252.448381,21.008984,-13.281182,367.811001,0.705572,0.016541,0.018582,-0.708203,-0.078331,-0.018868,0.000000,0.008201,2.092012,-51.635553,0.206227,0.029004,0.000000,-0.127875,1.263073,-556.677958,1.566828,0.219467,0.000000,77034.878895,0.894549,0.000018,347.220687,20.000000,5.000000,368.649834,60.299262,24.854923,86.134100,32.990038,-106.973861,24.854923,86.566694,60659.452762,1.269529,556.677958,0.082677,708268.332699,230237.047812,938505.380511,357273.944833,-205219.236492
4.200000,81.281681,-31.522144,2462.652574,20.997908,-11.920544,335.084835,0.705574,0.016425,0.019102,-0.708189,0.018776,0.006109,0.000000,0.161275,1.825238,-44.520204,0.360827,0.099390,0.000000,-0.802281,2.892967,-347.605840,2.381461,0.655976,0.000000,75033.636611,0.871310,0.000018,347.220687,20.000000,5.000000,335.953655,44.557896,24.145631,85.878489,32.989971,-106.973652,24.145631,85.584986,49041.328673,3.047298,347.605840,0.002777,573697.725336,245515.097820,819212.823156,276300.130585,-116779.452316
4.800000,93.857111,-38.400564,2656.513609,20.940239,-11.056484,312.213222,0.705556,0.017116,0.019223,-0.708187,0.007963,0.003720,0.000000,-0.123321,1.225344,-33.835978,-0.075300,-0.016914,0.000000,0.111002,-0.539302,-240.608032,-0.496979,-0.111632,0.000000,73225.505667,0.850314,0.000018,347.220687,20.000000,5.000000,313.109941,33.858383,23.679937,85.662683,32.989909,-106.973444,23.679937,86.575988,41553.046146,0.532528,240.608032,0.000274,490705.028763,260789.145682,751494.174444,70887.909823,-75336.766235
5.400000,106.405593,-44.826903,2838.051115,20.897497,-10.384588,293.378452,0.705547,0.017441,0.019606,-0.708178,0.002997,0.002566,0.000000,-0.088928,1.009401,-29.171721,-0.042584,-0.009959,0.000000,0.064485,-0.314183,-193.915378,-0.281056,-0.065728,0.000000,71564.462196,0.831025,0.000018,347.220687,20.000000,5.000000,294.305048,29.189315,23.335489,85.452236,32.989851,-106.973236,23.335489,86.547576,35862.236418,0.325680,193.915378,0.000051,433077.305203,278317.739654,711395.044857,-0.000000,-57070.274462
