# Time (s), X (m), Y (m), Z (m), Vx (m/s), Vy (m/s), Vz (m/s), e0, e1, e2, e3, ω1 (rad/s), ω2 (rad/s), ω3 (rad/s), Ax (m/s2), Ay (m/s2), Az (m/s2), α1 (rad/s2), α2 (rad/s2), α3 (rad/s2), R1 (N), R2 (N), R3 (N), M1 (Nm), M2 (Nm), Aerodynamic Spin Moment (N m), Pressure (Pa), Density (kg/m³), Dynamic Viscosity (Pa s), Speed of Sound (m/s), Wind Velocity X (East) (m/s), Wind Velocity Y (North) (m/s), Speed - Velocity Magnitude (m/s), Acceleration Magnitude (m/s²), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Path Angle (°), Latitude (°), Longitude (°), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Spin Angle - φ (°), Dynamic Pressure (Pa), Aerodynamic Lift Force (N), Aerodynamic Drag Force (N), Rotational Kinetic Energy (J), Kinetic Energy (J), ((Scalar*9.80665)*Z (m)), Total Mechanical Energy (J), Thrust Power (W), Drag Power (W)
0.000000,0.000000,0.000000,1400.000000,0.000000,0.000000,0.000000,0.704416,-0.061628,0.061628,-0.704416,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-13.698537,107.923402,-4.082946,109.574896,13.908158,0.000000,85598.771785,0.993995,0.000018,347.220687,40.000000,5.000000,0.000000,0.000000,0.000000,0.000000,32.990254,-106.974998,0.000000,0.000000,807.621282,108.789294,4.082946,0.000000,0.000000,177875.731651,177875.731651,0.000000,-0.000000
0.600000,4.461318,-0.085830,1428.703739,8.803754,-1.375303,109.061471,0.694948,0.140055,-0.094855,-0.698886,2.466488,0.316312,0.000000,-75.917794,-14.172253,199.629798,-5.085192,-0.630027,0.000000,4.563713,-36.994567,-30.819421,-41.002878,-5.080615,0.000000,85298.396028,0.990507,0.000018,347.220687,40.000000,5.000000,109.424870,214.048130,8.910761,85.329090,32.990253,-106.974924,8.910761,-191.258504,6392.861018,37.643498,30.819421,24.843486,73526.941377,172012.695311,245539.636689,303362.536248,-3372.411985
1.200000,-7.273508,-3.816023,1526.073270,-36.246972,-9.319786,202.963905,0.686530,0.185167,-0.129363,-0.691137,0.535168,0.070667,0.000000,-50.972606,-8.048716,60.752945,-22.348029,-2.836434,0.000000,22.438885,-176.873817,-115.044701,-171.866769,-21.813545,0.000000,84285.805556,0.978749,0.000018,347.220687,40.000000,5.000000,206.385678,79.711409,37.425945,79.552189,32.990220,-106.975118,37.425945,-190.252368,23104.838089,178.291471,115.044701,1.120422,247970.877045,174247.140291,422218.017336,231383.901627,-23743.578712
1.800000,-35.010193,-10.496199,1660.287122,-55.038097,-12.818705,245.030678,0.694874,0.142037,-0.095390,-0.698493,0.412867,0.052776,0.000000,-21.424726,-4.706420,74.707356,10.956994,1.402577,0.000000,-11.298165,88.264402,-170.607578,82.208510,10.523300,0.000000,82906.030420,0.962727,0.000018,347.220687,40.000000,5.000000,251.462809,77.861143,56.511161,77.013016,32.990160,-106.975578,56.511161,-191.263985,33401.693328,88.976587,170.607578,0.649717,358106.508189,184415.648334,542522.156523,290175.696046,-42901.460958
2.400000,-73.851677,-19.265154,1819.894358,-73.954947,-16.347491,286.646666,0.692932,0.153639,-0.104111,-0.696720,0.169284,0.022051,0.000000,-25.756479,-5.130081,67.689716,5.212178,0.667117,0.000000,-5.335756,41.672372,-258.197621,38.077206,4.873577,0.000000,81289.067343,0.943950,0.000018,347.220687,40.000000,5.000000,296.484208,72.605871,75.740178,75.199092,32.990081,-106.976221,75.740178,-191.033337,45124.471027,41.975894,258.197621,0.106438,483844.343955,196471.377531,680315.721485,343157.112342,-76551.518629
3.000000,-123.379972,-30.034865,2002.822915,-90.194788,-19.384446,321.029730,0.691481,0.161787,-0.110184,-0.695381,0.082701,0.011293,0.000000,-23.793696,-4.357062,44.904403,-1.884088,-0.237977,0.000000,1.788122,-14.196507,-442.553054,-13.392349,-1.691576,0.000000,79467.342883,0.922796,0.000018,347.220687,40.000000,5.000000,334.022371,51.005189,92.254303,73.966938,32.989984,-106.977041,92.254303,-190.904610,55647.056766,14.277292,442.553054,0.024750,597295.284066,210296.082668,807591.366734,361755.997484,-147822.620284
3.600000,-181.017972,-42.322397,2202.204046,-101.089402,-21.419368,341.565211,0.691277,0.163120,-0.110969,-0.695148,-0.016070,-0.001401,0.000000,-8.412113,-1.600465,11.556145,0.500805,0.062967,0.000000,-0.479565,3.782773,-565.244517,3.435531,0.431958,0.000000,77519.570017,0.900178,0.000018,347.220687,40.000000,5.000000,356.853821,35.812254,103.333714,73.167861,32.989873,-106.977995,103.333714,-190.932931,61784.138419,3.813050,565.244517,0.000899,663667.259753,225101.255314,888768.515066,345841.936849,-201709.665838
4.200000,-238.216714,-54.527731,2397.090666,-90.408335,-19.420718,310.107223,0.690781,0.165961,-0.112924,-0.694654,0.021525,0.003473,0.000000,13.946273,2.612635,-42.975357,-0.016493,-0.001667,0.000000,-0.007458,-0.001321,-360.760869,-0.108851,-0.011004,0.000000,75653.244265,0.878505,0.000018,347.220687,40.000000,5.000000,323.600558,45.257106,92.470705,73.395974,32.989764,-106.978942,92.470705,-190.927841,49973.423119,0.009698,360.760869,0.001599,532283.386791,238978.878106,771262.264898,266140.506535,-116742.418593
4.800000,-290.273901,-65.770155,2576.210758,-83.547302,-18.135369,288.049423,0.690256,0.168929,-0.114950,-0.694127,0.013112,0.002476,0.000000,9.640532,1.808985,-32.402621,-0.073029,-0.009149,0.000000,0.057407,-0.493680,-246.330278,-0.481992,-0.060385,0.000000,73970.154916,0.858961,0.000018,347.220687,40.000000,5.000000,300.468822,33.854721,85.492943,73.469134,32.989663,-106.979804,85.492943,-190.926342,42420.491723,0.500370,246.330278,0.000588,451882.628003,252905.849442,704788.477445,67972.102039,-74014.568129
5.400000,-338.763792,-76.344498,2743.482365,-78.255590,-17.144308,269.959408,0.689696,0.172048,-0.117070,-0.693564,0.012995,0.002526,0.000000,7.983384,1.496731,-28.077857,-0.033019,-0.004114,0.000000,0.019355,-0.191024,-199.952529,-0.217922,-0.027156,0.000000,72425.902119,0.841029,0.000018,347.220687,40.000000,5.000000,281.595359,29.229107,80.111576,73.471525,32.989567,-106.980607,80.111576,-190.926879,36733.117003,0.190018,199.952529,0.000578,396479.732453,269043.713368,665523.445821,0.000001,-56305.704260
