id,rocket mass (kg),time (s),motor type,impulse (N*s),burn out (s),nozzle radius (m),throat radius (m),radius (kg*m^2),distance rocket nozzle (m),distance rocket propellant (m),nose length (m),nose distance to cm (m),fin span (m),fin distance to cm (m),rail length (m),latitude,longitude,Phase 1 - Rail Launch,Phase 2 - Powered Flight,Apogee,Phase 3 - Drogue Parachute Deployment,Phase 4 - Descent Under Drogue Parachute,Phase 5 - Main Parachute Deployment,Phase 6 - Descent Under Main Parachute,Phase 7 - Impact,No. Stages,apogee X,apogee Y,apogee Z,x impact,y impact,impact velocity
1,21,234.28306243047828,Cesaroni_M1300,6420.952724999999,4.901,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.3370258738940527,24.22962468134938,24.23809523809524,25.73809523809524,113.11428571428573,114.61428571428573,234.28306243047828,7,960.4590639128709,-169.40885225110705,4143.7711017947995,3102.960145205945,1375.9413091223107,-6.259242694676263
2,22,221.65110688293436,Cesaroni_M1300,6420.952724999999,4.901,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.3435437732500468,23.626457502821662,23.62857142857143,25.12857142857143,103.3809523809524,104.8809523809524,221.65110688293436,7,908.9820346473665,-168.26097359923054,3977.8383996879465,2851.4496462398088,1218.4345121139133,-6.406564794472333
3,23,210.02973583860575,Cesaroni_M1300,6420.952724999999,4.901,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.3497431533094021,23.026325790829873,23.028571428571432,24.528571428571432,94.43809523809524,95.93809523809524,210.02973583860575,7,859.9062963327951,-166.260063358063,3821.679404706816,2624.2575270818297,1079.727305163249,-6.5505799882151505
4,24,199.30031139543823,Cesaroni_M1300,6420.952724999999,4.901,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.35603387527972913,22.43265738081864,22.43809523809524,23.93809523809524,86.23809523809524,87.73809523809524,199.30031139543823,7,813.2328636302275,-163.6078076388917,3674.9655305034144,2418.6084660123643,957.3874677098134,-6.691496699701093
5,25,189.43306423611634,Cesaroni_M1300,6420.952724999999,4.901,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.3621716926562831,21.851160165422613,21.857142857142858,23.357142857142858,78.75238095238096,80.25238095238096,189.43306423611634,7,769.2075790624807,-160.48842456756466,3538.073976730052,2233.1844673198775,849.9896960712058,-6.829505645175274
6,26,180.36264144134054,Cesaroni_M1300,6420.952724999999,4.901,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.36808343595884363,21.282911977742945,21.28571428571429,22.78571428571429,71.90476190476191,73.40476190476191,180.36264144134054,7,727.7006851016655,-156.99625027980184,3410.3751703763855,2065.6621859953357,755.75766611142,-6.964788224597271
7,21,227.78812777414018,Cesaroni_M1400,6258.825000000001,4.47,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.3747006688120791,23.718966732621734,23.723809523809525,25.223809523809525,106.60952380952382,108.10952380952382,227.78812777414018,7,925.6518075748968,-230.31034613137797,4007.172147649694,2937.5868784649374,1203.0986852820681,-6.259242483642343
8,22,215.51247166077604,Cesaroni_M1400,6258.825000000001,4.47,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.38253726947422995,23.118450178881915,23.123809523809527,24.623809523809527,97.22857142857144,98.72857142857144,215.51247166077604,7,875.2699260725385,-226.84799009477192,3847.3982913404093,2698.6651787262504,1057.1580505330023,-6.406566861036145
9,23,204.20647861527604,Cesaroni_M1400,6258.825000000001,4.47,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.3902678856160244,22.521381540561418,22.523809523809526,24.023809523809526,88.62857142857143,90.12857142857143,204.20647861527604,7,827.1774597764648,-222.39374417499695,3697.0567027362754,2482.5287728888416,929.2859777317238,-6.550579581017219
10,24,193.81281066899632,Cesaroni_M1400,6258.825000000001,4.47,0.033,0.011,0.0635,-1.255,-0.85704,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.3980032336568684,21.93305043701046,21.933333333333334,23.433333333333334,80.76190476190477,82.26190476190477,193.81281066899632,7,781.5608902232595,-217.17051956563216,3556.324068552844,2287.4340260930817,817.4414813912076,-6.691495929015851
