# Time (s), X (m), Y (m), Z (m), Vx (m/s), Vy (m/s), Vz (m/s), e0, e1, e2, e3, ω1 (rad/s), ω2 (rad/s), ω3 (rad/s), Ax (m/s2), Ay (m/s2), Az (m/s2), α1 (rad/s2), α2 (rad/s2), α3 (rad/s2), R1 (N), R2 (N), R3 (N), M1 (Nm), M2 (Nm), Aerodynamic Spin Moment (N m), Pressure (Pa), Density (kg/m³), Dynamic Viscosity (Pa s), Speed of Sound (m/s), Wind Velocity X (East) (m/s), Wind Velocity Y (North) (m/s), Speed - Velocity Magnitude (m/s), Acceleration Magnitude (m/s²), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Path Angle (°), Latitude (°), Longitude (°), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Spin Angle - φ (°), Dynamic Pressure (Pa), Aerodynamic Lift Force (N), Aerodynamic Drag Force (N), Rotational Kinetic Energy (J), Kinetic Energy (J), ((Scalar*9.80665)*Z (m)), Total Mechanical Energy (J), Thrust Power (W), Drag Power (W)
0.000000,0.000000,0.000000,1471.466078,0.000000,0.000000,0.000000,0.704416,-0.061628,0.061628,-0.704416,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.728202,0.180901,-0.025567,0.063121,0.254271,0.000000,85037.503364,1.050893,0.000018,336.580678,0.829079,3.286335,0.000000,0.000000,0.000000,0.000000,32.990254,-106.974998,0.000000,0.000000,6.035996,0.750335,0.025567,0.000000,0.000000,850742.818968,850742.818968,0.000000,-0.000000
0.600000,0.875801,0.000096,1476.408396,3.499469,0.002647,19.154617,0.704410,-0.061518,0.061697,-0.704426,0.001652,0.007332,0.000000,8.287664,0.033005,37.007638,0.023315,0.112499,0.000000,-2.618161,0.562679,-1.048217,0.193142,0.933012,0.000000,84986.237076,1.050377,0.000018,336.562315,0.844055,3.291479,19.471662,37.923697,3.499470,79.646389,32.990254,-106.974983,3.499470,0.082922,202.075015,2.677931,1.048217,0.000234,11047.748792,843772.226001,854819.974793,53970.970268,-20.410612
1.200000,4.378755,-0.028119,1494.127735,7.585451,-0.155318,36.607808,0.703528,-0.049855,0.070905,-0.705362,0.005388,0.095489,0.000000,3.291364,-0.519663,9.290663,-0.020747,0.140104,0.000000,-3.545127,-0.369459,-3.706496,-0.158278,1.168895,0.000000,84809.058693,1.048555,0.000018,336.500164,1.021982,3.338707,37.385757,9.870134,7.587041,78.291103,32.990254,-106.974925,7.587041,9.813494,731.586649,3.564326,3.706496,0.035793,40283.784592,844609.434750,884893.219341,41922.806939,-138.570169
1.800000,9.526862,-0.298665,1517.799769,9.589840,-0.902025,42.353587,0.700444,-0.025740,0.097664,-0.706524,-0.023263,0.125412,0.000000,3.446894,-2.051103,9.831963,-0.065966,-0.055514,0.000000,0.295585,-1.445279,-4.950320,-0.519307,-0.322958,0.000000,84572.358470,1.046121,0.000018,336.417134,1.259683,3.401801,43.435067,10.618648,9.632169,77.187560,32.990251,-106.974840,9.632169,29.987322,984.264376,1.476078,4.950320,0.061776,54076.246800,853277.353495,907353.600295,50121.389920,-215.017462
2.400000,15.929219,-1.297235,1545.000799,11.803334,-2.543833,48.310024,0.697264,-0.015510,0.125277,-0.705611,-0.056299,0.039149,0.000000,3.954047,-3.194404,9.735685,-0.027526,-0.194690,0.000000,3.479902,-0.882622,-6.449907,-0.247377,-1.401881,0.000000,84300.371274,1.043325,0.000018,336.321726,1.532821,3.474302,49.796066,10.982823,12.074344,75.967286,32.990242,-106.974734,12.074344,37.601532,1291.406301,3.590088,6.449907,0.017305,70680.678523,863753.615732,934434.294256,57635.288428,-321.180025
3.000000,23.756455,-3.398865,1575.688390,14.329457,-4.423107,53.850722,0.697339,-0.029230,0.134868,-0.703331,-0.045643,-0.041841,0.000000,4.359206,-2.835494,8.423043,0.057368,-0.024212,0.000000,0.744528,0.776724,-8.054844,0.375150,-0.204133,0.000000,83993.521435,1.040170,0.000018,336.214089,1.840969,3.556095,55.899888,9.899008,14.996573,74.438322,32.990223,-106.974605,14.996573,32.526235,1622.420283,1.075909,8.054844,0.013678,88598.965082,876249.356170,964848.321252,60541.211651,-450.264888
3.600000,33.136012,-6.516457,1609.401082,16.917815,-5.907688,58.335292,0.697961,-0.039709,0.135930,-0.701994,-0.012123,0.017512,0.000000,4.184730,-2.246993,6.523520,0.028395,0.171862,0.000000,-3.201207,0.469022,-9.508569,0.188371,1.201495,0.000000,83656.423159,1.036704,0.000018,336.095842,2.179494,3.645951,61.025564,8.069523,17.919633,72.923912,32.990195,-106.974449,17.919633,28.550284,1923.860856,3.235384,9.508569,0.001570,105063.296197,890517.320759,995580.616956,59142.930042,-580.265784
4.200000,44.012314,-10.472788,1645.449573,19.279972,-7.302863,61.569131,0.695354,-0.030496,0.150774,-0.702011,-0.023852,0.075980,0.000000,3.635647,-2.447995,3.980772,-0.053560,-0.026246,0.000000,-0.152582,-1.035790,-10.670046,-0.374077,-0.132681,0.000000,83295.968866,1.032997,0.000018,335.969401,2.541473,3.742033,64.929246,5.920025,20.616720,71.486630,32.990160,-106.974269,20.616720,33.292577,2165.640428,1.052956,10.670046,0.021329,118392.576168,906314.507615,1024707.083783,53452.818491,-692.798073
4.800000,56.123889,-15.241310,1682.644740,20.793492,-8.396505,61.246745,0.692719,-0.028006,0.168845,-0.700605,-0.045416,0.013698,0.000000,1.046676,-0.790339,-6.185590,-0.001117,-0.104319,0.000000,1.628746,-0.256710,-10.698631,-0.014618,-0.687160,0.000000,82924.048797,1.029173,0.000018,335.838939,2.914966,3.841171,65.222959,6.323112,22.424776,69.890389,32.990117,-106.974069,22.424776,35.257846,2171.847322,1.648853,10.698631,0.007435,119135.354611,924235.700177,1043371.054788,14766.660528,-697.796404
5.400000,68.638944,-20.309383,1717.760808,20.851349,-8.439207,55.559525,0.692251,-0.036159,0.177714,-0.698498,-0.034119,0.008591,0.000000,-0.043802,0.055639,-9.953063,0.018642,0.077407,0.000000,-1.354475,0.172660,-9.004798,0.123039,0.510889,0.000000,82572.917955,1.025563,0.000018,335.715769,3.267582,3.934768,59.940468,9.953315,22.494421,67.958420,32.990071,-106.973861,22.494421,33.241843,1819.946375,1.365418,9.004798,0.004085,100600.076763,943346.825361,1043946.902124,0.000404,-539.751826
