# Time (s), X (m), Y (m), Z (m), Vx (m/s), Vy (m/s), Vz (m/s), e0, e1, e2, e3, ω1 (rad/s), ω2 (rad/s), ω3 (rad/s)
0.000000,0.000000,0.000000,1471.466078,0.000000,0.000000,0.000000,0.704416,-0.061628,0.061628,-0.704416,0.000000,0.000000,0.000000
0.550000,1.535859,0.000875,1480.023157,6.076859,0.008396,32.746968,0.704361,-0.061478,0.062254,-0.704429,-0.008409,0.013119,0.000000
1.100000,6.733080,-0.041577,1506.893673,12.907287,-0.301212,64.827388,0.703069,-0.060294,0.076210,-0.704450,-0.061964,0.061694,0.000000
1.650000,15.948146,-0.558691,1551.212951,20.855012,-1.774951,96.199888,0.700699,-0.064219,0.099356,-0.703580,-0.050403,0.015208,0.000000
2.200000,29.820052,-2.046331,1612.529804,29.513422,-3.544264,126.564501,0.700978,-0.066738,0.097564,-0.703318,0.017117,-0.000443,0.000000
2.750000,48.307037,-4.446527,1690.188779,37.748992,-5.303024,155.515471,0.699798,-0.065913,0.107324,-0.703150,-0.028566,0.012387,0.000000
3.300000,71.335813,-7.908068,1783.188337,45.869167,-7.253108,182.304630,0.699493,-0.065494,0.109677,-0.703129,-0.025595,0.029050,0.000000
3.850000,98.411197,-12.387054,1889.131652,51.683782,-8.795296,199.390102,0.698898,-0.065324,0.114333,-0.702995,-0.011848,0.019912,0.000000
4.400000,127.425318,-17.391141,1999.552303,53.305031,-9.253047,200.147180,0.698248,-0.064894,0.119219,-0.702870,-0.008746,0.015543,0.000000
4.950000,156.613904,-22.440378,2107.677950,52.799909,-9.098955,192.885062,0.697740,-0.064819,0.123031,-0.702724,-0.001142,-0.000324,0.000000
5.500000,185.505920,-27.395280,2211.753848,52.274887,-8.927643,185.599003,0.697333,-0.065062,0.126123,-0.702557,-0.004074,0.001968,0.000000
6.050000,214.120376,-32.259053,2311.868079,51.785953,-8.763173,178.478064,0.696925,-0.065385,0.129195,-0.702374,-0.008511,0.006161,0.000000
6.600000,242.476569,-37.035852,2408.107354,51.331401,-8.606888,171.507129,0.696518,-0.065806,0.132234,-0.702173,-0.011531,0.009101,0.000000
7.150000,270.591707,-41.729278,2500.550309,50.908699,-8.459351,164.671430,0.696075,-0.066328,0.135519,-0.701937,-0.011334,0.008503,0.000000
7.700000,298.481517,-46.342746,2589.268730,50.513674,-8.318338,157.960866,0.695555,-0.066938,0.139304,-0.701654,-0.010994,0.007454,0.000000
8.250000,326.159027,-50.884106,2674.328704,50.136207,-8.197813,151.366248,0.695249,-0.069990,0.142438,-0.701029,-0.019082,-0.005788,0.000000
8.800000,353.637246,-55.357919,2755.790892,49.785322,-8.077133,144.877218,0.694868,-0.072833,0.145875,-0.700411,-0.018372,0.000232,0.000000
9.350000,380.926563,-59.771420,2833.711560,49.453421,-7.970001,138.486259,0.694533,-0.076927,0.149324,-0.699577,-0.018343,0.002098,0.000000
9.900000,408.038544,-64.127987,2908.142606,49.138133,-7.874943,132.186702,0.694050,-0.080518,0.153411,-0.698768,-0.022344,-0.001618,0.000000
10.450000,434.982545,-68.433869,2979.132286,48.842788,-7.784005,125.971186,0.693528,-0.084659,0.157743,-0.697832,-0.022280,0.002451,0.000000
11.000000,461.768060,-72.692983,3046.725341,48.562000,-7.704638,119.834248,0.692908,-0.089091,0.162568,-0.696788,-0.025671,0.000125,0.000000
11.550000,488.403978,-76.909468,3110.963222,48.298190,-7.629459,113.769751,0.692176,-0.093755,0.167882,-0.695643,-0.027062,0.002522,0.000000
12.100000,514.898506,-81.087117,3171.884460,48.048079,-7.562810,107.772804,0.691326,-0.098891,0.173744,-0.694336,-0.030384,0.001588,0.000000
12.650000,541.259218,-85.229614,3229.524814,47.810679,-7.502358,101.838629,0.690338,-0.104702,0.180236,-0.692811,-0.035127,0.001061,0.000000
13.200000,567.492903,-89.340560,3283.917404,47.587103,-7.446956,95.961687,0.689185,-0.111479,0.187459,-0.690982,-0.037793,0.001943,0.000000
