# Time (s), X (m), Y (m), Z (m), Vx (m/s), Vy (m/s), Vz (m/s), e0, e1, e2, e3, ω1 (rad/s), ω2 (rad/s), ω3 (rad/s), Ax (m/s2), Ay (m/s2), Az (m/s2), α1 (rad/s2), α2 (rad/s2), α3 (rad/s2), R1 (N), R2 (N), R3 (N), M1 (Nm), M2 (Nm), Aerodynamic Spin Moment (N m), Pressure (Pa), Density (kg/m³), Dynamic Viscosity (Pa s), Speed of Sound (m/s), Wind Velocity X (East) (m/s), Wind Velocity Y (North) (m/s), Speed - Velocity Magnitude (m/s), Acceleration Magnitude (m/s²), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Path Angle (°), Latitude (°), Longitude (°), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Spin Angle - φ (°), Dynamic Pressure (Pa), Aerodynamic Lift Force (N), Aerodynamic Drag Force (N), Rotational Kinetic Energy (J), Kinetic Energy (J), ((Scalar*9.80665)*Z (m)), Total Mechanical Energy (J), Thrust Power (W), Drag Power (W)
0.000000,0.000000,0.000000,1400.000000,0.000000,0.000000,0.000000,0.704416,-0.061628,0.061628,-0.704416,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-24.077830,0.000000,-1.031478,0.000000,6.800576,0.000000,85598.771785,0.993995,0.000018,347.220687,0.000000,20.000000,0.000000,0.000000,0.000000,0.000000,32.990254,-106.974998,0.000000,0.000000,198.799085,24.077830,1.031478,0.000000,0.000000,315168.831651,315168.831651,0.000000,-0.000000
0.600000,4.056808,-0.015042,1422.402422,14.424117,-0.770086,78.346445,0.701298,-0.033280,0.090559,-0.706304,-0.009117,0.492335,0.000000,27.309289,-10.819483,144.617791,-0.059899,1.462346,0.000000,-44.760260,-1.652708,-16.383397,-0.500327,12.813221,0.000000,85364.264137,0.991272,0.000018,347.220687,0.000000,20.000000,79.666891,147.570878,14.444660,79.553740,32.990254,-106.974931,14.444660,24.618216,3359.231874,44.790761,16.383397,0.971524,69887.583299,307193.059863,377080.643162,277277.013989,-1305.214417
1.200000,17.801027,-6.152869,1495.774369,31.377967,-24.361056,164.591106,0.686868,0.040814,0.173474,-0.704590,-0.015213,-0.361497,0.000000,28.171220,-49.238242,135.417676,0.148764,-2.404249,0.000000,54.222261,2.508681,-71.251640,1.057276,-18.467306,0.000000,84599.848832,0.982396,0.000018,347.220687,0.000000,20.000000,169.317070,146.819515,39.724524,76.431001,32.990199,-106.974703,39.724524,57.509911,14756.915583,54.290098,71.251640,0.480361,301169.580988,308195.076438,609364.657426,566285.065272,-12064.119652
1.800000,41.664713,-27.518182,1618.781140,47.691988,-46.651521,242.832209,0.689426,0.029048,0.164703,-0.704782,-0.008593,-0.228600,0.000000,19.218241,-29.647390,87.124779,0.144408,-1.931585,0.000000,33.358988,1.875198,-162.746109,0.950093,-13.262975,0.000000,83330.761111,0.967659,0.000018,347.220687,0.000000,20.000000,251.830046,94.016147,66.714992,74.637759,32.990007,-106.974308,66.714992,54.371224,31780.056063,33.411633,162.746109,0.174665,637311.586560,319062.241949,956373.828509,563065.998078,-40984.360084
2.400000,71.028894,-56.474454,1766.516090,48.659020,-47.839149,241.883897,0.690897,0.021667,0.159893,-0.704715,-0.002981,0.009760,0.000000,-1.484809,3.347516,-17.010913,-0.036583,1.908857,0.000000,-27.178560,-0.576822,-159.329181,-0.241449,12.598458,0.000000,81826.968447,0.950196,0.000018,347.220687,0.000000,20.000000,251.324698,17.400619,68.236972,74.245906,32.989746,-106.973822,68.236972,52.149711,31108.318273,27.186185,159.329181,0.000352,631641.039399,346472.100182,978113.139582,0.000000,-40043.358269
3.000000,99.955535,-84.793490,1908.572081,47.776689,-46.556967,231.710581,0.689607,0.025917,0.167220,-0.704135,-0.009366,0.079717,0.000000,-1.437556,1.897902,-16.653594,-0.025960,-0.204657,0.000000,1.413132,-0.550829,-144.973772,-0.171333,-1.350734,0.000000,80401.779851,0.933647,0.000018,347.220687,0.000000,20.000000,241.122285,16.822930,66.709543,73.938875,32.989492,-106.973343,66.709543,53.212871,28197.170349,1.869232,144.973772,0.021255,581399.584926,374333.967866,955733.552792,0.000000,-34956.407177
3.600000,128.372237,-112.406446,2044.638218,46.958221,-45.457334,221.928324,0.688902,0.027359,0.172149,-0.703582,-0.009710,0.017667,0.000000,-1.314881,1.530039,-16.010039,0.004953,-0.443935,0.000000,6.124951,-0.104548,-130.319853,0.032693,-2.929970,0.000000,79055.597031,0.918014,0.000018,347.220687,0.000000,20.000000,231.351734,16.136643,65.356283,73.590681,32.989243,-106.972872,65.356283,53.426270,25585.940582,6.127513,130.319853,0.001342,535236.247470,401021.027660,936257.275130,-0.000000,-30149.723903
4.200000,156.319320,-139.367543,2174.966743,46.208222,-44.425131,212.565252,0.688490,0.027490,0.175904,-0.703052,-0.009318,0.000106,0.000000,-1.200293,1.549977,-15.320402,0.006676,-0.168505,0.000000,2.473523,-0.063313,-117.011619,0.044059,-1.112131,0.000000,77783.349919,0.903241,0.000018,347.220687,0.000000,20.000000,222.019770,15.445318,64.099860,73.219115,32.989001,-106.972410,64.099860,53.282672,23244.801520,2.472528,117.011619,0.000287,492927.784738,426582.752281,919510.537020,0.000000,-25978.892865
4.800000,183.834496,-165.726221,2299.790748,45.517319,-43.460912,203.568003,0.687982,0.027878,0.180113,-0.702468,-0.009613,0.003078,0.000000,-1.105995,1.503768,-14.731581,0.003300,-0.046970,0.000000,0.646561,-0.109666,-105.334559,0.021782,-0.310001,0.000000,76580.430420,0.889272,0.000018,347.220687,0.000000,20.000000,213.074187,14.849378,62.933911,72.820784,32.988764,-106.971954,62.933911,53.201526,21137.572824,0.654940,105.334559,0.000336,454006.090504,451064.858712,905070.949216,-0.000000,-22444.075528
5.400000,210.950931,-191.528618,2419.313990,44.878413,-42.567686,194.889946,0.687365,0.028528,0.184833,-0.701819,-0.010234,0.007811,0.000000,-1.024171,1.411505,-14.225386,0.001257,-0.018188,0.000000,0.149821,-0.142151,-95.008213,0.008293,-0.120043,0.000000,75442.755331,0.876061,0.000018,347.220687,0.000000,20.000000,204.470465,14.331883,61.855314,72.391298,32.988532,-106.971505,61.855314,53.178016,19234.306074,0.224124,95.008213,0.000547,418081.710245,474507.310727,892589.020972,0.000000,-19426.373406
6.000000,237.698143,-216.816110,2533.716408,44.285879,-41.739598,186.493904,0.686663,0.029317,0.189966,-0.701102,-0.010976,0.011677,0.000000,-0.951881,1.311569,-13.782799,0.000104,-0.018374,0.000000,0.102899,-0.162983,-85.874247,0.000689,-0.121271,0.000000,74366.679203,0.863565,0.000018,347.220687,0.000000,20.000000,196.171888,13.877746,60.855839,71.927696,32.988304,-106.971062,60.855839,53.176868,17510.081288,0.194075,85.874247,0.000847,384834.095833,496945.400342,881779.496175,-0.000000,-16846.113226
