# Time (s), X (m), Y (m), Z (m), Vx (m/s), Vy (m/s), Vz (m/s), e0, e1, e2, e3, ω1 (rad/s), ω2 (rad/s), ω3 (rad/s), Ax (m/s2), Ay (m/s2), Az (m/s2), α1 (rad/s2), α2 (rad/s2), α3 (rad/s2), R1 (N), R2 (N), R3 (N), M1 (Nm), M2 (Nm), Aerodynamic Spin Moment (N m), Pressure (Pa), Density (kg/m³), Dynamic Viscosity (Pa s), Speed of Sound (m/s), Wind Velocity X (East) (m/s), Wind Velocity Y (North) (m/s), Speed - Velocity Magnitude (m/s), Acceleration Magnitude (m/s²), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Path Angle (°), Latitude (°), Longitude (°), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Spin Angle - φ (°), Dynamic Pressure (Pa), Aerodynamic Lift Force (N), Aerodynamic Drag Force (N), Rotational Kinetic Energy (J), Kinetic Energy (J), ((Scalar*9.80665)*Z (m)), Total Mechanical Energy (J), Thrust Power (W), Drag Power (W)
0.000000,0.000000,0.000000,1400.000000,0.000000,0.000000,0.000000,0.704416,-0.061628,0.061628,-0.704416,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.302599,-0.280425,2.060413,-0.000000,0.000000,85598.771785,1.085740,0.000017,332.226879,10.000000,0.000000,0.000000,0.000000,0.000000,0.000000,32.990254,-106.974998,0.000000,0.000000,54.287025,7.302599,0.280425,0.000000,0.000000,315168.831651,315168.831651,0.000000,-0.000000
0.600000,2.025863,-0.000000,1411.141476,7.602903,0.000000,40.414192,0.704772,-0.057409,0.057409,-0.704772,0.105866,-0.000000,0.000000,14.119977,0.000000,72.188757,0.512833,-0.000000,0.000000,0.000004,15.150742,-4.481632,4.370952,-0.000001,0.000000,85482.078143,1.084260,0.000017,332.226879,10.000000,0.000000,41.123121,73.556716,7.602903,79.345778,32.990254,-106.974964,7.602903,0.000000,888.580474,15.150741,4.481632,0.046432,18987.184746,310748.205449,329735.390196,77012.935404,-184.298897
1.200000,8.557828,0.000000,1448.245300,12.852629,0.000001,83.018219,0.707072,-0.007032,0.007032,-0.707072,0.285754,0.000000,0.000000,1.340549,-0.000000,69.473674,-0.344584,0.000000,0.000000,-0.000001,-4.593650,-18.117216,-2.428343,0.000000,0.000000,85094.388400,1.079343,0.000017,332.226879,10.000000,0.000000,84.007230,69.486606,12.852629,81.199508,32.990254,-106.974856,12.852629,-0.019982,3723.820363,4.593988,18.117216,0.325050,77417.151872,311598.125517,389015.277388,147663.711079,-1521.977148
1.800000,15.901702,0.000001,1510.250005,11.429145,0.000001,123.180318,0.707108,0.000479,-0.000479,-0.707108,-0.218173,-0.000000,0.000000,-0.447075,0.000003,64.678606,-0.191487,-0.000000,0.000000,0.000009,-7.850601,-39.090591,-1.695411,-0.000003,0.000000,84449.693194,1.071166,0.000017,332.226879,10.000000,0.000000,123.709401,64.680154,11.429145,84.699053,32.990254,-106.974735,11.429145,-65.781186,8127.700254,8.072441,39.090591,0.181975,164216.817934,317841.979303,482058.797237,202586.517667,-4835.873592
2.400000,23.222560,0.000002,1595.527556,13.027418,0.000003,160.648100,0.707098,-0.003695,0.003695,-0.707098,0.135326,-0.000000,0.000000,0.260831,0.000007,60.131512,-0.635781,0.000000,0.000000,-0.000005,-9.628148,-65.976915,-4.527133,0.000002,0.000000,83569.483971,1.060001,0.000017,332.226879,10.000000,0.000000,161.175450,60.132081,13.027418,85.363865,32.990254,-106.974613,13.027418,-0.000428,13683.009196,9.770898,65.976915,0.067187,272877.545175,328719.065300,601596.610475,247447.230629,-10633.858967
3.000000,31.049492,0.000005,1702.216674,13.483779,0.000006,193.958356,0.707057,-0.008504,0.008504,-0.707057,0.076280,-0.000000,0.000000,1.905439,0.000003,50.296968,0.467572,-0.000001,0.000000,0.000013,9.582492,-96.649343,3.364859,-0.000005,0.000000,82478.746905,1.046166,0.000017,332.226879,10.000000,0.000000,194.426480,50.333047,13.483779,86.023256,32.990254,-106.974484,13.483779,-0.000184,19684.647330,9.548540,96.649343,0.020503,389360.194224,343879.453843,733239.648067,259633.007423,-18791.191508
3.600000,39.275659,0.000009,1827.221596,14.038907,0.000009,221.938200,0.707071,-0.007200,0.007200,-0.707071,0.046547,-0.000000,0.000000,1.249416,0.000003,40.950614,0.223227,-0.000001,0.000000,0.000016,4.426898,-128.569227,1.551634,-0.000007,0.000000,81215.453659,1.030142,0.000017,332.226879,10.000000,0.000000,222.381779,41.290047,14.038907,86.380525,32.990254,-106.974348,14.038907,-0.000265,25379.035142,4.426898,128.569227,0.007349,500537.868149,362727.451235,863265.319385,259714.119984,-28591.453393
4.200000,47.662316,0.000015,1957.507211,13.960720,0.000009,212.415070,0.707079,-0.006382,0.006382,-0.707079,0.026450,-0.000000,0.000000,-0.165160,-0.000001,-15.529928,-0.116386,-0.000000,0.000000,0.000006,-1.236471,-114.506527,-0.768146,-0.000003,0.000000,79915.515227,1.013654,0.000017,332.226879,10.000000,0.000000,212.873352,15.530806,13.960720,86.239713,32.990254,-106.974209,13.960720,-0.000321,22876.060208,1.234014,114.506527,0.002319,454043.477938,384688.218468,838731.696406,80519.270453,-24375.388192
4.800000,56.008692,0.000020,2082.198945,13.889257,0.000009,203.285005,0.707078,-0.006473,0.006473,-0.707078,0.011683,-0.000000,0.000000,-0.165902,-0.000000,-14.914924,-0.110411,-0.000000,0.000000,0.000003,-1.447146,-102.209097,-0.728711,-0.000001,0.000000,78687.219423,0.998074,0.000017,332.226879,10.000000,0.000000,203.758937,14.915846,13.889257,86.091394,32.990254,-106.974071,13.889257,-0.000325,20630.147484,1.457478,102.209097,0.000450,415177.046542,408387.925750,823564.972292,0.003339,-20826.017065
5.400000,64.319170,0.000025,2201.518642,13.828768,0.000008,194.501007,0.707075,-0.006790,0.006790,-0.707075,0.006449,-0.000000,0.000000,-0.125464,-0.000000,-14.375342,-0.056991,-0.000000,0.000000,0.000002,-0.754155,-91.405171,-0.376142,-0.000001,0.000000,77526.198917,0.983347,0.000017,332.226879,10.000000,0.000000,194.991991,14.375889,13.828768,85.933188,32.990254,-106.973933,13.828768,-0.000320,18607.540226,0.760108,91.405171,0.000137,380218.767193,431790.455855,812009.223048,-0.000000,-17823.276377
6.000000,72.596933,0.000030,2315.661156,13.774669,0.000008,186.021637,0.707072,-0.007138,0.007138,-0.707072,0.004176,-0.000000,0.000000,-0.090033,-0.000001,-13.897771,-0.014021,-0.000000,0.000000,0.000002,-0.148390,-81.842089,-0.092537,-0.000001,0.000000,76428.574093,0.969425,0.000017,332.226879,10.000000,0.000000,186.530938,13.898062,13.774669,85.765048,32.990254,-106.973796,13.774669,-0.000312,16779.923326,0.160270,81.842089,0.000058,347937.910054,454177.569582,802115.479636,0.000000,-15266.081735
6.600000,80.844577,0.000035,2424.798889,13.724260,0.000008,177.813306,0.707069,-0.007469,0.007469,-0.707069,0.001521,-0.000000,0.000000,-0.066326,-0.000000,-13.472570,0.013017,-0.000000,0.000000,0.000001,0.222629,-73.330059,0.085910,-0.000000,0.000000,75390.877964,0.956263,0.000017,332.226879,10.000000,0.000000,178.342163,13.472733,13.724260,85.586460,32.990254,-106.973659,13.724260,-0.000307,15123.987076,0.214768,73.330059,0.000008,318059.270672,475583.080438,793642.351110,0.000000,-13077.841297
7.200000,89.064440,0.000039,2529.084929,13.677322,0.000008,169.844223,0.707066,-0.007726,0.007725,-0.707066,-0.001364,-0.000000,0.000000,-0.060529,-0.000000,-13.098217,0.015958,0.000000,0.000000,-0.000000,0.228108,-65.842084,0.105324,0.000000,0.000000,74410.000387,0.943821,0.000017,332.226879,10.000000,0.000000,170.394041,13.098357,13.677322,85.395985,32.990254,-106.973523,13.677322,-0.000307,13619.617430,0.228227,65.842084,0.000006,290341.290610,496037.014348,786378.304958,0.000000,-11219.098793
7.800000,97.258444,0.000044,2628.654598,13.634890,0.000007,162.088468,0.707064,-0.007925,0.007925,-0.707064,-0.002513,-0.000000,0.000000,-0.066245,-0.000000,-12.760336,0.002106,0.000000,0.000000,-0.000000,-0.000576,-59.088575,0.013898,0.000000,0.000000,73483.151698,0.932065,0.000017,332.226879,10.000000,0.000000,162.660940,12.760508,13.634890,85.191597,32.990254,-106.973388,13.634890,-0.000308,12250.078312,0.005001,59.088575,0.000021,264585.815282,515565.912232,780151.727514,-0.000000,-9611.403169
8.400000,105.428145,0.000048,2723.629591,13.596797,0.000007,154.525407,0.707061,-0.008183,0.008183,-0.707061,-0.001556,-0.000000,0.000000,-0.066738,-0.000000,-12.454759,-0.005668,-0.000000,0.000000,0.000000,-0.108709,-52.978879,-0.037412,-0.000000,0.000000,72607.805652,0.920962,0.000017,332.226879,10.000000,0.000000,155.122450,12.454938,13.596797,84.971456,32.990254,-106.973252,13.596797,-0.000306,11001.371916,0.108570,52.978879,0.000008,240629.743966,534193.642521,774823.386487,-0.000000,-8218.213566
9.000000,113.575124,0.000052,2814.119988,13.560812,0.000007,147.136935,0.707056,-0.008546,0.008546,-0.707056,-0.001157,-0.000000,0.000000,-0.058111,-0.000000,-12.177827,-0.000117,-0.000000,0.000000,0.000000,-0.015634,-47.437770,-0.000773,-0.000000,0.000000,71781.665842,0.910483,0.000017,332.226879,10.000000,0.000000,147.760527,12.177965,13.560812,84.734235,32.990254,-106.973117,13.560812,-0.000302,9861.426245,0.012046,47.437770,0.000004,218331.732976,551941.795653,770273.528628,0.000000,-7009.429822
9.600000,121.701141,0.000057,2900.225612,13.526508,0.000007,139.906977,0.707052,-0.008904,0.008904,-0.707052,-0.001882,-0.000000,0.000000,-0.053776,-0.000000,-11.926069,0.000841,0.000000,0.000000,-0.000000,-0.007782,-42.402013,0.005553,0.000000,0.000000,71002.640526,0.900602,0.000017,332.226879,10.000000,0.000000,140.559342,11.926190,13.526508,84.477684,32.990254,-106.972983,13.526508,-0.000302,8819.776830,0.007782,42.402013,0.000012,197569.287608,568829.949906,766399.237514,0.000000,-5959.999025
