id,rocket mass (kg),time (s),motor type,impulse (N*s),burn out (s),nozzle radius (m),throat radius (m),radius (kg*m^2),distance rocket nozzle (m),distance rocket propellant (m),nose length (m),nose distance to cm (m),fin span (m),fin distance to cm (m),rail length (m),latitude,longitude,Phase 1 - Rail Launch,Phase 2 - Powered Flight,Apogee,Phase 3 - Drogue Parachute Deployment,Phase 4 - Descent Under Drogue Parachute,Phase 5 - Main Parachute Deployment,Phase 6 - Descent Under Main Parachute,Phase 7 - Impact,No. Stages,apogee X,apogee Y,apogee Z,x impact,y impact,impact velocity,temperature,E wind start,E wind end,N wind start,N wind end,Burn out time,Nozzle Distance,Propellant
1,20.0,220.74405268464326,Cesaroni_M1300,6420.952724999999,3.6,0.033,0.011,0.0635,-1.255,0.5,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.32360065979145247,22.431110539048635,22.43809523809524,23.93809523809524,89.80000000000001,91.30000000000001,220.74405268464326,7,384.0944041719505,-0.000145004642626241,3711.9465256572757,2405.142383952785,-0.00016262186393427205,-6.281190619047893,300.0,0,10,-2,0,3.6,-1.255,0.5
2,20.0,220.66827602141717,Cesaroni_M1300,6420.952724999999,3.6,0.033,0.011,0.0635,-1.255,1.5,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.32360065979145247,22.422801055048826,22.42857142857143,23.92857142857143,89.72380952380954,91.22380952380954,220.66827602141717,7,419.1444137354017,-0.00018251255941321886,3709.690701826609,2447.965656136255,-0.0002259119221917832,-6.281190619049235,300.0,0,10,-2,0,3.6,-1.255,1.5
3,20.0,220.54280103800934,Cesaroni_M1300,6420.952724999999,3.6,0.033,0.011,0.0635,-1.255,2.5,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.32360065979145247,22.40971251538889,22.41904761904762,23.91904761904762,89.60000000000001,91.10000000000001,220.54280103800934,7,466.2374829499814,2.6403507270368907e-06,3706.171987786797,2505.0860999343186,2.206724767548909e-05,-6.281190619043331,300.0,0,10,-2,0,3.6,-1.255,2.5
4,20.0,220.4230815223622,Cesaroni_M1300,6420.952724999999,3.6,0.033,0.011,0.0635,-1.255,3.5,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.32360065979145247,22.397064470859956,22.400000000000002,23.900000000000002,89.4857142857143,90.9857142857143,220.4230815223622,7,502.2897540528489,3.1441050892349355e-05,3702.8958842012007,2548.3823781689275,5.1620951270807816e-05,-6.281190619022556,300.0,0,10,-2,0,3.6,-1.255,3.5
5,20.0,220.3237413291049,Cesaroni_M1300,6420.952724999999,3.6,0.033,0.011,0.0635,-1.255,4.5,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.32360065979145247,22.38593587263875,22.390476190476193,23.890476190476193,89.3809523809524,90.8809523809524,220.3237413291049,7,531.3564531523657,-1.03793803637443e-05,3700.1207009252485,2583.259861888322,2.326671036266654e-05,-6.281190619043218,300.0,0,10,-2,0,3.6,-1.255,4.5
6,20.0,220.2523431391856,Cesaroni_M1300,6420.952724999999,3.6,0.033,0.011,0.0635,-1.255,5.5,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.32360065979145247,22.378624469625215,22.380952380952383,23.880952380952383,89.31428571428572,90.81428571428572,220.2523431391856,7,548.1694591354873,-0.00016136425706489421,3698.3070520612805,2603.1076532321117,-0.00017785424062974483,-6.281190619025816,300.0,0,10,-2,0,3.6,-1.255,5.5
7,20.0,227.7166830614274,Cesaroni_M1400,6258.825000000001,3.6,0.033,0.011,0.0635,-1.255,0.5,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.35821448885761176,23.264825716545783,23.26666666666667,24.76666666666667,96.77142857142859,98.27142857142859,227.7166830614274,7,202.80561944379693,2.032535163238046e-05,3855.2014928675,2243.043027405256,2.911950007476958e-05,-6.281190619052907,300.0,0,10,-2,0,3.6,-1.255,0.5
8,20.0,227.65458328997835,Cesaroni_M1400,6258.825000000001,3.6,0.033,0.011,0.0635,-1.255,1.5,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.35821448885761176,23.261324874031686,23.26666666666667,24.76666666666667,96.73333333333335,98.23333333333335,227.65458328997835,7,248.0532523942125,-9.952822110311189e-06,3854.3070056395236,2294.521080051742,-1.5890868826556366e-05,-6.281190618964351,300.0,0,10,-2,0,3.6,-1.255,1.5
9,20.0,227.59234104153327,Cesaroni_M1400,6258.825000000001,3.6,0.033,0.011,0.0635,-1.255,2.5,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.35821448885761176,23.254026061813008,23.25714285714286,24.75714285714286,96.66666666666667,98.16666666666667,227.59234104153327,7,316.1325799163512,0.0001931816592026206,3852.3654358160516,2378.4300714717556,0.00022642663034713682,-6.281190618977847,300.0,0,10,-2,0,3.6,-1.255,2.5
10,20.0,227.5122954361448,Cesaroni_M1400,6258.825000000001,3.6,0.033,0.011,0.0635,-1.255,3.5,0.55829,0.71971,0.1,-1.04956,5.2,32.990254,-106.974998,0,0.35821448885761176,23.244676214886592,23.24761904761905,24.74761904761905,96.5809523809524,98.0809523809524,227.5122954361448,7,377.31715827995066,-2.0476137454432742e-05,3849.7734115737762,2453.4876186134447,-2.606579387779279e-05,-6.281190618999592,300.0,0,10,-2,0,3.6,-1.255,3.5
