# Time (s), X (m), Y (m), Z (m), Vx (m/s), Vy (m/s), Vz (m/s), e0, e1, e2, e3, ω1 (rad/s), ω2 (rad/s), ω3 (rad/s), Ax (m/s2), Ay (m/s2), Az (m/s2), α1 (rad/s2), α2 (rad/s2), α3 (rad/s2), R1 (N), R2 (N), R3 (N), M1 (Nm), M2 (Nm), Aerodynamic Spin Moment (N m), Pressure (Pa), Density (kg/m³), Dynamic Viscosity (Pa s), Speed of Sound (m/s), Wind Velocity X (East) (m/s), Wind Velocity Y (North) (m/s), Speed - Velocity Magnitude (m/s), Acceleration Magnitude (m/s²), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Path Angle (°), Latitude (°), Longitude (°), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Spin Angle - φ (°), Dynamic Pressure (Pa), Aerodynamic Lift Force (N), Aerodynamic Drag Force (N), Rotational Kinetic Energy (J), Kinetic Energy (J), ((Scalar*9.80665)*Z (m)), Total Mechanical Energy (J), Thrust Power (W), Drag Power (W)
0.000000,0.000000,0.000000,1400.000000,0.000000,0.000000,0.000000,0.704416,-0.061628,0.061628,-0.704416,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.685442,-0.256559,1.886221,-0.000000,0.000000,85598.771785,0.993995,0.000018,347.220687,10.000000,0.000000,0.000000,0.000000,0.000000,0.000000,32.990254,-106.974998,0.000000,0.000000,49.699771,6.685442,0.256559,0.000000,0.000000,315168.831651,315168.831651,0.000000,-0.000000
0.600000,1.790061,-0.000000,1409.994434,7.110880,0.000000,38.399523,0.704574,-0.059796,0.059796,-0.704574,0.068423,-0.000000,0.000000,15.340412,0.000000,76.238188,0.488496,-0.000000,0.000000,0.000001,13.850777,-3.729436,4.052241,-0.000000,0.000000,85494.086093,0.992780,0.000018,347.220687,10.000000,0.000000,39.052374,77.766227,7.110880,79.508726,32.990254,-106.974968,7.110880,0.000000,736.080356,13.850778,3.729436,0.019401,17125.956746,310547.600723,327673.557469,76802.878352,-145.642701
1.200000,8.409824,0.000000,1447.189477,13.764044,0.000000,86.191221,0.706964,-0.014205,0.014205,-0.706964,0.301244,0.000000,0.000000,3.622536,-0.000001,81.684344,-0.179180,-0.000000,0.000000,0.000004,-1.392407,-17.898864,-1.395457,-0.000002,0.000000,85105.400746,0.988266,0.000018,347.220687,10.000000,0.000000,87.283306,81.764633,13.764044,80.926933,32.990254,-106.974859,13.764044,0.800004,3677.879765,1.230699,17.898864,0.359161,83308.505854,310385.310686,393693.816540,176347.449265,-1562.271781
1.800000,16.507264,-0.000000,1513.561521,12.815582,-0.000001,134.804941,0.707103,-0.002376,0.002376,-0.707103,-0.234715,0.000000,0.000000,0.147025,-0.000005,79.319184,-0.298861,-0.000001,0.000000,0.000016,-9.485322,-42.838233,-2.263870,-0.000006,0.000000,84415.373221,0.980253,0.000018,347.220687,10.000000,0.000000,135.412744,79.319323,12.815582,84.569349,32.990254,-106.974725,12.815582,-20.403547,8910.651069,9.714185,42.838233,0.207363,195162.041004,315955.966546,511118.007549,262700.758501,-5800.842770
2.400000,24.887333,-0.000002,1608.372720,15.063668,-0.000003,180.557473,0.707091,-0.004842,0.004842,-0.707091,0.116386,-0.000000,0.000000,0.230649,0.000005,72.734915,-1.146533,0.000000,0.000000,-0.000003,-18.718821,-76.488845,-8.187980,0.000003,0.000000,83437.546289,0.968899,0.000018,347.220687,10.000000,0.000000,181.184754,72.735281,15.063668,85.230934,32.990254,-106.974586,15.063668,-0.000146,15805.955538,18.720936,76.488845,0.048387,340363.736584,327067.423913,667431.160497,323957.433416,-13858.612542
3.000000,34.129985,-0.000002,1729.442729,16.203607,-0.000001,222.448643,0.707055,-0.008576,0.008576,-0.707055,0.096925,-0.000000,0.000000,1.466758,0.000002,65.903828,-0.602096,-0.000001,0.000000,0.000022,-7.530653,-118.375466,-4.074263,-0.000008,0.000000,82202.255670,0.954554,0.000018,347.220687,10.000000,0.000000,223.038014,65.920148,16.203607,85.833818,32.990254,-106.974433,16.203607,-0.000079,23635.660537,7.531752,118.375466,0.031803,503053.612328,343015.167635,846068.779963,367986.379748,-26402.228801
3.600000,43.975730,-0.000002,1868.579948,16.552179,0.000000,233.920462,0.707060,-0.008221,0.008221,-0.707060,0.012390,-0.000000,0.000000,-0.442745,0.000001,-6.645218,-0.722026,-0.000000,0.000000,0.000003,-10.335608,-130.495672,-4.778465,-0.000001,0.000000,80800.955209,0.938282,0.000018,347.220687,10.000000,0.000000,234.505346,6.660467,16.552179,85.952505,32.990254,-106.974270,16.552179,-0.000141,25690.962893,10.335608,130.495672,0.000508,550635.636752,366962.067962,917597.704714,49246.122672,-30601.932642
4.200000,53.865843,-0.000002,2006.036581,16.423221,0.000000,224.337063,0.707047,-0.009244,0.009244,-0.707047,-0.019199,-0.000000,0.000000,-0.389121,0.000000,-15.628552,-0.298559,0.000000,0.000000,-0.000005,-4.735599,-116.601697,-1.970489,0.000003,0.000000,79435.637171,0.922427,0.000018,347.220687,10.000000,0.000000,224.937414,15.633395,16.423221,85.812972,32.990254,-106.974106,16.423221,-0.000137,23230.587068,4.735801,116.601697,0.001216,505968.401999,393449.972721,899418.374720,0.000000,-26228.084235
4.800000,63.695616,-0.000002,2137.862127,16.326718,-0.000000,215.142760,0.707036,-0.010027,0.010027,-0.707036,-0.016923,-0.000000,0.000000,-0.235523,0.000000,-15.023596,-0.098542,0.000000,0.000000,-0.000004,-1.749857,-104.430539,-0.650378,0.000002,0.000000,78143.858899,0.907427,0.000018,347.220687,10.000000,0.000000,215.761371,15.025442,16.326718,85.660265,32.990254,-106.973943,16.326718,-0.000134,21018.929228,1.750428,104.430539,0.000945,465529.691523,419305.312569,884835.004092,-0.000000,-22532.076194
5.400000,73.470245,-0.000003,2264.276162,16.241660,-0.000000,206.291500,0.707030,-0.010472,0.010471,-0.707030,-0.010399,-0.000000,0.000000,-0.186243,-0.000000,-14.487855,-0.052234,0.000000,0.000000,-0.000001,-0.950573,-93.693351,-0.344744,0.000001,0.000000,76921.137661,0.893228,0.000018,347.220687,10.000000,0.000000,206.929878,14.489053,16.241660,85.498298,32.990254,-106.973781,16.241660,-0.000125,19023.596140,0.971565,93.693351,0.000357,428199.744601,444099.276552,872299.021153,-0.000000,-19387.953771
