# Time (s), X (m), Y (m), Z (m), Vx (m/s), Vy (m/s), Vz (m/s), e0, e1, e2, e3, ω1 (rad/s), ω2 (rad/s), ω3 (rad/s), Ax (m/s2), Ay (m/s2), Az (m/s2), α1 (rad/s2), α2 (rad/s2), α3 (rad/s2), R1 (N), R2 (N), R3 (N), M1 (Nm), M2 (Nm), Aerodynamic Spin Moment (N m), Pressure (Pa), Density (kg/m³), Dynamic Viscosity (Pa s), Speed of Sound (m/s), Wind Velocity X (East) (m/s), Wind Velocity Y (North) (m/s), Speed - Velocity Magnitude (m/s), Acceleration Magnitude (m/s²), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Path Angle (°), Latitude (°), Longitude (°), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Spin Angle - φ (°), Dynamic Pressure (Pa), Aerodynamic Lift Force (N), Aerodynamic Drag Force (N), Rotational Kinetic Energy (J), Kinetic Energy (J), ((Scalar*9.80665)*Z (m)), Total Mechanical Energy (J), Thrust Power (W), Drag Power (W)
0.000000,0.000000,0.000000,1400.000000,0.000000,0.000000,0.000000,0.704416,-0.061628,0.061628,-0.704416,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.685442,-0.256559,5.636976,-0.000000,0.000000,85598.771785,0.993995,0.000018,347.220687,10.000000,0.000000,0.000000,0.000000,0.000000,0.000000,32.990254,-106.974998,0.000000,0.000000,49.699771,6.685442,0.256559,0.000000,0.000000,315168.831651,315168.831651,0.000000,-0.000000
0.600000,1.810553,0.000000,1409.990913,7.213469,0.000000,38.378332,0.704584,-0.059678,0.059678,-0.704584,0.055463,-0.000000,0.000000,15.295332,0.000000,76.253841,0.311073,-0.000000,0.000000,0.000001,13.670779,-3.724019,10.539684,-0.000001,0.000000,85494.122945,0.992780,0.000018,347.220687,10.000000,0.000000,39.050358,77.772716,7.213469,79.355063,32.990254,-106.974968,7.213469,-0.000000,734.985527,13.670779,3.724019,0.051507,17124.268342,310547.228422,327671.496764,76804.245984,-145.424283
1.200000,8.618613,0.000000,1447.156934,14.652672,0.000000,86.086720,0.706623,-0.026152,0.026152,-0.706623,0.243055,0.000000,0.000000,6.986660,-0.000000,81.489820,0.092639,0.000000,0.000000,-0.000002,5.396389,-17.874292,3.014895,0.000001,0.000000,85105.740198,0.988270,0.000018,347.220687,10.000000,0.000000,87.324820,81.788777,14.652672,80.340357,32.990254,-106.974855,14.652672,0.050960,3672.693882,5.271395,17.874292,0.814811,83388.219806,310378.325767,393766.545573,176430.297297,-1560.868913
1.800000,17.812074,0.000000,1513.458795,14.963170,-0.000001,134.691880,0.707100,0.003128,-0.003128,-0.707100,-0.086143,0.000000,0.000000,-2.282517,-0.000002,79.302690,-0.903653,0.000001,0.000000,-0.000020,-32.010006,-42.806436,-19.514671,0.000012,0.000000,84416.437681,0.980266,0.000018,347.220687,10.000000,0.000000,135.520475,79.335514,14.963170,83.660896,32.990254,-106.974703,14.963170,-198.552491,8904.017400,32.005536,42.806436,0.079528,195472.627121,315934.593000,511407.220121,262908.873621,-5801.148717
2.400000,27.094092,-0.000001,1608.208810,17.084584,-0.000003,180.425900,0.706770,-0.021826,0.021826,-0.706770,0.103255,-0.000000,0.000000,6.452777,0.000000,72.490365,0.972871,0.000000,0.000000,0.000001,28.476960,-76.435144,15.027258,0.000000,0.000000,83439.228815,0.968918,0.000018,347.220687,10.000000,0.000000,181.232967,72.776994,17.084584,84.590774,32.990254,-106.974549,17.084584,-0.000016,15795.158175,28.503968,76.435144,0.081594,340544.755237,327033.936406,667578.691643,324038.725996,-13852.567733
3.000000,37.858818,-0.000002,1729.190967,18.568006,0.000001,222.306380,0.706899,-0.017174,0.017174,-0.706899,-0.087729,-0.000000,0.000000,4.681700,0.000006,65.767355,1.134001,0.000000,0.000000,0.000000,20.172706,-118.302773,10.506332,0.000000,0.000000,82204.808964,0.954584,0.000018,347.220687,10.000000,0.000000,223.080473,65.933778,18.568006,85.225487,32.990254,-106.974371,18.568006,-0.000139,23622.865279,20.172667,118.302773,0.035912,503245.833076,342965.692055,846211.525131,367988.611715,-26391.038624
3.600000,49.405002,-0.000000,1868.231794,19.429876,0.000003,233.757717,0.706912,-0.016644,0.016644,-0.706912,-0.011309,-0.000000,0.000000,0.860688,-0.000003,-7.119720,0.989930,-0.000001,0.000000,0.000022,14.679572,-130.418332,6.806783,-0.000010,0.000000,80804.437287,0.938322,0.000018,347.220687,10.000000,0.000000,234.563830,7.183410,19.429876,85.248513,32.990254,-106.974180,19.429876,-0.000164,25677.938542,14.679572,130.418332,0.000442,550910.321736,366893.695554,917804.017290,49258.404370,-30591.423401
4.200000,61.025972,0.000002,2005.590787,19.307453,0.000003,224.175154,0.706932,-0.015780,0.015780,-0.706932,0.027391,-0.000000,0.000000,0.039140,-0.000002,-15.641048,0.373839,0.000000,0.000000,-0.000002,5.988727,-116.536802,2.467336,0.000001,0.000000,79440.034713,0.922479,0.000018,347.220687,10.000000,0.000000,225.005060,15.641096,19.307453,85.077454,32.990254,-106.973988,19.307453,-0.000193,23219.305505,5.989106,116.536802,0.002476,506272.774949,393362.537910,899635.312858,-0.000090,-26221.370084
4.800000,72.558691,0.000003,2137.320707,19.165133,0.000002,214.984141,0.706939,-0.015474,0.015474,-0.706939,0.021088,-0.000000,0.000000,-0.130788,-0.000001,-15.024762,0.107532,0.000000,0.000000,-0.000000,1.953224,-104.376738,0.709714,0.000000,0.000000,78149.129343,0.907488,0.000018,347.220687,10.000000,0.000000,215.836705,15.025331,19.165133,84.905735,32.990254,-106.973797,19.165133,-0.000205,21009.341750,1.951956,104.376738,0.001468,465854.835010,419199.122184,885053.957194,-0.000000,-22528.331243
5.400000,84.009897,0.000005,2263.640996,19.030005,0.000002,206.136142,0.706933,-0.015715,0.015715,-0.706933,0.011308,0.000000,0.000000,-0.157209,-0.000001,-14.486752,0.055782,-0.000000,0.000000,0.000003,1.018365,-93.649294,0.368159,-0.000001,0.000000,76927.242245,0.893299,0.000018,347.220687,10.000000,0.000000,207.012681,14.487605,19.030005,84.725538,32.990254,-106.973607,19.030005,-0.000192,19015.506918,0.999377,93.649294,0.000422,428542.503388,443974.699528,872517.202916,0.000000,-19386.591468
