# Time (s), X (m), Y (m), Z (m), Vx (m/s), Vy (m/s), Vz (m/s), e0, e1, e2, e3, ω1 (rad/s), ω2 (rad/s), ω3 (rad/s), Ax (m/s2), Ay (m/s2), Az (m/s2), α1 (rad/s2), α2 (rad/s2), α3 (rad/s2), R1 (N), R2 (N), R3 (N), M1 (Nm), M2 (Nm), Aerodynamic Spin Moment (N m), Pressure (Pa), Density (kg/m³), Dynamic Viscosity (Pa s), Speed of Sound (m/s), Wind Velocity X (East) (m/s), Wind Velocity Y (North) (m/s), Speed - Velocity Magnitude (m/s), Acceleration Magnitude (m/s²), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Path Angle (°), Latitude (°), Longitude (°), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Spin Angle - φ (°), Dynamic Pressure (Pa), Aerodynamic Lift Force (N), Aerodynamic Drag Force (N), Rotational Kinetic Energy (J), Kinetic Energy (J), ((Scalar*9.80665)*Z (m)), Total Mechanical Energy (J), Thrust Power (W), Drag Power (W)
0.000000,0.000000,0.000000,1400.000000,0.000000,0.000000,0.000000,0.704416,-0.061628,0.061628,-0.704416,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,45.230532,-1.730419,12.787584,-0.000000,0.000000,85598.771785,0.993995,0.000018,347.220687,26.000000,0.000000,0.000000,0.000000,0.000000,0.000000,32.990254,-106.974998,0.000000,0.000000,335.970453,45.230532,1.730419,0.000000,0.000000,315168.831651,315168.831651,0.000000,-0.000000
0.600000,2.800163,0.000000,1415.335876,10.703370,0.000000,58.448433,0.705885,-0.041544,0.041544,-0.705885,0.432059,-0.000000,0.000000,16.803783,0.000003,113.116002,1.732154,-0.000002,0.000000,0.000061,51.923327,-8.968326,14.879982,-0.000018,0.000000,85438.180217,0.992131,0.000018,347.220687,26.000000,0.000000,59.420379,114.357322,10.703370,79.622691,32.990254,-106.974952,10.703370,-0.001446,1810.740638,51.923327,8.968326,0.763045,39328.642564,309200.277316,348528.919880,164733.621230,-532.901309
1.200000,9.468055,0.000003,1469.780562,7.683867,0.000014,113.996843,0.699811,0.101314,-0.101314,-0.699811,0.364694,0.000001,0.000000,-17.267178,0.000025,37.606546,-3.170047,0.000006,0.000000,-0.000155,-66.872891,-31.655995,-24.372446,0.000049,0.000000,84870.024978,0.985533,0.000018,347.220687,26.000000,0.000000,114.255512,41.381232,7.683867,86.143857,32.990254,-106.974841,7.683867,-179.999934,6568.952315,66.872891,31.655995,0.516626,141268.679206,311955.870778,453224.549984,128158.139089,-3616.871600
1.800000,11.218079,0.000013,1545.100833,-0.049595,0.000013,137.656216,0.706062,0.038436,-0.038435,-0.706062,-0.207311,0.000002,0.000000,-2.830839,-0.000040,42.141960,3.013398,-0.000007,0.000000,0.000106,59.970301,-46.064561,22.619673,-0.000048,0.000000,84089.070929,0.976464,0.000018,347.220687,26.000000,0.000000,137.656225,42.236922,0.034484,89.985701,32.990254,-106.974812,0.034484,-180.000270,9582.931215,59.970297,46.064561,0.162375,202060.152911,323144.013721,525204.166632,158848.503196,-6341.073605
2.400000,10.144367,0.000012,1635.279214,-5.177603,-0.000017,162.681364,0.702253,0.082733,-0.082732,-0.702253,-0.147600,0.000001,0.000000,-14.295730,-0.000071,40.296443,-2.335819,-0.000007,0.000000,0.000124,-47.688088,-63.847763,-17.251165,-0.000052,0.000000,83161.725865,0.965696,0.000018,347.220687,26.000000,0.000000,162.763736,42.757114,5.177603,88.177083,32.990254,-106.974830,5.177603,-180.000374,13248.027856,47.683511,63.847763,0.079934,278280.465559,336906.883632,615187.349191,188386.201177,-10392.100357
3.000000,5.307403,-0.000014,1740.180356,-10.500855,-0.000068,186.693131,0.703309,0.073204,-0.073203,-0.703309,0.200417,-0.000000,0.000000,-10.932262,-0.000052,37.202417,-1.385289,0.000008,0.000000,-0.000138,-20.806278,-83.858428,-9.725857,0.000058,0.000000,82093.417444,0.953290,0.000018,347.220687,26.000000,0.000000,186.988217,38.775439,10.500855,86.780699,32.990254,-106.974910,10.500855,-180.000357,17248.185841,20.716618,83.858428,0.143053,362006.124382,353372.053380,715378.177762,202513.708002,-15680.538130
3.600000,-2.811312,-0.000064,1858.561365,-15.962343,-0.000097,207.431597,0.703564,0.070707,-0.070706,-0.703564,0.150450,0.000001,0.000000,-8.460863,-0.000027,31.378768,-0.287688,0.000014,0.000000,-0.000248,-1.800556,-104.138732,-1.891946,0.000100,0.000000,80901.205100,0.939446,0.000018,347.220687,26.000000,0.000000,208.044861,32.691620,15.962343,85.599629,32.990254,-106.975045,15.962343,-180.000259,21038.286313,1.800556,104.138732,0.078275,441984.610299,372237.963467,814222.573765,201624.960262,-21665.527945
4.200000,-12.264059,-0.000121,1980.356640,-15.400629,-0.000094,198.637120,0.703365,0.072658,-0.072657,-0.703365,0.092179,0.000000,0.000000,0.911099,0.000013,-14.394368,-0.159553,0.000010,0.000000,-0.000159,-0.919202,-93.541745,-1.053049,0.000068,0.000000,79689.279267,0.925373,0.000018,347.220687,26.000000,0.000000,199.233242,14.423174,15.400629,85.566643,32.990254,-106.975201,15.400629,-180.000272,19049.131937,1.270624,93.541745,0.028575,400235.454625,391639.063097,791874.517722,163856.441937,-18636.625119
4.800000,-21.370807,-0.000177,2096.970917,-14.868318,-0.000091,190.143678,0.703211,0.074133,-0.074133,-0.703211,0.059136,0.000000,0.000000,0.981687,0.000008,-13.898544,0.080584,0.000005,0.000000,-0.000073,2.136897,-84.132957,0.531855,0.000031,0.000000,78542.724384,0.912059,0.000018,347.220687,26.000000,0.000000,190.724107,13.933171,14.868318,85.528845,32.990254,-106.975352,14.868318,-180.000311,17249.237011,2.101715,84.132957,0.011554,363948.322880,411501.675370,775449.998250,43152.046162,-16046.183152
5.400000,-30.155355,-0.000230,2208.573175,-14.373674,-0.000088,181.915632,0.703010,0.076019,-0.076018,-0.703010,0.029848,-0.000000,0.000000,0.989291,0.000006,-13.466368,0.211268,0.000003,0.000000,-0.000044,3.681996,-75.731993,1.394368,0.000021,0.000000,77457.992738,0.899463,0.000018,347.220687,26.000000,0.000000,182.482601,13.502658,14.373674,85.482282,32.990254,-106.975497,14.373674,-180.000317,15616.167925,3.672685,75.731993,0.002940,332998.998703,433174.082628,766173.081332,-0.000338,-13819.771062
