# Time (s), X (m), Y (m), Z (m), Vx (m/s), Vy (m/s), Vz (m/s), e0, e1, e2, e3, ω1 (rad/s), ω2 (rad/s), ω3 (rad/s), Ax (m/s2), Ay (m/s2), Az (m/s2), α1 (rad/s2), α2 (rad/s2), α3 (rad/s2), R1 (N), R2 (N), R3 (N), M1 (Nm), M2 (Nm), Aerodynamic Spin Moment (N m), Pressure (Pa), Density (kg/m³), Dynamic Viscosity (Pa s), Speed of Sound (m/s), Wind Velocity X (East) (m/s), Wind Velocity Y (North) (m/s), Speed - Velocity Magnitude (m/s), Acceleration Magnitude (m/s²), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Path Angle (°), Latitude (°), Longitude (°), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Spin Angle - φ (°), Dynamic Pressure (Pa), Aerodynamic Lift Force (N), Aerodynamic Drag Force (N), Rotational Kinetic Energy (J), Kinetic Energy (J), ((Scalar*9.80665)*Z (m)), Total Mechanical Energy (J), Thrust Power (W), Drag Power (W)
0.000000,0.000000,0.000000,1400.000000,0.000000,0.000000,0.000000,0.704416,-0.061628,0.061628,-0.704416,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-122.176395,0.000000,-5.060466,0.000000,34.708656,0.000000,85598.771785,0.993995,0.000018,347.220687,0.000000,45.000000,0.000000,0.000000,0.000000,0.000000,32.990254,-106.974998,0.000000,0.000000,1006.420367,122.176395,5.060466,0.000000,0.000000,315168.831651,315168.831651,0.000000,-0.000000
0.600000,4.048043,-0.064796,1422.353515,14.366030,-2.582154,78.011070,0.691862,0.023122,0.146328,-0.706664,-0.010611,1.326208,0.000000,26.736418,-33.302992,141.206521,-0.063409,2.900901,0.000000,-96.878152,-1.790997,-20.580513,-0.531777,26.193489,0.000000,85364.775524,0.991278,0.000018,347.220687,0.000000,45.000000,79.364837,147.523584,14.596245,79.402221,32.990253,-106.974931,14.596245,53.372969,4240.773071,96.895231,20.580513,7.047488,69364.717533,307182.481705,376547.199238,276225.901395,-1633.368887
1.200000,17.143020,-15.753138,1491.990100,28.675375,-56.957561,149.185068,0.650489,0.157350,0.284317,-0.686488,-0.008708,-1.062612,0.000000,23.769838,-94.540188,111.315357,0.139286,-1.774964,0.000000,58.435285,2.441665,-79.668328,1.002490,-15.441778,0.000000,84639.138635,0.982852,0.000018,347.220687,0.000000,45.000000,162.242487,147.966276,63.768650,66.855880,32.990112,-106.974714,63.768650,72.419227,16449.897544,56.497087,79.668328,4.143305,276530.958651,307414.706746,583945.665397,542601.419183,-12925.566692
1.800000,38.801637,-63.846456,1602.661824,42.905316,-104.108656,216.185369,0.657664,0.139073,0.269305,-0.689647,-0.002157,-0.591396,0.000000,16.844756,-55.745248,74.572777,0.104776,2.757657,0.000000,-24.602121,1.435736,-175.173541,0.695924,17.453400,0.000000,83496.184291,0.969580,0.000018,347.220687,0.000000,45.000000,243.753138,94.617025,112.603190,62.486612,32.989680,-106.974356,112.603190,70.952663,34328.146690,25.159392,175.173541,1.167347,597087.180292,315885.014427,912972.194719,544991.127362,-42699.100361
2.400000,65.203487,-128.153689,1733.959107,43.743750,-106.034300,214.644075,0.656668,0.141159,0.273447,-0.688543,-0.007169,0.299698,0.000000,-1.376575,5.614712,-16.264376,-0.060212,0.897021,0.000000,-18.697290,-0.986992,-172.331760,-0.397396,5.920337,0.000000,82156.462740,0.954022,0.000018,347.220687,0.000000,45.000000,243.369816,17.261240,114.703044,61.880524,32.989102,-106.973918,114.703044,70.946247,33770.941133,19.022879,172.331760,0.296558,592288.970482,340086.601626,932375.572108,-0.000000,-41940.348677
3.000000,91.189698,-190.984629,1859.717031,42.897499,-103.340754,204.677320,0.652819,0.149949,0.284893,-0.685696,-0.009013,-0.020977,0.000000,-1.443885,3.592038,-16.818432,0.017490,-1.796140,0.000000,25.787307,0.068374,-158.101429,0.115436,-11.854523,0.000000,80889.635911,0.939312,0.000018,347.220687,0.000000,45.000000,233.264468,17.258249,111.890602,61.335971,32.988537,-106.973488,111.890602,71.352308,30874.226904,25.788585,158.101429,0.001724,544123.122988,364751.880437,908875.003425,-0.000000,-36879.445768
3.600000,116.695368,-252.177208,1979.661661,42.125279,-100.695167,195.173820,0.652961,0.148926,0.286898,-0.684948,-0.007126,-0.041356,0.000000,-1.209712,4.508238,-15.377821,0.007754,0.472674,0.000000,-5.977727,-0.024394,-145.239394,0.051179,3.119646,0.000000,79696.152708,0.925453,0.000018,347.220687,0.000000,45.000000,223.622172,16.070628,109.151527,60.783770,32.987986,-106.973066,109.151527,71.063775,28270.006432,6.244745,145.239394,0.005810,500068.763752,388276.980608,888345.744360,-0.000000,-32478.748767
4.200000,141.754153,-311.816746,2094.018535,41.409369,-98.165891,186.050052,0.651422,0.151859,0.292798,-0.683270,-0.007819,0.030497,0.000000,-1.124982,4.240657,-14.778855,-0.004348,0.446538,0.000000,-7.019764,-0.205262,-132.436066,-0.028696,2.947148,0.000000,78571.586507,0.912394,0.000018,347.220687,0.000000,45.000000,214.396595,15.416333,106.542377,60.202201,32.987450,-106.972651,106.542377,71.046591,25923.770450,7.022410,132.436066,0.003271,459659.002059,410706.137401,870365.139461,-0.000000,-28393.841632
4.800000,166.396866,-370.015144,2202.988745,40.742803,-95.851032,177.242668,0.649298,0.156002,0.300065,-0.681202,-0.008701,0.043314,0.000000,-1.064400,3.764341,-14.379722,-0.004113,0.096663,0.000000,-2.170369,-0.212040,-120.340033,-0.027145,0.637976,0.000000,77511.981343,0.900089,0.000018,347.220687,0.000000,45.000000,205.578111,14.902336,104.150835,59.560774,32.986927,-106.972243,104.150835,71.095954,23813.646223,2.189061,120.340033,0.006441,422623.602359,432078.791434,854702.393793,0.000000,-24739.276646
5.400000,190.653730,-426.880319,2306.762676,40.122806,-93.712116,168.727802,0.647192,0.159926,0.307312,-0.679063,-0.009301,0.038119,0.000000,-0.997382,3.439380,-13.959880,-0.002383,-0.016070,0.000000,-0.400754,-0.190922,-109.677582,-0.015727,-0.106063,0.000000,76513.689319,0.888497,0.000018,347.220687,0.000000,45.000000,197.131609,14.411883,101.940180,58.860912,32.986415,-106.971841,101.940180,71.115956,21910.320529,0.408459,109.677582,0.005080,388608.718903,452432.283994,841041.002897,-0.000000,-21620.918215
