# Time (s), X (m), Y (m), Z (m), Vx (m/s), Vy (m/s), Vz (m/s), e0, e1, e2, e3, ω1 (rad/s), ω2 (rad/s), ω3 (rad/s), Ax (m/s2), Ay (m/s2), Az (m/s2), α1 (rad/s2), α2 (rad/s2), α3 (rad/s2), R1 (N), R2 (N), R3 (N), M1 (Nm), M2 (Nm), Aerodynamic Spin Moment (N m), Pressure (Pa), Density (kg/m³), Dynamic Viscosity (Pa s), Speed of Sound (m/s), Wind Velocity X (East) (m/s), Wind Velocity Y (North) (m/s), Speed - Velocity Magnitude (m/s), Acceleration Magnitude (m/s²), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Path Angle (°), Latitude (°), Longitude (°), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Spin Angle - φ (°), Dynamic Pressure (Pa), Aerodynamic Lift Force (N), Aerodynamic Drag Force (N), Rotational Kinetic Energy (J), Kinetic Energy (J), ((Scalar*9.80665)*Z (m)), Total Mechanical Energy (J), Thrust Power (W), Drag Power (W)
0.000000,0.000000,0.000000,1400.000000,0.000000,0.000000,0.000000,0.704416,-0.061628,0.061628,-0.704416,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-227.690887,215.262481,-11.742659,61.763065,65.329021,0.000000,85598.771785,0.993995,0.000018,347.220687,48.000000,50.000000,0.000000,0.000000,0.000000,0.000000,32.990254,-106.974998,0.000000,0.000000,2387.577009,313.338596,11.742659,0.000000,0.000000,315168.831651,315168.831651,0.000000,-0.000000
0.600000,3.930201,-0.111584,1422.295282,10.576601,-3.925534,77.890322,0.684830,0.169738,0.066927,-0.705496,1.611045,1.716726,0.000000,-19.133434,-47.310328,138.479096,2.377618,2.584055,0.000000,-98.642106,91.363109,-24.870504,22.631236,24.520322,0.000000,85365.384430,0.991285,0.000018,347.220687,48.000000,50.000000,78.703090,147.583276,11.281562,81.758632,32.990253,-106.974933,11.281562,112.629366,5142.478986,134.489131,24.870504,22.207405,68228.087268,307169.890212,375397.977480,273922.854261,-1957.385821
1.200000,-1.528363,-18.569173,1487.182294,-33.724020,-61.782469,131.711367,0.633390,0.380767,0.072183,-0.669814,-1.183753,-1.247387,0.000000,-63.842882,-88.980223,99.781539,2.571179,2.592296,0.000000,-18.954790,20.076148,-87.369650,16.181015,16.191394,0.000000,84689.076533,0.983432,0.000018,347.220687,48.000000,50.000000,149.339437,148.154436,70.387379,61.879674,32.990087,-106.975023,70.387379,122.664712,17958.458344,23.329431,87.369650,10.851338,234303.155850,306424.790823,540727.946673,499471.302576,-13047.732531
1.800000,-31.623147,-70.080372,1585.001536,-68.205079,-110.703583,189.301171,0.639436,0.363694,0.073263,-0.673436,-0.361157,-0.382357,0.000000,-35.772035,-53.700435,69.570882,8.576034,9.028682,0.000000,-117.086576,111.267534,-185.811447,56.664398,59.651731,0.000000,83677.726719,0.971688,0.000018,347.220687,48.000000,50.000000,229.656590,94.886681,130.027751,55.515490,32.989624,-106.975522,130.027751,122.127211,36518.063750,161.523145,185.811447,0.923297,530023.629472,312404.303069,842427.932542,513528.382384,-42672.823696
2.400000,-73.818977,-138.434731,1699.783780,-69.418329,-112.721473,187.213762,0.627113,0.400505,0.074464,-0.663939,0.217484,0.240156,0.000000,2.312556,4.190448,-18.253074,-3.524867,-3.701770,0.000000,45.791320,-43.841049,-183.522394,-23.264125,-24.431684,0.000000,82503.490504,0.958052,0.000018,347.220687,48.000000,50.000000,229.290269,18.870146,132.382154,54.735195,32.989009,-106.976220,132.382154,122.833696,36077.532126,63.406656,183.522394,0.346420,525740.623191,333383.692139,859124.315330,-0.000000,-42079.899146
3.000000,-114.846599,-205.161075,1809.154878,-67.303429,-109.684989,177.502358,0.628378,0.398034,0.075907,-0.664066,-0.120253,-0.120489,0.000000,3.932823,5.295476,-15.157191,0.649498,0.666165,0.000000,-6.825721,6.598109,-169.599878,4.286688,4.396690,0.000000,81397.060003,0.945204,0.000018,347.220687,48.000000,50.000000,219.243324,16.530264,128.687794,54.058188,32.988409,-106.976900,128.687794,122.621372,33224.519211,9.482281,169.599878,0.095628,480676.448825,354834.973681,835511.422506,-0.000000,-37183.641025
3.600000,-154.535832,-270.036171,1912.958310,-65.058953,-106.630742,168.505253,0.626547,0.404082,0.077287,-0.661980,0.063998,0.075003,0.000000,3.812364,5.083854,-14.470825,0.596162,0.641243,0.000000,-10.535657,9.682096,-156.997681,3.934667,4.232201,0.000000,80358.096718,0.933139,0.000018,347.220687,48.000000,50.000000,209.754148,15.804572,124.911098,53.450865,32.987826,-106.977557,124.911098,122.596826,30658.076354,14.311244,156.997681,0.032080,439968.059418,375194.252306,815162.311724,0.000000,-32930.914773
4.200000,-192.968672,-333.173430,2011.385856,-63.046817,-103.836403,159.668033,0.622606,0.415757,0.078794,-0.658280,0.036770,0.047440,0.000000,3.089355,4.391989,-14.731253,-0.379807,-0.399084,0.000000,4.804248,-4.731086,-145.561744,-2.506726,-2.633953,0.000000,79382.884463,0.921815,0.000018,347.220687,48.000000,50.000000,200.625972,15.679396,121.477980,52.735545,32.987258,-106.978193,121.477980,122.673236,28341.621172,6.833048,145.561744,0.011895,402507.817027,394499.142192,797006.959219,0.000000,-29203.466382
4.800000,-230.226870,-394.681402,2104.597781,-61.159697,-101.211830,151.094371,0.620093,0.423449,0.080365,-0.655553,0.005516,0.014540,0.000000,2.979787,4.181214,-14.147444,-0.157540,-0.168216,0.000000,2.164317,-2.175033,-134.431488,-1.039762,-1.110223,0.000000,78468.204806,0.911193,0.000018,347.220687,48.000000,50.000000,191.869362,15.050310,118.255415,51.951159,32.986705,-106.978810,118.255415,122.661489,26247.092838,3.095442,134.431488,0.000798,368138.521473,412781.076577,780919.598050,0.000000,-25793.283843
5.400000,-266.380899,-454.659514,2192.762417,-59.382126,-98.749489,142.819591,0.617505,0.431233,0.081996,-0.652714,0.008283,0.017709,0.000000,2.867967,3.968444,-13.567767,0.024737,0.025575,0.000000,-0.685197,0.506845,-123.477906,0.163264,0.168797,0.000000,77610.925401,0.901238,0.000018,347.220687,48.000000,50.000000,183.507858,14.424219,115.228896,51.102912,32.986166,-106.979409,115.228896,122.646353,24358.117365,0.731038,123.477906,0.001261,336751.341884,430073.071136,766824.413020,-0.000000,-22659.166077
6.000000,-301.503555,-513.209086,2276.038651,-57.717898,-96.445727,134.796984,0.614477,0.440008,0.083696,-0.649491,0.015054,0.025284,0.000000,2.700676,3.727699,-13.154104,0.047442,0.050571,0.000000,-1.174345,0.954293,-113.821303,0.313120,0.333770,0.000000,76808.159206,0.891917,0.000018,347.220687,48.000000,50.000000,175.508863,13.936277,112.397215,50.177778,32.985639,-106.979990,112.397215,122.643408,22651.491840,1.508678,113.821303,0.002857,308033.611558,446406.288758,754439.900316,0.000000,-19976.647465
6.600000,-335.660752,-570.421263,2354.566542,-56.158396,-94.286103,126.993067,0.611147,0.449377,0.085468,-0.645978,0.018521,0.029411,0.000000,2.531606,3.497658,-12.815523,0.031950,0.034526,0.000000,-0.995456,0.778313,-105.244814,0.210868,0.227873,0.000000,76057.338431,0.883198,0.000018,347.220687,48.000000,50.000000,167.841811,13.523323,109.743495,49.167435,32.985125,-106.980556,109.743495,122.644341,21106.082315,1.263945,105.244814,0.003987,281708.739569,461808.199607,743516.939176,-0.000000,-17664.480113
7.200000,-368.911265,-626.377368,2428.471259,-54.692289,-92.255268,119.385467,0.607583,0.459141,0.087314,-0.642217,0.020111,0.031560,0.000000,2.379586,3.290888,-12.512544,0.019292,0.021166,0.000000,-0.817574,0.607756,-97.592901,0.127330,0.139693,0.000000,75356.160033,0.875056,0.000018,347.220687,48.000000,50.000000,160.484175,13.155080,107.248687,48.065392,32.984622,-106.981106,107.248687,122.645377,19704.131505,1.018721,97.592901,0.004622,257551.709803,476303.353484,733855.063287,0.000000,-15662.116153
7.800000,-401.307752,-681.150340,2497.865357,-53.309692,-90.339935,111.955369,0.603779,0.469275,0.089232,-0.638203,0.021141,0.033117,0.000000,2.244339,3.106035,-12.237370,0.011480,0.012944,0.000000,-0.703584,0.497573,-90.753330,0.075768,0.085428,0.000000,74702.550392,0.867466,0.000018,347.220687,48.000000,50.000000,153.418486,12.823328,104.896268,46.864472,32.984129,-106.981643,104.896268,122.646112,18430.589474,0.861747,90.753330,0.005094,235372.322761,489913.826045,725286.148806,0.000000,-13923.238423
8.400000,-432.897553,-734.805758,2562.850234,-52.001855,-88.528139,104.685583,0.599723,0.479781,0.091225,-0.633919,0.022136,0.034657,0.000000,2.123900,2.940601,-11.986862,0.007046,0.008231,0.000000,-0.640190,0.435984,-84.638841,0.046502,0.054327,0.000000,74094.639990,0.860406,0.000018,347.220687,48.000000,50.000000,146.630473,12.523696,102.671439,45.556520,32.983647,-106.982166,102.671439,122.646546,17272.438570,0.774548,84.638841,0.005581,215004.962321,502659.504872,717664.467193,0.000000,-12410.633379
9.000000,-463.723311,-787.402702,2623.517525,-50.761739,-86.810135,97.561228,0.595399,0.490662,0.093291,-0.629350,0.023089,0.036164,0.000000,2.015353,2.790908,-11.757444,0.004929,0.005968,0.000000,-0.612241,0.407938,-79.131621,0.032532,0.039387,0.000000,73530.740492,0.853858,0.000018,347.220687,48.000000,50.000000,140.110481,12.251054,100.562188,44.132212,32.983174,-106.982676,100.562188,122.646768,16218.648236,0.735698,79.131621,0.006075,196309.473977,514558.362682,710867.836659,-0.000000,-11087.169414
9.600000,-493.823747,-838.994823,2679.950589,-49.583225,-85.177435,90.569345,0.590780,0.501937,0.095431,-0.624471,0.023954,0.037594,0.000000,1.916039,2.654260,-11.548928,0.002152,0.002987,0.000000,-0.571460,0.367924,-74.162498,0.014201,0.019711,0.000000,73009.322497,0.847803,0.000018,347.220687,48.000000,50.000000,133.852523,12.003917,98.558063,42.581271,32.982710,-106.983175,98.558063,122.647077,15259.711896,0.679658,74.162498,0.006557,179164.985292,525626.748946,704791.734238,-0.000000,-9926.837514
10.200000,-523.234134,-889.630990,2732.225466,-48.460522,-83.622172,83.698819,0.585853,0.513598,0.097642,-0.619268,0.025184,0.039423,0.000000,1.826452,2.531386,-11.360041,-0.001540,-0.000836,0.000000,-0.522462,0.318284,-69.729413,-0.010161,-0.005521,0.000000,72528.999514,0.842226,0.000018,347.220687,48.000000,50.000000,127.853753,11.781102,96.649314,40.892737,32.982254,-106.983662,96.649314,122.647456,14387.326201,0.611777,69.729413,0.007222,163465.829649,535879.577278,699345.406927,-0.000000,-8915.167142
10.800000,-551.986241,-939.355190,2780.411325,-47.387647,-82.136043,76.938505,0.580623,0.525593,0.099924,-0.613740,0.026718,0.041551,0.000000,1.747739,2.422130,-11.183626,-0.000974,-0.000043,0.000000,-0.547790,0.337621,-65.775139,-0.006426,-0.000286,0.000000,72088.517560,0.837111,0.000018,347.220687,48.000000,50.000000,122.112457,11.575612,94.825728,39.054749,32.981807,-106.984138,94.825728,122.647377,13593.955648,0.643476,65.775139,0.008053,149114.530738,545330.414353,694444.945091,-0.000000,-8031.963915
