# Time (s), X (m), Y (m), Z (m), Vx (m/s), Vy (m/s), Vz (m/s), e0, e1, e2, e3, ω1 (rad/s), ω2 (rad/s), ω3 (rad/s), Ax (m/s2), Ay (m/s2), Az (m/s2), α1 (rad/s2), α2 (rad/s2), α3 (rad/s2), R1 (N), R2 (N), R3 (N), M1 (Nm), M2 (Nm), Aerodynamic Spin Moment (N m), Pressure (Pa), Density (kg/m³), Dynamic Viscosity (Pa s), Speed of Sound (m/s), Wind Velocity X (East) (m/s), Wind Velocity Y (North) (m/s), Speed - Velocity Magnitude (m/s), Acceleration Magnitude (m/s²), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Path Angle (°), Latitude (°), Longitude (°), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Spin Angle - φ (°), Dynamic Pressure (Pa), Aerodynamic Lift Force (N), Aerodynamic Drag Force (N), Rotational Kinetic Energy (J), Kinetic Energy (J), ((Scalar*9.80665)*Z (m)), Total Mechanical Energy (J), Thrust Power (W), Drag Power (W)
0.000000,0.000000,0.000000,1471.466078,0.000000,0.000000,0.000000,0.704416,-0.061628,0.061628,-0.704416,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.728202,0.180901,-0.025567,0.055068,0.221852,0.000000,85037.503364,1.050893,0.000018,336.580678,0.829079,3.286335,0.000000,0.000000,0.000000,0.000000,32.990254,-106.974998,0.000000,0.000000,6.035996,0.750335,0.025567,0.000000,0.000000,417838.234509,417838.234509,0.000000,-0.000000
0.600000,2.127812,0.002159,1483.266957,8.342358,0.006572,45.033252,0.704310,-0.059832,0.062823,-0.704571,0.007305,0.039877,0.000000,16.934934,-0.216585,86.548249,0.028506,0.210376,0.000000,-5.746336,0.850225,-5.512911,0.246667,1.796311,0.000000,84917.657247,1.049671,0.000018,336.538259,0.912924,3.309759,45.799440,88.189784,8.342360,79.504994,32.990254,-106.974963,8.342360,1.386285,1099.059142,5.808895,5.512911,0.006748,29656.923436,411316.050684,440972.974120,126971.055766,-252.488198
1.200000,9.998196,-0.247654,1525.015028,16.666573,-1.081189,87.304771,0.702444,-0.038736,0.080793,-0.706077,-0.003804,0.103587,0.000000,6.648792,-2.491380,29.400916,-0.068358,-0.192248,0.000000,3.031653,-1.469560,-19.989700,-0.535156,-1.422865,0.000000,84500.212009,1.045379,0.000018,336.391827,1.332135,3.421033,88.887945,30.246112,16.701605,79.170033,32.990252,-106.974832,16.701605,19.236638,4117.507730,3.368994,19.989700,0.041843,109205.133420,413410.928105,522616.061525,99657.730765,-1776.843342
1.800000,21.228489,-1.456027,1582.759513,20.847137,-2.967034,105.296812,0.702061,-0.040732,0.086366,-0.705685,-0.018208,-0.070931,0.000000,7.397896,-2.718909,30.607630,0.055870,-0.032953,0.000000,1.601274,1.032311,-28.804872,0.409254,-0.302792,0.000000,83922.816213,1.039443,0.000018,336.189287,1.911974,3.574942,107.381679,31.606144,21.057218,78.691190,32.990241,-106.974646,21.057218,19.602857,5970.951597,1.887654,28.804872,0.020294,157548.289421,424149.401161,581697.690582,123913.168377,-3093.115574
2.400000,35.094335,-3.621961,1651.514108,25.369880,-4.220869,123.917569,0.702226,-0.042391,0.085151,-0.705571,0.004218,0.066360,0.000000,7.401579,-2.455623,30.840232,-0.043906,0.026776,0.000000,-1.533975,-0.665270,-39.561166,-0.319301,0.247550,0.000000,83235.328668,1.032374,0.000018,335.948130,2.602369,3.758197,126.558329,31.810900,25.718603,78.274949,32.990221,-106.974417,25.718603,18.398468,8226.776083,1.623290,39.561166,0.016238,216298.603587,437426.591323,653725.194910,146481.222040,-5006.795033
3.000000,51.635110,-6.684086,1731.314738,29.745195,-5.979102,141.806710,0.701911,-0.041931,0.088578,-0.705491,-0.004450,-0.030213,0.000000,7.129107,-2.463260,28.071346,0.056836,0.155346,0.000000,-2.377909,1.098033,-51.468965,0.401917,1.085380,0.000000,82437.390167,1.024170,0.000018,335.668228,3.403684,3.970894,145.016100,29.067031,30.340176,77.923391,32.990194,-106.974143,30.340176,19.522320,10703.607972,2.605927,51.468965,0.003323,280819.732466,453442.131639,734261.864105,157056.661523,-7463.828636
3.600000,70.712415,-10.696041,1821.198661,33.754248,-7.454114,157.378497,0.701467,-0.038341,0.092005,-0.705698,-0.006307,0.001973,0.000000,6.272655,-2.744607,23.798284,-0.015862,-0.216566,0.000000,3.600143,-0.226309,-63.035849,-0.113928,-1.497241,0.000000,81538.627299,1.014929,0.000017,335.352960,4.306249,4.210466,161.130085,24.763630,34.567515,77.611944,32.990158,-106.973827,34.567515,22.204739,13077.985199,3.607129,63.035849,0.000152,343011.076066,471914.002013,814925.078079,156157.890057,-10156.971750
4.200000,92.051339,-15.606553,1919.631696,37.270561,-8.854680,170.174503,0.701390,-0.038115,0.092739,-0.705690,-0.000004,0.023420,0.000000,5.252490,-2.252402,18.247690,-0.029281,-0.084759,0.000000,0.915691,-0.314689,-73.309468,-0.196967,-0.556816,0.000000,80554.380565,1.004809,0.000017,335.007705,5.294659,4.472824,174.432971,19.121719,38.307964,77.313624,32.990114,-106.973474,38.307964,22.482524,15152.237131,0.949000,73.309468,0.001845,398076.136980,492580.901994,890657.038974,143461.792784,-12787.588294
4.800000,115.172991,-21.250344,2024.008416,39.318652,-9.730930,175.165341,0.701230,-0.037361,0.094133,-0.705705,-0.001285,0.019266,0.000000,1.050618,-0.424240,-4.193242,-0.020298,0.038474,0.000000,-0.957887,-0.207945,-77.113201,-0.134335,0.257274,0.000000,79533.918357,0.994522,0.000017,334.595070,6.252893,4.801873,179.787497,4.343938,40.504905,76.979878,32.990063,-106.973091,40.504905,23.170040,15906.101153,0.982969,77.113201,0.001232,420376.113958,516276.125316,936652.239274,40643.437684,-13863.989266
5.400000,138.736784,-27.078506,2127.198829,39.128170,-9.644008,168.270005,0.700975,-0.036285,0.096384,-0.705711,-0.001352,0.010340,0.000000,-0.502914,0.277799,-12.452923,-0.004880,0.066024,0.000000,-1.231828,0.024013,-70.395261,-0.032211,0.435760,0.000000,78551.059736,0.984848,0.000017,334.135004,7.099581,5.184138,173.028365,12.466170,40.299138,76.531849,32.990011,-106.972701,40.299138,24.177276,14556.301528,1.232138,70.395261,0.000359,389204.595641,542378.054192,931582.649834,0.000007,-12180.376815
6.000000,162.125442,-32.822175,2225.934366,38.839554,-9.505667,160.873325,0.700656,-0.034918,0.099116,-0.705718,-0.002809,0.004711,0.000000,-0.454873,0.244582,-12.201906,0.005185,0.028604,0.000000,-0.566278,0.155022,-63.705147,0.034221,0.188786,0.000000,77610.632511,0.975592,0.000017,333.694799,7.909716,5.549900,165.768198,12.212831,39.985856,76.041710,32.989959,-106.972314,39.985856,25.386826,13201.497411,0.587469,63.705147,0.000099,357228.240533,567552.940384,924781.180918,-0.000000,-10560.287484
6.600000,185.348915,-38.482603,2320.276390,38.575684,-9.368238,153.622887,0.700304,-0.033458,0.102074,-0.705717,-0.004516,0.007367,0.000000,-0.418080,0.209914,-11.971369,0.002402,-0.018545,0.000000,0.140526,0.085317,-57.581783,0.015855,-0.122398,0.000000,76712.052210,0.966748,0.000017,333.274182,8.683802,5.899386,158.668959,11.980507,39.696943,75.511410,32.989908,-106.971929,39.696943,26.631176,11952.209094,0.164505,57.581783,0.000246,327285.902834,591607.600048,918893.502882,-0.000000,-9136.441546
7.200000,208.421223,-44.063622,2410.308626,38.334990,-9.235375,146.506050,0.699965,-0.032315,0.104974,-0.705681,-0.004976,0.012385,0.000000,-0.385786,0.208028,-11.756809,-0.004053,-0.009283,0.000000,-0.060576,-0.024620,-51.968930,-0.026751,-0.061270,0.000000,75854.521398,0.958309,0.000017,332.872780,9.422526,6.232907,151.719762,11.764977,39.431759,74.935952,32.989858,-106.971547,39.431759,27.656611,10799.764031,0.060295,51.968930,0.000588,299245.520966,614563.380191,913808.901158,-0.000000,-7884.713637
7.800000,231.355086,-49.568002,2496.107959,38.114693,-9.111469,139.511455,0.699596,-0.031305,0.108177,-0.705608,-0.005250,0.011198,0.000000,-0.351555,0.211375,-11.560070,-0.002952,0.011434,0.000000,-0.401468,0.006785,-46.818134,-0.019486,0.075466,0.000000,75037.470179,0.950264,0.000017,332.490655,10.127761,6.553083,144.910989,11.567345,39.188630,74.310000,32.989808,-106.971167,39.188630,28.615283,9736.452059,0.399844,46.818134,0.000505,272989.531207,636439.885082,909429.416289,0.000000,-6784.462007
8.400000,254.164180,-54.994911,2577.744994,37.918879,-8.980069,132.629852,0.698947,-0.027846,0.112665,-0.705694,-0.000476,0.022550,0.000000,-0.319439,0.196673,-11.381069,-0.009800,-0.020426,0.000000,-0.060631,-0.025907,-42.080734,-0.064682,-0.134809,0.000000,74298.742404,0.942357,0.000017,332.223411,11.094840,7.414020,138.235888,11.387249,38.967718,73.626787,32.989759,-106.970790,38.967718,30.841738,8754.015716,0.072790,42.080734,0.001679,248419.092307,657255.116605,905674.208912,0.000000,-5817.067694
9.000000,276.859565,-60.347443,2655.284552,37.736955,-8.858587,125.852022,0.698293,-0.024806,0.117275,-0.705704,-0.004307,0.020014,0.000000,-0.279321,0.216972,-11.214497,0.009050,0.023051,0.000000,-0.708124,0.226958,-37.734159,0.059727,0.152134,0.000000,73599.113744,0.934834,0.000017,331.974613,12.028849,8.260811,131.686308,11.220073,38.762770,72.881023,32.989711,-106.970414,38.762770,32.754416,7849.198413,0.743603,37.734159,0.001383,225436.690737,677025.602438,902462.293175,0.000000,-4969.072081
9.600000,299.452609,-65.625111,2728.786405,37.574471,-8.736578,119.169308,0.697455,-0.020708,0.122715,-0.705739,-0.004760,0.020934,0.000000,-0.262853,0.193706,-11.062833,-0.009313,-0.010009,0.000000,-0.168063,-0.077432,-33.745552,-0.061466,-0.066061,0.000000,72935.916727,0.927702,0.000017,331.738772,12.914221,9.063506,125.257705,11.067651,38.576789,72.062500,32.989664,-106.970040,38.576789,35.083484,7016.349156,0.185029,33.745552,0.001521,203963.405447,695766.583124,899729.988572,-0.000000,-4226.890413
