# Time (s), X (m), Y (m), Z (m), Vx (m/s), Vy (m/s), Vz (m/s), e0, e1, e2, e3, ω1 (rad/s), ω2 (rad/s), ω3 (rad/s), Ax (m/s2), Ay (m/s2), Az (m/s2), α1 (rad/s2), α2 (rad/s2), α3 (rad/s2), R1 (N), R2 (N), R3 (N), M1 (Nm), M2 (Nm), Aerodynamic Spin Moment (N m), Pressure (Pa), Density (kg/m³), Dynamic Viscosity (Pa s), Speed of Sound (m/s), Wind Velocity X (East) (m/s), Wind Velocity Y (North) (m/s), Speed - Velocity Magnitude (m/s), Acceleration Magnitude (m/s²), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Path Angle (°), Latitude (°), Longitude (°), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Spin Angle - φ (°), Dynamic Pressure (Pa), Aerodynamic Lift Force (N), Aerodynamic Drag Force (N), Rotational Kinetic Energy (J), Kinetic Energy (J), ((Scalar*9.80665)*Z (m)), Total Mechanical Energy (J), Thrust Power (W), Drag Power (W)
0.000000,0.000000,0.000000,1400.000000,0.000000,0.000000,0.000000,0.704416,-0.061628,0.061628,-0.704416,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.854302,-0.185234,1.369452,-0.000000,0.000000,85598.771785,0.721768,0.000023,407.473006,10.000000,0.000000,0.000000,0.000000,0.000000,0.000000,32.990254,-106.974998,0.000000,0.000000,36.088422,4.854302,0.185234,0.000000,0.000000,315168.831651,315168.831651,0.000000,-0.000000
0.600000,2.345296,-0.000000,1412.886731,8.404378,0.000000,44.823260,0.704740,-0.057807,0.057807,-0.704740,0.085954,-0.000000,0.000000,14.438175,0.000000,74.624177,0.378651,-0.000000,0.000000,0.000001,11.108925,-3.673770,3.229055,-0.000000,0.000000,85463.810364,0.720630,0.000023,407.473006,10.000000,0.000000,45.604366,76.008083,8.404378,79.380324,32.990254,-106.974959,8.404378,0.000000,724.835545,11.108925,3.673770,0.030599,23345.762390,311066.085681,334411.848071,87864.405003,-167.539930
1.200000,9.525630,0.000000,1453.121143,14.486704,0.000000,89.321097,0.706889,-0.017530,0.017530,-0.706889,0.246547,0.000000,0.000000,4.137458,-0.000000,74.368185,-0.120918,-0.000000,0.000000,0.000002,-0.378554,-14.038124,-0.700054,-0.000001,0.000000,85043.547807,0.717087,0.000023,407.473006,10.000000,0.000000,90.488247,74.483191,14.486704,80.787597,32.990254,-106.974840,14.486704,0.102971,2867.769478,0.804178,14.038124,0.242304,89918.027048,312977.947170,402895.974218,168760.581230,-1270.285314
1.800000,18.310010,0.000000,1520.068711,14.259046,0.000001,133.743646,0.707107,-0.000228,0.000228,-0.707107,-0.150182,-0.000000,0.000000,-0.648177,0.000005,73.313236,-0.605641,0.000000,0.000000,-0.000008,-15.369876,-30.693890,-4.801833,0.000003,0.000000,84347.966734,0.711222,0.000023,407.473006,10.000000,0.000000,134.501610,73.316102,14.259046,83.914413,32.990254,-106.974695,14.259046,10.888489,6367.390412,15.372494,30.693890,0.086388,194310.428819,320224.709912,514535.138731,244288.614564,-4128.377625
2.400000,27.375720,0.000002,1613.313489,16.584382,0.000004,176.733307,0.706896,-0.017305,0.017305,-0.706896,0.134514,-0.000000,0.000000,4.375486,0.000008,70.040201,0.405614,-0.000001,0.000000,0.000016,9.990082,-52.880028,3.122072,-0.000005,0.000000,83386.842668,0.703117,0.000023,407.473006,10.000000,0.000000,177.509728,70.176747,16.584382,84.639151,32.990254,-106.974545,16.584382,-0.000158,10996.059469,10.072322,52.880028,0.066439,331169.278612,332563.892878,663733.171489,307759.751621,-9386.719480
3.000000,37.696854,0.000007,1731.709548,17.844790,0.000013,217.405483,0.706921,-0.016263,0.016263,-0.706921,-0.060216,0.000000,0.000000,4.103382,0.000008,65.072178,0.826884,-0.000001,0.000000,0.000019,13.393538,-79.486678,5.759244,-0.000008,0.000000,82179.269118,0.692935,0.000023,407.473006,10.000000,0.000000,218.136609,65.201427,17.844790,85.307643,32.990254,-106.974374,17.844790,-0.000184,16397.162844,13.368333,79.486678,0.012761,489845.412031,349645.255332,839490.667363,354124.958669,-17338.953142
3.600000,48.975978,0.000017,1873.383390,19.429343,0.000020,252.702341,0.706962,-0.014354,0.014354,-0.706962,-0.058793,0.000000,0.000000,1.533606,0.000004,20.351531,0.463166,-0.000001,0.000000,0.000015,6.159571,-108.196278,3.077086,-0.000009,0.000000,80752.925770,0.680908,0.000023,407.473006,10.000000,0.000000,253.448166,31.379529,19.429343,85.603391,32.990254,-106.974187,19.429343,-0.000258,21771.152265,6.159571,108.196278,0.011686,649206.853558,371348.881390,1020555.734948,285044.703620,-27422.148114
4.200000,60.623357,0.000028,2022.296697,19.329772,0.000020,243.728567,0.706960,-0.014469,0.014469,-0.706960,-0.033192,0.000000,0.000000,0.022821,-0.000002,-14.714379,0.328624,-0.000001,0.000000,0.000009,4.472094,-98.053726,2.168916,-0.000005,0.000000,79275.373456,0.668450,0.000023,407.473006,10.000000,0.000000,244.493874,14.714396,19.329772,85.465443,32.990254,-106.973994,19.329772,-0.000265,19883.252673,4.521367,98.053726,0.003653,598802.543731,397322.549132,996125.092863,77749.297582,-23973.535430
4.800000,72.203179,0.000040,2165.913944,19.227056,0.000019,235.042508,0.706962,-0.014357,0.014357,-0.706962,-0.024662,0.000000,0.000000,-0.075036,-0.000001,-14.258185,0.161370,-0.000000,0.000000,0.000005,2.115062,-89.018226,1.065040,-0.000003,0.000000,77871.182581,0.656609,0.000023,407.473006,10.000000,0.000000,235.827607,14.258384,19.227056,85.323477,32.990254,-106.973802,19.227056,-0.000264,18165.139088,2.171745,89.018226,0.002005,556146.602247,424807.199648,980953.801895,-0.001060,-20992.955212
5.400000,83.719625,0.000051,2304.398268,19.129510,0.000019,226.613902,0.706964,-0.014260,0.014259,-0.706964,-0.019425,0.000000,0.000000,-0.155840,-0.000001,-13.847677,0.025645,0.000000,0.000000,-0.000005,0.144725,-80.880488,0.169256,0.000002,0.000000,76536.318118,0.645354,0.000023,407.473006,10.000000,0.000000,227.419873,13.848554,19.129510,85.174842,32.990254,-106.973612,19.129510,-0.000274,16597.600690,0.053076,80.880488,0.001245,517197.988954,451968.545574,969166.534528,-0.000000,-18393.830269
6.000000,95.176676,0.000062,2437.896368,19.040973,0.000018,218.417361,0.706963,-0.014312,0.014311,-0.706963,-0.010882,0.000000,0.000000,-0.202163,-0.000000,-13.478411,-0.060941,0.000000,0.000000,-0.000007,-1.067964,-73.538695,-0.402211,0.000003,0.000000,75267.115999,0.634652,0.000023,407.473006,10.000000,0.000000,219.245758,13.479927,19.040973,85.017721,32.990254,-106.973422,19.040973,-0.000272,15164.336755,1.068345,73.538695,0.000391,480687.024072,478151.928270,958838.952341,-0.000000,-16123.046913
6.600000,106.577823,0.000073,2566.540235,18.959295,0.000018,210.428379,0.706955,-0.014708,0.014708,-0.706955,-0.000753,-0.000000,0.000000,-0.192356,-0.000000,-13.151648,-0.068060,0.000000,0.000000,-0.000007,-1.061360,-67.002075,-0.449195,0.000003,0.000000,74060.241905,0.624476,0.000023,407.473006,10.000000,0.000000,211.280755,13.153054,18.959295,84.851634,32.990254,-106.973233,18.959295,-0.000274,13850.984870,1.061617,67.002075,0.000002,446395.574174,503383.235917,949778.810091,0.000000,-14156.249045
7.200000,117.926617,0.000083,2690.447926,18.878466,0.000017,202.626692,0.706939,-0.015446,0.015445,-0.706939,0.003383,-0.000000,0.000000,-0.138713,-0.000001,-12.855890,-0.009324,-0.000000,0.000000,0.000001,-0.108028,-61.047774,-0.061539,-0.000000,0.000000,72912.662579,0.614799,0.000023,407.473006,10.000000,0.000000,203.504233,12.856638,18.878466,84.677192,32.990254,-106.973045,18.878466,-0.000257,12645.314372,0.124040,61.047774,0.000038,414139.728066,527685.623118,941825.351184,0.000000,-12423.480352
7.800000,129.227155,0.000094,2809.726647,18.796263,0.000017,194.995982,0.706924,-0.016100,0.016100,-0.706924,-0.001649,-0.000000,0.000000,-0.104988,-0.000001,-12.585214,0.028721,-0.000000,0.000000,0.000003,0.432392,-55.609256,0.189561,-0.000001,0.000000,71821.598607,0.605599,0.000023,407.473006,10.000000,0.000000,195.899802,12.585652,18.796263,84.494094,32.990254,-106.972858,18.796263,-0.000250,11536.912438,0.432404,55.609256,0.000009,383767.323262,551080.116493,934847.439755,0.000000,-10893.842306
8.400000,140.482891,0.000104,2924.474317,18.720439,0.000017,187.521274,0.706917,-0.016403,0.016403,-0.706917,-0.005130,0.000000,0.000000,-0.119936,-0.000000,-12.335378,0.000035,0.000000,0.000000,-0.000001,-0.050375,-50.631389,0.000230,0.000000,0.000000,70784.494671,0.596855,0.000023,407.473006,10.000000,0.000000,188.453398,12.335961,18.720439,84.298993,32.990254,-106.972672,18.720439,-0.000258,10516.658460,0.047924,50.631389,0.000087,355146.830731,573585.921255,928732.751986,0.000000,-9541.657374
