# Time (s), X (m), Y (m), Z (m), Vx (m/s), Vy (m/s), Vz (m/s), e0, e1, e2, e3, ω1 (rad/s), ω2 (rad/s), ω3 (rad/s), Ax (m/s2), Ay (m/s2), Az (m/s2), α1 (rad/s2), α2 (rad/s2), α3 (rad/s2), R1 (N), R2 (N), R3 (N), M1 (Nm), M2 (Nm), Aerodynamic Spin Moment (N m), Pressure (Pa), Density (kg/m³), Dynamic Viscosity (Pa s), Speed of Sound (m/s), Wind Velocity X (East) (m/s), Wind Velocity Y (North) (m/s), Speed - Velocity Magnitude (m/s), Acceleration Magnitude (m/s²), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Path Angle (°), Latitude (°), Longitude (°), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Spin Angle - φ (°), Dynamic Pressure (Pa), Aerodynamic Lift Force (N), Aerodynamic Drag Force (N), Rotational Kinetic Energy (J), Kinetic Energy (J), ((Scalar*9.80665)*Z (m)), Total Mechanical Energy (J), Thrust Power (W), Drag Power (W)
0.000000,0.000000,0.000000,1400.000000,0.000000,0.000000,0.000000,0.704416,-0.061628,0.061628,-0.704416,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.685442,-0.256559,1.886221,-0.000000,0.000000,85598.771785,0.993995,0.000018,347.220687,10.000000,0.000000,0.000000,0.000000,0.000000,0.000000,32.990254,-106.974998,0.000000,0.000000,49.699771,6.685442,0.256559,0.000000,0.000000,315168.831651,315168.831651,0.000000,-0.000000
0.600000,4.043932,0.000000,1422.421072,14.166971,0.000000,78.480419,0.705303,-0.050465,0.050465,-0.705303,0.214871,0.000000,0.000000,23.372168,0.000002,145.810691,0.747619,0.000001,0.000000,-0.000014,21.114138,-14.963357,6.136200,0.000004,0.000000,85364.069121,0.991270,0.000018,347.220687,10.000000,0.000000,79.748851,147.671985,14.166971,79.767393,32.990254,-106.974931,14.166971,0.000001,3061.309151,21.114124,14.963357,0.184987,70030.677280,307197.177596,377227.854876,277560.188733,-1193.311323
1.200000,15.174868,-0.000001,1496.869702,20.465265,-0.000004,169.324849,0.707002,-0.012166,0.012166,-0.707002,-0.179912,-0.000000,0.000000,3.894232,-0.000009,146.083399,-1.423652,-0.000003,0.000000,0.000066,-30.571654,-68.183810,-10.549496,-0.000023,0.000000,84588.479391,0.982264,0.000018,347.220687,10.000000,0.000000,170.557121,146.135302,20.465265,83.108435,32.990254,-106.974747,20.465265,0.000071,14134.983125,30.550623,68.183810,0.118766,305596.246848,308420.188583,614016.435431,570411.442093,-11629.234792
1.800000,29.275553,0.000001,1624.035743,26.305714,0.000015,251.969681,0.706839,-0.019520,0.019520,-0.706839,-0.113984,-0.000000,0.000000,4.489325,0.000019,93.464462,-1.511496,-0.000013,0.000000,0.000201,-24.312295,-158.082900,-10.126314,-0.000088,0.000000,83276.893555,0.967033,0.000018,347.220687,10.000000,0.000000,253.339122,93.572216,26.305714,84.039894,32.990254,-106.974513,26.305714,-0.000240,30826.404667,24.312295,158.082900,0.043364,644972.111395,320097.759897,965069.871292,566341.179073,-40048.583028
2.400000,45.336095,0.000011,1777.480553,26.666209,0.000016,251.391405,0.706655,-0.025327,0.025327,-0.706655,-0.034429,-0.000000,0.000000,0.157124,-0.000001,-17.561461,1.049498,0.000008,0.000000,-0.000105,14.237666,-154.473298,6.926687,0.000052,0.000000,81716.243313,0.948910,0.000018,347.220687,10.000000,0.000000,252.801751,17.562163,26.666209,83.945023,32.990254,-106.974247,26.666209,-0.000317,30116.236762,14.244641,154.473298,0.003913,639087.256257,348622.593382,987709.849639,0.000000,-39051.120109
3.000000,61.263182,0.000020,1925.205876,26.418912,0.000014,241.099639,0.706682,-0.024550,0.024550,-0.706682,0.035018,0.000000,0.000000,-0.324612,-0.000003,-16.787117,0.177172,0.000000,0.000000,-0.000012,3.211888,-139.723302,1.169338,0.000003,0.000000,80236.223091,0.931724,0.000018,347.220687,10.000000,0.000000,242.542769,16.790257,26.418912,83.746664,32.990254,-106.973984,26.418912,-0.000299,27205.699200,3.119638,139.723302,0.004045,588269.951495,377596.403990,965866.355486,0.000000,-33888.876635
3.600000,77.018599,0.000028,2066.893942,26.134077,0.000013,231.267097,0.706693,-0.024244,0.024244,-0.706692,0.014566,0.000000,0.000000,-0.539786,-0.000002,-16.014345,-0.172737,-0.000001,0.000000,0.000011,-2.261702,-124.601864,-1.140064,-0.000005,0.000000,78837.155386,0.915478,0.000018,347.220687,10.000000,0.000000,232.739039,16.023440,26.134077,83.552706,32.990254,-106.973723,26.134077,-0.000283,24601.074765,2.262765,124.601864,0.000700,541674.603148,405386.109606,947060.712755,-0.000000,-28999.718127
4.200000,92.615219,0.000036,2202.811410,25.873759,0.000012,221.855478,0.706670,-0.024885,0.024884,-0.706670,0.000299,0.000000,0.000000,-0.487609,-0.000002,-15.360937,-0.129944,-0.000001,0.000000,0.000008,-1.914176,-111.496550,-0.857630,-0.000004,0.000000,77513.696256,0.900109,0.000018,347.220687,10.000000,0.000000,223.359138,15.368674,25.873759,83.347965,32.990254,-106.973464,25.873759,-0.000278,22265.029327,1.910133,111.496550,0.000000,498893.043799,432044.010336,930937.054135,0.000000,-24903.773337
4.800000,108.067241,0.000042,2333.194362,25.640554,0.000011,212.811552,0.706641,-0.025695,0.025695,-0.706641,-0.003115,-0.000000,0.000000,-0.418403,-0.000002,-14.788300,-0.070974,-0.000000,0.000000,0.000006,-1.109764,-99.977629,-0.468429,-0.000003,0.000000,76261.090848,0.885564,0.000018,347.220687,10.000000,0.000000,214.350635,14.794217,25.640554,83.129846,32.990254,-106.973209,25.640554,-0.000274,20161.358598,1.109529,99.977629,0.000032,459461.947516,457616.409749,917078.357264,0.000000,-21430.268316
5.400000,123.386314,0.000049,2458.250260,25.427603,0.000010,204.092121,0.706611,-0.026516,0.026516,-0.706611,-0.003070,-0.000000,0.000000,-0.368328,-0.000002,-14.281786,-0.039191,-0.000000,0.000000,0.000004,-0.637890,-89.803104,-0.258661,-0.000002,0.000000,75075.112547,0.871792,0.000018,347.220687,10.000000,0.000000,205.670019,14.286535,25.427603,82.898179,32.990254,-106.972955,25.427603,-0.000272,18260.381450,0.635336,89.803104,0.000031,423001.568262,482143.998297,905145.566559,-0.000000,-18469.806201
6.000000,138.582465,0.000054,2578.162309,25.230842,0.000009,195.659646,0.706578,-0.027373,0.027373,-0.706578,-0.002585,-0.000000,0.000000,-0.328618,-0.000002,-13.831783,-0.018864,-0.000000,0.000000,0.000003,-0.324629,-80.769846,-0.124500,-0.000001,0.000000,73951.985761,0.858750,0.000018,347.220687,10.000000,0.000000,197.279731,13.835686,25.230842,82.652104,32.990254,-106.972703,25.230842,-0.000268,16537.236624,0.326365,80.769846,0.000022,389192.924425,505662.708169,894855.632594,0.000000,-15934.253507
6.600000,153.664686,0.000059,2693.093158,25.047850,0.000008,187.483423,0.706543,-0.028279,0.028279,-0.706543,-0.002849,-0.000000,0.000000,-0.295129,-0.000001,-13.428388,-0.003595,-0.000000,0.000000,0.000002,-0.094616,-72.674790,-0.023730,-0.000001,0.000000,72888.321523,0.846398,0.000018,347.220687,10.000000,0.000000,189.149223,13.431631,25.047850,82.390326,32.990254,-106.972454,25.047850,-0.000265,14971.293408,0.087966,72.674790,0.000027,357774.287030,528204.440453,885978.727483,0.000000,-13746.380185
7.200000,168.641139,0.000064,2803.188158,24.877156,0.000007,179.535374,0.706504,-0.029223,0.029223,-0.706504,-0.003889,-0.000000,0.000000,-0.269997,-0.000001,-13.072304,0.004107,0.000000,0.000000,-0.000001,0.012315,-65.535923,0.027107,0.000000,0.000000,71881.062757,0.834702,0.000018,347.220687,10.000000,0.000000,181.250719,13.075092,24.877156,82.111095,32.990254,-106.972206,24.877156,-0.000263,13544.822753,0.018625,65.535923,0.000050,328518.232589,549797.702904,878315.935494,-0.000000,-11878.433150
7.800000,183.519071,0.000068,2908.576211,24.717818,0.000006,171.790283,0.706463,-0.030196,0.030195,-0.706463,-0.005093,-0.000000,0.000000,-0.253149,-0.000001,-12.750645,0.002772,0.000000,0.000000,-0.000001,-0.020434,-59.097173,0.018297,0.000000,0.000000,70927.455617,0.823628,0.000018,347.220687,10.000000,0.000000,173.559419,12.753158,24.717818,81.812266,32.990254,-106.971959,24.717818,-0.000262,12242.622539,0.020434,59.097173,0.000086,301228.718471,570467.778032,871696.496503,-0.000000,-10256.871010
8.400000,198.305005,0.000071,3009.373208,24.569738,0.000006,164.228919,0.706418,-0.031233,0.031233,-0.706418,-0.005439,-0.000000,0.000000,-0.239523,-0.000001,-12.458670,-0.001681,-0.000000,0.000000,0.000001,-0.090752,-53.256213,-0.011091,-0.000000,0.000000,70025.000543,0.813149,0.000018,347.220687,10.000000,0.000000,166.056647,12.460972,24.569738,81.491277,32.990254,-106.971715,24.569738,-0.000257,11052.079370,0.090752,53.256213,0.000098,275748.099309,590237.395361,865985.494670,0.000000,-8843.548171
9.000000,213.004914,0.000075,3105.684269,24.431449,0.000005,156.834480,0.706366,-0.032387,0.032386,-0.706366,-0.005601,-0.000000,0.000000,-0.223703,-0.000001,-12.193428,-0.001542,-0.000000,0.000000,0.000001,-0.087177,-47.944685,-0.010175,-0.000001,0.000000,69171.417371,0.803237,0.000018,347.220687,10.000000,0.000000,158.726021,12.195480,24.431449,81.145711,32.990254,-106.971471,24.431449,-0.000254,9962.271629,0.087177,47.944685,0.000104,251939.497916,609127.172818,861066.670734,0.000000,-7610.069100
9.600000,227.624460,0.000078,3197.604973,24.301902,0.000005,149.592023,0.706308,-0.033638,0.033638,-0.706308,-0.006110,0.000000,0.000000,-0.209142,-0.000001,-11.951726,-0.001378,0.000000,0.000000,-0.000003,-0.086784,-43.104851,-0.009093,0.000001,0.000000,68364.622052,0.793868,0.000018,347.220687,10.000000,0.000000,151.553145,11.953555,24.301902,80.772652,32.990254,-106.971229,24.301902,-0.000255,8963.689137,0.086784,43.104851,0.000123,229683.557669,627155.856078,856839.413747,-0.000000,-6532.675773
10.200000,242.168813,0.000080,3285.222410,24.180745,0.000004,142.488148,0.706242,-0.034999,0.034999,-0.706242,-0.006590,-0.000000,0.000000,-0.195845,-0.000001,-11.731093,-0.001632,0.000000,0.000000,-0.000007,-0.092274,-38.687535,-0.010773,0.000003,0.000000,67602.706514,0.785020,0.000018,347.220687,10.000000,0.000000,144.525364,11.732727,24.180745,80.368464,32.990254,-106.970988,24.180745,-0.000255,8048.015640,0.092274,38.687535,0.000143,208875.808600,644340.526908,853216.335508,-0.000000,-5591.330058
10.800000,256.642763,0.000083,3368.616065,24.067122,0.000004,135.510877,0.706166,-0.036499,0.036499,-0.706166,-0.007407,-0.000000,0.000000,-0.182463,-0.000001,-11.529547,-0.000436,-0.000000,0.000000,0.000005,-0.077308,-34.650559,-0.002876,-0.000002,0.000000,66883.921647,0.776674,0.000018,347.220687,10.000000,0.000000,137.631479,11.530991,24.067122,79.929116,32.990254,-106.970749,24.067122,-0.000243,7207.951695,0.077308,34.650559,0.000181,189424.241398,660696.774761,850121.016159,-0.000000,-4769.007655
11.400000,271.050867,0.000085,3447.858571,23.960961,0.000003,128.649332,0.706080,-0.038119,0.038118,-0.706080,-0.008045,0.000000,0.000000,-0.171779,-0.000001,-11.344976,-0.001941,0.000000,0.000000,-0.000004,-0.103312,-30.957567,-0.012809,0.000002,0.000000,66206.662542,0.768809,0.000018,347.220687,10.000000,0.000000,130.861677,11.346276,23.960961,79.449538,32.990254,-106.970510,23.960961,-0.000250,6437.069621,0.103312,30.957567,0.000214,171247.784237,676238.845142,847486.629378,-0.000000,-4051.159158
