# Time (s), X (m), Y (m), Z (m), Vx (m/s), Vy (m/s), Vz (m/s), e0, e1, e2, e3, ω1 (rad/s), ω2 (rad/s), ω3 (rad/s), Ax (m/s2), Ay (m/s2), Az (m/s2), α1 (rad/s2), α2 (rad/s2), α3 (rad/s2), R1 (N), R2 (N), R3 (N), M1 (Nm), M2 (Nm), Aerodynamic Spin Moment (N m), Pressure (Pa), Density (kg/m³), Dynamic Viscosity (Pa s), Speed of Sound (m/s), Wind Velocity X (East) (m/s), Wind Velocity Y (North) (m/s), Speed - Velocity Magnitude (m/s), Acceleration Magnitude (m/s²), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Path Angle (°), Latitude (°), Longitude (°), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Spin Angle - φ (°), Dynamic Pressure (Pa), Aerodynamic Lift Force (N), Aerodynamic Drag Force (N), Rotational Kinetic Energy (J), Kinetic Energy (J), ((Scalar*9.80665)*Z (m)), Total Mechanical Energy (J), Thrust Power (W), Drag Power (W)
0.000000,0.000000,0.000000,1400.000000,0.000000,0.000000,0.000000,0.704416,-0.061628,0.061628,-0.704416,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.315920,-0.280941,2.064173,-0.000000,0.000000,85598.771785,1.087721,0.000017,331.924332,10.000000,0.000000,0.000000,0.000000,0.000000,0.000000,32.990254,-106.974998,0.000000,0.000000,54.386035,7.315920,0.280941,0.000000,0.000000,315168.831651,315168.831651,0.000000,-0.000000
0.600000,2.782998,0.000000,1415.346765,10.768908,0.000000,58.459680,0.704999,-0.054552,0.054552,-0.704999,0.158422,-0.000000,0.000000,19.953363,0.000001,112.621082,0.682221,0.000000,0.000000,-0.000002,20.153439,-9.184199,5.840888,0.000001,0.000000,85438.066270,1.085679,0.000017,331.924332,10.000000,0.000000,59.443280,114.375019,10.768908,79.562505,32.990254,-106.974952,10.768908,-0.000000,1855.492965,20.153406,9.184199,0.102589,39358.330286,309202.798831,348561.129116,164804.010457,-545.939062
1.200000,11.675526,0.000000,1469.745025,16.450022,-0.000000,114.237960,0.707103,-0.002347,0.002347,-0.707103,0.105776,0.000000,0.000000,-0.959932,-0.000004,40.421473,-1.298303,-0.000001,0.000000,0.000022,-27.855793,-33.993629,-10.012331,-0.000008,0.000000,84870.394819,1.078465,0.000017,331.924332,10.000000,0.000000,115.416267,40.432869,16.450022,81.805857,32.990254,-106.974805,16.450022,0.000475,7059.586043,27.855793,33.993629,0.043460,144153.161222,311948.328224,456101.489446,129373.064115,-3923.417753
1.800000,21.568372,-0.000001,1545.655175,17.338033,-0.000002,138.921514,0.706496,-0.029387,0.029387,-0.706496,-0.043213,-0.000000,0.000000,5.474709,0.000006,41.694855,1.234496,0.000002,0.000000,-0.000038,25.079792,-49.704247,9.297183,0.000016,0.000000,84083.344915,1.068464,0.000017,331.924332,10.000000,0.000000,139.999265,42.052740,17.338033,82.886012,32.990254,-106.974641,17.338033,-0.000083,10339.008504,25.079151,49.704247,0.007063,208997.044818,323259.949356,532256.994173,161552.255658,-6958.558130
2.400000,32.679954,0.000000,1636.604420,19.123052,0.000005,164.290907,0.706940,-0.015392,0.015392,-0.706940,-0.102642,0.000000,0.000000,1.621442,0.000007,41.978334,-0.600590,-0.000002,0.000000,0.000031,-13.456983,-69.039104,-4.484234,-0.000013,0.000000,83148.160179,1.056580,0.000017,331.924332,10.000000,0.000000,165.400101,42.009637,19.123052,83.360790,32.990254,-106.974457,19.123052,-0.000176,14303.314137,13.457429,69.039104,0.038651,287368.324654,337179.908085,624548.232739,191437.587197,-11419.074845
3.000000,44.739803,0.000004,1742.575905,21.038899,0.000009,188.559782,0.706884,-0.017760,0.017760,-0.706884,0.022656,0.000000,0.000000,1.795149,0.000009,38.073688,-0.744429,0.000001,0.000000,-0.000020,-12.633594,-90.955132,-5.287459,0.000008,0.000000,82069.151727,1.042869,0.000017,331.924332,10.000000,0.000000,189.729878,38.115983,21.038899,83.633452,32.990254,-106.974257,21.038899,-0.000162,18603.037328,12.628944,90.955132,0.001832,372699.427202,353858.508738,726557.935940,205483.006037,-17256.906054
3.600000,57.808684,0.000010,1862.200190,22.608116,0.000013,209.582619,0.706825,-0.019978,0.019978,-0.706825,0.022872,0.000000,0.000000,1.823358,0.000005,28.371861,-0.454127,-0.000001,0.000000,0.000010,-6.827570,-113.067514,-3.115823,-0.000005,0.000000,80864.781937,1.027565,0.000017,331.924332,10.000000,0.000000,210.798485,30.830455,22.608116,83.843192,32.990254,-106.974041,22.608116,-0.000132,22649.503516,6.827570,113.067514,0.001809,453761.932272,372966.757842,826728.690114,204293.612384,-23834.460683
4.200000,71.300798,0.000018,1985.207028,22.398131,0.000012,200.499153,0.706796,-0.020966,0.020966,-0.706796,0.004549,0.000000,0.000000,-0.506118,-0.000001,-14.831535,-0.282104,-0.000000,0.000000,0.000002,-4.147524,-100.921001,-1.861889,-0.000001,0.000000,79641.321573,1.012018,0.000017,331.924332,10.000000,0.000000,201.746342,14.840168,22.398131,83.625810,32.990254,-106.973817,22.398131,-0.000137,20419.300493,4.147152,100.921001,0.000070,410396.132916,392598.284270,802994.417186,165923.379037,-20360.442843
4.800000,84.679717,0.000025,2102.868037,22.215283,0.000012,191.756533,0.706766,-0.021980,0.021980,-0.706766,0.002672,-0.000000,0.000000,-0.389322,-0.000000,-14.304254,-0.147086,0.000000,0.000000,-0.000001,-2.181891,-90.262101,-0.970769,0.000000,0.000000,78485.100542,0.997326,0.000017,331.924332,10.000000,0.000000,193.039081,14.309551,22.215283,83.391657,32.990254,-106.973596,22.215283,-0.000133,18410.526013,2.171159,90.262101,0.000025,372836.297805,412658.103886,785494.401692,43225.926936,-17424.113088
5.400000,97.954438,0.000032,2215.375468,22.048280,0.000011,183.314699,0.706734,-0.022972,0.022972,-0.706734,0.003291,-0.000000,0.000000,-0.306417,-0.000001,-13.835447,-0.061170,-0.000000,0.000000,0.000004,-0.882770,-80.803842,-0.403724,-0.000002,0.000000,77392.271351,0.983439,0.000017,331.924332,10.000000,0.000000,184.635873,13.838840,22.048280,83.141662,32.990254,-106.973376,22.048280,-0.000124,16595.258521,0.889400,80.803842,0.000036,340904.054282,434508.236649,775412.290931,0.002049,-14919.287826
