# Time (s), X (m), Y (m), Z (m), Vx (m/s), Vy (m/s), Vz (m/s), e0, e1, e2, e3, ω1 (rad/s), ω2 (rad/s), ω3 (rad/s), Ax (m/s2), Ay (m/s2), Az (m/s2), α1 (rad/s2), α2 (rad/s2), α3 (rad/s2), R1 (N), R2 (N), R3 (N), M1 (Nm), M2 (Nm), Aerodynamic Spin Moment (N m), Pressure (Pa), Density (kg/m³), Dynamic Viscosity (Pa s), Speed of Sound (m/s), Wind Velocity X (East) (m/s), Wind Velocity Y (North) (m/s), Speed - Velocity Magnitude (m/s), Acceleration Magnitude (m/s²), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Path Angle (°), Latitude (°), Longitude (°), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Spin Angle - φ (°), Dynamic Pressure (Pa), Aerodynamic Lift Force (N), Aerodynamic Drag Force (N), Rotational Kinetic Energy (J), Kinetic Energy (J), ((Scalar*9.80665)*Z (m)), Total Mechanical Energy (J), Thrust Power (W), Drag Power (W)
0.000000,0.000000,0.000000,1400.000000,0.000000,0.000000,0.000000,0.704416,-0.061628,0.061628,-0.704416,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,45.230532,-1.730419,12.787584,-0.000000,0.000000,85598.771785,0.993995,0.000018,347.220687,26.000000,0.000000,0.000000,0.000000,0.000000,0.000000,32.990254,-106.974998,0.000000,0.000000,335.970453,45.230532,1.730419,0.000000,0.000000,315168.831651,315168.831651,0.000000,-0.000000
0.600000,4.037996,0.000000,1422.411282,13.452717,0.000001,78.555787,0.706647,-0.025459,0.025459,-0.706647,0.614057,-0.000001,0.000000,13.714903,0.000008,146.956908,1.804278,-0.000003,0.000000,0.000086,55.398979,-15.322374,15.823909,-0.000026,0.000000,85364.171493,0.991271,0.000018,347.220687,26.000000,0.000000,79.699356,147.595499,13.452717,80.282334,32.990254,-106.974931,13.452717,-0.178196,3136.602961,55.398992,15.322374,1.510780,69945.097274,307195.026362,377140.123636,277389.433780,-1221.183257
1.200000,10.020849,0.000006,1496.793166,0.289524,0.000021,168.127907,0.702941,0.076642,-0.076642,-0.702941,-0.435803,-0.000000,0.000000,-36.938247,0.000029,141.700955,-3.323982,-0.000001,0.000000,0.000018,-73.638375,-68.541341,-25.386181,-0.000007,0.000000,84589.273789,0.982273,0.000018,347.220687,26.000000,0.000000,168.128157,146.436324,0.329714,89.886754,32.990254,-106.974832,0.329714,-179.999943,14207.605062,73.624923,68.541341,0.696920,296953.976576,308403.733203,605357.709779,562263.683845,-11523.728372
1.800000,6.312452,0.000021,1622.993097,-12.553150,0.000023,249.932776,0.704440,0.061356,-0.061356,-0.704440,-0.253126,-0.000001,0.000000,-20.467745,0.000002,91.533542,-3.290506,-0.000002,0.000000,0.000058,-53.725797,-158.570933,-22.373743,-0.000015,0.000000,83287.580000,0.967157,0.000018,347.220687,26.000000,0.000000,250.247826,93.794016,12.553150,87.124672,32.990254,-106.974893,12.553150,-179.999986,30926.177366,53.725797,158.570933,0.213852,629328.432609,319892.402150,949220.834759,559509.207160,-39682.031070
2.400000,-1.787797,0.000036,1775.176268,-13.287734,0.000025,249.288890,0.705279,0.050826,-0.050826,-0.705279,-0.058221,-0.000001,0.000000,2.719636,-0.000007,-17.244108,2.369032,-0.000007,0.000000,0.000113,32.502096,-155.011275,15.635614,-0.000046,0.000000,81739.503165,0.949181,0.000018,347.220687,26.000000,0.000000,249.642774,17.457247,13.287734,86.948876,32.990254,-106.975028,13.287734,-180.000108,30225.932666,32.494828,155.011275,0.011197,623215.155247,348170.647033,971385.802280,0.000000,-38697.444547
3.000000,-9.510663,0.000052,1921.654631,-12.479044,0.000027,239.042929,0.704941,0.055314,-0.055314,-0.704941,0.092362,0.000000,0.000000,1.417590,0.000001,-16.690258,0.332706,0.000000,0.000000,-0.000009,6.531757,-140.409322,2.195861,0.000001,0.000000,80271.545563,0.932134,0.000018,347.220687,26.000000,0.000000,239.368436,16.750355,12.479044,87.011633,32.990254,-106.975155,12.479044,-180.000060,27321.861598,6.646515,140.409322,0.028148,572972.510996,376899.887667,949872.398663,0.000000,-33609.559949
3.600000,-16.830752,0.000068,2062.109679,-11.862408,0.000027,229.226683,0.704667,0.058690,-0.058690,-0.704667,0.043537,-0.000000,0.000000,0.771648,-0.000001,-16.029713,-0.421423,-0.000002,0.000000,0.000038,-5.369176,-125.299457,-2.781390,-0.000014,0.000000,78884.072011,0.916023,0.000018,347.220687,26.000000,0.000000,229.533416,16.048276,11.862408,87.037604,32.990254,-106.975277,11.862408,-180.000052,24722.731934,5.435508,125.299457,0.006255,526855.896698,404447.757651,931303.654349,-0.000000,-28760.412379
4.200000,-23.784280,0.000085,2196.805642,-11.292866,0.000028,219.830115,0.704546,0.060130,-0.060130,-0.704546,0.012124,-0.000000,0.000000,0.742501,-0.000000,-15.371374,-0.300200,-0.000002,0.000000,0.000027,-4.224529,-112.201334,-1.981322,-0.000010,0.000000,77571.793270,0.900784,0.000018,347.220687,26.000000,0.000000,220.119986,15.389297,11.292866,87.059251,32.990254,-106.975392,11.292866,-180.000039,22391.706537,4.226593,112.201334,0.000485,484528.084348,430866.080930,915394.165278,-0.000000,-24697.756036
4.800000,-30.398046,0.000102,2325.977856,-10.753451,0.000028,210.802216,0.704435,0.061420,-0.061420,-0.704435,0.006495,-0.000000,0.000000,0.760299,0.000002,-14.784703,-0.158162,0.000002,0.000000,-0.000028,-2.254156,-100.690335,-1.043867,0.000013,0.000000,76329.989381,0.886364,0.000018,347.220687,26.000000,0.000000,211.076316,14.804239,10.753451,87.079757,32.990254,-106.975501,10.753451,-180.000022,20292.587921,2.253669,100.690335,0.000139,445532.110967,456201.014876,901733.125843,-0.000000,-21253.344969
5.400000,-36.697798,0.000119,2449.832627,-10.250333,0.000028,202.097847,0.704301,0.062937,-0.062937,-0.704301,0.008367,-0.000000,0.000000,0.744079,0.000001,-14.271400,-0.087340,0.000000,0.000000,-0.000004,-1.186763,-90.518789,-0.576445,0.000002,0.000000,75154.470074,0.872713,0.000018,347.220687,26.000000,0.000000,202.357627,14.290784,10.250333,87.096466,32.990254,-106.975606,10.250333,-180.000024,18395.763816,1.180147,90.518789,0.000231,409486.092206,480493.022590,889979.114796,0.000000,-18317.167393
