# Time (s), X (m), Y (m), Z (m), Vx (m/s), Vy (m/s), Vz (m/s), e0, e1, e2, e3, ω1 (rad/s), ω2 (rad/s), ω3 (rad/s), Ax (m/s2), Ay (m/s2), Az (m/s2), α1 (rad/s2), α2 (rad/s2), α3 (rad/s2), R1 (N), R2 (N), R3 (N), M1 (Nm), M2 (Nm), Aerodynamic Spin Moment (N m), Pressure (Pa), Density (kg/m³), Dynamic Viscosity (Pa s), Speed of Sound (m/s), Wind Velocity X (East) (m/s), Wind Velocity Y (North) (m/s), Speed - Velocity Magnitude (m/s), Acceleration Magnitude (m/s²), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Path Angle (°), Latitude (°), Longitude (°), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Spin Angle - φ (°), Dynamic Pressure (Pa), Aerodynamic Lift Force (N), Aerodynamic Drag Force (N), Rotational Kinetic Energy (J), Kinetic Energy (J), ((Scalar*9.80665)*Z (m)), Total Mechanical Energy (J), Thrust Power (W), Drag Power (W)
0.000000,0.000000,0.000000,1400.000000,0.000000,0.000000,0.000000,0.704416,-0.061628,0.061628,-0.704416,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-37.633626,0.000000,-1.601998,0.000000,10.637846,0.000000,85598.771785,0.993995,0.000018,347.220687,0.000000,25.000000,0.000000,0.000000,0.000000,0.000000,32.990254,-106.974998,0.000000,0.000000,310.623570,37.633626,1.601998,0.000000,0.000000,315168.831651,315168.831651,0.000000,-0.000000
0.600000,2.012562,0.034920,1411.128875,7.531854,0.172299,40.361002,0.703061,-0.047852,0.075542,-0.705483,-0.002955,0.333465,0.000000,14.401290,-1.315773,71.952347,-0.026303,1.466226,0.000000,-44.247357,-0.763636,-5.726664,-0.221326,12.529735,0.000000,85482.210052,0.992642,0.000018,347.220687,0.000000,25.000000,41.058116,73.391192,7.533820,79.426792,32.990254,-106.974965,7.533820,12.549362,1142.607260,44.253946,5.726664,0.460707,18927.597858,310745.056506,329672.654364,76889.945255,-235.126038
1.200000,9.076301,-1.699160,1447.906286,15.892853,-9.463016,81.099050,0.673212,0.091842,0.219881,-0.700003,-0.038047,0.769900,0.000000,13.138203,-34.945262,60.187154,-0.058432,-1.107864,0.000000,16.827836,-1.938100,-19.248352,-0.507214,-7.971493,0.000000,85097.924226,0.988179,0.000018,347.220687,0.000000,25.000000,83.181653,70.825700,18.496800,77.151943,32.990239,-106.974848,18.496800,66.552073,3961.284511,17.020853,19.248352,2.365323,75905.038087,311525.119640,387430.157726,146212.817977,-1601.109979
1.800000,20.913782,-14.888017,1506.354728,23.637127,-34.586916,113.085737,0.668938,0.102648,0.243923,-0.694616,-0.009845,-0.542802,0.000000,13.749564,-35.892731,53.966195,0.117612,-0.147102,0.000000,12.102890,2.397465,-39.863630,0.888993,-1.699767,0.000000,84490.077628,0.981121,0.000018,347.220687,0.000000,25.000000,120.595822,66.254724,41.892344,69.672970,32.990120,-106.974652,41.892344,66.743498,8289.343063,12.126536,39.863630,1.126796,156055.615984,317022.192662,473077.808646,197487.719588,-4807.387251
2.400000,37.595253,-40.882370,1584.198462,31.852178,-52.127623,145.912499,0.667994,0.104733,0.247887,-0.693813,-0.024536,0.355284,0.000000,12.813130,-35.246741,49.330455,-0.049156,-2.023094,0.000000,32.323483,-1.403503,-66.197413,-0.385790,-14.482618,0.000000,83685.989675,0.971784,0.000018,347.220687,0.000000,25.000000,158.184410,61.967759,61.088872,67.282507,32.989886,-106.974375,61.088872,66.818013,13728.236997,32.355298,66.197413,0.465328,262844.071888,326385.094040,589229.165928,242852.014458,-10471.398771
3.000000,58.975815,-78.237608,1680.158182,39.343288,-70.930461,173.569966,0.671371,0.093996,0.242160,-0.694116,-0.009153,0.249200,0.000000,11.705645,-26.903345,42.683474,-0.089649,0.950959,0.000000,-21.255420,-1.717513,-96.328564,-0.640156,6.929380,0.000000,82703.311322,0.960373,0.000018,347.220687,0.000000,25.000000,191.586946,51.794702,81.111187,64.952790,32.989550,-106.974021,81.111187,65.259745,19628.613755,21.473935,96.328564,0.219109,378070.686079,339423.376630,717494.062709,255844.772512,-18455.295434
3.600000,84.601992,-125.910607,1791.362916,45.986409,-87.343858,196.570574,0.668941,0.099675,0.251836,-0.692223,-0.009331,0.158291,0.000000,9.484166,-22.602981,31.171482,-0.061943,0.422824,0.000000,-9.733710,-1.140973,-127.916097,-0.426611,2.984432,0.000000,81576.225728,0.947285,0.000018,347.220687,0.000000,25.000000,219.962929,41.512736,98.710178,63.335958,32.989122,-106.973597,98.710178,65.613369,25281.074916,9.800354,127.916097,0.085284,489708.447232,355609.032929,845317.480161,256889.205194,-28136.799349
4.200000,111.964954,-177.811226,1906.574050,45.243404,-85.571511,187.583449,0.666713,0.104552,0.260475,-0.690454,-0.011787,0.095521,0.000000,-1.220715,2.685165,-14.785729,-0.022824,-0.426937,0.000000,4.623110,-0.544785,-115.649778,-0.150638,-2.817787,0.000000,80421.684919,0.933878,0.000018,347.220687,0.000000,25.000000,211.085289,15.077073,96.795914,62.705577,32.988655,-106.973144,96.795914,65.867749,23095.064743,4.264083,115.649778,0.030705,446447.924418,374678.860637,821126.785055,79843.305369,-24411.966850
4.800000,138.901197,-228.673389,2016.498222,44.557426,-83.924527,178.918177,0.665216,0.107268,0.267167,-0.688923,-0.011821,0.054980,0.000000,-1.124388,2.477168,-14.293402,-0.006617,-0.374383,0.000000,4.657532,-0.297834,-104.837023,-0.043675,-2.470925,0.000000,79332.494591,0.921230,0.000018,347.220687,0.000000,25.000000,202.584314,14.549981,95.019422,62.028233,32.988198,-106.972698,95.019422,65.872487,21124.549737,4.661160,104.837023,0.010437,410404.054805,395501.845845,805905.900651,-0.000010,-21238.336526
5.400000,165.442003,-278.569803,2121.317240,43.921759,-82.380977,170.543440,0.663781,0.109666,0.273728,-0.687352,-0.011824,0.041976,0.000000,-1.036675,2.377692,-13.803211,-0.003728,-0.212642,0.000000,2.523478,-0.246611,-95.256393,-0.024608,-1.403436,0.000000,78305.044792,0.909299,0.000018,347.220687,0.000000,25.000000,194.424307,14.044812,93.358162,61.303010,32.987749,-106.972259,93.358162,65.833523,19342.994098,2.583187,95.256393,0.006277,378008.119362,416060.314180,794068.433542,0.000000,-18520.158242
6.000000,191.614979,-327.566898,2221.191024,43.329891,-80.937331,162.422045,0.662213,0.112232,0.280684,-0.685643,-0.012067,0.038904,0.000000,-0.960681,2.281505,-13.368803,-0.004030,-0.090056,0.000000,0.766595,-0.247154,-86.753467,-0.026599,-0.594372,0.000000,77336.119283,0.898047,0.000018,347.220687,0.000000,25.000000,186.572377,13.596069,91.805942,60.523529,32.987308,-106.971825,91.805942,65.798122,17727.956502,0.799978,86.753467,0.005475,348092.523343,435648.859033,783741.382376,0.000000,-16185.800561
6.600000,217.444745,-375.724697,2316.261416,42.776970,-79.588069,154.524483,0.660468,0.115038,0.288143,-0.683764,-0.012472,0.037081,0.000000,-0.893269,2.178684,-12.986333,-0.004231,-0.006268,0.000000,-0.451182,-0.248653,-79.130886,-0.027921,-0.041369,0.000000,76422.835282,0.887442,0.000018,347.220687,0.000000,25.000000,179.002642,13.198084,90.355574,59.683762,32.986875,-106.971398,90.355574,65.771026,16260.755406,0.508832,79.130886,0.005051,320419.462189,454295.300368,774714.762557,-0.000000,-14164.637552
7.200000,242.953555,-423.097478,2406.655624,42.259068,-78.326043,146.826810,0.658503,0.118152,0.296195,-0.681684,-0.013030,0.033230,0.000000,-0.833959,2.066103,-12.655660,-0.003211,0.037783,0.000000,-1.050829,-0.233408,-72.327503,-0.021191,0.249368,0.000000,75562.591243,0.877453,0.000018,347.220687,0.000000,25.000000,171.694234,12.850292,88.998864,58.777911,32.986449,-106.970975,88.998864,65.756048,14925.562831,1.076396,72.327503,0.004204,294789.104742,472024.587475,766813.692218,0.000000,-12418.215228
7.800000,268.161407,-469.733975,2492.487406,41.772415,-77.140133,139.307920,0.656265,0.121653,0.304933,-0.679371,-0.013828,0.029864,0.000000,-0.783707,1.939592,-12.377050,-0.001639,0.033977,0.000000,-0.930148,-0.212341,-66.274689,-0.010816,0.224250,0.000000,74753.039589,0.868052,0.000018,347.220687,0.000000,25.000000,164.627554,12.552592,87.724197,57.800790,32.986030,-106.970558,87.724197,65.758404,13708.379484,0.954099,66.274689,0.003574,271022.318347,488859.032436,759881.350783,-0.000000,-10910.639934
8.400000,293.086201,-515.678123,2573.858388,41.314471,-76.021333,131.952009,0.653757,0.125484,0.314308,-0.676815,-0.014847,0.030652,0.000000,-0.740220,1.809843,-12.133965,-0.000937,0.003915,0.000000,-0.457871,-0.206832,-60.792013,-0.006185,0.025840,0.000000,73992.060553,0.859215,0.000018,347.220687,0.000000,25.000000,157.789294,12.290507,86.522417,56.746693,32.985617,-106.970145,86.522417,65.771008,12597.611146,0.502420,60.792013,0.003828,248974.617317,504818.567118,753793.184435,-0.000000,-9592.328847
9.000000,317.744272,-560.970342,2650.860595,40.883010,-74.964491,124.744202,0.651049,0.129450,0.324149,-0.674031,-0.015900,0.035240,0.000000,-0.699731,1.701450,-11.905425,-0.001511,-0.008384,0.000000,-0.305648,-0.220864,-55.817596,-0.009969,-0.055335,0.000000,73277.726692,0.850920,0.000018,347.220687,0.000000,25.000000,151.169479,12.046730,85.387911,55.608202,32.985210,-106.969737,85.387911,65.775891,11583.336884,0.377083,55.817596,0.004932,228522.119391,519921.241087,748443.360478,-0.000000,-8437.916914
9.600000,342.150653,-605.647468,2723.577992,40.475564,-73.967513,117.669284,0.648140,0.133521,0.334460,-0.670996,-0.016906,0.038576,0.000000,-0.660337,1.615184,-11.686796,-0.002064,0.004628,0.000000,-0.531295,-0.233410,-51.298848,-0.013625,0.030544,0.000000,72608.278915,0.843146,0.000018,347.220687,0.000000,25.000000,144.760232,11.816348,84.317639,54.375958,32.984808,-106.969333,84.317639,65.769893,10656.906997,0.580318,51.298848,0.005854,209555.252247,534183.522253,743738.774499,-0.000000,-7426.033106
10.200000,366.319255,-649.743063,2792.087444,40.090096,-73.026041,110.715324,0.644904,0.137905,0.345472,-0.667639,-0.017997,0.039768,0.000000,-0.624345,1.529919,-11.491302,-0.001954,0.008662,0.000000,-0.590027,-0.235899,-47.190949,-0.012897,0.057170,0.000000,71982.109243,0.835875,0.000018,347.220687,0.000000,25.000000,138.556492,11.609499,83.306773,53.040689,32.984411,-106.968933,83.306773,65.768478,9810.751791,0.635436,47.190949,0.006288,191979.019852,547620.486644,739599.506497,-0.000000,-6538.612283
