# Time (s), X (m), Y (m), Z (m), Vx (m/s), Vy (m/s), Vz (m/s), e0, e1, e2, e3, ω1 (rad/s), ω2 (rad/s), ω3 (rad/s), Ax (m/s2), Ay (m/s2), Az (m/s2), α1 (rad/s2), α2 (rad/s2), α3 (rad/s2), R1 (N), R2 (N), R3 (N), M1 (Nm), M2 (Nm), Aerodynamic Spin Moment (N m), Pressure (Pa), Density (kg/m³), Dynamic Viscosity (Pa s), Speed of Sound (m/s), Wind Velocity X (East) (m/s), Wind Velocity Y (North) (m/s), Speed - Velocity Magnitude (m/s), Acceleration Magnitude (m/s²), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Path Angle (°), Latitude (°), Longitude (°), (((Vx (m/s)**2) + (Vy (m/s)**2))**0.5), Spin Angle - φ (°), Dynamic Pressure (Pa), Aerodynamic Lift Force (N), Aerodynamic Drag Force (N), Rotational Kinetic Energy (J), Kinetic Energy (J), ((Scalar*9.80665)*Z (m)), Total Mechanical Energy (J), Thrust Power (W), Drag Power (W)
0.000000,0.000000,0.000000,1400.000000,0.000000,0.000000,0.000000,0.704416,-0.061628,0.061628,-0.704416,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-35.047687,31.063711,-1.851040,8.783845,9.910389,0.000000,85598.771785,0.993995,0.000018,347.220687,18.000000,20.000000,0.000000,0.000000,0.000000,0.000000,32.990254,-106.974998,0.000000,0.000000,359.826344,46.832622,1.851040,0.000000,0.000000,315168.831651,315168.831651,0.000000,-0.000000
0.600000,2.359870,0.030883,1412.861947,8.430586,0.081269,44.736351,0.704005,-0.034695,0.063353,-0.706511,0.266493,0.305017,0.000000,13.169515,-1.894129,74.610211,1.014294,1.178730,0.000000,-35.974701,30.996358,-6.179449,8.688679,10.092246,0.000000,85464.069756,0.992431,0.000018,347.220687,18.000000,20.000000,45.523867,75.787251,8.430978,79.327262,32.990254,-106.974959,8.430978,16.191118,1235.413453,47.486349,6.179449,0.679463,23264.066939,311060.635425,334324.702364,87709.523178,-281.312398
1.200000,8.482473,-1.701981,1452.925386,9.190987,-8.927837,88.142387,0.681430,0.183909,0.079044,-0.703970,0.478397,0.584609,0.000000,-13.620884,-31.248883,67.038608,-1.069197,-1.148979,0.000000,20.167947,-19.664390,-20.802796,-8.015733,-8.538212,0.000000,85045.588500,0.987572,0.000018,347.220687,18.000000,20.000000,89.068856,75.207697,12.813315,81.728817,32.990239,-106.974858,12.813315,110.809891,4287.788923,28.120248,20.802796,2.274663,87121.294905,312935.784375,400057.079280,166113.416690,-1852.881067
1.800000,10.726517,-13.612678,1517.214694,-1.365414,-30.605306,126.143248,0.683355,0.178767,0.085737,-0.702645,-0.383067,-0.427372,0.000000,-10.729090,-29.866026,66.292993,0.579596,0.531770,0.000000,-4.221648,6.018996,-44.387925,4.028199,3.614073,0.000000,84377.525469,0.979814,0.000018,347.220687,18.000000,20.000000,129.810123,73.497305,30.635749,76.349169,32.990132,-106.974820,30.635749,108.580091,9233.784271,7.411815,44.387925,1.261603,180992.718937,319623.472812,500616.191749,235767.647392,-5762.001996
2.400000,8.635873,-36.603993,1604.939178,-6.319406,-46.678486,165.559535,0.678702,0.203065,0.088252,-0.700238,0.107175,0.149790,0.000000,-14.803460,-33.291688,60.300167,-2.129948,-2.412270,0.000000,43.028527,-38.486183,-76.087830,-15.533344,-17.562201,0.000000,83472.797011,0.969308,0.000018,347.220687,18.000000,20.000000,172.130112,70.452725,47.104309,74.118108,32.989925,-106.974855,47.104309,110.615419,15725.769520,57.722218,76.087830,0.124635,311400.875826,330837.858965,642238.734791,298430.471112,-13097.006394
3.000000,2.699683,-70.065444,1715.095461,-12.754851,-64.022650,201.446881,0.681073,0.192232,0.089929,-0.700782,0.145020,0.181960,0.000000,-11.494990,-29.080408,56.431344,-1.086708,-1.169453,0.000000,15.651643,-15.058493,-116.068231,-7.501740,-8.046537,0.000000,82347.864090,0.956245,0.000018,347.220687,18.000000,20.000000,211.760316,64.515904,65.280824,72.044578,32.989624,-106.974953,65.280824,109.112027,23230.305447,21.763765,116.068231,0.190465,461627.051140,346290.745407,807917.796548,343773.622855,-24578.645341
3.600000,-6.868382,-113.473510,1845.653566,-18.613277,-79.629199,231.835638,0.680286,0.196953,0.092317,-0.699926,0.008106,0.023610,0.000000,-6.986386,-17.086561,26.700453,-1.194494,-1.374717,0.000000,19.707492,-17.390595,-156.712921,-8.046601,-9.251651,0.000000,81030.514060,0.940948,0.000018,347.220687,18.000000,20.000000,245.835364,36.645862,81.775689,70.570658,32.989234,-106.975112,81.775689,109.070958,30587.512249,26.283418,156.712921,0.002107,610792.226422,365852.174714,976644.401136,276482.839838,-38525.578079
4.200000,-17.846092,-160.720347,1981.742357,-17.996588,-77.888512,221.854558,0.680514,0.196550,0.094214,-0.699565,-0.040996,-0.037311,0.000000,1.066108,2.859260,-16.272127,0.077589,0.057085,0.000000,-0.115068,0.339722,-142.988172,0.512086,0.376762,0.000000,79675.575752,0.925214,0.000018,347.220687,18.000000,20.000000,235.817604,16.555790,79.940587,70.184448,32.988809,-106.975293,79.940587,108.598982,27801.450913,1.502521,142.988172,0.010177,557057.643455,389354.812887,946412.456342,74990.000104,-33719.128212
4.800000,-28.442234,-206.933461,2111.976176,-17.364780,-76.211418,212.306735,0.680025,0.199625,0.096285,-0.698886,-0.002041,0.006819,0.000000,1.160102,2.828697,-15.484142,0.291524,0.331649,0.000000,-4.940501,4.198110,-128.804077,1.924058,2.188883,0.000000,78396.167434,0.910357,0.000018,347.220687,18.000000,20.000000,226.238515,15.783093,78.164672,69.787878,32.988393,-106.975469,78.164672,108.466821,25299.480036,6.484753,128.804077,0.000168,511838.656751,414228.223349,926066.880100,-0.000285,-29140.443216
5.400000,-38.686559,-252.192612,2236.592622,-16.795248,-74.678842,203.138512,0.679036,0.205067,0.098636,-0.697944,0.012361,0.024636,0.000000,0.989445,2.532758,-14.934930,0.132505,0.157811,0.000000,-2.741750,2.159066,-116.039122,0.874532,1.041553,0.000000,77187.568580,0.896322,0.000018,347.220687,18.000000,20.000000,217.081240,15.180448,76.544169,69.353201,32.987986,-106.975639,76.544169,108.526088,23053.431441,3.489079,116.039122,0.002507,471242.651344,438669.620826,909912.272171,-0.000000,-25189.916602
6.000000,-48.608333,-296.574058,2355.808362,-16.278088,-73.272203,194.303947,0.677989,0.210704,0.101147,-0.696923,0.012607,0.026033,0.000000,0.864653,2.292517,-14.440319,0.047166,0.059264,0.000000,-1.306714,0.906909,-104.819535,0.311296,0.391146,0.000000,76045.513062,0.883060,0.000018,347.220687,18.000000,20.000000,208.297421,14.646709,75.058589,68.878716,32.987587,-106.975803,75.058589,108.567943,21029.517713,1.594441,104.819535,0.002761,433878.157438,462051.761492,895929.918930,-0.000000,-21833.638713
6.600000,-58.231879,-340.143650,2469.814708,-15.800591,-71.970563,185.767915,0.676914,0.216380,0.103803,-0.695838,0.010743,0.024787,0.000000,0.786858,2.111142,-13.981966,0.023080,0.030099,0.000000,-0.839224,0.514113,-94.882929,0.152331,0.198651,0.000000,74966.198974,0.870527,0.000018,347.220687,18.000000,20.000000,199.847790,14.162325,73.684602,68.364312,32.987195,-106.975962,73.684602,108.582063,19199.818014,0.983838,94.882929,0.002408,399391.392165,484412.168193,883803.560358,-0.000000,-18962.143600
7.200000,-67.578549,-382.959722,2578.781244,-15.356853,-70.760928,177.497788,0.675768,0.222284,0.106619,-0.694664,0.009197,0.023860,0.000000,0.729428,1.961436,-13.567875,0.018920,0.024215,0.000000,-0.722886,0.423540,-86.079880,0.124873,0.159820,0.000000,73946.224161,0.858683,0.000018,347.220687,18.000000,20.000000,191.698739,13.728311,72.408161,67.807567,32.986810,-106.976117,72.408161,108.585321,17541.043001,0.837792,86.079880,0.002158,367484.068075,505784.101777,873268.169852,-0.000000,-16501.404453
7.800000,-76.667427,-425.074375,2682.858518,-14.943129,-69.633405,169.464466,0.674515,0.228557,0.109613,-0.693379,0.008105,0.023518,0.000000,0.678132,1.827009,-13.196883,0.015625,0.019668,0.000000,-0.635629,0.353874,-78.205349,0.103127,0.129811,0.000000,72982.535786,0.847492,0.000018,347.220687,18.000000,20.000000,183.821417,13.339998,71.218735,67.205048,32.986432,-106.976267,71.218735,108.588053,16033.539779,0.727494,78.205349,0.002042,337903.136946,526197.089664,864100.226610,-0.000000,-14375.818141
8.400000,-85.515768,-466.534630,2782.181132,-14.556360,-68.580048,161.644007,0.673131,0.235268,0.112802,-0.691966,0.007728,0.024092,0.000000,0.628862,1.702585,-12.865210,0.008223,0.010825,0.000000,-0.494857,0.231677,-71.128943,0.054273,0.071446,0.000000,72072.380540,0.836923,0.000018,347.220687,18.000000,20.000000,176.192779,12.992609,70.107850,66.552774,32.986059,-106.976414,70.107850,108.593591,14660.858800,0.546398,71.128943,0.002112,310438.956628,545677.531937,856116.488566,-0.000000,-12532.406218
9.000000,-94.139243,-507.383068,2876.869803,-14.193563,-67.593029,154.013763,0.671610,0.242418,0.116197,-0.690413,0.008318,0.025857,0.000000,0.584745,1.592236,-12.571655,0.000322,0.001884,0.000000,-0.366042,0.113359,-64.875377,0.002125,0.012433,0.000000,71213.268084,0.826947,0.000018,347.220687,18.000000,20.000000,168.791333,12.685569,69.067176,65.846242,32.985692,-106.976557,69.067176,108.599474,13408.619103,0.383198,64.875377,0.002435,284905.142517,564249.105017,849154.247534,0.000000,-10950.401359
9.600000,-102.551875,-547.657744,2967.032070,-13.852541,-66.665921,146.553758,0.669949,0.249982,0.119813,-0.688709,0.009533,0.028395,0.000000,0.547958,1.494904,-12.302956,-0.002160,-0.000548,0.000000,-0.344875,0.085045,-59.215638,-0.014255,-0.003616,0.000000,70402.949425,0.817538,0.000018,347.220687,18.000000,20.000000,161.599016,12.405552,68.089925,65.080082,32.985329,-106.976696,68.089925,108.601142,12264.522550,0.355187,59.215638,0.002961,261142.422203,581932.900980,843075.323183,0.000000,-9569.188770
10.200000,-110.766392,-587.393287,3052.765144,-13.532148,-65.794444,139.247921,0.668132,0.257992,0.123668,-0.686836,0.010439,0.030640,0.000000,0.517650,1.408628,-12.055836,0.000899,0.003236,0.000000,-0.414850,0.138169,-54.076080,0.005937,0.021355,0.000000,69639.378237,0.808671,0.000018,347.220687,18.000000,20.000000,154.602753,12.148883,67.171630,64.247862,32.984972,-106.976832,67.171630,108.598485,11218.263343,0.437255,54.076080,0.003458,239020.116252,598747.985908,837768.102160,-0.000000,-8360.310800
10.800000,-118.794424,-626.621480,3134.157498,-13.230803,-64.974223,132.082408,0.666116,0.266573,0.127787,-0.684761,0.010929,0.032529,0.000000,0.488391,1.327650,-11.831637,0.002219,0.004838,0.000000,-0.445430,0.159001,-49.401207,0.014648,0.031932,0.000000,68920.685824,0.800325,0.000018,347.220687,18.000000,20.000000,147.791970,11.915906,66.307645,63.342560,32.984619,-106.976965,66.307645,108.597567,10260.865823,0.472958,49.401207,0.003886,218424.666653,614711.712651,833136.379305,-0.000000,-7301.101651
11.400000,-126.646771,-665.371723,3211.289711,-12.946635,-64.200961,125.045237,0.663871,0.275775,0.132189,-0.682457,0.011638,0.034799,0.000000,0.459697,1.251297,-11.628288,0.001024,0.003684,0.000000,-0.435556,0.142372,-45.143814,0.006756,0.024311,0.000000,68245.164457,0.792481,0.000018,347.220687,18.000000,20.000000,141.158387,11.704450,65.493349,62.356375,32.984271,-106.977095,65.493349,108.598895,9384.481052,0.458235,45.143814,0.004443,199256.905455,629839.884877,829096.790332,-0.000000,-6372.427951
12.000000,-134.333483,-703.671255,3284.235293,-12.678292,-63.471119,118.125380,0.661385,0.285590,0.136896,-0.679901,0.012723,0.037622,0.000000,0.434097,1.181474,-11.441559,0.001159,0.004096,0.000000,-0.454632,0.150146,-41.263447,0.007647,0.027032,0.000000,67611.251947,0.785120,0.000018,347.220687,18.000000,20.000000,134.695685,11.510586,64.724972,61.280145,32.983927,-106.977222,64.724972,108.598695,8582.217450,0.478783,41.263447,0.005205,181429.280345,644146.920804,825576.201149,-0.000000,-5558.008307
12.600000,-141.863798,-741.545246,3353.061482,-12.425093,-62.781977,111.312419,0.658621,0.296082,0.141931,-0.677057,0.013490,0.040217,0.000000,0.410807,1.117035,-11.270249,0.002225,0.005528,0.000000,-0.485916,0.168917,-37.725293,0.014688,0.036487,0.000000,67017.517721,0.778225,0.000018,347.220687,18.000000,20.000000,128.399432,11.332919,63.999684,60.103016,32.983586,-106.977347,63.999684,108.597867,7848.008912,0.514439,37.725293,0.005938,164864.148074,657646.007636,822510.155710,0.000000,-4843.906207
13.200000,-149.246278,-779.017061,3417.829856,-12.185480,-62.130195,104.597768,0.655527,0.307348,0.147322,-0.673881,0.014632,0.043406,0.000000,0.387801,1.055957,-11.114585,0.001123,0.004553,0.000000,-0.482872,0.156173,-34.499210,0.007410,0.030051,0.000000,66462.651283,0.771782,0.000018,347.220687,18.000000,20.000000,122.267494,11.171367,63.313877,58.813140,32.983249,-106.977469,63.313877,108.599140,7176.499627,0.507499,34.499210,0.006924,149493.407417,670349.223216,819842.630633,0.000000,-4218.131982
13.800000,-156.488990,-816.108507,3478.596698,-11.958873,-61.513515,97.972840,0.652086,0.319361,0.153092,-0.670338,0.015668,0.046621,0.000000,0.368065,1.000564,-10.970310,0.002639,0.006554,0.000000,-0.525934,0.183775,-31.559044,0.017418,0.043258,0.000000,65945.453687,0.765776,0.000018,347.220687,18.000000,20.000000,116.299633,11.021992,62.665200,57.396284,32.982916,-106.977589,62.665200,108.597648,6562.954254,0.557117,31.559044,0.007983,135256.054782,682267.606224,817523.661006,-0.000000,-3670.305274
14.400000,-163.599271,-852.839734,3535.413758,-11.744084,-60.929227,91.430448,0.648212,0.332285,0.159273,-0.666362,0.016954,0.050318,0.000000,0.347902,0.947473,-10.839815,0.001393,0.005447,0.000000,-0.521453,0.168558,-28.881996,0.009195,0.035950,0.000000,65464.826188,0.760195,0.000018,347.220687,18.000000,20.000000,110.498059,10.886704,62.050739,55.836594,32.982585,-106.977707,62.050739,108.599268,6003.173310,0.548019,28.881996,0.009304,122098.219927,693411.306633,815509.526559,-0.000000,-3191.404495
15.000000,-170.584164,-889.229691,3588.328333,-11.540565,-60.375360,84.963460,0.643890,0.346058,0.165889,-0.661912,0.018183,0.054112,0.000000,0.330866,0.899464,-10.718323,0.002877,0.007426,0.000000,-0.565722,0.196287,-26.448162,0.018990,0.049009,0.000000,65019.765349,0.755027,0.000018,347.220687,18.000000,20.000000,104.867336,10.761085,61.468437,54.115425,32.982258,-106.977822,61.468437,108.597726,5493.434907,0.598807,26.448162,0.010754,109971.592376,703789.601034,813761.193410,-0.000000,-2773.548225
15.600000,-177.449986,-925.295782,3637.383846,-11.347247,-59.849550,78.565978,0.639013,0.360854,0.172970,-0.656905,0.019722,0.058472,0.000000,0.313497,0.853588,-10.608501,0.001955,0.006747,0.000000,-0.569710,0.186940,-24.240143,0.012901,0.044530,0.000000,64609.354431,0.750261,0.000018,347.220687,18.000000,20.000000,99.414997,10.647402,60.915750,52.211963,32.981934,-106.977936,60.915750,108.599025,5030.432783,0.599597,24.240143,0.012566,98833.428176,713411.005888,812244.434064,-0.000000,-2409.833776
16.200000,-184.202845,-961.054436,3682.620110,-11.163801,-59.350174,72.231797,0.633550,0.376625,0.180538,-0.651284,0.021061,0.062784,0.000000,0.298483,0.811749,-10.506531,0.002940,0.008123,0.000000,-0.604824,0.206392,-22.242694,0.019401,0.053609,0.000000,64232.757795,0.745888,0.000018,347.220687,18.000000,20.000000,94.151506,10.542069,60.391006,50.101938,32.981612,-106.978048,60.391006,108.598126,4611.230371,0.639070,22.242694,0.014472,88645.075676,722283.330020,810928.405696,-0.000000,-2094.183126
16.800000,-190.848262,-996.520803,3724.073725,-10.989034,-58.874976,65.956266,0.627393,0.393483,0.188616,-0.644957,0.022923,0.067882,0.000000,0.283906,0.772478,-10.413686,0.002740,0.008275,0.000000,-0.624150,0.209884,-20.442467,0.018084,0.054614,0.000000,63889.214732,0.741898,0.000018,347.220687,18.000000,20.000000,89.091249,10.446156,59.891749,47.758904,32.981293,-106.978158,59.891749,108.598426,4233.218123,0.658494,20.442467,0.016940,79372.523195,730413.751875,809786.275070,-0.000000,-1821.244900
17.400000,-197.391425,-1031.708977,3761.778185,-10.822887,-58.422623,59.733822,0.620464,0.411448,0.197221,-0.637837,0.024416,0.072751,0.000000,0.270330,0.735994,-10.328742,0.002617,0.008362,0.000000,-0.639092,0.211385,-18.827788,0.017273,0.055192,0.000000,63578.035954,0.738285,0.000018,347.220687,18.000000,20.000000,84.252402,10.358459,59.416645,45.152520,32.980977,-106.978266,59.416645,108.598967,3894.082004,0.673144,18.827788,0.019433,70984.691400,737808.840802,808793.532202,0.000000,-1586.286342
18.000000,-203.837208,-1066.632096,3795.764145,-10.664229,-57.991097,53.560657,0.612700,0.430474,0.206357,-0.629845,0.026348,0.078237,0.000000,0.258580,0.702830,-10.249756,0.003595,0.009693,0.000000,-0.677258,0.233506,-17.388454,0.023726,0.063973,0.000000,63298.599093,0.735040,0.000018,347.220687,18.000000,20.000000,79.658252,10.277078,58.963489,42.251062,32.980663,-106.978373,58.963489,108.597746,3591.770269,0.716382,17.388454,0.022490,63454.393399,744474.609145,807929.002544,0.000000,-1385.133884
18.600000,-210.189924,-1101.302143,3826.059922,-10.512685,-57.578858,47.432397,0.603947,0.450678,0.216024,-0.620861,0.028262,0.083848,0.000000,0.246616,0.671633,-10.178990,0.002636,0.008776,0.000000,-0.678199,0.223311,-16.115526,0.017400,0.057923,0.000000,63050.342560,0.732157,0.000018,347.220687,18.000000,20.000000,75.337067,10.204105,58.530688,39.020793,32.980351,-106.978478,58.530688,108.599031,3324.463722,0.714017,16.115526,0.025836,56756.762960,750416.610741,807173.373700,-0.000000,-1214.096436
19.200000,-216.453774,-1135.730286,3852.691158,-10.367841,-57.184454,41.345038,0.594186,0.471887,0.226199,-0.610818,0.029926,0.089205,0.000000,0.236580,0.643624,-10.112846,0.003242,0.009436,0.000000,-0.702708,0.237011,-15.001380,0.021400,0.062275,0.000000,62832.766523,0.729631,0.000018,347.220687,18.000000,20.000000,71.322970,10.136068,58.116726,35.428570,32.980041,-106.978582,58.116726,108.598468,3090.564295,0.741601,15.001380,0.029215,50869.689033,755639.874822,806509.563855,0.000000,-1069.942953
19.800000,-222.632443,-1169.926659,3875.681593,-10.228640,-56.806015,35.295865,0.583302,0.494078,0.236845,-0.599623,0.032033,0.095019,0.000000,0.227409,0.618201,-10.052199,0.003455,0.009570,0.000000,-0.721153,0.246884,-14.038951,0.022803,0.063164,0.000000,62645.425011,0.727455,0.000018,347.220687,18.000000,20.000000,67.656090,10.073758,57.719567,31.446039,32.979734,-106.978684,57.719567,108.597987,2888.658190,0.762242,14.038951,0.033181,45773.498302,760149.057790,805922.556092,0.000000,-949.820555
