# Time (s), X (m), Y (m), Z (m), Vx (m/s), Vy (m/s), Vz (m/s), e0, e1, e2, e3, ω1 (rad/s), ω2 (rad/s), ω3 (rad/s)
0.000000,0.000000,0.000000,1471.466078,0.000000,0.000000,0.000000,0.704416,-0.061628,0.061628,-0.704416,0.000000,0.000000,0.000000
0.550000,1.603462,0.000996,1480.394195,6.338410,0.009020,34.162603,0.704355,-0.061464,0.062319,-0.704430,-0.008996,0.013950,0.000000
1.100000,7.016710,-0.045968,1508.433450,13.439279,-0.328619,67.656099,0.703020,-0.060289,0.076719,-0.704445,-0.063159,0.062175,0.000000
1.650000,16.613424,-0.598816,1554.691135,21.714530,-1.874511,100.416426,0.700758,-0.064318,0.098854,-0.703583,-0.042987,0.009342,0.000000
2.200000,31.028029,-2.141270,1618.706773,30.600628,-3.635728,132.157670,0.701122,-0.066058,0.096135,-0.703436,0.011294,0.007338,0.000000
2.750000,50.181356,-4.610893,1699.801743,39.106051,-5.470005,162.396094,0.699920,-0.065728,0.106287,-0.703204,-0.016879,0.003086,0.000000
3.300000,74.007549,-8.164779,1796.920760,47.416533,-7.445561,190.379170,0.699540,-0.064968,0.109191,-0.703207,-0.028080,0.025673,0.000000
3.850000,101.981825,-12.758697,1907.553014,53.357154,-9.009244,208.213864,0.699000,-0.064581,0.113381,-0.703116,-0.019079,0.022361,0.000000
4.400000,131.922200,-17.882331,2022.860939,54.971649,-9.462619,209.012931,0.698396,-0.064048,0.117931,-0.703017,-0.015311,0.019043,0.000000
4.950000,162.011584,-23.044216,2135.783213,54.398094,-9.287228,201.463361,0.698052,-0.064124,0.120591,-0.702901,-0.009087,0.009183,0.000000
5.500000,191.767562,-28.100684,2244.501846,53.813009,-9.100900,193.910316,0.697700,-0.064299,0.123296,-0.702765,-0.006838,0.006082,0.000000
6.050000,221.212747,-33.056082,2349.119567,53.269465,-8.922509,186.547025,0.697314,-0.064536,0.126232,-0.702605,-0.006101,0.004565,0.000000
6.600000,250.369411,-37.915180,2449.735849,52.763379,-8.751139,179.356923,0.696898,-0.064840,0.129366,-0.702420,-0.007462,0.005333,0.000000
7.150000,279.257934,-42.682551,2546.441531,52.291984,-8.586921,172.324746,0.696466,-0.065228,0.132582,-0.702212,-0.009951,0.007506,0.000000
7.700000,307.896177,-47.363339,2639.319028,51.848468,-8.440958,165.434648,0.696078,-0.066305,0.135684,-0.701904,-0.016523,-0.003675,0.000000
